Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,17.213,17.23,17.193,17.23,8385,0
2015-01-05,17.069,17.069,17.069,17.069,1048,0
2015-01-06,17.107,17.249,17.107,17.249,1261,0
2015-01-09,17.051,17.107,17.051,17.059,1067,0
2015-01-14,17.249,17.249,17.068,17.068,3677,0
2015-01-15,17.068,17.068,17.02,17.04,2809,0
2015-01-16,17.04,17.116,17.02,17.02,4092,0
2015-01-20,17.058,17.164,17.058,17.058,7872,0
2015-01-21,17.058,17.058,17.058,17.058,3144,0
2015-01-22,17.058,17.058,17.01,17.01,12546,0
2015-01-23,17.01,17.03,16.879,17.03,11649,0
2015-01-26,17.154,17.324,17.154,17.324,736,0
2015-01-27,17.333,17.333,17.333,17.333,100,0
2015-01-28,17.333,17.333,17.333,17.333,2733,0
2015-01-29,17.058,17.058,17.058,17.058,1047,0
2015-02-04,17.333,17.333,17.333,17.333,100,0
2015-02-06,17.343,17.343,17.087,17.087,422,0
2015-02-10,17.363,17.363,17.363,17.363,533,0
2015-02-11,17.182,17.182,17.172,17.172,839,0
2015-02-12,17.266,17.304,17.266,17.304,943,0
2015-02-13,17.477,17.477,17.477,17.477,200,0
2015-02-18,17.276,17.585,17.276,17.585,676,0
2015-02-20,17.594,17.594,17.594,17.594,160,0
2015-03-05,17.294,17.294,17.077,17.077,1466,0
2015-03-06,17.457,17.613,17.439,17.613,3141,0
2015-03-10,17.506,17.506,17.506,17.506,200,0
2015-03-11,17.191,17.191,17.191,17.191,1573,0
2015-03-12,17.361,17.361,16.99,17.172,11519,0
2015-03-13,17.056,17.341,17.008,17.114,7330,0
2015-03-16,17.095,17.114,17.095,17.095,5234,0
2015-03-18,17.191,17.476,17.095,17.476,5445,0
2015-03-19,17.095,17.095,17.056,17.056,734,0
2015-03-20,17.076,17.228,17.018,17.018,5655,0
2015-03-23,17.038,17.191,17.018,17.181,1362,0
2015-03-24,17.191,17.191,17.181,17.181,734,0
2015-03-25,17.056,17.056,17.056,17.056,200,0
2015-03-27,17.181,17.181,17.181,17.181,838,0
2015-03-30,17.181,17.545,17.181,17.525,1674,0
2015-04-01,17.283,17.283,17.283,17.283,422,0
2015-04-02,17.381,17.381,17.381,17.381,1045,0
2015-04-07,17.283,17.555,17.238,17.555,5340,0
2015-04-08,17.447,17.466,17.447,17.466,308,0
2015-04-09,17.238,17.238,17.238,17.238,255,0
2015-04-14,17.255,17.274,17.255,17.274,941,0
2015-04-15,17.274,17.274,17.274,17.274,2,0
2015-04-16,17.274,17.274,17.274,17.274,1,0
2015-04-20,17.255,17.255,17.255,17.255,1361,0
2015-04-21,17.255,17.495,17.21,17.495,1989,0
2015-04-22,17.255,17.255,17.255,17.255,422,0
2015-04-23,17.255,17.255,17.255,17.255,100,0
2015-04-24,17.21,17.255,17.21,17.255,630,0
2015-04-27,17.37,17.37,17.37,17.37,100,0
2015-04-28,17.4,17.4,17.4,17.4,530,0
2015-04-29,17.21,17.21,17.21,17.21,1780,0
2015-05-05,17.4,17.446,17.4,17.446,2302,0
2015-05-07,17.485,17.495,17.21,17.21,6593,0
2015-05-11,17.21,17.227,17.142,17.21,4814,0
2015-05-12,17.446,17.446,17.418,17.418,552,0
2015-05-14,17.399,17.456,17.339,17.339,1569,0
2015-05-15,17.339,17.339,17.339,17.339,1,0
2015-05-18,17.408,17.408,17.408,17.408,201,0
2015-05-19,17.418,17.418,17.408,17.408,422,0
2015-05-21,17.399,17.418,17.399,17.418,629,0
2015-05-26,17.418,17.418,17.418,17.418,529,0
2015-05-27,17.418,17.514,17.418,17.514,1569,0
2015-06-04,17.437,17.437,17.437,17.437,422,0
2015-06-05,17.465,17.465,17.465,17.465,100,0
2015-06-08,17.418,17.418,17.321,17.329,1256,0
2015-06-09,17.408,17.408,17.408,17.408,422,0
2015-06-10,17.368,17.388,17.368,17.388,422,0
2015-06-12,17.388,17.388,17.388,17.388,100,0
2015-06-15,17.484,17.484,17.436,17.436,308,0
2015-06-16,17.378,17.388,17.358,17.368,1255,0
2015-06-18,17.398,17.398,17.398,17.398,1566,0
2015-06-22,17.388,17.474,17.388,17.474,729,0
2015-06-23,17.484,17.659,17.484,17.65,1842,0
2015-06-24,17.445,17.659,17.445,17.659,308,0
2015-07-02,17.533,17.533,17.533,17.533,1042,0
2015-07-09,17.533,17.533,17.533,17.533,2086,0
2015-07-10,17.763,17.763,17.552,17.552,937,0
2015-07-14,17.552,17.552,17.552,17.552,100,0
2015-07-15,17.552,17.552,17.552,17.552,27,0
2015-07-16,17.552,17.552,17.552,17.552,100,0
2015-07-17,17.629,17.716,17.629,17.716,422,0
2015-07-21,17.801,17.838,17.801,17.819,3022,0
2015-07-23,17.838,17.93,17.838,17.93,2084,0
2015-07-24,17.838,17.838,17.838,17.838,422,0
2015-07-28,17.6,17.838,17.6,17.736,937,0
2015-07-29,17.649,17.649,17.649,17.649,1041,0
2015-07-30,17.649,17.649,17.552,17.561,7090,0
2015-07-31,17.571,17.571,17.552,17.552,422,0
2015-08-04,17.687,18.126,17.687,18.038,12408,0
2015-08-05,18.136,18.136,17.838,18.136,15223,0
2015-08-06,18.262,18.262,18.262,18.262,308,0
2015-08-07,18.262,18.262,18.262,18.262,422,0
2015-08-10,18.575,18.575,18.575,18.575,422,0
2015-08-11,18.575,18.575,18.166,18.339,1425,0
2015-08-12,18.261,18.261,18.261,18.261,100,0
2015-08-13,18.319,18.432,18.243,18.243,1144,0
2015-08-14,18.017,18.205,17.949,18.205,1664,0
2015-08-17,18.243,18.243,18.243,18.243,100,0
2015-08-18,18.086,18.243,18.086,18.243,936,0
2015-08-19,18.243,18.243,17.742,17.79,2185,0
2015-08-20,17.856,17.997,17.856,17.856,1877,0
2015-08-21,17.809,17.809,17.761,17.761,726,0
2015-08-24,17.78,17.78,17.734,17.734,1667,0
2015-08-25,17.714,17.714,17.608,17.608,1772,0
2015-08-26,17.608,17.608,17.608,17.608,526,0
2015-08-27,17.734,17.734,17.647,17.647,1253,0
2015-09-02,17.608,17.608,17.608,17.608,1357,0
2015-09-08,17.751,17.761,17.751,17.761,2918,0
2015-09-09,17.675,17.751,17.675,17.751,2816,0
2015-09-15,17.752,17.752,17.752,17.752,100,0
2015-09-16,17.781,17.781,17.771,17.771,422,0
2015-09-17,17.752,17.752,17.666,17.696,2264,0
2015-09-18,17.771,17.781,17.771,17.781,2080,0
2015-09-22,17.696,17.781,17.696,17.781,308,0
2015-09-23,17.781,17.781,17.781,17.781,422,0
2015-09-29,17.858,17.878,17.858,17.878,625,0
2015-10-01,17.725,17.771,17.725,17.771,200,0
2015-10-02,17.781,17.781,17.781,17.781,525,0
2015-10-05,17.706,17.706,17.706,17.706,1037,0
2015-10-06,17.771,17.781,17.771,17.781,2080,0
2015-10-07,17.781,17.781,17.696,17.696,2813,0
2015-10-12,17.618,17.618,17.609,17.618,743,0
2015-10-14,17.706,17.706,17.706,17.706,831,0
2015-10-15,17.706,17.706,17.706,17.706,100,0
2015-10-16,17.706,17.706,17.706,17.706,100,0
2015-10-21,17.706,17.706,17.696,17.696,3535,0
2015-10-22,17.706,17.706,17.706,17.706,724,0
2015-10-23,17.657,17.657,17.657,17.657,422,0
2015-10-26,17.657,17.657,17.657,17.657,1036,0
2015-10-27,17.657,17.657,17.657,17.657,100,0
2015-10-28,17.686,17.706,17.686,17.706,422,0
2015-11-06,17.706,17.706,17.706,17.706,100,0
2015-11-09,17.696,17.696,17.696,17.696,1782,0
2015-11-10,17.695,17.695,17.695,17.695,308,0
2015-11-11,17.724,17.724,17.724,17.724,1035,0
2015-11-12,17.724,17.724,17.724,17.724,7269,0
2015-11-13,17.685,17.695,17.685,17.695,1975,0
2015-11-16,17.675,17.695,17.656,17.665,3739,0
2015-11-17,17.714,17.714,17.675,17.675,308,0
2015-11-19,17.685,17.685,17.685,17.685,523,0
2015-11-24,17.7,17.7,17.7,17.7,200,0
2015-11-30,17.77,17.77,17.77,17.77,200,0
2015-12-01,17.77,17.77,17.77,17.77,66,0
2015-12-02,17.894,17.93,17.818,17.867,2594,0
2015-12-03,17.695,17.847,17.695,17.818,1035,0
2015-12-04,17.818,17.818,17.818,17.818,100,0
2015-12-08,17.818,17.818,17.818,17.818,63,0
2015-12-09,17.998,17.998,17.97,17.97,200,0
2015-12-11,17.743,17.743,17.743,17.743,1034,0
2015-12-14,17.743,17.743,17.743,17.743,100,0
2015-12-15,17.743,17.743,17.743,17.743,100,0
2015-12-16,17.743,17.771,17.743,17.743,3215,0
2015-12-17,17.743,17.762,17.743,17.762,1140,0
2015-12-18,17.762,17.762,17.762,17.762,200,0
2015-12-21,17.858,18.059,17.781,18.0,5184,0
2015-12-22,17.829,18.039,17.801,17.904,9220,0
2015-12-23,17.791,18.089,17.762,17.762,1452,0
2015-12-24,17.91,17.91,17.762,17.762,722,0
2015-12-28,17.796,17.801,17.796,17.801,522,0
2015-12-30,17.762,17.791,17.762,17.791,2175,0
2015-12-31,17.791,17.791,17.791,17.791,200,0
2016-01-04,17.791,17.791,17.791,17.791,100,0
2016-01-05,17.666,17.666,17.666,17.666,4150,0
2016-01-07,17.696,17.696,17.696,17.696,100,0
2016-01-11,17.819,17.829,17.743,17.743,716,0
2016-01-15,17.757,17.757,17.757,17.757,200,0
2016-01-19,17.757,17.757,17.757,17.757,100,0
2016-01-20,17.691,17.691,17.073,17.101,14999,0
2016-01-21,17.198,17.329,17.081,17.188,2252,0
2016-01-22,17.329,17.329,17.253,17.329,6291,0
2016-01-25,17.623,17.623,17.369,17.369,1761,0
2016-01-27,17.593,17.613,17.272,17.515,5388,0
2016-01-29,17.853,17.901,17.339,17.525,8397,0
2016-02-01,17.633,17.786,17.208,17.593,5145,0
2016-02-02,17.671,17.805,17.584,17.739,2381,0
2016-02-03,17.844,17.853,17.739,17.757,1075,0
2016-02-04,17.428,17.72,17.428,17.593,2053,0
2016-02-10,17.674,17.674,17.247,17.247,442,0
2016-02-11,16.774,16.774,16.764,16.764,467,0
2016-02-16,17.024,17.024,16.459,16.459,1614,0
2016-02-17,16.204,16.754,16.184,16.754,9257,0
2016-02-18,16.524,16.524,16.524,16.524,420,0
2016-02-19,16.744,17.036,16.541,16.541,5108,0
2016-02-25,17.114,17.114,16.764,16.764,2594,0
2016-02-26,16.822,16.822,16.822,16.822,200,0
2016-03-01,16.822,16.822,16.822,16.822,100,0
2016-03-08,16.899,17.171,16.899,17.171,423,0
2016-03-10,16.817,16.817,16.817,16.817,347,0
2016-03-14,17.224,17.224,17.206,17.206,719,0
2016-03-15,16.846,17.205,16.817,17.205,328,0
2016-03-16,17.208,17.208,17.208,17.208,308,0
2016-03-24,17.214,17.223,17.214,17.223,289,0
2016-03-28,16.857,17.022,16.857,17.022,200,0
2016-04-05,17.041,17.041,17.041,17.041,100,0
2016-04-06,17.138,17.138,17.138,17.138,637,0
2016-04-07,16.992,16.992,16.992,16.992,100,0
2016-04-08,16.817,16.817,16.817,16.817,308,0
2016-04-12,17.153,17.163,16.823,16.823,1648,0
2016-04-13,17.163,17.163,17.153,17.163,1678,0
2016-04-14,17.163,17.639,17.132,17.414,3252,0
2016-04-26,17.115,17.115,16.842,16.842,926,0
2016-04-28,16.842,16.842,16.833,16.833,518,0
2016-05-02,16.91,17.115,16.91,17.115,1444,0
2016-05-03,17.345,17.355,16.92,17.212,5458,0
2016-05-06,16.872,16.872,16.872,16.872,200,0
2016-05-09,17.11,17.212,16.993,17.21,2474,0
2016-05-10,16.872,17.017,16.872,17.017,1343,0
2016-05-12,16.933,16.933,16.933,16.933,1724,0
2016-05-13,17.041,17.041,17.04,17.041,3087,0
2016-05-16,17.04,17.623,17.031,17.329,17619,0
2016-05-17,17.476,17.476,17.444,17.466,1295,0
2016-05-18,17.466,17.623,17.206,17.206,10117,0
2016-05-19,17.195,17.213,17.051,17.213,617,0
2016-05-20,17.243,17.243,17.243,17.243,200,0
2016-05-23,17.466,17.545,17.466,17.545,617,0
2016-05-24,17.206,17.584,17.197,17.584,3788,0
2016-05-26,17.29,17.29,17.186,17.28,7211,0
2016-05-27,17.32,17.418,17.32,17.369,4741,0
2016-05-31,17.234,17.253,17.234,17.234,3711,0
2016-06-02,17.28,17.329,17.28,17.329,1417,0
2016-06-03,17.28,17.399,17.28,17.28,826,0
2016-06-07,17.28,17.446,17.28,17.446,1823,0
2016-06-09,17.329,17.428,17.29,17.399,824,0
2016-06-13,17.288,17.558,17.288,17.373,18587,0
2016-06-14,17.343,17.529,17.266,17.266,42528,0
2016-06-15,17.304,17.539,17.284,17.304,18924,0
2016-06-16,17.353,17.539,17.353,17.519,4628,0
2016-06-17,17.519,17.519,17.324,17.373,3189,0
2016-06-20,17.45,17.45,17.353,17.403,8744,0
2016-06-22,17.324,17.48,17.294,17.353,18147,0
2016-06-23,17.5,17.5,17.284,17.403,10697,0
2016-06-27,17.393,17.49,17.284,17.49,2748,0
2016-06-28,17.45,17.5,17.353,17.353,3292,0
2016-07-05,17.285,17.44,17.063,17.114,16215,0
2016-07-06,17.131,17.256,17.122,17.228,1889,0
2016-07-07,17.304,17.304,17.092,17.16,5866,0
2016-07-08,17.266,17.266,17.266,17.266,364,0
2016-07-11,17.21,17.256,17.18,17.247,11210,0
2016-07-12,17.251,17.485,17.251,17.299,1602,0
2016-07-14,17.309,17.328,17.28,17.28,1028,0
2016-07-15,17.388,17.494,17.388,17.433,1853,0
2016-07-18,17.47,17.475,17.27,17.27,2273,0
2016-07-19,17.475,17.475,17.27,17.378,2381,0
2016-07-20,17.289,17.338,17.116,17.213,22111,0
2016-07-21,17.213,17.328,17.184,17.328,6061,0
2016-07-22,17.328,17.328,17.328,17.328,459,0
2016-07-25,17.524,17.524,17.524,17.524,125,0
2016-07-26,17.289,17.289,17.27,17.27,3179,0
2016-07-27,17.309,17.455,17.309,17.455,2262,0
2016-07-28,17.319,17.465,17.319,17.436,1043,0
2016-07-29,17.309,17.436,17.309,17.348,618,0
2016-08-01,17.309,17.436,17.309,17.417,420,0
2016-08-02,17.358,17.485,17.289,17.445,3188,0
2016-08-03,17.358,17.455,17.358,17.445,416,0
2016-08-04,17.348,17.485,17.338,17.378,1136,0
2016-08-09,17.455,17.455,17.455,17.455,200,0
2016-08-10,17.373,17.373,17.373,17.373,925,0
2016-08-11,17.432,17.432,17.403,17.412,1078,0
2016-08-12,17.403,17.5,17.403,17.5,416,0
2016-08-15,17.502,17.502,17.393,17.429,1358,0
2016-08-16,17.324,17.46,17.324,17.363,1691,0
2016-08-17,17.403,17.509,17.373,17.373,1079,0
2016-08-18,17.439,17.44,17.432,17.435,967,0
2016-08-22,17.383,17.519,17.383,17.5,424,0
2016-08-23,17.422,17.422,17.422,17.422,2051,0
2016-08-24,17.428,17.428,17.422,17.428,5128,0
2016-08-25,17.432,17.432,17.432,17.432,100,0
2016-08-31,17.5,17.5,17.5,17.5,200,0
2016-09-01,17.736,17.736,17.48,17.588,825,0
2016-09-02,17.529,17.707,17.519,17.707,616,0
2016-09-06,17.638,17.86,17.558,17.558,3371,0
2016-09-07,17.568,17.568,17.558,17.558,1963,0
2016-09-08,17.657,17.677,17.558,17.558,1436,0
2016-09-09,17.549,17.604,17.5,17.531,4526,0
2016-09-12,17.529,17.539,17.529,17.539,1231,0
2016-09-13,17.48,17.55,17.432,17.55,8405,0
2016-09-14,17.46,17.568,17.46,17.568,201,0
2016-09-15,17.549,17.598,17.549,17.549,417,0
2016-09-16,17.5,17.608,17.49,17.529,717,0
2016-09-20,17.618,17.618,17.519,17.539,1134,0
2016-09-21,17.618,17.618,17.598,17.598,1129,0
2016-09-22,17.598,17.716,17.588,17.638,7414,0
2016-09-23,17.638,17.87,17.618,17.716,3925,0
2016-09-26,17.812,17.821,17.578,17.578,1761,0
2016-09-27,17.909,17.909,17.638,17.783,4190,0
2016-09-28,17.628,17.648,17.598,17.598,2050,0
2016-09-29,17.608,17.608,17.608,17.608,1746,0
2016-10-03,17.716,17.716,17.716,17.716,553,0
2016-10-04,17.716,17.736,17.716,17.736,514,0
