Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,8.59,8.64,8.25,8.38,134604,0
2015-01-05,8.34,8.3999,8.1,8.13,169449,0
2015-01-06,8.13,8.13,7.87,8.0,238083,0
2015-01-07,8.08,8.26,8.04,8.1,141274,0
2015-01-08,8.19,8.31,8.09,8.24,215335,0
2015-01-09,8.21,8.28,7.96,8.06,255326,0
2015-01-12,8.04,8.04,7.82,7.89,264360,0
2015-01-13,8.01,8.19,7.75,8.0,251324,0
2015-01-14,7.92,7.99,7.72,7.93,147166,0
2015-01-15,7.95,7.98,7.6,7.72,218913,0
2015-01-16,7.67,7.87,7.67,7.79,191881,0
2015-01-20,7.77,7.86,7.54,7.62,208499,0
2015-01-21,7.6,7.79,7.6,7.75,243113,0
2015-01-22,7.83,7.84,7.67,7.84,251971,0
2015-01-23,7.87,7.95,7.74,7.84,228182,0
2015-01-26,7.89,8.0,7.79,8.0,104919,0
2015-01-27,7.86,7.93,7.71,7.79,261385,0
2015-01-28,7.82,7.83,7.67,7.73,231214,0
2015-01-29,7.75,7.98,7.71,7.98,209619,0
2015-01-30,7.89,7.988,7.7,7.77,237682,0
2015-02-02,7.81,8.01,7.69,7.98,317405,0
2015-02-03,8.02,8.2,7.9412,8.17,325196,0
2015-02-04,8.1,8.196,7.99,8.02,183469,0
2015-02-05,8.02,8.166,7.9,8.02,284920,0
2015-02-06,8.05,8.14,7.95,7.95,374931,0
2015-02-09,7.94,8.09,7.87,7.96,279789,0
2015-02-10,8.0,8.128,7.87,7.88,293271,0
2015-02-11,7.83,7.97,7.74,7.81,218496,0
2015-02-12,7.91,7.99,7.54,7.62,593664,0
2015-02-13,7.6,7.73,7.57,7.58,345749,0
2015-02-17,7.61,7.758,7.57,7.6,337465,0
2015-02-18,7.56,7.7,7.52,7.62,95024,0
2015-02-19,7.58,7.64,7.48,7.56,320860,0
2015-02-20,7.58,7.58,7.37,7.42,309804,0
2015-02-23,7.4,7.42,7.16,7.18,298274,0
2015-02-24,7.42,7.42,6.375,6.45,1765949,0
2015-02-25,6.45,6.5,6.18,6.23,881891,0
2015-02-26,6.25,6.27,6.025,6.12,783289,0
2015-02-27,6.19,6.19,6.06,6.1,600823,0
2015-03-02,6.1,6.21,6.06,6.11,651000,0
2015-03-03,6.16,6.37,5.97,5.98,961300,0
2015-03-04,5.98,6.05,5.77,5.93,892500,0
2015-03-05,6.08,6.13,5.93,5.98,815300,0
2015-03-06,5.97,5.99,5.87,5.87,827100,0
2015-03-09,5.97,6.03,5.68,5.86,1033300,0
2015-03-10,5.78,5.8,5.53,5.63,824500,0
2015-03-11,5.62,5.76,5.55,5.74,446300,0
2015-03-12,5.78,5.9,5.7,5.9,498600,0
2015-03-13,5.92,5.92,5.71,5.8,307000,0
2015-03-16,5.85,5.85,5.66,5.72,301200,0
2015-03-17,5.73,5.78,5.61,5.66,407700,0
