Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,5.82,5.97,5.54,5.83,53527,0
2015-01-05,6.26,7.0,5.91,6.9,123753,0
2015-01-06,6.93,7.35,6.35,6.67,69037,0
2015-01-07,6.93,7.07,6.48,7.06,45126,0
2015-01-08,7.08,8.49,7.03,8.49,121844,0
2015-01-09,8.57,8.7599,7.64,8.6,108612,0
2015-01-12,8.73,8.97,8.48,8.7,73752,0
2015-01-13,8.5779,8.9899,8.0401,8.76,55721,0
2015-01-14,8.36,8.77,8.02,8.54,51269,0
2015-01-15,8.11,8.7575,7.89,7.91,28439,0
2015-01-16,7.75,7.75,7.1,7.539,59201,0
2015-01-20,7.6,7.6,6.66,7.24,71351,0
2015-01-21,7.2,7.5,6.59,6.76,88138,0
2015-01-22,6.57,7.1,5.9801,6.0,58662,0
2015-01-23,6.26,6.61,5.9,6.41,101686,0
2015-01-26,6.34,6.87,6.23,6.79,19224,0
2015-01-27,6.71,7.13,6.71,6.8582,28190,0
2015-01-28,7.15,7.48,6.49,6.61,60027,0
2015-01-29,6.55,6.55,6.17,6.39,36436,0
2015-01-30,6.31,6.92,6.31,6.52,34645,0
2015-02-02,6.58,6.6399,6.52,6.55,11277,0
2015-02-03,6.52,6.5986,6.46,6.46,12607,0
2015-02-04,6.42,6.5899,6.34,6.4,40580,0
2015-02-05,6.33,6.67,6.33,6.5,22200,0
2015-02-06,6.51,6.64,6.44,6.5,51420,0
2015-02-09,6.6,6.7912,6.4501,6.75,65484,0
2015-02-10,6.8958,6.8958,6.69,6.8275,35174,0
2015-02-11,6.87,7.1,6.69,6.69,47218,0
2015-02-12,6.82,6.9,6.71,6.7735,11000,0
2015-02-13,6.78,6.85,6.66,6.8,24120,0
2015-02-17,6.78,6.96,6.68,6.9,25926,0
2015-02-18,7.0,7.1199,6.87,6.97,26021,0
2015-02-19,6.95,7.72,6.95,7.7,75340,0
2015-02-20,7.87,8.04,7.53,8.04,42125,0
2015-02-23,8.04,8.639,7.82,8.41,81160,0
2015-02-24,8.53,9.3,8.52,9.1,140870,0
2015-02-25,9.13,10.0,8.59,9.76,189309,0
2015-02-26,9.8,9.87,9.31,9.39,107433,0
2015-02-27,9.3,9.58,9.29,9.49,27076,0
2015-03-02,10.0,10.0,9.49,9.79,66000,0
2015-03-03,9.86,9.86,9.31,9.35,17800,0
2015-03-04,9.3,9.3,8.28,8.59,75600,0
2015-03-05,8.83,9.63,8.59,9.62,64600,0
2015-03-06,9.67,9.67,8.84,9.29,34600,0
2015-03-09,9.22,9.6,8.81,9.02,34000,0
2015-03-10,8.81,9.31,8.48,9.04,119700,0
2015-03-11,9.23,9.4,9.02,9.38,29600,0
2015-03-12,9.31,9.35,9.1,9.3,32300,0
2015-03-13,9.07,9.26,8.82,9.26,67400,0
2015-03-16,9.18,9.53,9.02,9.4,19800,0
2015-03-17,9.4,11.0,9.4,10.92,140800,0
2015-03-18,11.24,12.2,11.1,11.87,160100,0
2015-03-19,11.95,12.07,11.4,11.65,69000,0
2015-03-20,11.83,13.5,11.67,13.25,319700,0
2015-03-23,13.0,13.48,11.52,11.64,117200,0
2015-03-24,11.56,11.85,10.51,10.79,143100,0
2015-03-25,10.99,10.99,10.0,10.24,93400,0
2015-03-26,9.89,10.44,9.86,10.31,49500,0
2015-03-27,10.48,10.84,9.9,10.03,36800,0
2015-03-30,10.03,10.2,9.7,9.73,68400,0
2015-03-31,9.5,9.64,8.98,9.42,63200,0
2015-04-01,9.5,9.54,8.72,8.87,70000,0
2015-04-02,8.95,9.45,8.77,9.39,36200,0
2015-04-06,9.3,9.39,8.81,8.92,28500,0
2015-04-07,8.97,9.2,8.76,9.06,22662,0
2015-04-08,9.04,9.06,8.64,8.78,37700,0
2015-04-09,9.04,9.24,8.79,9.1,30077,0
2015-04-10,9.08,9.86,8.94,9.69,34500,0
2015-04-13,9.59,9.81,9.13,9.16,28400,0
2015-04-14,9.11,9.25,8.64,8.78,30900,0
2015-04-15,9.18,11.45,8.97,10.5,263112,0
2015-04-16,10.51,11.74,10.5,11.18,126998,0
2015-04-17,11.12,11.4,10.75,10.99,45700,0
2015-04-20,10.98,11.612,9.75,9.97,73844,0
2015-04-21,10.08,10.5,9.75,10.12,40483,0
2015-04-22,10.23,10.23,9.62,10.0,37893,0
2015-04-23,9.85,10.02,9.66,9.86,39500,0
2015-04-24,9.94,9.94,9.11,9.14,103800,0
2015-04-27,9.16,9.35,8.95,9.19,28600,0
2015-04-28,9.15,9.92,8.86,9.58,87500,0
2015-04-29,9.23,9.69,9.12,9.2,37200,0
2015-04-30,9.35,9.35,8.2,8.35,74700,0
2015-05-01,8.29,8.74,8.1,8.62,31500,0
2015-05-04,8.78,9.05,8.25,8.79,93900,0
