Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,15.45,15.5,14.87,15.5,34288,0
2015-01-05,15.34,15.34,14.46,14.94,21801,0
2015-01-06,15.07,15.23,14.25,14.43,19565,0
2015-01-07,14.1,14.34,13.6,13.99,42702,0
2015-01-08,13.63,14.11,13.6,13.95,15594,0
2015-01-09,13.58,14.5,13.58,14.02,22408,0
2015-01-12,13.94,13.98,13.56,13.65,16678,0
2015-01-13,13.55,13.94,13.44,13.91,29577,0
2015-01-14,14.5,14.87,13.56,14.19,53370,0
2015-01-15,14.17,14.47,13.17,13.74,63598,0
2015-01-16,13.65,14.59,13.6,14.4,42626,0
2015-01-20,14.45,14.58,13.86,14.11,9912,0
2015-01-21,14.1,14.1,13.32,13.63,60895,0
2015-01-22,13.76,14.16,13.23,13.8,53368,0
2015-01-23,13.76,14.35,13.75,13.94,36738,0
2015-01-26,14.01,14.48,13.83,14.45,28780,0
2015-01-27,14.45,14.45,14.08,14.34,79300,0
2015-01-28,14.36,14.46,13.8,14.04,54536,0
2015-01-29,14.04,14.25,13.94,14.14,26351,0
2015-01-30,14.0,14.28,13.79,13.88,30439,0
2015-02-02,13.94,14.06,13.24,13.3,45525,0
2015-02-03,13.28,14.31,13.28,14.0,47075,0
2015-02-04,14.0,14.41,13.78,14.11,35472,0
2015-02-05,14.07,14.5,13.99,14.48,44895,0
2015-02-06,14.32,14.69,14.15,14.3,28639,0
2015-02-09,14.48,14.7,14.11,14.15,22532,0
2015-02-10,14.19,14.19,13.75,13.96,37210,0
2015-02-11,14.03,14.79,14.03,14.26,16229,0
2015-02-12,14.72,14.72,14.25,14.4,32076,0
2015-02-13,14.6,14.6,14.33,14.37,15507,0
2015-02-17,14.54,14.54,14.01,14.21,36138,0
2015-02-18,14.11,14.31,14.05,14.21,31285,0
2015-02-19,14.07,14.53,14.01,14.17,30130,0
2015-02-20,14.19,14.48,14.03,14.25,37437,0
2015-02-23,14.26,14.55,14.2,14.3,34669,0
2015-02-24,14.4,14.71,14.2,14.67,109369,0
2015-02-25,14.75,15.21,14.67,14.92,236884,0
2015-02-26,14.72,16.2,14.72,15.73,695284,0
2015-02-27,15.7,16.89,15.53,16.69,369864,0
2015-03-02,17.01,17.76,17.01,17.52,299100,0
2015-03-03,17.5,17.96,17.23,17.81,136900,0
2015-03-04,17.78,17.98,17.53,17.64,41600,0
2015-03-05,17.59,18.5,17.59,18.46,45600,0
2015-03-06,18.57,18.64,18.21,18.31,103600,0
2015-03-09,18.28,18.28,17.51,17.78,84200,0
2015-03-10,17.8,18.11,17.74,17.78,55700,0
2015-03-11,17.78,18.03,17.35,18.02,56600,0
2015-03-12,18.27,18.77,17.83,17.85,148500,0
2015-03-13,18.04,18.32,17.31,17.39,187200,0
2015-03-16,17.65,17.99,17.65,17.89,34300,0
2015-03-17,17.86,18.33,17.86,18.3,49100,0
2015-03-18,18.02,18.19,17.88,17.95,280600,0
2015-03-19,18.09,18.09,17.6,17.8,140900,0
2015-03-20,17.8,17.98,17.62,17.81,100100,0
2015-03-23,17.76,17.9,17.63,17.84,93600,0
2015-03-24,17.45,18.39,17.45,18.02,102800,0
2015-03-25,18.0,18.0,17.26,17.54,116500,0
2015-03-26,17.35,18.59,17.19,18.5,331500,0
2015-03-27,19.12,21.11,19.09,21.07,2614100,0
2015-03-30,21.63,22.37,20.93,21.06,541300,0
2015-03-31,20.97,21.7,20.7,21.06,222700,0
2015-04-01,21.14,21.23,20.55,21.17,265100,0
2015-04-02,21.15,21.2,20.7,20.95,109800,0
2015-04-06,20.83,21.06,20.76,20.94,151900,0
2015-04-07,21.3,23.2,21.09,22.61,329158,0
2015-04-08,22.73,24.98,22.69,24.33,614600,0
2015-04-09,25.02,25.71,24.03,24.87,480159,0
2015-04-10,25.03,25.48,24.17,24.33,203300,0
2015-04-13,24.34,24.85,24.08,24.21,221700,0
2015-04-14,24.22,24.46,23.66,23.86,131800,0
2015-04-15,23.79,23.94,21.54,23.18,292100,0
2015-04-16,23.08,23.81,23.0,23.78,103839,0
2015-04-17,23.63,23.68,22.77,23.08,111600,0
2015-04-20,23.15,23.35,22.5,23.03,87339,0
2015-04-21,23.21,23.26,22.32,22.77,93143,0
2015-04-22,22.73,22.93,22.08,22.33,89926,0
2015-04-23,22.21,23.0,22.09,22.84,92100,0
2015-04-24,22.76,22.81,21.67,22.19,93600,0
2015-04-27,21.83,22.27,20.92,21.6,168500,0
2015-04-28,21.63,22.44,21.25,22.28,80700,0
2015-04-29,22.37,22.53,21.54,21.58,81400,0
2015-04-30,21.58,22.08,20.54,21.01,110800,0
2015-05-01,21.05,21.4,20.55,21.18,51500,0
2015-05-04,21.28,21.47,21.16,21.21,59400,0
2015-05-05,21.12,21.37,20.56,21.14,65000,0
2015-05-06,21.21,21.23,20.62,20.69,53534,0
2015-05-07,20.64,21.54,20.64,21.35,100509,0
2015-05-08,21.62,21.8,21.12,21.24,77600,0
2015-05-11,21.2,21.95,21.2,21.85,73000,0
2015-05-12,21.85,21.85,21.13,21.68,83474,0
2015-05-13,21.83,23.12,21.65,23.0,158400,0
2015-05-14,23.35,23.35,22.3,22.96,100100,0
2015-05-15,24.0,25.53,23.54,24.38,493253,0
2015-05-18,24.22,24.84,23.62,23.98,171569,0
2015-05-19,24.22,24.25,23.18,23.57,119900,0
2015-05-20,23.86,26.26,23.52,26.01,235400,0
2015-05-21,25.94,26.3,24.93,25.77,219400,0
2015-05-22,25.75,25.89,24.41,24.89,132900,0
2015-05-26,25.01,25.48,24.33,25.02,84672,0
2015-05-27,25.04,25.91,24.84,25.68,108400,0
2015-05-28,25.47,26.66,25.47,25.72,300748,0
2015-05-29,25.82,26.24,25.62,26.04,149900,0
2015-06-01,26.27,26.7,25.85,26.24,89600,0
2015-06-02,26.28,26.54,25.96,26.25,114725,0
2015-06-03,26.55,28.5,26.55,27.82,366600,0
2015-06-04,27.75,28.0,27.25,27.81,187400,0
2015-06-05,27.97,28.48,27.43,28.31,92800,0
2015-06-08,28.34,28.6,28.11,28.52,105200,0
2015-06-09,28.5,28.53,26.83,27.15,119380,0
2015-06-10,27.19,29.39,27.18,29.28,250556,0
2015-06-11,29.25,29.25,28.71,29.01,198537,0
2015-06-12,29.0,30.55,28.9,29.88,177100,0
2015-06-15,29.97,32.5,29.25,31.65,391200,0
2015-06-16,31.65,32.25,31.15,31.24,297500,0
2015-06-17,31.44,31.87,30.59,31.12,233600,0
2015-06-18,31.26,31.87,31.19,31.63,177800,0
2015-06-19,31.81,33.02,31.0,31.21,310100,0
2015-06-22,31.79,31.98,30.27,31.17,176000,0
2015-06-23,31.1,31.49,30.69,30.8,179915,0
2015-06-24,30.79,31.08,30.23,30.5,238100,0
2015-06-25,30.45,31.53,30.0,31.0,362100,0
2015-06-26,31.26,31.32,30.5,30.75,808300,0
2015-06-29,30.22,30.39,29.06,29.8,214700,0
2015-06-30,29.84,30.54,29.57,30.43,138356,0
2015-07-01,30.75,31.89,30.07,30.61,378300,0
2015-07-02,30.7,30.81,29.43,30.37,221000,0
2015-07-06,29.98,30.8,29.58,30.26,138600,0
2015-07-07,29.79,29.79,28.33,28.98,250700,0
2015-07-08,28.4,28.75,27.15,28.31,401800,0
2015-07-09,29.2,30.0,28.77,29.11,1667600,0
2015-07-10,29.39,31.76,29.27,31.3,446300,0
2015-07-13,31.71,33.05,31.62,32.82,416000,0
2015-07-14,32.98,33.5,30.89,33.4,800427,0
