Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,41.65,43.47,40.86,42.98,1362593,0
2015-01-05,43.92,44.55,40.37,40.86,2955708,0
2015-01-06,40.3,40.45,37.59,38.63,4257878,0
2015-01-07,39.18,39.505,37.142,37.46,1775717,0
2015-01-08,37.61,38.855,37.43,38.59,2178097,0
2015-01-09,38.95,40.28,37.82,40.0,1925387,0
2015-01-12,39.3,39.3,37.29,37.54,1451437,0
2015-01-13,37.77,38.21,35.75,36.48,2502669,0
2015-01-14,36.88,37.59,35.84,37.38,2185974,0
2015-01-15,38.44,38.48,35.0,35.13,2026501,0
2015-01-16,35.32,36.89,35.21,36.7,2112418,0
2015-01-20,36.59,37.065,35.82,36.87,2142888,0
2015-01-21,37.1,38.74,37.1,38.71,1850009,0
2015-01-22,39.1,39.55,38.12,38.59,2161208,0
2015-01-23,38.29,39.66,38.12,39.29,1394611,0
2015-01-26,39.58,40.24,38.36,39.295,1081576,0
2015-01-27,40.622,40.622,38.49,39.365,1265912,0
2015-01-28,39.01,39.01,37.06,37.54,1764707,0
2015-01-29,37.49,38.49,36.99,37.99,2169133,0
2015-01-30,37.42,38.98,36.85,38.49,1456714,0
2015-02-02,39.22,39.93,38.31,39.51,1662611,0
2015-02-03,40.29,42.0,40.05,40.515,2279952,0
2015-02-04,39.16,40.63,38.69,39.17,1718222,0
2015-02-05,39.83,41.6,39.83,40.925,1649950,0
2015-02-06,41.63,42.35,40.6,41.94,1823017,0
2015-02-09,42.11,42.9,41.35,41.47,1327823,0
2015-02-10,41.49,42.01,40.38,41.955,1380478,0
2015-02-11,40.97,42.75,40.13,42.51,1652933,0
2015-02-12,43.09,45.54,42.86,43.52,2452337,0
2015-02-13,44.34,44.66,43.02,43.74,1647743,0
2015-02-17,43.57,44.92,42.53,44.76,1208041,0
2015-02-18,44.21,45.25,43.72,44.02,1133071,0
2015-02-19,42.54,44.2,42.07,43.61,1288063,0
2015-02-20,43.73,44.48,42.76,43.01,891892,0
2015-02-23,42.46,43.74,41.68,43.075,1185846,0
2015-02-24,43.46,44.27,42.5,44.04,1495585,0
2015-02-25,43.3,45.01,43.3,44.09,1745891,0
2015-02-26,47.75,48.0,43.19,45.655,4291383,0
2015-02-27,46.27,46.6,45.48,45.81,2385689,0
2015-03-02,45.61,46.41,45.07,45.53,1465200,0
2015-03-03,45.6,46.77,45.39,45.92,1657000,0
2015-03-04,46.12,46.54,45.25,46.37,1068600,0
2015-03-05,46.28,46.61,45.72,45.89,695200,0
2015-03-06,45.32,46.3,45.06,45.47,1166800,0
2015-03-09,44.83,45.33,43.12,43.22,1655400,0
2015-03-10,42.66,43.42,42.25,42.28,2129900,0
2015-03-11,42.5,44.6,42.02,44.53,1493500,0
2015-03-12,44.94,45.74,44.71,44.88,2016000,0
2015-03-13,44.43,45.2,43.58,43.95,1441900,0
2015-03-16,44.73,45.95,43.74,45.63,1308100,0
2015-03-17,45.21,47.03,45.1,46.49,1120600,0
2015-03-18,45.98,48.6,45.46,48.34,2008100,0
2015-03-19,46.78,47.91,45.55,46.01,1752800,0
2015-03-20,46.35,47.32,45.85,46.11,1839400,0
2015-03-23,45.99,46.44,44.15,44.19,1751700,0
2015-03-24,44.14,45.57,44.03,45.18,1236400,0
2015-03-25,45.47,46.07,44.45,45.85,1325700,0
2015-03-26,46.41,47.11,45.28,45.38,967800,0
2015-03-27,45.23,45.27,44.01,44.65,1327900,0
2015-03-30,45.14,46.46,44.92,46.18,1502300,0
2015-03-31,45.9,46.72,45.5,45.91,950267,0
2015-04-01,46.03,47.01,45.5,46.3,1310900,0
2015-04-02,46.22,47.37,45.79,47.22,1394200,0
2015-04-06,47.47,47.83,46.54,46.83,1649800,0
2015-04-07,47.04,47.75,46.54,46.94,1368295,0
2015-04-08,47.25,47.25,45.87,46.29,1157300,0
2015-04-09,46.56,47.28,46.16,46.845,1308908,0
2015-04-10,47.01,47.58,46.56,47.39,798000,0
2015-04-13,47.59,47.63,46.92,47.47,872000,0
2015-04-14,47.77,48.66,47.53,48.57,960400,0
2015-04-15,48.6,50.31,48.19,50.09,1362715,0
2015-04-16,48.99,51.6,48.51,51.5,9435082,0
2015-04-17,50.95,52.28,50.0,50.77,2130500,0
