Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,34.22,34.66,33.19,34.27,311804,0
2015-01-05,33.8,34.07,31.77,31.92,485747,0
2015-01-06,31.88,32.16,29.95,30.53,638993,0
2015-01-07,30.82,31.73,30.35,30.99,487750,0
2015-01-08,31.08,31.61,30.19,30.96,457071,0
2015-01-09,30.92,31.29,30.11,30.11,371261,0
2015-01-12,29.98,29.98,28.24,29.1,505199,0
2015-01-13,29.41,29.79,28.18,28.48,600526,0
2015-01-14,28.08,28.74,27.336,27.98,846460,0
2015-01-15,28.2,28.34,27.36,27.895,603972,0
2015-01-16,27.79,29.04,27.527,28.96,515675,0
2015-01-20,28.96,29.274,27.82,28.25,398713,0
2015-01-21,28.24,29.6,28.19,29.51,491511,0
2015-01-22,29.55,29.85,28.9,29.32,332111,0
2015-01-23,29.28,29.83,28.63,29.19,374906,0
2015-01-26,29.19,30.01,28.9,29.68,339185,0
2015-01-27,29.42,29.96,29.14,29.57,279679,0
2015-01-28,30.09,30.09,27.89,28.07,390511,0
2015-01-29,28.16,29.19,27.54,29.02,319296,0
2015-01-30,28.8,29.3,28.1,28.5,294219,0
2015-02-02,28.74,29.16,28.51,29.01,722090,0
2015-02-03,29.31,32.13,29.31,31.47,1016650,0
2015-02-04,31.24,31.84,29.82,30.02,626503,0
2015-02-05,30.17,31.35,30.03,30.79,952467,0
2015-02-06,30.74,31.38,30.215,30.44,547794,0
2015-02-09,30.5,32.92,30.41,32.82,441130,0
2015-02-10,33.07,33.44,29.455,29.62,618159,0
2015-02-11,29.26,30.15,27.9,29.91,477890,0
2015-02-12,30.33,31.09,30.33,30.75,376789,0
2015-02-13,30.9,32.84,30.9,32.02,577715,0
2015-02-17,31.5,32.16,31.2,31.77,425242,0
2015-02-18,31.65,33.35,31.6,32.17,348498,0
2015-02-19,31.71,32.46,31.139,32.4,426101,0
2015-02-20,32.27,32.73,30.64,31.07,580383,0
2015-02-23,31.05,31.79,30.41,31.37,565095,0
2015-02-24,31.5,38.28,31.44,34.79,3155005,0
2015-02-25,34.09,34.89,33.34,34.01,768411,0
2015-02-26,34.01,35.015,33.7,34.85,608370,0
2015-02-27,34.76,35.77,34.502,34.94,718427,0
2015-03-02,35.06,35.78,34.31,35.62,481300,0
2015-03-03,36.65,39.93,36.65,37.23,1004700,0
2015-03-04,37.09,37.34,35.18,35.88,598900,0
2015-03-05,35.84,36.77,35.31,36.63,433600,0
2015-03-06,36.56,36.74,35.26,35.47,380600,0
2015-03-09,35.59,35.88,34.43,34.49,261900,0
2015-03-10,34.05,34.61,33.36,33.82,430000,0
2015-03-11,33.99,35.09,33.55,35.02,457500,0
2015-03-12,35.31,35.49,33.89,34.23,332500,0
2015-03-13,33.81,34.05,33.08,33.5,304900,0
2015-03-16,33.67,33.67,32.45,33.0,354300,0
2015-03-17,32.76,33.5,32.57,33.41,263500,0
2015-03-18,33.16,35.65,32.71,35.61,535400,0
2015-03-19,35.32,35.48,33.78,33.9,295600,0
2015-03-20,34.16,34.91,34.05,34.33,407800,0
2015-03-23,34.23,34.86,34.01,34.19,331700,0
2015-03-24,34.26,34.73,33.37,34.64,280800,0
2015-03-25,34.83,34.89,34.2,34.56,265000,0
2015-03-26,34.75,35.44,33.67,34.5,332800,0
2015-03-27,34.4,34.4,33.5,33.85,294900,0
2015-03-30,34.1,35.38,34.03,35.14,364000,0
2015-03-31,34.8,35.47,34.27,35.075,248115,0
2015-04-01,34.98,36.32,34.68,36.28,522400,0
2015-04-02,36.19,39.18,36.17,37.94,714000,0
2015-04-06,37.79,39.07,37.66,38.99,427100,0
2015-04-07,38.75,39.75,38.45,39.29,382228,0
2015-04-08,39.73,40.67,39.31,40.38,582000,0
2015-04-09,40.52,40.89,39.08,40.06,377068,0
2015-04-10,40.17,40.28,38.93,39.29,310000,0
2015-04-13,39.26,39.63,38.75,38.81,305100,0
2015-04-14,38.97,40.83,38.36,40.6,358300,0
2015-04-15,41.02,44.12,41.0,43.19,667324,0
2015-04-16,42.77,43.138,41.08,42.17,461839,0
2015-04-17,41.52,41.94,40.27,41.13,385900,0
2015-04-20,41.46,42.365,40.6,42.205,301292,0
2015-04-21,42.09,42.09,39.71,40.175,426802,0
2015-04-22,40.27,40.942,39.225,40.68,257139,0
2015-04-23,40.7,41.26,40.27,40.94,189300,0
2015-04-24,40.96,41.48,39.74,41.02,296607,0
2015-04-27,41.0,42.04,40.32,41.72,402200,0
