Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,8.4469,8.5718,8.2742,8.351,90126,0
2015-01-05,8.3317,8.471,8.2071,8.2167,112956,0
2015-01-06,8.1974,8.2646,7.9575,8.0727,91288,0
2015-01-07,8.1014,8.3221,7.9671,8.0343,101048,0
2015-01-08,8.1014,8.255,8.0727,8.1494,72565,0
2015-01-09,8.1494,8.2358,7.871,8.015,51613,0
2015-01-12,8.0055,8.2455,7.9575,8.1302,145849,0
2015-01-13,8.2071,8.5333,8.0438,8.1782,97094,0
2015-01-14,8.1014,8.2185,7.8902,7.9479,71762,0
2015-01-15,7.9575,8.0534,7.6502,7.6695,72584,0
2015-01-16,7.6406,7.9286,7.6406,7.7558,119048,0
2015-01-20,7.7271,7.9286,7.6023,7.6598,58650,0
2015-01-21,7.6214,7.6598,7.3797,7.4198,55239,0
2015-01-22,7.4198,7.6695,7.3623,7.583,66733,0
2015-01-23,7.631,7.6676,7.5158,7.5639,63700,0
2015-01-26,7.5063,7.5063,7.2759,7.2855,62121,0
2015-01-27,7.1031,7.3623,7.0169,7.2951,99709,0
2015-01-28,7.3143,7.3421,7.1703,7.2951,111605,0
2015-01-29,7.3335,7.4871,7.2759,7.4776,36270,0
2015-01-30,7.583,7.583,7.2183,7.2759,101222,0
2015-02-02,7.2759,7.5447,7.1608,7.5158,67944,0
2015-02-03,7.5639,7.7175,7.5639,7.631,50741,0
2015-02-04,7.5735,7.6695,7.5351,7.5351,23252,0
2015-02-05,7.5447,7.9095,7.5063,7.8806,41581,0
2015-02-06,7.919,7.9383,7.6118,7.6502,67847,0
2015-02-09,7.6023,7.6984,7.5351,7.5542,46835,0
2015-02-10,7.5927,7.7655,7.5063,7.6888,38252,0
2015-02-11,7.6406,7.8038,7.6023,7.6502,106114,0
2015-02-12,7.7463,7.9095,7.6791,7.7943,48754,0
2015-02-13,7.7368,7.8806,7.6695,7.823,45090,0
2015-02-17,7.8038,7.9958,7.7582,7.823,28666,0
2015-02-18,7.823,7.9189,7.7079,7.8327,33158,0
2015-02-19,7.7751,7.8134,7.6598,7.6695,24019,0
2015-02-20,7.6888,7.6984,7.5542,7.6118,52056,0
2015-02-23,7.631,7.6495,7.5351,7.5542,40650,0
2015-02-24,7.5542,7.6598,7.4968,7.6118,45879,0
2015-02-25,7.7751,8.706,7.7751,8.6581,124961,0
2015-02-26,8.5718,8.9364,8.5333,8.8597,44073,0
2015-02-27,8.879,8.879,8.4182,8.4567,105192,0
2015-03-02,8.4758,8.5526,8.2262,8.4567,189815,0
2015-03-03,8.5526,8.5526,8.303,8.3703,35838,0
2015-03-04,8.3606,8.6774,8.303,8.6197,94803,0
2015-03-05,8.6389,8.8309,8.5622,8.7158,86781,0
2015-03-06,8.6485,8.8022,8.6294,8.7349,52403,0
2015-03-09,8.7349,8.879,8.706,8.7445,55214,0
2015-03-10,8.5718,8.8405,8.3221,8.6102,60736,0
2015-03-11,8.6869,8.8022,8.4949,8.5718,46673,0
2015-03-12,8.591,8.6774,8.4182,8.6102,49381,0
2015-03-13,8.4662,8.6102,8.3798,8.4567,35317,0
2015-03-16,8.2071,8.5047,8.2071,8.4469,34797,0
2015-03-17,8.4277,8.4469,8.351,8.4277,44901,0
2015-03-18,8.3703,8.4469,7.9863,8.4182,59591,0
2015-03-19,8.3415,8.4374,8.3415,8.3989,35942,0
2015-03-20,8.3989,8.4758,8.3221,8.351,119806,0
2015-03-23,8.3415,8.3989,8.1974,8.255,103242,0
2015-03-24,8.6294,8.6294,8.3221,8.5047,32712,0
2015-03-25,8.4758,8.5815,8.2262,8.2358,86364,0
2015-03-26,8.1782,8.3317,8.1782,8.255,75321,0
2015-03-27,8.255,8.5047,8.255,8.351,114181,0
2015-03-30,8.4182,8.6006,8.4182,8.5815,46151,0
2015-03-31,8.4469,8.6294,8.4374,8.5815,24789,0
2015-04-01,8.5333,9.0037,8.5333,8.9845,174501,0
2015-04-02,9.0614,9.1958,8.8309,8.9076,92928,0
2015-04-06,8.8981,8.9269,8.6197,8.8309,116474,0
2015-04-07,8.783,8.9461,8.6581,8.706,49347,0
2015-04-08,8.7733,8.8885,8.6677,8.7925,40421,0
2015-04-09,8.8214,8.8214,8.4949,8.5237,60965,0
2015-04-10,8.5047,8.6389,8.4182,8.4949,47506,0
2015-04-13,8.3894,8.543,8.3126,8.5333,66675,0
2015-04-14,8.5237,8.6197,8.4854,8.5815,21149,0
2015-04-15,8.6294,8.9173,8.5718,8.8885,44348,0
2015-04-16,8.9461,9.0805,8.8405,8.9269,48491,0
2015-04-17,8.8309,8.9845,8.7158,8.8405,92720,0
2015-04-20,8.9749,9.857,8.9653,9.4165,247430,0
2015-04-21,9.541,9.676,9.4462,9.541,92935,0
2015-04-22,9.599,9.705,9.4928,9.561,87114,0
2015-04-23,9.541,9.541,9.253,9.503,65529,0
2015-04-24,9.541,9.541,9.1668,9.3494,39525,0
2015-04-27,9.3494,9.666,9.3494,9.4928,80844,0
2015-04-28,9.465,9.685,9.4551,9.637,49856,0
2015-04-29,9.589,9.647,9.3681,9.4928,47818,0
2015-04-30,9.4749,9.581,9.1477,9.2152,106367,0
2015-05-01,9.1477,9.4749,9.1477,9.4551,64696,0
