Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,37.453,38.147,37.353,37.935,2606440,0
2015-01-05,37.708,38.425,37.699,38.315,4666756,0
2015-01-06,38.511,39.271,38.483,39.044,5950869,0
2015-01-07,39.248,40.026,38.993,39.874,4613762,0
2015-01-08,40.034,40.321,39.129,39.339,7026569,0
2015-01-09,39.382,39.686,38.857,39.382,4070962,0
2015-01-12,39.544,40.118,39.458,40.007,3147008,0
2015-01-13,40.125,40.379,39.787,39.932,3517746,0
2015-01-14,39.713,40.432,39.558,40.379,4264815,0
2015-01-15,40.432,40.928,40.084,40.735,4484227,0
2015-01-16,40.787,41.049,40.432,40.778,4087480,0
2015-01-20,41.92,41.963,40.566,40.743,5209580,0
2015-01-21,40.641,40.641,39.846,40.161,5014522,0
2015-01-22,40.388,40.7,40.042,40.623,4781517,0
2015-01-23,40.846,40.974,40.5,40.729,4194873,0
2015-01-26,40.522,40.729,40.227,40.677,3179177,0
2015-01-27,40.532,40.811,40.481,40.566,2370124,0
2015-01-28,40.7,41.117,40.473,40.5,3445467,0
2015-01-29,40.573,40.787,40.302,40.558,3376526,0
2015-01-30,40.751,40.846,39.941,39.999,7657386,0
2015-02-02,39.974,39.99,39.034,39.905,3732370,0
2015-02-03,39.882,40.007,39.145,39.593,3747807,0
2015-02-04,39.347,39.364,38.315,38.367,6687467,0
2015-02-05,38.509,38.739,38.114,38.714,4321261,0
2015-02-06,38.789,38.789,37.359,37.531,5374318,0
2015-02-09,37.531,37.807,37.353,37.376,3346530,0
2015-02-10,36.837,36.914,35.588,36.557,10241372,0
2015-02-11,36.726,37.069,36.229,36.479,4514741,0
2015-02-12,36.537,36.788,36.332,36.547,3761314,0
2015-02-13,36.58,36.744,36.222,36.719,3838677,0
2015-02-17,36.865,37.335,36.606,36.813,3975162,0
2015-02-18,36.881,37.299,36.469,37.299,3298670,0
2015-02-19,37.291,37.299,36.709,36.797,3268182,0
2015-02-20,36.881,37.299,36.788,37.223,5373904,0
2015-02-23,37.164,37.463,37.042,37.455,4119845,0
2015-02-24,37.059,37.137,36.014,36.109,6196473,0
2015-02-25,36.248,36.597,35.862,36.229,3938649,0
2015-02-26,36.248,36.248,35.674,35.783,3575720,0
2015-02-27,35.862,36.308,35.597,36.282,2990355,0
2015-03-02,36.426,36.693,36.058,36.127,3340944,0
2015-03-03,36.032,36.263,35.783,36.163,2589277,0
