Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,37.83,38.18,37.1,37.58,941387,0
2015-01-05,36.5,36.98,32.33,33.0,3988925,0
2015-01-06,33.01,33.02,29.43,30.42,6573119,0
2015-01-07,29.87,32.25,27.6,31.72,6412123,0
2015-01-08,32.0,34.3,31.8,34.25,3531174,0
2015-01-09,34.0,34.0,31.7,33.32,2883153,0
2015-01-12,33.04,33.66,32.5,32.73,1606389,0
2015-01-13,32.0,33.21,31.26,31.69,1182448,0
2015-01-14,31.32,31.46,30.61,31.01,1173957,0
2015-01-15,31.24,31.8,30.75,30.77,764841,0
2015-01-16,30.82,31.64,30.6,31.24,7109837,0
2015-01-20,31.22,31.48,29.27,29.7,2281335,0
2015-01-21,29.67,30.7,29.59,30.26,1982670,0
2015-01-22,30.54,31.35,30.13,31.33,1336177,0
2015-01-23,31.15,32.7,30.5,30.54,2671704,0
2015-01-26,30.96,31.45,30.29,31.05,1151565,0
2015-01-27,30.65,31.8,30.5,31.38,924921,0
2015-01-28,31.8,31.8,30.61,30.75,1173897,0
2015-01-29,30.75,31.3,30.5,31.24,945290,0
2015-01-30,31.09,31.59,30.4,30.48,1500606,0
2015-02-02,30.38,31.98,30.02,31.96,1694660,0
2015-02-03,31.98,33.15,31.78,32.6,1549333,0
2015-02-04,32.5,32.94,32.32,32.63,1204533,0
2015-02-05,32.82,33.95,32.54,32.98,1823985,0
2015-02-06,32.93,33.41,32.46,32.73,867167,0
2015-02-09,32.73,35.19,32.72,35.15,1653074,0
2015-02-10,35.6,35.63,33.76,34.15,1764128,0
2015-02-11,34.48,36.75,34.2,34.82,1564276,0
2015-02-12,35.0,35.35,33.52,33.62,1507994,0
2015-02-13,33.67,34.58,32.54,32.78,2411222,0
2015-02-17,32.96,34.9,32.5,34.59,2318847,0
2015-02-18,34.09,34.49,33.35,33.42,1257349,0
2015-02-19,33.42,34.65,33.38,33.87,1101384,0
2015-02-20,33.81,35.5,33.81,35.4,1600551,0
2015-02-23,35.45,35.54,34.03,34.1,1348389,0
2015-02-24,34.0,34.43,32.81,32.86,1795224,0
2015-02-25,32.9,33.7,32.65,33.66,1891034,0
2015-02-26,33.71,35.09,32.98,34.82,4153312,0
2015-02-27,34.38,35.49,31.01,31.01,10650327,0
2015-03-02,30.73,31.61,30.38,30.44,2943600,0
2015-03-03,30.4,31.5,30.27,31.24,1741200,0
2015-03-04,31.03,31.68,30.32,31.45,1879100,0
2015-03-05,31.3,31.93,30.5,31.79,2231300,0
2015-03-06,31.86,33.15,31.85,32.69,3713400,0
2015-03-09,32.87,33.17,32.62,33.06,1839600,0
2015-03-10,32.96,33.24,32.45,33.02,1347900,0
2015-03-11,32.93,33.19,32.8,33.1,1307400,0
2015-03-12,33.3,36.233,32.97,35.84,1553110,0
2015-03-13,35.13,38.35,34.59,34.61,10125397,0
2015-03-16,35.3,35.79,34.07,34.2,2365000,0
2015-03-17,34.2,34.58,33.33,34.43,1270100,0
2015-03-18,35.79,39.28,34.83,38.76,6764800,0
2015-03-19,38.62,38.75,37.45,37.94,1922800,0
2015-03-20,38.18,42.24,37.93,42.1,6264200,0
2015-03-23,42.1,48.55,41.98,44.99,11363200,0
2015-03-24,45.46,46.2,41.25,41.25,4758500,0
2015-03-25,41.45,42.18,40.72,41.39,2919600,0
2015-03-26,41.62,42.72,41.16,41.86,2023700,0
2015-03-27,41.98,44.74,41.62,43.17,2056300,0
2015-03-30,43.55,44.2,42.56,42.72,1637100,0
2015-03-31,42.5,43.23,41.5,42.76,1288566,0
2015-04-01,42.68,42.91,41.98,42.47,896700,0
2015-04-02,42.86,43.29,42.3,42.91,1106600,0
2015-04-06,41.04,43.74,40.99,43.34,3049700,0
2015-04-07,43.35,44.24,42.71,43.91,1441863,0
2015-04-08,44.16,44.49,42.75,42.75,2210600,0
2015-04-09,42.77,45.59,42.63,44.69,2909148,0
2015-04-10,44.62,45.55,43.67,43.83,1703200,0
2015-04-13,44.14,44.14,42.77,42.84,1795500,0
2015-04-14,42.71,43.32,42.46,43.1,1295400,0
2015-04-15,43.82,44.74,43.24,44.25,2229547,0
2015-04-16,44.14,44.92,43.81,44.55,1891224,0
2015-04-17,44.6,44.93,44.23,44.67,2755400,0
2015-04-20,44.57,45.58,44.15,45.37,1310260,0
2015-04-21,45.4,46.78,45.17,46.76,1862943,0
2015-04-22,46.74,47.85,46.25,46.63,2834412,0
2015-04-23,47.2,47.4,44.76,44.85,3123000,0
2015-04-24,45.05,45.27,40.41,41.1,5045393,0
2015-04-27,41.4,42.94,41.15,42.1,1624900,0
2015-04-28,42.08,42.88,41.95,42.75,1204500,0
2015-04-29,42.57,42.85,42.03,42.31,657100,0
2015-04-30,42.1,42.74,41.31,41.52,1463400,0
2015-05-01,41.68,42.12,41.11,41.62,902700,0
2015-05-04,41.62,42.4,41.45,42.07,1176100,0
2015-05-05,41.91,42.57,39.51,40.09,3847900,0
2015-05-06,45.9,48.89,45.75,46.69,8065912,0
2015-05-07,46.17,48.05,46.1,47.8,2565810,0
2015-05-08,48.05,48.18,47.01,47.56,1486100,0
2015-05-11,47.56,47.99,46.66,46.66,2013800,0
2015-05-12,46.56,46.9,45.72,45.92,1317269,0
2015-05-13,46.01,46.55,45.54,46.47,1086300,0
2015-05-14,46.68,46.81,46.31,46.4,1521600,0
2015-05-15,46.86,47.92,46.51,47.35,1298705,0
2015-05-18,47.0,47.93,47.0,47.68,1640411,0
2015-05-19,47.68,51.25,47.51,51.25,3591886,0
2015-05-20,51.14,53.0,50.88,51.5,3005400,0
2015-05-21,51.21,52.39,51.16,51.3,1142200,0
2015-05-22,51.56,52.2,50.7,51.53,1105500,0
2015-05-26,51.14,51.62,50.67,51.08,1128869,0
2015-05-27,51.19,52.06,50.75,51.35,922400,0
2015-05-28,51.02,51.95,51.02,51.72,723820,0
2015-05-29,51.6,52.3,51.06,52.03,1010700,0
2015-06-01,52.02,52.38,51.03,52.22,1102131,0
2015-06-02,52.11,53.47,51.95,53.11,1902751,0
2015-06-03,53.15,53.65,52.51,53.05,975300,0
2015-06-04,52.5,54.8,52.5,53.55,1960800,0
2015-06-05,53.33,53.82,52.66,53.17,1048600,0
2015-06-08,52.89,53.2,52.33,52.6,1302300,0
2015-06-09,52.88,53.1,52.15,52.39,1336893,0
2015-06-10,52.98,52.98,52.21,52.58,1525912,0
2015-06-11,52.75,52.93,52.4,52.57,1289947,0
2015-06-12,52.2,52.63,52.2,52.5,829400,0
2015-06-15,52.45,53.58,52.2,53.21,758900,0
2015-06-16,53.64,53.64,52.4,53.02,1120100,0
2015-06-17,53.05,54.36,53.0,54.07,1178400,0
2015-06-18,54.25,54.37,53.62,53.63,1227300,0
2015-06-19,53.68,54.79,53.61,53.75,1704000,0
2015-06-22,54.08,54.22,53.84,53.96,546500,0
2015-06-23,53.83,54.7,53.61,53.84,913125,0
2015-06-24,53.8,54.12,53.66,53.98,1311300,0
2015-06-25,54.37,55.86,54.11,55.05,2447400,0
2015-06-26,54.58,54.74,53.51,53.75,2069400,0
2015-06-29,53.52,54.98,53.08,54.41,928800,0
2015-06-30,54.72,55.53,54.57,55.09,1195089,0
2015-07-01,55.35,55.7,55.13,55.54,933500,0
2015-07-02,55.54,55.85,55.35,55.65,940800,0
2015-07-06,55.21,55.66,53.39,53.58,3345900,0
2015-07-07,53.77,53.92,51.06,52.54,3320200,0
2015-07-08,52.35,52.35,50.17,50.3,1480800,0
2015-07-09,50.49,51.45,50.05,50.24,1210400,0
2015-07-10,51.19,51.92,50.73,51.41,819300,0
2015-07-13,51.99,53.61,51.52,53.17,955600,0
2015-07-14,53.04,53.51,52.77,53.16,673735,0
2015-07-15,53.44,53.45,52.27,52.74,570990,0
2015-07-16,52.89,54.23,52.77,53.58,1351200,0
2015-07-17,53.51,53.89,53.02,53.89,925300,0
2015-07-20,53.98,54.05,52.02,52.13,823800,0
2015-07-21,52.38,53.24,50.89,51.39,947000,0
2015-07-22,51.34,51.45,50.86,51.05,810400,0
2015-07-23,51.08,51.59,50.59,51.37,724500,0
2015-07-24,51.61,51.61,48.73,48.97,1231300,0
2015-07-27,48.56,48.68,47.17,48.36,1725900,0
2015-07-28,48.63,50.89,48.47,50.57,910200,0
2015-07-29,50.57,54.11,50.29,51.89,2120100,0
2015-07-30,51.69,52.14,50.86,51.07,1234000,0
2015-07-31,51.41,51.7,50.37,50.49,1454600,0
2015-08-03,50.4,50.88,49.3,49.79,1577669,0
2015-08-04,49.95,50.5,49.35,50.3,991500,0
2015-08-05,50.56,51.73,49.0,49.1,2076200,0
2015-08-06,53.41,59.47,53.41,57.56,6655490,0
2015-08-07,57.61,61.19,57.33,59.68,5099100,0
2015-08-10,59.84,61.95,59.55,60.77,2065300,0
2015-08-11,60.25,61.0,58.48,59.7,1678915,0
2015-08-12,59.13,60.59,59.0,60.3,1446000,0
2015-08-13,59.84,60.7,59.4,60.1,692200,0
2015-08-14,59.84,60.26,59.16,59.43,677300,0
2015-08-17,59.32,60.21,59.01,59.51,669400,0
2015-08-18,59.51,59.51,58.68,59.08,562300,0
2015-08-19,58.78,59.39,58.0,58.25,1434400,0
2015-08-20,58.21,58.5,57.5,57.56,1079200,0
2015-08-21,56.8,57.62,56.33,56.81,1488300,0
2015-08-24,54.41,55.65,53.34,54.2,1602061,0
2015-08-25,55.56,56.69,53.92,53.96,1891200,0
2015-08-26,54.95,54.99,52.19,53.33,1147400,0
2015-08-27,54.04,58.34,54.04,57.63,1481900,0
2015-08-28,57.48,57.9,56.87,57.33,505700,0
2015-08-31,57.15,57.87,56.74,57.57,525300,0
2015-09-01,56.7,56.9,54.51,55.22,940500,0
2015-09-02,55.7,57.18,55.62,56.61,910800,0
2015-09-03,57.0,57.75,56.46,57.12,842300,0
2015-09-04,56.55,57.4,55.95,56.55,635600,0
2015-09-08,57.33,57.48,55.33,56.41,1145800,0
2015-09-09,57.03,57.73,55.05,55.57,1120400,0
2015-09-10,55.21,57.15,55.11,56.2,637912,0
2015-09-11,55.84,56.18,55.29,56.02,623400,0
2015-09-14,56.36,56.39,55.57,56.27,516300,0
2015-09-15,56.2,57.49,55.88,56.33,710900,0
2015-09-16,56.44,57.66,56.42,57.5,670400,0
2015-09-17,57.34,58.73,56.77,57.58,1169907,0
2015-09-18,57.3,57.96,56.67,56.79,1217800,0
2015-09-21,56.85,58.4,56.64,57.15,630500,0
2015-09-22,56.5,56.6,55.48,56.57,1074700,0
2015-09-23,56.7,56.85,55.09,55.31,898600,0
2015-09-24,55.26,55.3,53.01,54.07,1068759,0
2015-09-25,53.88,54.64,53.1,53.55,578800,0
2015-09-28,53.56,53.64,51.33,51.52,909891,0
2015-09-29,51.4,55.39,51.1,54.48,1532500,0
2015-09-30,55.0,55.73,53.78,54.5,1377400,0
2015-10-01,54.81,55.25,53.7,54.14,870900,0
2015-10-02,53.78,55.73,53.44,55.72,962900,0
2015-10-05,56.13,59.29,55.92,59.11,1970369,0
2015-10-06,58.69,59.46,57.66,58.28,857100,0
2015-10-07,56.87,57.45,52.25,53.99,2583000,0
2015-10-08,53.98,56.24,53.77,55.65,992600,0
2015-10-09,56.0,56.5,54.9,54.93,839100,0
2015-10-12,54.89,54.95,53.86,54.65,611152,0
2015-10-13,54.45,56.41,54.14,55.22,669500,0
2015-10-14,55.0,56.25,55.0,55.66,683800,0
2015-10-15,55.68,56.05,54.4,55.68,583300,0
2015-10-16,55.78,55.99,54.88,55.74,447900,0
2015-10-19,55.44,56.75,55.28,55.88,516683,0
2015-10-20,55.65,57.36,55.361,55.56,685902,0
2015-10-21,55.79,57.83,54.66,54.81,1700300,0
2015-10-22,55.08,56.63,54.3,54.98,1250600,0
2015-10-23,55.31,55.52,54.43,55.0,872700,0
2015-10-26,55.0,55.67,54.7,54.77,864100,0
2015-10-27,54.5,54.98,52.61,53.42,1180000,0
2015-10-28,53.44,54.8,52.57,54.69,823700,0
2015-10-29,54.34,55.22,53.56,53.63,722600,0
2015-10-30,53.52,56.75,53.52,56.04,1816000,0
2015-11-02,56.14,57.3,56.14,56.91,1244964,0
2015-11-03,56.7,57.99,55.4,57.85,2221700,0
2015-11-04,56.65,58.98,54.27,55.92,2515377,0
2015-11-05,55.45,59.5,55.38,57.47,2534800,0
2015-11-06,57.92,58.01,54.65,55.06,1500400,0
2015-11-09,54.91,56.12,54.56,55.43,721778,0
2015-11-10,55.14,56.08,55.09,55.17,731300,0
2015-11-11,55.45,55.58,53.96,54.85,1003900,0
2015-11-12,54.53,55.64,54.1,54.21,880700,0
2015-11-13,54.12,55.11,53.66,53.89,985400,0
2015-11-16,53.89,55.37,53.76,55.25,717700,0
2015-11-17,55.0,55.99,51.77,54.43,4584100,0
2015-11-18,54.43,57.12,54.4,57.02,1781200,0
2015-11-19,57.0,57.49,56.22,56.49,821200,0
2015-11-20,56.8,57.31,56.23,56.73,1082600,0
2015-11-23,56.58,58.49,56.58,57.82,1026800,0
2015-11-24,57.8,58.55,57.46,58.13,1072300,0
2015-11-25,58.0,59.25,57.92,58.19,873900,0
2015-11-27,58.15,58.82,57.75,57.98,387700,0
2015-11-30,57.98,58.81,57.12,57.73,997700,0
2015-12-01,57.9,58.35,57.47,57.81,880492,0
2015-12-02,58.2,58.33,56.66,56.97,879716,0
2015-12-03,57.45,57.5,56.06,56.49,649045,0
2015-12-04,56.66,56.91,55.84,56.24,762600,0
2015-12-07,55.95,56.92,55.29,55.6,622600,0
2015-12-08,55.37,55.95,54.61,55.8,703554,0
2015-12-09,55.85,56.84,55.32,55.45,570000,0
2015-12-10,55.44,55.63,54.95,55.37,484400,0
2015-12-11,54.95,55.38,53.55,54.11,1015400,0
2015-12-14,54.05,54.75,52.91,54.14,737504,0
