Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,1.8331,1.8813,1.7848,1.8717,3126550,0
2015-01-05,1.9102,2.0356,1.891,2.0356,4561296,0
2015-01-06,2.1128,2.2768,2.1128,2.248,7230524,0
2015-01-07,2.19,2.3154,2.19,2.248,5476828,0
2015-01-08,2.2768,2.3734,2.2383,2.2673,3995810,0
2015-01-09,2.3154,2.518,2.3058,2.489,5655135,0
2015-01-12,2.5084,2.7785,2.5084,2.7592,6907303,0
2015-01-13,2.7882,2.8075,2.6146,2.6338,6266610,0
2015-01-14,2.6724,2.7014,2.5373,2.6049,4613820,0
2015-01-15,2.74,2.846,2.6917,2.8364,5699223,0
2015-01-16,2.846,2.9812,2.817,2.9039,5278547,0
2015-01-20,2.9329,2.9812,2.8943,2.9619,3690392,0
2015-01-21,3.0197,3.0487,2.9039,3.0101,4925838,0
2015-01-22,3.0101,3.068,2.9329,2.9426,4097614,0
2015-01-23,2.8557,2.8943,2.7592,2.7785,3540388,0
2015-01-26,2.7303,2.8557,2.6627,2.8364,3565457,0
2015-01-27,2.8557,3.0294,2.846,3.0294,3953913,0
2015-01-28,2.9136,3.0004,2.8653,2.9039,3781140,0
2015-01-29,2.8075,2.875,2.7785,2.846,2564009,0
2015-01-30,2.8557,3.0101,2.8267,2.9908,3178904,0
2015-02-02,2.9619,3.0294,2.9136,2.9908,3486612,0
2015-02-03,2.9908,3.068,2.9426,2.9522,5062411,0
2015-02-04,2.9812,2.9812,2.8557,2.9136,4029605,0
2015-02-05,2.9136,2.9812,2.875,2.9522,3007408,0
2015-02-06,2.7882,2.8557,2.7785,2.7785,4647241,0
2015-02-09,2.74,2.7495,2.6434,2.6627,4839449,0
2015-02-10,2.6242,2.7014,2.5953,2.6434,2743944,0
2015-02-11,2.6434,2.6724,2.5566,2.5759,2533606,0
2015-02-12,2.5663,2.6049,2.4987,2.5759,1629076,0
2015-02-13,2.5566,2.5856,2.5373,2.547,1819389,0
2015-02-17,2.4312,2.4504,2.3154,2.3154,2651901,0
2015-02-18,2.3444,2.3734,2.2673,2.3251,5918409,0
2015-02-19,2.3348,2.3637,2.2865,2.2961,2863281,0
2015-02-20,2.3444,2.3734,2.3154,2.3348,5726893,0
2015-02-23,2.2576,2.3348,2.2383,2.3058,2384738,0
2015-02-24,2.2576,2.3251,2.2576,2.2673,1423010,0
2015-02-25,2.3154,2.3444,2.2768,2.3058,1912185,0
2015-02-26,2.3637,2.3829,2.3348,2.3541,1108468,0
