Date,Open,High,Low,Close,Volume,OpenInt
2015-01-05,15.45,15.45,14.5,14.87,7100,0
2015-01-06,15.2,15.2,14.7,15.13,11700,0
2015-01-07,14.79,15.1,14.79,15.1,4800,0
2015-01-08,14.81,15.2,14.75,15.2,8245,0
2015-01-09,15.21,15.25,14.5,15.24,10200,0
2015-01-12,15.22,15.25,14.871,15.22,1620,0
2015-01-13,15.44,15.45,14.57,15.2,2100,0
2015-01-14,15.22,15.22,15.19,15.19,600,0
2015-01-15,14.7,14.95,14.5,14.95,29200,0
2015-01-16,15.12,15.12,14.96,15.0,1150,0
2015-01-21,14.501,14.99,14.5,14.93,8480,0
2015-01-23,14.2,14.943,14.2,14.943,400,0
2015-01-26,14.944,14.944,14.944,14.944,250,0
2015-01-27,14.91,14.91,14.5,14.87,1500,0
2015-01-28,14.8,14.888,14.5,14.51,7042,0
2015-01-29,14.83,14.83,14.5,14.71,202776,0
2015-01-30,14.61,14.85,14.51,14.85,6896,0
2015-02-02,14.8,14.8,14.8,14.8,500,0
2015-02-03,14.67,14.815,14.67,14.75,844,0
2015-02-05,14.561,14.775,14.52,14.7,2565,0
2015-02-06,14.67,14.7,14.67,14.7,200,0
2015-02-09,14.52,14.74,14.52,14.71,1571,0
2015-02-10,14.56,14.7,14.56,14.7,758,0
2015-02-11,14.616,14.65,14.5,14.65,3300,0
2015-02-12,14.62,14.709,14.55,14.709,8246,0
2015-02-13,14.51,14.81,14.51,14.81,14100,0
2015-02-17,14.56,14.81,14.5,14.81,2500,0
2015-02-18,14.53,14.85,14.53,14.85,12812,0
2015-02-19,14.55,14.9,14.55,14.9,7300,0
2015-02-20,14.5,14.94,14.28,14.94,1950,0
2015-02-23,14.35,14.94,14.35,14.94,10500,0
2015-02-24,14.87,14.94,14.54,14.9,10200,0
2015-02-25,14.72,14.99,14.72,14.99,5446,0
2015-02-26,14.7,15.0,14.7,14.99,2535,0
2015-02-27,15.0,15.0,15.0,15.0,200,0
2015-03-02,14.45,14.98,14.45,14.98,500,0
2015-03-03,14.75,15.0,14.55,14.99,4900,0
2015-03-04,14.2,15.07,14.2,15.0,16300,0
2015-03-05,15.3,15.3,14.69,15.0,2300,0
2015-03-06,14.55,15.0,14.55,15.0,2800,0
2015-03-09,14.91,15.25,14.91,15.25,1500,0
2015-03-11,15.25,15.25,15.25,15.25,200,0
2015-03-12,15.04,15.44,14.8,14.85,1300,0
2015-03-13,15.05,15.05,14.56,14.95,1700,0
2015-03-16,15.05,15.05,15.05,15.05,100,0
2015-03-17,14.5,15.0,14.5,14.95,35600,0
2015-03-18,15.03,15.03,14.43,14.84,2400,0
2015-03-19,14.73,14.73,14.4,14.42,1700,0
2015-03-20,14.2,15.05,14.2,15.05,29900,0
2015-03-23,15.1,15.1,14.41,14.9,2500,0
2015-03-24,14.6,14.9,14.5,14.83,4500,0
2015-03-25,14.5,14.99,14.48,14.99,4300,0
2015-03-26,14.58,14.96,14.5,14.85,600,0
2015-03-30,14.79,14.84,14.25,14.84,1900,0
2015-03-31,14.56,14.84,14.5,14.84,7768,0
2015-04-01,14.54,14.85,14.54,14.85,700,0
2015-04-02,14.8,14.8,14.8,14.8,100,0
2015-04-06,14.51,14.8,14.51,14.8,400,0
2015-04-07,14.51,14.79,14.5,14.65,7500,0
2015-04-08,14.62,14.62,14.62,14.62,14000,0
2015-04-09,14.53,14.53,14.316,14.39,14847,0
2015-04-10,14.33,14.52,14.31,14.31,4900,0
2015-04-13,14.33,14.33,14.27,14.27,1600,0
2015-04-14,14.49,14.5,14.21,14.33,12100,0
2015-04-15,14.35,14.5,14.15,14.24,24642,0
2015-04-16,14.25,14.25,14.25,14.25,500,0
2015-04-17,14.35,14.35,14.35,14.35,100,0
2015-04-21,14.18,14.18,14.18,14.18,100,0
2015-04-22,14.2,14.2,14.2,14.2,100,0
2015-04-23,13.83,14.2,13.07,14.15,5000,0
2015-04-24,13.53,14.14,13.53,14.14,3606,0
2015-04-27,14.07,14.13,13.84,13.99,1700,0
2015-04-28,13.74,14.13,13.74,14.1,28201,0
2015-04-29,14.03,14.04,13.5,14.04,400,0
2015-04-30,14.08,14.1,14.0,14.0,4000,0
2015-05-01,14.09,14.09,13.25,14.0,2000,0
2015-05-04,13.36,14.0,13.36,14.0,3900,0
2015-05-05,14.09,14.09,13.5,14.0,6600,0
2015-05-07,14.05,14.05,13.25,14.0,1463,0
2015-05-08,14.18,14.75,13.87,14.25,6000,0
2015-05-11,14.49,14.49,14.49,14.49,100,0
2015-05-12,14.4,14.4,14.4,14.4,100,0
2015-05-13,14.49,14.5,13.75,14.46,11600,0
2015-05-14,14.5,14.85,13.48,14.85,3600,0
2015-05-15,14.3,14.89,13.75,14.75,16471,0
2015-05-18,14.69,14.75,14.2,14.71,23520,0
2015-05-19,14.71,14.71,14.71,14.71,100,0
2015-05-20,14.68,14.68,14.68,14.68,100,0
2015-05-21,14.89,14.89,14.0,14.0,300,0
2015-05-22,14.88,14.89,14.6,14.7,50300,0
2015-05-26,14.5,14.84,14.5,14.83,1800,0
2015-05-27,14.67,14.79,14.3,14.59,6000,0
2015-05-28,14.78,14.78,14.52,14.66,2153,0
2015-05-29,14.65,14.67,14.3,14.65,17000,0
2015-06-01,14.63,14.63,14.63,14.63,100,0
2015-06-02,14.67,14.67,14.301,14.65,1650,0
2015-06-03,14.5,14.5,14.22,14.49,18700,0
2015-06-04,14.67,14.67,14.67,14.67,100,0
2015-06-05,14.66,14.66,14.3,14.54,6700,0
2015-06-08,14.18,14.5,14.18,14.5,2700,0
2015-06-09,14.32,14.5,13.669,13.99,11989,0
2015-06-10,13.75,13.75,13.32,13.74,11689,0
2015-06-11,13.75,13.75,13.437,13.75,650,0
2015-06-12,13.63,13.63,13.31,13.6,3500,0
2015-06-15,13.5,13.6,13.2,13.6,4800,0
2015-06-16,13.45,13.45,13.45,13.45,900,0
2015-06-17,13.6,13.6,13.25,13.54,4400,0
2015-06-18,13.42,13.6,13.4,13.6,600,0
2015-06-19,13.41,13.6,13.37,13.44,22400,0
2015-06-22,13.2,13.5,13.19,13.5,14400,0
2015-06-23,13.49,13.53,13.31,13.52,1660,0
2015-06-24,13.52,13.52,13.52,13.52,500,0
2015-06-25,13.56,13.58,13.31,13.58,2400,0
2015-06-29,13.57,13.57,13.57,13.57,100,0
2015-06-30,13.38,13.5,13.26,13.5,7102,0
2015-07-01,12.59,13.45,12.59,13.33,1300,0
2015-07-02,12.81,13.45,12.81,13.45,2800,0
2015-07-06,13.49,13.5,13.29,13.49,1000,0
2015-07-07,13.03,13.5,13.03,13.5,600,0
2015-07-08,13.0,13.58,13.0,13.58,600,0
2015-07-09,13.45,13.57,13.45,13.57,600,0
2015-07-10,13.25,13.25,13.16,13.16,200,0
2015-07-13,13.58,13.58,13.22,13.4,1600,0
2015-07-14,13.53,13.53,13.41,13.41,300,0
2015-07-15,13.58,13.58,12.75,13.28,1500,0
2015-07-16,13.45,13.45,11.74,13.37,900,0
2015-07-17,13.58,13.58,12.6,13.5,800,0
2015-07-20,12.91,13.35,12.91,13.2,800,0
2015-07-21,13.0,13.34,12.81,13.29,2500,0
2015-07-22,12.87,13.0,12.73,12.73,5900,0
2015-07-23,12.25,13.4,11.76,12.6,3200,0
2015-07-24,11.75,11.92,9.73,11.2,11600,0
2015-07-27,10.87,11.57,10.5,10.92,8200,0
2015-07-28,11.45,11.45,10.25,10.52,5700,0
2015-07-29,10.15,10.96,10.15,10.3,2700,0
2015-07-30,9.89,10.92,9.89,10.92,1100,0
2015-08-03,10.071,10.071,8.6076,9.19,17756,0
2015-08-04,8.9,8.9,6.98,6.98,25200,0
2015-08-05,6.56,6.61,5.0,6.0,156300,0
2015-08-06,5.88,6.0,5.3206,5.51,21237,0
2015-08-07,5.6,5.6,5.4,5.4,4000,0
2015-08-10,5.23,5.55,5.2,5.44,14800,0
2015-08-11,5.342,5.45,5.1624,5.4299,1917,0
2015-08-12,5.23,5.48,5.05,5.3,4300,0
2015-08-13,5.21,5.21,5.15,5.15,4600,0
2015-08-14,5.48,5.48,5.44,5.47,600,0
2015-08-17,5.32,5.46,5.15,5.31,1800,0
2015-08-18,5.56,5.85,5.4,5.51,12800,0
2015-08-19,5.3,5.67,5.16,5.46,7100,0
2015-08-24,5.0,5.0,4.6375,4.726,2701,0
2015-08-25,4.77,4.77,4.65,4.65,1400,0
2015-08-26,3.12,4.5,3.12,4.49,6000,0
2015-08-27,4.25,4.5,4.24,4.5,6200,0
2015-08-28,4.52,4.54,4.5,4.54,1000,0
2015-08-31,4.52,4.52,4.01,4.1,7900,0
2015-09-01,4.14,4.14,3.97,4.0,7400,0
2015-09-02,4.0,4.03,3.88,3.88,7800,0
2015-09-03,3.71,4.2,3.71,3.93,23500,0
2015-09-04,3.77,3.91,3.7,3.91,22100,0
2015-09-08,4.27,4.8,4.27,4.76,10700,0
2015-09-09,4.98,6.5,4.98,6.25,40300,0
2015-09-10,6.05,7.32,6.0001,7.06,38480,0
2015-09-11,7.26,7.27,6.29,6.99,9800,0
2015-09-14,7.0,7.23,6.65,6.86,3900,0
2015-09-15,7.08,7.08,6.55,6.55,5200,0
2015-09-16,6.47,6.49,6.47,6.48,500,0
2015-09-17,6.36,6.36,5.49,5.87,14820,0
2015-09-18,5.68,6.17,5.58,5.8,2900,0
2015-09-21,5.77,5.8,5.75,5.8,800,0
2015-09-22,5.3,5.3,4.5,4.5,15200,0
2015-09-23,4.6,4.94,4.5,4.56,12685,0
