Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,25.53,25.73,24.27,24.7,144282,0
2015-01-05,24.47,24.89,21.61,22.4,251080,0
2015-01-06,22.44,22.54,21.52,21.66,98332,0
2015-01-07,21.89,21.89,20.9,21.38,133345,0
2015-01-08,21.5,21.83,21.04,21.19,133637,0
2015-01-09,21.2,21.23,19.72,20.3,149614,0
2015-01-12,20.36,20.98,20.01,20.55,149631,0
2015-01-13,20.285,21.676,20.285,21.51,162027,0
2015-01-14,22.69,22.69,21.56,22.05,121873,0
2015-01-15,22.06,22.1,21.05,21.1,117248,0
2015-01-16,21.07,21.11,19.3,19.57,169823,0
2015-01-20,19.53,20.05,19.26,19.97,150919,0
2015-01-21,20.0,20.12,19.635,20.04,43987,0
2015-01-22,20.13,21.36,20.08,20.98,136158,0
2015-01-23,20.99,21.55,20.7,21.2,99125,0
2015-01-26,21.7,21.74,21.15,21.18,66931,0
2015-01-27,20.72,21.0,19.97,20.29,507496,0
2015-01-28,20.29,21.5,20.29,21.17,543288,0
2015-01-29,21.28,21.32,20.88,21.13,684668,0
2015-01-30,20.94,21.36,20.73,20.77,257471,0
2015-02-02,20.28,20.82,19.55,19.7,240844,0
2015-02-03,19.69,20.14,19.52,19.66,137909,0
2015-02-04,19.67,19.99,19.35,19.73,143768,0
2015-02-05,19.71,20.09,19.44,19.7,186908,0
2015-02-06,19.91,20.8,19.11,19.3,213865,0
2015-02-09,19.22,19.311,18.88,18.95,131409,0
2015-02-10,18.95,19.2,18.94,19.16,222811,0
2015-02-11,19.1,19.55,18.94,19.53,368165,0
2015-02-12,19.57,20.1,19.43,19.98,671110,0
2015-02-13,19.93,20.3,19.8,20.02,329004,0
2015-02-17,20.0,20.37,19.83,20.13,261899,0
2015-02-18,19.85,20.19,19.83,20.13,167963,0
2015-02-19,20.1,20.39,19.75,19.87,198446,0
2015-02-20,19.82,19.99,19.24,19.42,164038,0
2015-02-23,19.45,20.0,19.42,19.75,159291,0
2015-02-24,19.39,19.946,19.01,19.46,131974,0
2015-02-25,19.4,20.05,19.4,19.97,152502,0
2015-02-26,19.75,20.27,19.635,19.76,78935,0
2015-02-27,19.826,20.42,19.74,20.27,164385,0
2015-03-02,20.0,20.96,19.98,20.89,232000,0
2015-03-03,20.9,21.15,20.54,21.07,154600,0
2015-03-04,21.03,21.35,20.92,21.26,197700,0
2015-03-05,21.25,21.56,21.11,21.5,274700,0
2015-03-06,21.82,22.47,21.56,22.19,407400,0
2015-03-09,22.25,23.43,22.24,23.08,436000,0
2015-03-10,22.83,23.72,22.65,23.63,332600,0
