Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,12.373,12.373,11.866,11.895,42903,0
2015-01-05,11.818,11.933,11.78,11.857,93456,0
2015-01-06,11.847,11.904,11.546,11.876,103414,0
2015-01-07,11.978,11.978,11.669,11.886,83432,0
2015-01-08,11.968,12.093,11.784,12.006,71101,0
2015-01-09,12.044,12.195,11.914,12.016,98897,0
2015-01-12,11.968,12.025,11.798,11.942,64683,0
2015-01-13,11.923,12.113,11.574,11.705,96364,0
2015-01-14,11.601,11.735,11.487,11.659,57181,0
2015-01-15,11.601,11.715,11.537,11.61,143740,0
2015-01-16,11.565,11.914,11.565,11.886,73699,0
2015-01-20,11.847,12.044,11.705,11.818,45853,0
2015-01-21,11.762,11.886,11.422,11.518,80012,0
2015-01-22,11.451,12.214,11.451,11.923,104270,0
2015-01-23,12.006,12.195,11.914,12.006,188761,0
2015-01-26,12.166,12.233,12.038,12.103,134129,0
2015-01-27,12.093,12.166,11.847,11.959,63556,0
2015-01-28,11.997,12.006,11.698,11.771,101695,0
2015-01-29,11.754,12.044,11.754,11.997,55132,0
2015-01-30,11.886,11.914,11.509,11.583,132682,0
2015-02-02,11.509,11.818,11.369,11.762,142409,0
2015-02-03,11.789,11.978,11.789,11.866,69180,0
2015-02-04,11.866,12.007,11.771,11.798,62623,0
2015-02-05,11.857,11.979,11.857,11.886,46386,0
2015-02-06,11.886,12.187,11.886,11.988,78091,0
2015-02-09,11.998,12.045,11.714,11.724,74998,0
2015-02-10,11.828,11.847,11.582,11.771,44294,0
2015-02-11,11.714,11.837,11.653,11.761,41572,0
2015-02-12,11.789,11.904,11.648,11.818,29168,0
2015-02-13,11.895,11.979,11.798,11.942,43252,0
2015-02-17,11.828,12.396,11.798,12.329,255776,0
2015-02-18,12.207,12.292,11.789,11.904,66718,0
2015-02-19,11.895,12.036,11.789,11.942,25971,0
2015-02-20,11.979,11.998,11.734,11.876,53841,0
2015-02-23,11.818,11.998,11.653,11.988,51446,0
2015-02-24,11.959,11.998,11.886,11.942,28531,0
2015-02-25,11.904,11.979,11.866,11.923,30901,0
2015-02-26,11.886,12.075,11.714,12.026,45787,0
2015-02-27,11.988,12.075,11.923,12.065,71334,0
2015-03-02,12.026,12.302,12.026,12.254,60237,0
2015-03-03,12.225,12.302,12.168,12.293,50622,0
2015-03-04,12.235,12.235,12.114,12.158,69539,0
2015-03-05,12.138,12.283,12.065,12.215,65206,0
2015-03-06,12.168,12.302,12.036,12.104,71758,0
2015-03-09,12.122,12.187,12.026,12.104,41109,0
2015-03-10,11.933,12.036,11.837,11.923,57282,0
2015-03-11,11.923,12.13,11.923,12.104,55378,0
2015-03-12,12.207,12.302,12.178,12.293,72920,0
2015-03-13,12.273,12.396,12.075,12.245,48930,0
2015-03-16,12.293,12.293,12.13,12.273,52100,0
2015-03-17,12.197,12.302,12.148,12.293,53477,0
2015-03-18,12.283,12.346,12.122,12.245,56118,0
2015-03-19,12.245,12.302,12.225,12.273,38361,0
2015-03-20,12.293,12.302,12.215,12.283,103569,0
2015-03-23,12.273,12.346,12.235,12.346,51256,0
2015-03-24,12.283,12.49,12.273,12.302,58229,0
2015-03-25,12.329,12.462,12.122,12.122,41005,0
2015-03-26,12.114,12.197,11.933,11.979,37517,0
2015-03-27,12.007,12.045,11.923,11.969,49461,0
2015-03-30,11.988,12.366,11.988,12.235,61192,0
2015-03-31,12.235,12.254,12.114,12.138,14137,0
2015-04-01,12.114,12.425,12.065,12.416,41639,0
2015-04-02,12.338,12.338,12.178,12.235,221403,0
2015-04-06,12.168,12.311,12.114,12.207,29274,0
2015-04-07,12.197,12.273,12.122,12.138,25506,0
2015-04-08,12.138,12.235,12.084,12.178,18707,0
2015-04-09,12.187,12.215,11.969,12.168,58849,0
2015-04-10,12.122,12.207,12.094,12.197,21136,0
2015-04-13,12.254,12.293,12.13,12.225,10990,0
2015-04-14,12.178,12.311,12.045,12.293,64676,0
2015-04-15,12.311,12.346,12.283,12.311,37099,0
