Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,17.86,18.15,17.35,17.76,115673,0
2015-01-05,17.7,17.84,17.43,17.52,32752,0
2015-01-06,17.62,17.75,17.15,17.58,174243,0
2015-01-07,17.74,17.79,17.43,17.72,49246,0
2015-01-08,17.88,19.04,17.88,18.71,86511,0
2015-01-09,18.9,18.9,18.6,18.68,63849,0
2015-01-12,18.74,18.74,18.02,18.25,43764,0
2015-01-13,18.42,18.71,17.58,18.06,86443,0
2015-01-14,17.82,18.0,17.49,17.88,53467,0
2015-01-15,17.71,17.72,17.44,17.61,111138,0
2015-01-16,17.41,17.66,17.03,17.25,144559,0
2015-01-20,17.35,17.45,16.88,17.37,53563,0
2015-01-21,17.15,17.36,16.97,17.14,32095,0
2015-01-22,17.16,17.86,17.16,17.8,32175,0
2015-01-23,18.02,18.02,17.46,17.54,30155,0
2015-01-26,17.38,18.13,17.38,18.1,21203,0
2015-01-27,17.9,18.35,17.9,18.27,48165,0
2015-01-28,18.36,18.36,17.88,17.96,63102,0
2015-01-29,18.11,18.46,18.03,18.42,46045,0
2015-01-30,18.21,18.55,17.8,17.85,39600,0
2015-02-02,17.99,18.29,17.8,18.18,28599,0
2015-02-03,18.3,18.87,18.09,18.72,41745,0
2015-02-04,18.79,18.83,18.3,18.53,57004,0
2015-02-05,18.63,18.65,18.37,18.42,83492,0
2015-02-06,18.48,18.55,18.37,18.45,35089,0
2015-02-09,18.51,18.53,18.22,18.37,37430,0
2015-02-10,18.55,18.55,18.02,18.49,46339,0
2015-02-11,18.39,18.5,18.11,18.24,20446,0
2015-02-12,18.43,18.5,17.99,18.27,52046,0
2015-02-13,18.44,18.5,18.35,18.47,8856,0
2015-02-17,18.5,18.6,18.39,18.52,12360,0
2015-02-18,18.6,18.6,18.41,18.46,20294,0
2015-02-19,18.39,18.39,18.13,18.21,22305,0
2015-02-20,18.25,18.41,18.16,18.24,42439,0
2015-02-23,18.25,18.25,17.65,17.71,26067,0
2015-02-24,17.8,18.28,17.8,18.1,46129,0
2015-02-25,18.15,18.62,17.99,17.99,18380,0
2015-02-26,18.07,18.23,17.71,17.89,30005,0
2015-02-27,17.74,17.86,17.41,17.44,45768,0
2015-03-02,17.58,18.75,17.43,18.44,128900,0
2015-03-03,18.28,18.56,18.05,18.41,134800,0
2015-03-04,18.31,19.37,18.14,18.73,251900,0
2015-03-05,19.31,19.87,19.2,19.35,101800,0
2015-03-06,19.3,19.71,19.2,19.26,35000,0
2015-03-09,19.39,19.48,19.16,19.36,25700,0
2015-03-10,19.45,19.46,19.09,19.13,30700,0
2015-03-11,19.08,19.41,19.08,19.3,33800,0
2015-03-12,19.41,20.47,19.41,20.44,52900,0
2015-03-13,20.35,21.0,20.32,20.79,80200,0
