Date,Open,High,Low,Close,Volume,OpenInt
2015-01-05,48.878,48.988,48.878,48.988,402,0
2015-01-14,48.888,48.938,48.888,48.888,3071,0
2015-01-15,48.898,48.988,48.898,48.988,1229,0
2015-01-23,48.988,48.988,48.988,48.988,2463,0
2015-01-30,48.908,48.908,48.908,48.908,615,0
2015-02-02,48.968,48.988,48.968,48.988,818,0
2015-02-03,48.898,48.898,48.898,48.898,100,0
2015-02-05,48.978,48.978,48.968,48.978,6506,0
2015-02-10,48.888,48.888,48.888,48.888,302,0
2015-02-12,48.978,48.978,48.978,48.978,203,0
2015-02-17,48.978,48.978,48.978,48.978,818,0
2015-02-20,48.988,48.988,48.988,48.988,120,0
2015-02-27,48.978,48.978,48.978,48.978,120,0
2015-03-03,48.898,48.898,48.898,48.898,100,0
2015-03-04,48.898,48.898,48.898,48.898,100,0
2015-03-05,48.898,48.898,48.898,48.898,100,0
2015-03-09,48.898,48.898,48.898,48.898,100,0
2015-03-10,48.898,48.898,48.898,48.898,100,0
2015-03-17,48.898,48.898,48.898,48.898,200,0
2015-03-18,48.898,48.898,48.898,48.898,300,0
2015-03-19,48.908,48.908,48.908,48.908,100,0
2015-03-23,48.908,48.938,48.908,48.908,2244,0
2015-03-25,48.908,48.908,48.908,48.908,200,0
2015-03-26,48.978,48.978,48.898,48.898,4900,0
2015-03-31,48.958,48.978,48.908,48.908,402,0
2015-04-01,48.878,48.878,48.878,48.878,100,0
2015-04-02,48.888,48.888,48.888,48.888,511,0
2015-04-06,48.978,48.978,48.978,48.978,1022,0
2015-04-07,48.898,48.908,48.898,48.908,604,0
2015-04-08,48.908,48.908,48.908,48.908,100,0
2015-04-09,48.938,48.938,48.938,48.938,102,0
2015-04-10,48.888,48.888,48.888,48.888,200,0
2015-04-13,48.898,48.898,48.898,48.898,615,0
2015-04-14,48.958,48.978,48.938,48.978,2041,0
2015-04-16,48.978,48.978,48.978,48.978,1,0
2015-04-17,48.918,48.918,48.918,48.918,100,0
2015-04-21,48.978,48.978,48.978,48.978,200,0
2015-04-23,48.978,48.978,48.978,48.978,615,0
2015-04-27,48.918,48.918,48.918,48.918,300,0
2015-04-28,48.928,48.988,48.928,48.988,3270,0
2015-05-01,48.918,48.918,48.918,48.918,615,0
2015-05-06,48.918,48.918,48.918,48.918,1,0
2015-05-07,48.918,48.918,48.918,48.918,108,0
2015-05-08,48.958,48.958,48.958,48.958,100,0
2015-05-11,48.958,48.958,48.958,48.958,100,0
2015-05-21,48.928,48.928,48.918,48.918,402,0
2015-05-27,48.918,48.918,48.918,48.918,100,0
2015-05-28,48.978,48.978,48.958,48.958,2487,0
2015-05-29,48.988,48.988,48.988,48.988,19814,0
2015-06-02,48.898,48.898,48.898,48.898,1022,0
2015-06-04,48.898,48.898,48.888,48.888,300,0
