Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,22.109,22.371,22.083,22.244,93799,0
2015-01-05,22.27,22.353,22.067,22.135,185260,0
2015-01-06,21.661,21.847,21.517,21.628,185370,0
2015-01-07,21.703,21.999,21.603,21.847,161422,0
2015-01-08,22.32,22.81,22.286,22.616,252122,0
2015-01-09,22.726,22.793,22.431,22.48,175968,0
2015-01-12,22.675,22.945,22.573,22.928,199982,0
2015-01-13,23.105,23.393,22.954,23.248,292867,0
2015-01-14,23.13,23.248,22.853,22.971,121436,0
2015-01-15,23.443,23.959,23.402,23.841,257334,0
2015-01-16,23.908,24.06,23.789,24.044,184797,0
2015-01-20,24.346,24.381,24.136,24.237,197390,0
2015-01-21,24.229,24.43,24.22,24.406,171533,0
2015-01-22,24.439,24.736,24.415,24.727,225139,0
2015-01-23,24.591,25.243,24.591,25.124,302290,0
2015-01-26,25.166,25.166,24.954,25.031,196705,0
2015-01-27,24.998,25.166,24.954,25.073,270481,0
2015-01-28,25.292,25.419,24.913,25.005,147617,0
2015-01-29,25.149,25.149,24.921,25.048,185698,0
2015-01-30,24.836,24.836,24.381,24.474,141447,0
2015-02-02,24.853,24.938,24.601,24.743,158967,0
2015-02-03,24.743,24.844,24.466,24.836,225947,0
2015-02-04,24.583,24.642,24.262,24.43,95593,0
2015-02-05,24.491,24.491,24.33,24.398,80339,0
2015-02-06,24.33,24.398,24.262,24.33,81481,0
2015-02-09,24.026,24.136,23.824,23.841,319714,0
2015-02-10,23.984,24.06,23.671,23.966,277796,0
2015-02-11,24.026,24.144,23.992,24.06,84177,0
2015-02-12,24.22,24.314,24.22,24.254,170812,0
2015-02-13,24.406,24.727,24.279,24.601,109854,0
2015-02-17,24.591,24.651,24.457,24.549,63136,0
2015-02-18,24.575,24.651,24.321,24.346,123816,0
2015-02-19,24.616,24.659,24.491,24.659,108723,0
2015-02-20,24.491,24.575,24.321,24.575,176422,0
2015-02-23,24.381,24.466,24.321,24.415,97958,0
2015-02-24,24.406,24.676,24.406,24.676,92337,0
2015-02-25,24.642,24.829,24.583,24.727,161525,0
