Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,73.65,74.88,72.68,73.76,781119,0
2015-01-05,73.82,74.98,73.22,74.22,968937,0
2015-01-06,73.23,74.83,69.05,71.49,2249174,0
2015-01-07,72.48,74.7,71.99,74.45,1009096,0
2015-01-08,74.97,75.648,72.94,73.21,1098148,0
2015-01-09,73.01,73.84,71.48,72.03,1266148,0
2015-01-12,73.07,73.96,71.68,73.3,895953,0
2015-01-13,73.512,77.25,73.512,76.18,1635516,0
2015-01-14,75.28,77.24,74.55,75.775,1330644,0
2015-01-15,75.29,76.45,72.54,72.9,1395027,0
2015-01-16,73.03,74.45,72.25,74.38,1369116,0
2015-01-20,74.44,77.79,73.19,77.4,1349894,0
2015-01-21,76.51,78.88,74.995,77.43,1511534,0
2015-01-22,77.99,78.25,75.67,77.61,1130820,0
2015-01-23,77.1,80.0,76.84,79.93,1438643,0
2015-01-26,79.14,83.84,79.01,82.95,1913505,0
2015-01-27,81.99,83.77,81.52,83.07,1051601,0
2015-01-28,83.5,84.73,80.44,81.46,1855151,0
2015-01-29,81.7,81.7,79.56,81.34,842318,0
2015-01-30,81.05,82.81,79.51,79.71,701122,0
2015-02-02,80.44,81.0,76.4,78.375,995690,0
2015-02-03,79.5,79.5,73.25,75.96,1742702,0
2015-02-04,74.66,75.395,72.62,73.02,1837820,0
2015-02-05,73.5,75.66,73.31,75.25,968012,0
2015-02-06,74.05,76.86,73.17,75.35,638447,0
2015-02-09,74.32,77.31,74.27,75.81,628054,0
2015-02-10,76.74,76.99,75.31,76.46,720631,0
2015-02-11,75.48,78.41,75.02,75.96,1190741,0
2015-02-12,76.62,78.67,73.51,75.66,1316303,0
2015-02-13,74.62,76.0,73.21,75.94,1284093,0
2015-02-17,76.01,78.18,75.51,77.8,1078163,0
2015-02-18,77.97,79.01,77.03,78.97,768350,0
2015-02-19,78.95,80.9,78.61,80.15,880025,0
2015-02-20,80.11,82.5,79.75,82.49,1176802,0
2015-02-23,82.49,84.95,82.49,83.41,1145687,0
2015-02-24,83.4,83.4,80.47,81.17,811204,0
2015-02-25,81.17,85.71,80.45,85.65,1496704,0
2015-02-26,85.65,88.44,84.378,87.54,1359116,0
2015-02-27,87.01,87.6,84.23,85.85,917065,0
2015-03-02,85.49,88.93,85.19,88.68,932400,0
2015-03-03,87.7,88.87,86.34,87.95,914200,0
2015-03-04,87.4,88.81,87.01,87.91,756000,0
2015-03-05,89.6,94.48,89.09,91.97,2811700,0
2015-03-06,91.75,91.75,88.5,90.0,1855200,0
2015-03-09,90.41,90.5,88.16,89.57,1331900,0
2015-03-10,89.98,89.98,87.89,89.33,1685200,0
2015-03-11,89.89,90.5,88.13,90.02,1061100,0
2015-03-12,89.86,90.07,88.78,89.96,1208100,0
2015-03-13,89.59,91.91,88.12,89.31,885700,0
2015-03-16,90.03,91.39,89.06,91.28,933500,0
2015-03-17,92.02,93.42,90.77,92.34,914700,0
2015-03-18,91.79,93.0,90.75,92.25,782000,0
2015-03-19,93.17,97.13,93.17,97.08,1509400,0
2015-03-20,97.26,99.0,94.64,95.55,2274600,0
2015-03-23,94.59,94.96,92.35,93.39,1030400,0
2015-03-24,93.7,94.24,92.01,92.81,796200,0
2015-03-25,92.87,93.0,89.4,90.47,1520500,0
2015-03-26,89.59,90.95,87.79,89.2,1353000,0
2015-03-27,89.72,95.72,89.05,94.36,1401400,0
2015-03-30,95.85,96.68,92.54,94.19,1256200,0
2015-03-31,93.96,93.97,91.5,91.66,1038390,0
2015-04-01,92.3,92.48,87.42,89.44,1227000,0
2015-04-02,89.56,89.7,87.18,88.79,764600,0
2015-04-06,88.34,90.12,87.41,88.46,1001800,0
2015-04-07,88.29,91.32,88.29,89.39,662290,0
2015-04-08,89.41,92.14,89.34,91.63,862200,0
2015-04-09,91.34,92.38,90.5,92.28,501970,0
2015-04-10,92.35,94.13,91.05,93.81,781800,0
2015-04-13,94.49,102.79,93.95,99.83,2427900,0
2015-04-14,98.72,101.4,97.66,98.97,1388800,0
2015-04-15,99.68,101.38,98.5,100.29,1156026,0
2015-04-16,100.84,103.74,100.4,102.76,1752498,0
2015-04-17,101.76,102.74,101.01,101.66,1768500,0
2015-04-20,104.12,105.96,102.01,105.51,1250520,0
2015-04-21,106.76,109.89,104.73,109.19,1350979,0
2015-04-22,109.75,111.93,107.5,107.98,1152716,0
2015-04-23,107.53,108.43,106.58,107.85,1108000,0
2015-04-24,107.59,108.55,106.75,107.34,854645,0
2015-04-27,107.42,107.84,100.63,101.38,1431300,0
2015-04-28,101.73,104.01,97.14,99.6,1931151,0
2015-04-29,99.5,102.24,98.04,101.67,1502900,0
2015-04-30,99.64,102.72,96.02,97.16,1916700,0
2015-05-01,98.86,101.0,96.83,98.28,1622100,0
2015-05-04,99.99,104.77,98.51,101.0,1449500,0
2015-05-05,100.36,100.81,97.21,97.5,940600,0
2015-05-06,99.14,100.69,98.38,100.54,1322698,0
2015-05-07,100.63,103.64,100.32,102.08,1202535,0
2015-05-08,104.16,106.9,102.44,103.83,1363000,0
2015-05-11,104.0,105.42,103.61,104.61,780400,0
2015-05-12,103.59,105.7,102.75,105.0,794322,0
2015-05-13,105.63,106.17,103.07,104.26,598200,0
2015-05-14,104.99,107.7,102.88,106.78,1199800,0
2015-05-15,107.3,107.65,105.66,106.86,779054,0
2015-05-18,106.51,108.52,106.33,107.65,829598,0
2015-05-19,107.63,109.1,107.3,108.25,556793,0
2015-05-20,108.33,111.11,106.28,109.67,767700,0
2015-05-21,110.17,110.88,108.18,108.41,611900,0
2015-05-22,108.0,109.11,107.19,107.69,694600,0
2015-05-26,107.46,108.4,104.73,107.29,879939,0
2015-05-27,107.54,108.58,106.58,107.92,1075700,0
2015-05-28,107.92,108.69,106.11,108.14,639191,0
2015-05-29,107.9,111.07,107.06,110.15,1246300,0
2015-06-01,111.63,113.55,108.3,109.68,1135267,0
2015-06-02,109.52,111.0,107.8,108.0,1103578,0
2015-06-03,107.86,109.09,106.75,108.98,937300,0
2015-06-04,108.09,109.01,105.89,106.84,1183400,0
2015-06-05,107.29,109.14,106.01,108.94,1101100,0
2015-06-08,108.87,109.81,105.64,107.0,873000,0
2015-06-09,107.14,107.19,104.34,106.25,797489,0
2015-06-10,106.25,106.25,102.57,105.53,1078901,0
2015-06-11,105.69,106.18,103.83,106.11,795528,0
2015-06-12,105.4,106.51,104.29,105.49,568600,0
2015-06-15,104.69,105.76,103.23,103.68,822900,0
2015-06-16,103.09,104.55,103.0,104.07,769600,0
2015-06-17,104.42,105.79,104.06,105.39,492500,0
2015-06-18,105.68,110.99,105.4,108.9,880500,0
2015-06-19,108.7,109.5,106.56,107.77,1387900,0
2015-06-22,108.53,109.83,108.11,109.22,680400,0
2015-06-23,109.51,109.74,107.11,109.31,791093,0
2015-06-24,109.19,109.34,105.17,105.29,849600,0
2015-06-25,105.18,107.23,103.17,104.45,943200,0
2015-06-26,104.86,105.59,102.42,104.05,1865800,0
2015-06-29,101.86,104.55,100.59,100.82,874900,0
2015-06-30,103.01,104.34,101.71,104.21,1182340,0
2015-07-01,105.15,105.86,102.42,104.45,849400,0
2015-07-02,104.4,105.71,103.64,105.58,907400,0
2015-07-06,105.99,109.21,104.22,108.58,1248700,0
2015-07-07,108.73,109.5,106.52,109.32,811000,0
2015-07-08,108.23,108.93,105.31,106.0,715900,0
2015-07-09,106.8,109.36,106.64,108.11,625600,0
2015-07-10,109.77,109.82,107.04,108.33,736700,0
2015-07-13,109.24,113.5,108.58,113.0,1019100,0
2015-07-14,113.61,117.97,113.1,117.46,1365459,0
2015-07-15,118.83,121.7,115.39,115.88,1835985,0
2015-07-16,117.06,118.86,116.31,117.69,820500,0
2015-07-17,117.49,117.88,114.24,117.04,713500,0
2015-07-20,117.85,118.09,115.01,115.77,672200,0
2015-07-21,116.14,116.29,112.56,113.87,656200,0
2015-07-22,112.67,115.35,112.01,114.42,661200,0
2015-07-23,115.17,115.66,112.3,113.21,544200,0
2015-07-24,112.49,113.57,108.28,108.54,1013200,0
2015-07-27,108.0,108.13,103.73,104.37,1398500,0
2015-07-28,104.55,106.27,103.1,105.49,1295600,0
2015-07-29,106.18,106.67,101.55,103.74,1061000,0
2015-07-30,102.96,103.92,99.65,102.96,1120900,0
2015-07-31,104.26,105.24,102.72,104.28,1001300,0
2015-08-03,104.28,105.48,103.1,103.98,1138991,0
2015-08-04,109.23,111.42,105.23,109.74,1798000,0
2015-08-05,111.4,113.23,109.77,110.96,1123900,0
2015-08-06,111.95,113.62,104.2,104.35,1452085,0
2015-08-07,104.97,108.81,101.52,102.0,1654900,0
2015-08-10,103.59,106.71,103.41,103.94,1051600,0
2015-08-11,102.73,105.22,102.07,104.21,926025,0
2015-08-12,102.98,107.86,100.38,107.28,1732900,0
2015-08-13,107.69,109.94,104.24,107.91,924000,0
2015-08-14,106.89,108.63,104.28,105.8,780900,0
2015-08-17,105.08,115.0,104.21,114.6,2315300,0
2015-08-18,114.4,116.9,113.74,113.97,1602200,0
2015-08-19,112.72,114.74,110.87,112.4,1094500,0
2015-08-20,111.35,114.2,107.37,107.52,1361900,0
2015-08-21,105.48,110.22,103.58,104.31,1318600,0
2015-08-24,92.18,102.98,89.37,97.37,1839899,0
2015-08-25,101.25,103.91,100.7,101.65,1456900,0
2015-08-26,105.32,108.68,101.0,108.49,1728200,0
2015-08-27,109.8,113.87,109.38,113.85,1500200,0
2015-08-28,113.15,120.0,112.13,119.93,1816000,0
2015-08-31,119.48,121.93,115.82,116.19,1871800,0
2015-09-01,114.85,118.99,114.0,115.12,1717500,0
2015-09-02,116.63,123.31,114.35,123.28,2217900,0
2015-09-03,124.78,124.8,115.4,116.07,1559500,0
2015-09-04,115.03,117.8,112.75,115.88,1056800,0
2015-09-08,118.9,120.41,116.15,120.13,732400,0
2015-09-09,122.55,124.61,117.86,118.2,1364100,0
2015-09-10,118.16,126.94,118.16,124.5,1789630,0
2015-09-11,123.43,131.97,123.43,131.01,2078600,0
2015-09-14,131.17,131.7,125.35,128.21,1255900,0
2015-09-15,129.17,132.62,127.29,131.47,1230100,0
2015-09-16,130.69,133.62,128.26,130.8,852600,0
2015-09-17,130.9,133.0,128.51,130.11,1383884,0
2015-09-18,129.14,129.39,125.51,125.93,1399000,0
2015-09-21,127.0,127.38,114.72,118.66,1874300,0
2015-09-22,116.8,118.87,113.74,117.78,1635200,0
