Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,15.021,15.026,14.755,14.867,7188900,0
2015-01-05,14.76,14.793,14.605,14.682,5420393,0
2015-01-06,14.629,14.774,14.345,14.58,7129220,0
2015-01-07,14.634,15.003,14.624,14.885,12446601,0
2015-01-08,14.934,15.065,14.918,14.966,7559056,0
2015-01-09,16.102,16.238,15.427,15.642,11398642,0
2015-01-12,15.851,15.894,15.571,15.622,7520096,0
2015-01-13,15.747,15.894,15.668,15.782,6737590,0
2015-01-14,15.823,15.851,15.698,15.796,4659188,0
2015-01-15,15.912,16.174,15.907,15.925,7448732,0
2015-01-16,15.982,16.121,15.859,16.112,5267673,0
2015-01-20,16.149,16.257,15.995,16.126,3280699,0
2015-01-21,16.364,16.426,16.233,16.4,5379427,0
2015-01-22,16.541,16.695,16.426,16.686,6621985,0
2015-01-23,16.677,16.709,16.452,16.547,7557236,0
2015-01-26,16.523,16.695,16.523,16.634,4391439,0
2015-01-27,16.233,16.504,16.195,16.377,7097062,0
2015-01-28,16.479,16.558,16.36,16.377,5126325,0
2015-01-29,16.285,16.285,15.921,16.136,5576799,0
2015-01-30,16.102,16.159,15.869,15.885,5216809,0
2015-02-02,16.169,16.19,15.869,16.008,3926752,0
2015-02-03,16.097,16.13,15.954,16.088,4213892,0
2015-02-04,16.247,16.426,16.145,16.209,4581725,0
2015-02-05,16.377,16.661,16.377,16.661,4978776,0
2015-02-06,16.634,16.826,16.568,16.671,5301902,0
2015-02-09,16.704,16.998,16.642,16.872,5819469,0
2015-02-10,17.008,17.062,16.801,17.008,4311980,0
2015-02-11,17.017,17.062,16.881,16.931,3514323,0
2015-02-12,17.179,17.264,17.053,17.119,5733521,0
2015-02-13,17.198,17.244,16.998,17.058,3158087,0
2015-02-17,16.899,17.017,16.75,16.858,5328049,0
2015-02-18,17.039,17.044,16.978,17.012,4330817,0
2015-02-19,17.189,17.375,17.157,17.338,4380536,0
2015-02-20,17.048,17.226,16.983,17.207,3268542,0
2015-02-23,16.951,16.988,16.848,16.868,3921264,0
2015-02-24,16.923,17.148,16.909,17.128,3354266,0
2015-02-25,17.244,17.348,17.039,17.138,4829575,0
2015-02-26,16.951,17.1,16.909,17.048,3011069,0
2015-02-27,17.109,17.198,16.983,17.109,4933151,0
2015-03-02,17.058,17.109,16.988,17.058,3460653,0
2015-03-03,17.184,17.288,17.157,17.189,5253740,0
2015-03-04,16.998,17.114,16.801,16.833,4878259,0
2015-03-05,16.779,16.82,16.479,16.541,8413364,0
2015-03-06,16.485,16.549,16.35,16.426,6916159,0
2015-03-09,16.195,16.406,16.149,16.233,7170197,0
2015-03-10,16.164,16.209,16.066,16.169,7058198,0
2015-03-11,16.14,16.299,16.033,16.14,4187586,0
2015-03-12,16.261,16.523,16.252,16.42,4287357,0
2015-03-13,16.386,16.452,16.336,16.41,3156620,0
2015-03-16,16.667,16.862,16.563,16.833,4213335,0
2015-03-17,16.638,16.69,16.518,16.634,3803521,0
2015-03-18,16.499,16.919,16.499,16.872,4692234,0
2015-03-19,16.74,16.941,16.717,16.769,4584738,0
2015-03-20,16.947,17.081,16.829,16.829,4483036,0
2015-03-23,16.642,16.853,16.607,16.774,4129011,0
2015-03-24,16.717,16.784,16.647,16.647,5654969,0
2015-03-25,16.677,16.712,16.308,16.321,5343641,0
2015-03-26,16.205,16.4,16.023,16.289,11657097,0
2015-03-27,16.447,16.626,16.299,16.547,7915154,0
2015-03-30,16.671,16.769,16.607,16.677,4279847,0
2015-03-31,16.582,16.597,16.35,16.35,6124235,0
2015-04-01,16.233,16.312,16.107,16.145,7142090,0
2015-04-02,16.149,16.209,16.121,16.145,2701537,0
2015-04-06,16.186,16.228,16.085,16.102,3763614,0
2015-04-07,16.102,16.39,16.093,16.346,10299718,0
2015-04-08,16.587,16.709,16.508,16.677,3949851,0
2015-04-09,16.667,16.806,16.63,16.789,5027079,0
2015-04-10,16.853,16.927,16.774,16.923,3514079,0
2015-04-13,16.826,16.983,16.779,16.881,3939984,0
2015-04-14,16.887,16.964,16.826,16.833,3407013,0
