Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,81.204,81.726,79.528,80.659,325824,0
2015-01-05,80.289,80.355,78.633,78.987,512847,0
2015-01-06,78.987,79.214,77.102,77.719,788303,0
2015-01-07,78.528,79.557,78.168,79.186,445552,0
2015-01-08,79.66,81.413,79.49,81.164,485876,0
2015-01-09,81.146,81.146,80.165,80.394,283346,0
2015-01-12,80.328,80.508,79.385,79.717,246370,0
2015-01-13,80.175,80.833,78.739,79.879,346663,0
2015-01-14,79.176,80.604,79.05,80.355,501255,0
2015-01-15,78.148,79.727,78.148,78.768,800404,0
2015-01-16,78.768,79.785,78.425,79.727,601962,0
2015-01-20,79.775,80.508,78.997,80.365,518067,0
2015-01-21,80.355,81.632,79.566,81.488,636095,0
2015-01-22,81.765,82.602,81.355,82.174,629132,0
2015-01-23,81.575,82.307,81.404,81.555,402695,0
2015-01-26,81.223,82.088,80.649,81.928,500278,0
2015-01-27,81.184,81.698,80.594,81.287,332926,0
2015-01-28,81.755,81.812,79.04,79.27,609580,0
2015-01-29,79.414,80.242,78.804,80.175,667701,0
2015-01-30,77.93,78.338,75.149,76.739,1382100,0
2015-02-02,76.635,76.997,75.01,76.596,1049509,0
2015-02-03,76.874,78.367,76.682,78.299,673607,0
2015-02-04,77.825,78.491,77.52,77.739,505405,0
2015-02-05,78.043,78.73,77.53,78.633,675897,0
2015-02-06,78.633,78.929,77.806,78.08,337815,0
2015-02-09,77.9,78.034,77.186,77.777,385587,0
2015-02-10,78.226,78.491,77.604,78.28,303960,0
2015-02-11,78.308,78.68,77.786,78.272,269301,0
2015-02-12,78.471,78.71,77.851,78.253,355288,0
2015-02-13,77.92,78.87,77.463,78.814,330042,0
2015-02-17,78.977,78.977,78.016,78.69,306067,0
2015-02-18,78.377,78.851,78.206,78.841,295618,0
2015-02-19,78.73,78.919,78.509,78.804,206118,0
2015-02-20,78.519,79.09,78.226,79.06,301711,0
2015-02-23,79.08,79.09,78.651,78.87,263783,0
2015-02-24,78.749,78.977,78.148,78.72,274064,0
2015-02-25,78.9,79.204,78.587,78.9,358127,0
2015-02-26,78.997,79.186,78.614,78.7,145127,0
2015-02-27,78.509,78.909,78.206,78.234,261694,0
2015-03-02,78.415,78.768,77.806,78.462,359697,0
2015-03-03,78.148,78.519,77.786,78.491,239062,0
2015-03-04,78.396,78.453,77.749,78.052,229186,0
2015-03-05,77.986,78.348,77.339,77.861,286037,0
2015-03-06,77.253,77.511,74.971,75.11,398578,0
2015-03-09,75.283,75.97,74.762,75.731,380924,0
2015-03-10,74.882,74.971,73.094,73.154,519214,0
2015-03-11,73.084,74.304,71.477,72.791,902555,0
2015-03-12,72.791,74.971,72.752,74.882,714983,0
