Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,30.598,30.898,26.1,30.598,9810,0
2015-01-05,29.399,29.399,26.699,27.599,5051,0
2015-01-06,26.699,29.699,25.649,29.699,7079,0
2015-01-07,29.549,32.998,26.4,30.298,7753,0
2015-01-08,30.298,32.098,28.92,32.098,6224,0
2015-01-09,31.798,32.248,29.699,31.048,5009,0
2015-01-12,32.098,34.498,29.924,30.748,7038,0
2015-01-13,30.898,31.798,30.183,30.298,4282,0
2015-01-14,30.463,30.463,27.299,27.899,6115,0
2015-01-15,28.049,28.349,26.249,26.999,5385,0
2015-01-16,26.549,28.499,26.549,27.599,3391,0
2015-01-20,28.949,28.949,27.599,27.599,721,0
2015-01-21,27.861,28.499,27.749,28.049,996,0
2015-01-22,29.249,29.249,27.599,28.049,2264,0
2015-01-23,27.749,27.749,25.349,25.649,3436,0
2015-01-26,25.649,25.787,21.149,21.299,5722,0
2015-01-27,21.749,25.049,21.749,23.999,5945,0
2015-01-28,23.399,23.849,22.574,22.799,2798,0
2015-01-29,22.799,23.399,21.149,21.299,851,0
2015-01-30,22.8,23.999,21.15,22.497,283,0
2015-02-02,22.682,22.682,21.899,22.349,1177,0
2015-02-03,21.9,22.248,19.649,21.899,3784,0
2015-02-04,22.049,22.649,20.699,20.997,2076,0
2015-02-05,21.149,21.299,19.319,19.799,2117,0
2015-02-06,19.799,20.849,18.944,18.944,1137,0
2015-02-09,18.749,20.249,18.479,19.949,1682,0
2015-02-10,21.449,23.399,20.249,23.399,3985,0
2015-02-11,26.099,26.999,22.649,23.399,8332,0
2015-02-12,25.199,25.199,22.349,23.394,2113,0
2015-02-13,23.399,25.199,21.75,22.499,1979,0
2015-02-17,23.768,24.599,21.749,21.858,2748,0
2015-02-18,21.944,22.347,20.249,20.549,2141,0
2015-02-19,20.699,23.249,20.699,23.249,2541,0
2015-02-20,22.349,26.549,22.349,22.799,7723,0
2015-02-23,24.599,24.749,23.699,23.699,1984,0
2015-02-24,23.999,24.599,23.999,23.999,1631,0
2015-02-25,24.149,25.199,24.149,24.599,1585,0
2015-02-26,23.967,24.449,21.749,22.5,681,0
2015-02-27,22.499,22.499,19.649,20.399,5534,0
2015-03-02,22.049,22.049,20.399,21.149,700,0
2015-03-03,21.749,23.699,20.699,20.699,3994,0
2015-03-04,20.849,24.149,20.249,20.399,2027,0
2015-03-05,21.449,21.449,19.949,20.849,2380,0
2015-03-06,24.149,24.149,19.949,20.849,2893,0
2015-03-09,22.799,22.799,19.499,19.499,2507,0
2015-03-10,19.049,21.599,18.749,20.099,2333,0
2015-03-11,20.399,20.399,18.749,19.199,747,0
2015-03-12,19.049,19.049,18.599,18.749,587,0
2015-03-13,19.049,19.049,16.199,17.999,4800,0
2015-03-16,19.049,19.349,16.949,17.999,2600,0
2015-03-17,17.999,17.999,17.399,17.849,1387,0
2015-03-18,17.849,23.699,16.649,21.149,45602,0
2015-03-19,19.199,20.249,17.999,17.999,11241,0
2015-03-20,18.599,18.749,16.649,18.449,8487,0
2015-03-23,18.749,18.899,17.549,18.899,1887,0
2015-03-24,17.549,18.599,16.799,17.999,2913,0
2015-03-25,17.249,18.749,17.249,17.699,7814,0
2015-03-26,18.149,18.149,16.049,17.099,6007,0
2015-03-27,17.849,17.849,16.199,16.799,2087,0
2015-03-30,16.499,17.849,16.499,17.099,2700,0
2015-03-31,17.699,17.699,16.499,16.649,2800,0
2015-04-01,15.899,17.849,15.899,17.249,4600,0
2015-04-02,17.699,18.449,17.249,17.999,2220,0
2015-04-06,18.599,18.599,17.549,18.149,500,0
2015-04-07,23.849,35.248,20.999,27.749,833662,0
2015-04-08,26.999,27.749,23.399,24.599,166662,0
2015-04-09,24.749,25.349,22.799,23.249,56065,0
2015-04-10,23.699,24.149,22.049,22.799,45769,0
2015-04-13,23.099,35.698,22.799,35.548,254966,0
2015-04-14,34.198,39.148,31.048,34.498,207224,0
2015-04-15,35.548,36.298,32.248,34.348,39816,0
2015-04-16,33.748,41.698,32.998,34.498,80924,0
2015-04-17,33.298,37.498,32.998,34.798,32448,0
2015-04-20,34.798,36.448,33.148,34.348,32886,0
2015-04-21,34.348,34.489,31.198,32.044,15998,0
2015-04-22,31.648,31.648,29.7,31.348,15823,0
2015-04-23,35.698,46.048,33.748,35.098,412441,0
2015-04-24,34.648,36.748,33.298,33.748,47069,0
2015-04-27,34.048,34.798,32.248,33.298,24661,0
2015-04-28,33.148,34.798,32.398,32.998,16281,0
2015-04-29,33.148,33.898,31.198,31.348,12854,0
2015-04-30,33.148,36.298,31.198,35.098,41455,0
2015-05-01,34.498,34.648,32.248,33.448,8747,0
2015-05-04,33.298,33.898,32.248,32.548,7880,0
2015-05-05,33.298,33.298,30.148,30.598,10447,0
2015-05-06,30.748,32.697,29.699,31.948,14244,0
2015-05-07,31.948,33.298,31.498,32.548,9992,0
2015-05-08,29.999,30.598,25.199,27.899,37509,0
2015-05-11,28.049,28.949,25.949,28.199,8834,0
2015-05-12,28.349,28.649,27.749,28.649,3041,0
2015-05-13,28.949,30.748,28.949,30.448,6814,0
2015-05-14,30.448,31.198,30.148,30.748,5054,0
2015-05-15,30.448,30.448,28.049,28.274,8670,0
2015-05-18,30.898,31.347,28.499,28.949,5814,0
2015-05-19,28.949,29.849,28.049,29.099,8194,0
2015-05-20,29.249,29.249,26.249,27.599,17048,0
2015-05-21,28.199,29.099,27.749,28.499,4867,0
2015-05-22,28.799,31.198,28.199,29.549,11221,0
2015-05-26,29.699,30.586,27.449,28.349,3376,0
2015-05-27,28.049,28.949,27.299,28.049,1173,0
2015-05-28,27.899,27.899,26.849,27.297,2665,0
2015-05-29,26.999,26.999,26.099,26.249,1760,0
2015-06-01,26.399,28.799,26.249,27.299,3240,0
2015-06-02,27.449,28.34,26.55,27.749,4992,0
2015-06-03,27.749,27.899,26.399,26.399,6640,0
2015-06-04,26.249,27.149,25.499,26.099,6400,0
2015-06-05,25.649,26.699,25.499,26.099,3667,0
2015-06-08,25.949,26.549,25.499,26.399,1087,0
2015-06-09,26.399,26.849,26.249,26.399,1054,0
2015-06-10,26.399,31.498,25.649,28.349,43010,0
2015-06-11,27.149,28.199,26.699,27.299,4676,0
2015-06-12,29.849,29.849,26.399,26.399,2347,0
2015-06-15,25.499,31.048,25.499,26.699,46902,0
2015-06-16,27.449,29.549,26.099,27.299,10341,0
2015-06-17,27.149,28.949,25.799,26.099,8314,0
2015-06-18,26.399,27.749,26.099,26.549,2647,0
2015-06-19,26.399,27.299,25.649,25.949,3514,0
