Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,3.27,3.27,3.06,3.27,71467,0
2015-01-05,3.29,3.75,3.24,3.69,405978,0
2015-01-06,3.9,4.28,3.81,4.14,1115962,0
2015-01-07,4.15,4.29,4.11,4.22,500070,0
2015-01-08,4.26,4.8,4.21,4.78,917796,0
2015-01-09,4.72,5.25,4.72,5.12,811169,0
2015-01-12,5.2,5.4,4.9,5.08,857647,0
2015-01-13,5.14,5.28,4.38,4.56,787557,0
2015-01-14,4.45,4.54,4.23,4.5,321418,0
2015-01-15,4.6,4.7,4.406,4.51,173952,0
2015-01-16,4.61,4.74,4.38,4.58,276906,0
2015-01-20,4.77,4.77,4.4,4.49,200526,0
2015-01-21,4.465,4.55,3.93,4.02,516274,0
2015-01-22,4.18,4.41,4.05,4.35,261174,0
2015-01-23,4.31,4.98,4.31,4.97,838666,0
2015-01-26,5.0,5.3,4.8301,5.28,1354483,0
2015-01-27,5.18,5.5,5.08,5.48,634643,0
2015-01-28,5.42,5.9,5.42,5.72,1062962,0
2015-01-29,5.78,5.78,5.26,5.48,591453,0
2015-01-30,5.35,5.49,5.18,5.28,283783,0
2015-02-02,5.28,5.32,5.0601,5.2,369287,0
2015-02-03,5.2,5.31,5.12,5.21,177490,0
2015-02-04,5.21,5.44,5.2,5.29,332659,0
2015-02-05,5.28,5.4,5.21,5.32,270759,0
2015-02-06,5.35,5.6,5.23,5.52,618884,0
2015-02-09,5.47,5.47,5.0,5.19,725236,0
2015-02-10,5.16,5.2,4.66,5.03,691437,0
2015-02-11,4.97,5.08,4.89,4.96,219051,0
2015-02-12,4.98,5.18,4.96,5.18,259084,0
2015-02-13,5.16,5.2,4.83,5.0,228942,0
2015-02-17,5.0,5.13,4.92,5.05,198436,0
2015-02-18,5.05,5.13,4.96,5.03,238679,0
2015-02-19,5.1,5.1,4.96,5.05,487527,0
2015-02-20,5.32,5.49,4.89,4.97,1728055,0
2015-02-23,4.99,5.21,4.75,5.16,685175,0
2015-02-24,5.1,5.19,5.0501,5.12,424441,0
2015-02-25,5.16,5.4,5.16,5.29,593607,0
2015-02-26,5.37,5.39,5.25,5.29,226122,0
2015-02-27,5.35,5.35,5.25,5.26,181357,0
2015-03-02,5.28,5.42,5.26,5.34,487300,0
2015-03-03,5.37,5.39,5.26,5.31,243900,0
2015-03-04,5.3,5.3,5.02,5.2,233200,0
2015-03-05,5.17,5.23,4.85,4.97,316400,0
2015-03-06,4.94,5.06,4.87,4.93,300300,0
2015-03-09,4.9,4.92,4.7,4.75,329800,0
2015-03-10,4.55,4.79,4.51,4.79,269500,0
2015-03-11,4.82,4.86,4.7,4.81,198100,0
2015-03-12,4.81,4.9,4.77,4.84,213300,0
2015-03-13,4.87,4.89,4.68,4.76,259400,0
2015-03-16,4.8,4.81,4.48,4.54,401700,0
2015-03-17,4.49,4.74,4.49,4.71,170200,0
2015-03-18,4.71,4.72,4.59,4.69,196500,0
2015-03-19,4.65,4.92,4.65,4.9,150200,0
2015-03-20,4.93,4.94,4.79,4.81,555600,0
2015-03-23,4.82,4.82,4.65,4.74,116000,0
2015-03-24,4.77,4.88,4.73,4.75,106500,0
2015-03-25,4.79,4.79,4.56,4.58,172500,0
2015-03-26,4.58,4.58,4.39,4.45,135600,0
2015-03-27,4.45,4.69,4.35,4.65,121500,0
2015-03-30,4.77,4.93,4.6,4.86,248400,0
2015-03-31,4.88,4.89,4.7,4.82,124221,0
2015-04-01,4.76,4.79,4.5,4.75,160700,0
2015-04-02,4.75,4.75,4.55,4.67,114000,0
2015-04-06,4.68,4.91,4.62,4.9,190300,0
2015-04-07,4.89,5.4,4.87,5.29,649696,0
2015-04-08,5.37,5.4,5.1,5.15,314200,0
2015-04-09,5.16,5.4,4.92,5.27,789287,0
2015-04-10,5.42,5.48,5.25,5.32,429800,0
2015-04-13,5.36,5.7,5.36,5.51,806300,0
2015-04-14,5.5,5.75,5.5,5.65,349300,0
2015-04-15,5.68,5.75,5.5049,5.58,322335,0
2015-04-16,5.53,5.86,5.53,5.8,551136,0
2015-04-17,5.84,5.93,5.61,5.73,686600,0
2015-04-20,5.7,5.82,5.68,5.79,213204,0
2015-04-21,5.73,5.99,5.73,5.91,449894,0
2015-04-22,5.88,6.65,5.88,6.51,990187,0
2015-04-23,6.62,6.8,6.25,6.59,775500,0
2015-04-24,6.6,6.72,6.53,6.55,390808,0
2015-04-27,6.55,6.89,6.55,6.66,489400,0
2015-04-28,6.44,6.554,5.89,6.41,598516,0
2015-04-29,6.47,6.47,6.19,6.27,283400,0
2015-04-30,6.3,6.3,5.97,6.06,419900,0
2015-05-01,6.07,6.25,5.98,6.24,300500,0
2015-05-04,6.22,6.29,6.14,6.19,245000,0
2015-05-05,6.2,6.2,5.75,5.82,476100,0
2015-05-06,5.7,5.82,5.35,5.45,1017370,0
2015-05-07,5.37,5.425,5.01,5.08,671505,0
2015-05-08,5.09,5.16,4.97,5.02,576700,0
2015-05-11,5.03,5.08,4.83,4.85,380700,0
2015-05-12,4.8,4.8,4.56,4.59,562491,0
2015-05-13,4.55,4.9,4.48,4.83,792500,0
2015-05-14,4.77,4.91,4.69,4.88,401800,0
2015-05-15,4.83,4.96,4.81,4.88,303110,0
2015-05-18,4.91,5.3999,4.87,5.31,846802,0
2015-05-19,5.31,5.685,5.19,5.38,783824,0
2015-05-20,5.42,5.43,5.03,5.06,548000,0
2015-05-21,5.08,5.08,4.85,4.91,421000,0
2015-05-22,4.94,5.02,4.8,4.91,307600,0
2015-05-26,4.95,5.09,4.85,4.96,472145,0
2015-05-27,5.01,5.35,4.61,4.7,965000,0
2015-05-28,4.67,4.7,4.05,4.27,839889,0
2015-05-29,4.3,4.37,4.17,4.37,515300,0
2015-06-01,4.34,4.37,4.03,4.12,555687,0
2015-06-02,4.11,4.14,4.01,4.12,403133,0
2015-06-03,4.08,4.25,4.05,4.07,460000,0
2015-06-04,4.03,4.08,3.85,4.0,430200,0
2015-06-05,4.0,4.03,3.93,4.01,1291000,0
2015-06-08,4.01,4.07,3.91,4.0,520700,0
2015-06-09,4.0,4.04,3.98,4.02,571526,0
2015-06-10,4.03,4.1,4.0,4.05,494894,0
2015-06-11,4.07,4.08,3.98,4.05,561850,0
2015-06-12,4.05,4.05,3.77,3.79,434000,0
2015-06-15,3.75,3.95,3.64,3.92,1038400,0
2015-06-16,3.94,4.0,3.79,3.86,398900,0
2015-06-17,3.9,3.9,3.5,3.6,877900,0
2015-06-18,3.59,3.73,3.55,3.71,1036000,0
2015-06-19,3.8,3.91,3.7,3.74,263800,0
2015-06-22,3.77,3.85,3.44,3.6,914900,0
2015-06-23,3.69,3.69,3.42,3.53,703703,0
2015-06-24,3.55,3.58,3.35,3.44,720600,0
2015-06-25,3.44,3.54,3.35,3.46,1590400,0
2015-06-26,3.44,3.51,3.27,3.33,4970900,0
2015-06-29,3.26,3.33,3.09,3.19,925300,0
2015-06-30,3.2,3.3,3.18,3.25,478473,0
2015-07-01,3.26,3.28,3.01,3.17,860300,0
2015-07-02,3.15,3.19,3.07,3.08,515100,0
2015-07-06,3.03,3.12,2.94,3.01,648900,0
2015-07-07,3.03,3.03,2.85,2.93,818600,0
2015-07-08,2.91,2.92,2.79,2.81,458900,0
2015-07-09,2.91,2.97,2.76,2.87,383500,0
2015-07-10,2.9,2.94,2.78,2.79,397800,0
2015-07-13,2.82,2.91,2.78,2.87,424500,0
2015-07-14,2.85,2.96,2.82,2.905,380325,0
2015-07-15,2.92,2.9885,2.79,2.79,337023,0
2015-07-16,2.8,2.87,2.77,2.82,603000,0
2015-07-17,2.84,3.16,2.83,3.09,924600,0
2015-07-20,3.09,3.1,2.78,2.8,499800,0
2015-07-21,2.85,2.99,2.77,2.87,546700,0
2015-07-22,2.83,2.86,2.64,2.66,611500,0
2015-07-23,2.65,2.69,2.52,2.53,496200,0
2015-07-24,2.51,2.53,2.45,2.49,341200,0
2015-07-27,2.44,2.44,2.29,2.3,344500,0
2015-07-28,2.29,2.41,2.26,2.4,508300,0
2015-07-29,2.37,2.39,2.3,2.38,149800,0
2015-07-30,2.33,2.39,2.31,2.37,323200,0
2015-07-31,2.35,2.54,2.35,2.47,394600,0
2015-08-03,2.45,2.45,2.23,2.26,557603,0
2015-08-04,2.23,2.24,2.12,2.19,194500,0
2015-08-05,2.16,2.38,2.11,2.24,432400,0
2015-08-06,2.21,2.46,2.11,2.21,470728,0
2015-08-07,2.02,2.36,1.9,2.36,1670400,0
2015-08-10,2.38,2.63,2.38,2.58,717200,0
2015-08-11,2.5,2.56,2.45,2.49,825542,0
2015-08-12,2.44,2.58,2.38,2.53,652400,0
2015-08-13,2.53,2.6,2.4,2.42,380600,0
2015-08-14,2.48,2.58,2.43,2.55,282200,0
2015-08-17,2.51,2.62,2.47,2.54,445400,0
2015-08-18,2.51,2.52,2.3,2.48,460000,0
2015-08-19,2.45,2.5,2.41,2.46,330800,0
2015-08-20,2.41,2.47,2.29,2.29,573900,0
2015-08-21,2.25,2.5,2.25,2.45,573200,0
2015-08-24,2.37,2.55,2.35,2.43,496836,0
2015-08-25,2.51,2.59,2.4,2.51,576500,0
2015-08-26,2.57,2.83,2.52,2.79,708200,0
2015-08-27,2.82,2.97,2.76,2.8,621700,0
2015-08-28,2.77,2.89,2.76,2.84,260700,0
2015-08-31,2.84,2.86,2.76,2.78,189900,0
2015-09-01,2.71,2.81,2.53,2.59,502100,0
2015-09-02,2.57,2.65,2.48,2.51,401800,0
2015-09-03,2.49,2.64,2.44,2.56,357800,0
2015-09-04,2.5,2.56,2.43,2.46,471300,0
2015-09-08,2.47,2.57,2.47,2.51,439000,0
2015-09-09,2.5,2.52,2.32,2.35,571500,0
2015-09-10,2.32,2.46,2.23,2.34,364372,0
2015-09-11,2.3,2.3,2.17,2.26,485300,0
