Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,8.155,8.26,8.05,8.05,19784,0
2015-01-05,8.1,8.4,8.05,8.1,25981,0
2015-01-06,8.1,8.5,7.54,7.99,47338,0
2015-01-07,8.0,8.0,7.37,8.0,28950,0
2015-01-08,7.75,8.14,7.75,8.14,13219,0
2015-01-09,8.14,8.53,8.0,8.44,64823,0
2015-01-12,8.48,8.95,8.48,8.87,85798,0
2015-01-13,8.895,9.1,8.5,8.99,55453,0
2015-01-14,8.95,9.15,8.9,9.09,61940,0
2015-01-15,9.0,9.16,8.76,8.95,11153,0
2015-01-16,8.94,8.98,8.76,8.9,10928,0
2015-01-20,8.95,8.98,8.73,8.76,7676,0
2015-01-21,8.76,8.91,8.76,8.9,12734,0
2015-01-22,8.9,8.9,8.82,8.82,8595,0
2015-01-23,8.8,8.825,8.8,8.8,4195,0
2015-01-26,8.85,9.94,8.79,9.0,189643,0
2015-01-27,9.0,9.0,8.0,8.165,100715,0
2015-01-28,8.17,8.25,8.15,8.17,41268,0
2015-01-29,8.2,8.25,7.9,7.97,37950,0
2015-01-30,8.0,8.0,7.8,7.85,11188,0
2015-02-02,7.89,7.89,7.8,7.85,15650,0
2015-02-03,7.81,7.9,7.55,7.7,202507,0
2015-02-04,7.7,7.8,7.55,7.65,5791,0
2015-02-05,7.75,7.75,7.6,7.6,28119,0
2015-02-06,7.65,7.65,7.3,7.39,37627,0
2015-02-09,7.36,7.36,6.87,6.99,87213,0
2015-02-10,7.06,7.25,7.0,7.15,64504,0
2015-02-11,7.3,7.69,7.15,7.6,91679,0
2015-02-12,7.69,7.69,7.43,7.45,33338,0
2015-02-13,7.45,7.5,7.19,7.45,30658,0
2015-02-17,7.75,7.75,7.5,7.64,32721,0
2015-02-18,7.62,7.62,7.4,7.4,28681,0
2015-02-19,7.3,7.4,7.3,7.31,13054,0
2015-02-20,7.3,7.4,7.3,7.3,38940,0
2015-02-23,7.305,7.45,7.05,7.14,112330,0
2015-02-24,7.14,7.3,7.14,7.3,7014,0
2015-02-25,7.6,9.64,7.6,9.31,292221,0
2015-02-26,8.57,9.31,8.25,8.85,2617116,0
2015-02-27,9.0,9.25,8.63,8.98,496232,0
2015-03-02,9.0,9.19,8.8,9.04,189900,0
2015-03-03,9.02,9.6,8.94,9.49,343000,0
2015-03-04,9.45,10.19,9.25,9.42,611700,0
2015-03-05,9.64,9.84,9.39,9.56,228500,0
2015-03-06,9.57,9.7,8.98,9.0,283900,0
2015-03-09,9.6,10.15,9.01,9.14,660400,0
2015-03-10,9.14,10.25,8.89,10.24,603500,0
2015-03-11,10.3,12.0,10.3,11.28,1254500,0
2015-03-12,11.4,12.75,11.2,12.4,1177600,0
2015-03-13,12.6,13.3,11.8,13.12,846084,0
2015-03-16,13.43,14.15,12.99,13.23,1001800,0
2015-03-17,13.32,13.77,12.23,13.5,758700,0
2015-03-18,13.4,13.57,12.75,12.99,443100,0
2015-03-19,13.3,14.65,13.15,14.49,1212500,0
2015-03-20,14.97,15.03,13.52,13.59,1319200,0
2015-03-23,13.4,13.4,12.1,12.17,1211600,0
2015-03-24,12.23,12.85,12.18,12.24,680800,0
2015-03-25,12.3,12.43,10.5,11.06,871100,0
2015-03-26,11.0,11.7,10.69,11.59,592300,0
2015-03-27,11.36,11.86,10.92,11.2,369900,0
2015-03-30,11.49,11.8,10.1,11.62,1373600,0
2015-03-31,11.5,12.42,11.21,12.11,825700,0
2015-04-01,11.94,13.28,11.45,12.55,1020700,0
2015-04-02,13.43,13.89,12.8,12.94,1035100,0
2015-04-06,13.06,13.59,12.54,12.82,471000,0
2015-04-07,12.87,13.3,12.58,12.64,744004,0
2015-04-08,12.1,12.56,11.86,12.39,1077800,0
2015-04-09,12.34,12.71,12.15,12.39,274164,0
2015-04-10,12.4,12.48,11.95,12.39,916200,0
2015-04-13,12.39,12.9,12.23,12.49,461300,0
2015-04-14,12.52,12.67,12.13,12.23,317600,0
2015-04-15,12.27,12.5,12.0,12.25,417640,0
2015-04-16,12.28,12.4,12.15,12.2,279245,0
2015-04-17,12.1,12.26,12.0,12.15,217700,0
2015-04-20,12.25,12.342,10.9,11.98,917836,0
2015-04-21,12.0,12.4,11.9,12.0,440785,0
2015-04-22,12.0,12.5,11.89,12.5,733870,0
2015-04-23,12.8,12.8,12.13,12.42,629400,0
2015-04-24,12.4,12.51,12.22,12.34,523400,0
2015-04-27,12.34,12.47,11.85,12.0,484200,0
2015-04-28,12.0,12.49,11.43,12.07,627500,0
2015-04-29,12.41,12.89,12.1,12.12,575200,0
2015-04-30,12.05,12.47,11.65,11.93,312900,0
2015-05-01,11.79,12.33,11.54,12.18,934300,0
2015-05-04,12.25,12.79,12.11,12.14,276100,0
2015-05-05,12.15,12.45,11.74,11.88,282900,0
2015-05-06,11.96,12.05,11.13,11.54,472949,0
2015-05-07,11.36,11.78,11.25,11.58,457032,0
2015-05-08,11.7,11.71,11.13,11.22,313300,0
2015-05-11,11.24,11.36,10.56,10.72,664500,0
2015-05-12,10.64,10.68,9.96,10.2,1591509,0
2015-05-13,10.25,10.45,9.73,10.35,827700,0
2015-05-14,10.34,10.34,9.86,10.1,436600,0
2015-05-15,10.0,10.62,10.0,10.6,362549,0
2015-05-18,10.62,10.98,10.43,10.83,532922,0
2015-05-19,10.81,10.83,10.64,10.68,247900,0
2015-05-20,10.66,10.9,10.54,10.74,330400,0
2015-05-21,10.75,10.85,10.63,10.67,274600,0
2015-05-22,10.63,10.89,10.6,10.77,214200,0
2015-05-26,10.75,10.75,10.24,10.43,308788,0
2015-05-27,10.43,10.69,10.39,10.65,297500,0
2015-05-28,10.65,10.78,10.35,10.49,323929,0
2015-05-29,10.45,11.28,10.06,11.19,887700,0
2015-06-01,11.24,11.24,10.4,10.73,680800,0
2015-06-02,10.74,11.13,10.6,10.72,366856,0
2015-06-03,10.61,10.99,10.6,10.87,408300,0
2015-06-04,10.84,10.97,10.39,10.43,467600,0
2015-06-05,10.6,10.85,10.4,10.75,260500,0
2015-06-08,10.73,10.93,10.52,10.69,453000,0
2015-06-09,10.65,10.758,10.415,10.52,375988,0
2015-06-10,10.8,11.075,10.51,10.85,596147,0
2015-06-11,10.85,10.93,10.35,10.47,342838,0
2015-06-12,10.37,11.14,10.37,11.05,378700,0
2015-06-15,11.01,12.0,10.8,11.66,1131100,0
2015-06-16,11.7,11.99,11.48,11.74,633800,0
2015-06-17,11.73,11.85,10.55,10.67,1200800,0
2015-06-18,10.74,11.09,9.5,9.86,1798900,0
2015-06-19,9.91,10.16,9.39,9.76,2451900,0
2015-06-22,9.83,9.91,9.02,9.5,1585500,0
2015-06-23,9.48,9.76,9.225,9.7,1012809,0
2015-06-24,9.73,10.35,9.55,9.62,888700,0
2015-06-25,9.64,9.69,9.03,9.18,1454400,0
2015-06-26,9.2,9.4,8.65,8.84,7819800,0
2015-06-29,8.74,8.82,8.02,8.62,1483900,0
2015-06-30,9.2,9.2,8.62,9.17,938761,0
2015-07-01,9.24,9.38,8.91,9.17,434900,0
2015-07-02,9.21,9.21,8.7,8.98,313500,0
2015-07-06,8.91,9.07,8.51,9.03,683800,0
2015-07-07,9.04,9.36,8.73,9.18,400800,0
2015-07-08,9.12,9.13,8.71,9.06,546200,0
2015-07-09,9.14,9.22,8.77,8.9,391600,0
2015-07-10,8.95,9.15,8.83,9.12,308800,0
2015-07-13,9.08,9.34,8.95,9.06,232100,0
2015-07-14,9.06,9.23,8.89,9.13,301210,0
2015-07-15,9.17,9.75,9.17,9.58,554345,0
2015-07-16,9.58,10.1,9.26,9.79,676300,0
2015-07-17,9.83,10.29,9.83,10.0,642400,0
2015-07-20,10.0,10.07,9.63,9.98,444000,0
2015-07-21,9.95,10.0,9.64,9.77,269200,0
2015-07-22,9.68,9.92,9.41,9.89,305000,0
2015-07-23,9.9,10.05,9.43,9.47,394000,0
2015-07-24,9.42,10.15,9.35,9.43,494600,0
2015-07-27,9.42,9.49,8.71,8.79,443600,0
2015-07-28,8.81,8.99,8.59,8.81,223200,0
2015-07-29,8.82,9.0,8.32,8.41,480800,0
2015-07-30,8.34,8.91,8.05,8.16,537400,0
2015-07-31,8.2,8.66,8.16,8.56,187500,0
2015-08-03,8.53,8.53,7.83,8.17,587028,0
2015-08-04,8.2,8.22,7.9,8.0,253700,0
2015-08-05,8.0,8.16,7.69,7.75,503200,0
2015-08-06,7.8,8.08,7.62,8.01,686142,0
2015-08-07,7.94,7.97,7.3,7.4,713100,0
2015-08-10,7.49,7.64,7.31,7.37,274400,0
2015-08-11,7.22,7.249,6.745,6.95,697993,0
2015-08-12,6.95,7.34,6.84,7.24,365000,0
2015-08-13,7.24,7.32,7.05,7.09,132800,0
2015-08-14,7.2,7.32,7.03,7.15,289400,0
2015-08-17,7.14,7.5,7.1,7.35,264400,0
2015-08-18,7.32,7.4,7.01,7.09,381000,0
2015-08-19,7.01,7.13,6.88,6.94,260600,0
2015-08-20,6.89,7.03,6.64,6.65,357900,0
2015-08-21,6.49,6.73,6.37,6.51,279500,0
2015-08-24,6.16,6.64,5.81,6.13,383306,0
2015-08-25,6.34,6.37,5.95,5.99,352900,0
2015-08-26,6.13,6.37,5.92,6.32,248100,0
2015-08-27,6.29,6.76,6.27,6.67,264800,0
2015-08-28,6.61,7.03,6.6,6.96,242300,0
2015-08-31,6.96,7.17,6.88,7.11,202400,0
2015-09-01,6.94,7.17,6.6,6.66,210700,0
2015-09-02,6.77,7.03,6.63,7.02,191000,0
2015-09-03,7.02,7.56,6.85,6.87,411400,0
2015-09-04,6.75,6.98,6.71,6.91,166400,0
2015-09-08,7.07,7.39,6.94,7.37,363400,0
2015-09-09,7.4,7.5,7.16,7.19,176400,0
2015-09-10,7.12,7.2,6.94,7.14,196748,0
2015-09-11,7.04,7.2,6.97,7.16,159900,0
2015-09-14,7.16,7.47,7.16,7.47,217600,0
2015-09-15,7.42,8.12,7.42,7.9,490500,0
2015-09-16,7.86,8.4,6.84,8.05,3263400,0
2015-09-17,8.05,8.05,7.57,7.74,621800,0
2015-09-18,7.57,8.1,7.5,7.99,625600,0
2015-09-21,8.05,8.27,7.52,7.64,518900,0
2015-09-22,7.5,7.68,7.0,7.13,533100,0
2015-09-23,7.17,7.28,6.86,7.0,187600,0
2015-09-24,6.9,7.05,6.56,6.7,541097,0
2015-09-25,6.87,6.92,6.05,6.17,766600,0
2015-09-28,6.11,6.27,5.57,5.61,719863,0
2015-09-29,5.58,6.23,5.42,5.84,696100,0
2015-09-30,5.9,6.08,5.63,5.76,1668100,0
2015-10-01,5.8,6.1,5.71,5.79,426700,0
2015-10-02,5.72,6.07,5.62,5.9,469000,0
2015-10-05,5.96,6.06,5.79,5.93,243900,0
