Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,19.394,19.394,18.66,18.836,2824248,0
2015-01-05,18.762,18.762,18.24,18.298,3309830,0
2015-01-06,18.259,18.427,17.673,17.803,10643220,0
2015-01-07,17.952,18.269,17.768,18.269,3801383,0
2015-01-08,18.456,19.124,18.409,19.115,5388924,0
2015-01-09,19.143,19.151,18.827,18.874,5087327,0
2015-01-12,18.865,18.967,18.585,18.77,1931328,0
2015-01-13,18.993,19.201,18.603,18.846,3557025,0
2015-01-14,18.585,18.725,18.409,18.679,2759946,0
2015-01-15,18.717,18.789,18.159,18.288,5263569,0
2015-01-16,18.25,18.418,18.213,18.39,4502332,0
2015-01-20,18.371,18.456,18.139,18.409,3449410,0
2015-01-21,18.318,18.846,18.259,18.819,3499985,0
2015-01-22,18.985,19.45,18.819,19.404,4676928,0
2015-01-23,19.468,19.478,19.07,19.151,2664293,0
2015-01-26,19.089,19.385,19.012,19.301,2343449,0
2015-01-27,18.993,19.236,18.836,18.938,3663689,0
2015-01-28,19.07,19.07,18.361,18.371,4690858,0
2015-01-29,18.38,18.874,18.12,18.865,4322509,0
2015-01-30,18.679,18.874,18.502,18.547,3942390,0
2015-02-02,18.603,18.799,18.159,18.789,3285464,0
2015-02-03,18.919,19.181,18.819,19.171,3529191,0
2015-02-04,19.143,19.339,19.032,19.143,2765371,0
2015-02-05,19.171,19.423,19.07,19.404,2905199,0
2015-02-06,19.394,19.44,18.967,19.032,2897182,0
2015-02-09,18.902,19.414,18.874,19.368,2405702,0
2015-02-10,19.44,19.525,19.115,19.385,4405684,0
2015-02-11,19.377,19.414,19.191,19.349,3095778,0
2015-02-12,19.377,19.768,19.358,19.682,2983041,0
2015-02-13,19.85,20.586,19.739,20.557,7358760,0
2015-02-17,20.538,20.836,20.538,20.789,6856759,0
2015-02-18,20.707,20.874,20.659,20.707,2828813,0
2015-02-19,20.707,20.874,20.603,20.751,2181384,0
2015-02-20,20.687,20.883,20.502,20.864,6802227,0
2015-02-23,20.799,20.976,20.742,20.938,2051755,0
2015-02-24,20.938,20.986,20.677,20.901,3024516,0
2015-02-25,20.929,21.106,20.742,20.919,2863948,0
2015-02-26,20.948,21.042,20.836,21.004,2292023,0
2015-02-27,21.042,21.135,20.827,20.855,4188065,0
2015-03-02,20.948,21.19,20.827,21.042,4536767,0
2015-03-03,20.938,21.06,20.77,20.994,3157568,0
2015-03-04,20.967,21.042,20.883,20.938,3256480,0
2015-03-05,21.013,21.013,20.584,20.592,2905638,0
2015-03-06,20.49,20.574,20.228,20.349,2620989,0
2015-03-09,20.386,20.5,20.183,20.424,5238449,0
2015-03-10,20.304,20.359,20.164,20.275,3054701,0
2015-03-11,20.322,20.322,19.881,19.947,3884381,0
2015-03-12,20.069,20.294,20.004,20.294,3354536,0
2015-03-13,20.285,20.285,19.966,20.144,2045487,0
2015-03-16,20.218,20.49,20.154,20.49,2378896,0
2015-03-17,20.369,20.424,20.208,20.285,1819860,0
2015-03-18,20.285,20.555,19.975,20.509,3404046,0
2015-03-19,20.453,20.546,20.331,20.49,2050512,0
2015-03-20,20.565,20.741,20.509,20.658,3102927,0
2015-03-23,20.658,20.741,20.565,20.631,1979936,0
2015-03-24,20.574,20.658,20.369,20.611,4182609,0
2015-03-25,20.611,20.725,20.246,20.265,4743144,0
2015-03-26,20.144,20.386,20.051,20.349,2890882,0
2015-03-27,20.331,20.686,20.304,20.631,4464269,0
2015-03-30,20.741,20.827,20.536,20.668,3070954,0
2015-03-31,20.621,20.986,20.518,20.686,3479534,0
2015-04-01,20.611,20.676,20.359,20.536,2323933,0
2015-04-02,20.565,20.798,20.518,20.686,2779140,0
2015-04-06,20.527,20.78,20.481,20.706,2806406,0
2015-04-07,20.696,20.725,20.34,20.377,2287530,0
2015-04-08,20.453,20.574,20.396,20.509,2234325,0
2015-04-09,20.509,20.546,20.246,20.34,2598803,0
2015-04-10,20.331,20.424,20.228,20.396,2747808,0
2015-04-13,20.174,20.49,20.059,20.208,3938700,0
2015-04-14,20.154,20.275,19.975,20.255,3055557,0
2015-04-15,20.313,20.322,19.92,19.966,3962193,0
2015-04-16,19.966,19.966,19.704,19.704,6951612,0
2015-04-17,19.544,19.612,19.32,19.48,4453038,0
2015-04-20,19.602,19.621,19.369,19.508,8034569,0
2015-04-21,19.631,19.881,19.544,19.771,6003020,0
2015-04-22,19.78,19.994,19.573,19.957,4766926,0
2015-04-23,19.947,20.004,19.723,19.789,5395744,0
2015-04-24,20.49,20.555,20.304,20.377,7247894,0
2015-04-27,20.369,20.406,19.378,19.452,8962647,0
2015-04-28,19.378,19.732,19.115,19.694,6258927,0
2015-04-29,19.64,19.789,19.378,19.405,5205512,0
2015-04-30,19.405,19.761,19.34,19.49,6461421,0
2015-05-01,19.64,19.676,19.499,19.647,5531761,0
2015-05-04,19.694,19.901,19.694,19.704,2990116,0
2015-05-05,19.64,19.901,19.461,19.48,4274250,0
2015-05-06,19.582,19.602,19.191,19.34,4571339,0
2015-05-07,19.302,19.535,19.201,19.369,3572388,0
2015-05-08,19.621,19.761,19.49,19.647,2696589,0
2015-05-11,19.64,19.901,19.64,19.666,6194198,0
2015-05-12,19.527,19.563,19.256,19.499,3515642,0
2015-05-13,19.49,19.592,19.34,19.452,3790720,0
2015-05-14,19.602,19.826,19.573,19.771,2498338,0
2015-05-15,19.807,19.891,19.666,19.713,3438480,0
2015-05-18,19.723,19.938,19.573,19.881,3741222,0
2015-05-19,19.957,19.966,19.573,19.592,2717587,0
2015-05-20,19.656,19.704,19.508,19.553,6235773,0
2015-05-21,19.553,19.834,19.432,19.656,3047749,0
2015-05-22,19.631,19.704,19.47,19.563,3758522,0
2015-05-26,19.518,19.573,19.191,19.311,2240433,0
2015-05-27,19.32,19.452,19.161,19.405,3309197,0
2015-05-28,19.405,19.452,19.191,19.302,2840227,0
2015-05-29,19.302,19.396,19.104,19.208,2679422,0
2015-06-01,19.236,19.311,19.019,19.218,1758524,0
2015-06-02,19.16,19.425,19.123,19.302,1691378,0
2015-06-03,19.32,19.471,19.18,19.406,1172486,0
2015-06-04,19.274,19.378,18.983,19.009,2219846,0
2015-06-05,19.019,19.087,18.775,18.99,2844840,0
2015-06-08,18.983,19.039,18.775,18.775,1958432,0
2015-06-09,18.784,18.823,18.465,18.69,3042957,0
2015-06-10,18.747,18.99,18.681,18.974,1833992,0
2015-06-11,19.019,19.039,18.804,18.955,2966070,0
2015-06-12,18.841,18.964,18.728,18.794,2863550,0
2015-06-15,18.625,18.775,18.548,18.71,4187315,0
2015-06-16,18.757,18.908,18.757,18.908,2175622,0
2015-06-17,18.945,19.029,18.823,18.851,2267580,0
2015-06-18,18.898,19.132,18.87,19.029,2946260,0
2015-06-19,18.983,19.058,18.87,18.916,2670174,0
2015-06-22,19.0,19.095,18.916,19.009,1599850,0
2015-06-23,19.009,19.058,18.737,18.747,3346169,0
2015-06-24,18.7,18.775,18.465,18.474,4958910,0
2015-06-25,18.578,18.765,18.493,18.615,4475094,0
2015-06-26,18.644,18.672,18.447,18.531,3746664,0
2015-06-29,18.36,18.558,17.957,17.967,4400040,0
2015-06-30,18.098,18.183,17.937,18.127,8783115,0
2015-07-01,18.268,18.351,18.117,18.248,2820283,0
2015-07-02,18.2,18.317,18.004,18.127,3960876,0
2015-07-06,17.928,18.032,17.855,17.937,5727738,0
2015-07-07,18.004,18.219,17.713,18.191,4979321,0
2015-07-08,18.051,18.098,17.845,17.873,4620103,0
2015-07-09,18.146,18.351,18.117,18.146,5435494,0
2015-07-10,18.389,18.531,18.332,18.483,2703448,0
2015-07-13,18.606,18.728,18.531,18.7,2620632,0
2015-07-14,18.644,18.804,18.644,18.728,2550135,0
2015-07-15,18.737,18.814,18.548,18.606,2416842,0
2015-07-16,18.71,18.926,18.578,18.916,3589963,0
2015-07-17,18.926,18.945,18.7,18.926,4154252,0
2015-07-20,18.87,18.926,18.71,18.804,2878222,0
2015-07-21,18.784,18.823,18.465,18.625,4391431,0
2015-07-22,18.606,19.658,18.606,19.633,9969272,0
2015-07-23,19.716,19.905,19.461,19.536,4650611,0
2015-07-24,19.642,19.866,19.491,19.565,3677138,0
2015-07-27,19.481,19.584,19.369,19.396,4640724,0
2015-07-28,19.528,19.857,19.369,19.828,4705681,0
2015-07-29,19.8,19.97,19.764,19.933,3101775,0
2015-07-30,19.876,20.007,19.633,19.961,2644555,0
2015-07-31,20.046,20.13,19.961,20.036,2954550,0
2015-08-03,20.055,20.169,19.755,19.847,3330299,0
2015-08-04,19.847,20.017,19.716,19.847,2327538,0
2015-08-05,19.979,20.064,19.764,19.895,5207141,0
2015-08-06,19.915,19.915,19.0,19.519,7269009,0
2015-08-07,19.519,19.782,19.481,19.658,3826396,0
2015-08-10,19.866,20.169,19.837,19.905,5078083,0
2015-08-11,19.774,20.064,19.687,20.007,4915826,0
2015-08-12,19.726,20.055,19.623,20.036,2980917,0
2015-08-13,20.055,20.084,19.82,19.828,2615957,0
2015-08-14,19.847,19.905,19.614,19.895,2428639,0
2015-08-17,19.847,20.017,19.716,19.961,1764419,0
2015-08-18,19.941,19.988,19.678,19.764,1557967,0
2015-08-19,19.678,19.866,19.471,19.716,2293200,0
2015-08-20,19.471,19.471,19.029,19.039,2539307,0
2015-08-21,18.814,18.888,18.437,18.447,3325890,0
2015-08-24,17.524,18.069,17.327,17.629,7124924,0
2015-08-25,18.2,18.2,17.365,17.393,5378618,0
2015-08-26,17.806,17.995,17.335,17.967,4969966,0
2015-08-27,18.2,18.258,17.76,18.098,6092806,0
2015-08-28,18.146,18.239,17.995,18.156,3359237,0
2015-08-31,18.127,18.166,17.853,17.872,2764025,0
2015-09-01,17.453,17.653,17.189,17.293,4346715,0
2015-09-02,17.511,17.889,17.427,17.88,4481731,0
2015-09-03,17.899,18.229,17.823,18.117,4214340,0
2015-09-04,17.794,18.059,17.701,17.823,5005736,0
2015-09-08,18.146,18.467,18.041,18.411,5174346,0
2015-09-09,18.551,18.6,18.088,18.127,3470059,0
2015-09-10,18.069,18.372,18.003,18.191,2040495,0
