Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,13.108,13.108,12.939,12.964,315591,0
2015-01-05,12.949,12.949,12.734,12.836,231298,0
2015-01-06,12.829,12.863,12.734,12.846,119854,0
2015-01-07,12.87,12.892,12.734,12.892,219618,0
2015-01-08,12.892,12.99,12.829,12.99,178329,0
2015-01-09,13.003,13.018,12.822,12.892,181105,0
2015-01-12,12.906,13.003,12.87,13.003,238845,0
2015-01-13,12.957,12.973,12.836,12.93,192693,0
2015-01-14,12.886,13.011,12.812,12.836,187013,0
2015-01-15,12.863,12.878,12.795,12.812,119278,0
2015-01-16,12.863,12.99,12.829,12.99,154934,0
2015-01-20,12.939,12.995,12.9,12.981,270619,0
2015-01-21,12.99,13.051,12.93,13.051,139216,0
2015-01-22,13.137,13.137,13.051,13.116,241206,0
2015-01-23,13.123,13.161,13.084,13.137,130213,0
2015-01-26,13.116,13.161,13.051,13.065,166233,0
2015-01-27,13.027,13.116,13.011,13.075,85744,0
2015-01-28,13.084,13.084,12.886,12.915,153622,0
2015-01-29,12.892,13.003,12.87,13.003,176874,0
2015-01-30,12.957,12.964,12.853,12.863,162248,0
2015-02-02,12.892,12.923,12.822,12.87,135930,0
2015-02-03,12.886,13.051,12.886,13.051,109961,0
2015-02-04,12.99,13.065,12.93,13.065,114007,0
2015-02-05,13.084,13.092,13.011,13.051,131942,0
2015-02-06,13.065,13.084,12.995,13.027,110212,0
2015-02-09,13.027,13.059,12.973,13.051,144857,0
2015-02-10,13.043,13.084,12.99,13.075,119231,0
2015-02-11,13.075,13.129,13.027,13.129,85431,0
2015-02-12,13.116,13.123,13.059,13.065,72423,0
2015-02-13,13.108,13.154,13.059,13.092,133383,0
2015-02-17,13.092,13.092,12.973,13.003,137306,0
2015-02-18,13.003,13.011,12.939,13.011,129732,0
2015-02-19,13.005,13.141,12.974,12.983,175872,0
2015-02-20,12.983,13.095,12.974,13.086,95430,0
2015-02-23,13.103,13.171,13.077,13.141,75950,0
2015-02-24,13.131,13.268,13.118,13.268,121224,0
2015-02-25,13.293,13.293,13.171,13.268,108622,0
2015-02-26,13.228,13.319,13.171,13.31,192874,0
2015-02-27,13.3,13.405,13.285,13.349,212944,0
2015-03-02,13.358,13.397,13.3,13.349,147496,0
2015-03-03,13.319,13.371,13.237,13.358,149122,0
2015-03-04,13.34,13.366,13.275,13.31,90075,0
2015-03-05,13.275,13.319,13.255,13.293,129733,0
2015-03-06,13.268,13.31,13.206,13.31,130230,0
2015-03-09,13.293,13.31,13.228,13.293,87574,0
2015-03-10,13.228,13.275,13.221,13.275,93579,0
2015-03-11,13.268,13.268,13.221,13.246,69933,0
2015-03-12,13.246,13.293,13.148,13.157,124600,0
