Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,11.439,11.571,11.327,11.553,1230055,0
2015-01-05,11.496,11.591,11.458,11.54,1112293,0
2015-01-06,11.576,11.615,11.474,11.511,2310261,0
2015-01-07,11.54,11.584,11.468,11.54,1272257,0
2015-01-08,11.553,11.576,11.468,11.496,1029355,0
2015-01-09,11.496,11.511,11.333,11.377,1359436,0
2015-01-12,11.377,11.458,11.275,11.43,1517133,0
2015-01-13,11.43,11.503,11.377,11.474,3548862,0
2015-01-14,11.42,11.458,11.237,11.339,1810272,0
2015-01-15,11.348,11.401,11.261,11.283,1695476,0
2015-01-16,11.283,11.392,11.215,11.392,1828193,0
2015-01-20,11.401,11.414,11.141,11.193,1518300,0
2015-01-21,11.172,11.266,11.172,11.253,1323993,0
2015-01-22,11.304,11.519,11.289,11.519,1611721,0
2015-01-23,11.511,11.534,11.401,11.42,727935,0
2015-01-26,11.401,11.576,11.356,11.571,1026465,0
2015-01-27,11.519,11.563,11.468,11.54,2138674,0
2015-01-28,11.548,11.571,11.489,11.519,1728570,0
2015-01-29,11.511,11.511,11.319,11.481,1528344,0
2015-01-30,11.414,11.458,11.296,11.319,1724526,0
2015-02-02,11.289,11.392,11.164,11.296,2399285,0
2015-02-03,11.283,11.458,11.215,11.42,1398108,0
2015-02-04,11.377,11.385,11.231,11.253,1530696,0
2015-02-05,11.261,11.333,11.231,11.327,1137183,0
2015-02-06,11.312,11.312,11.202,11.245,1578880,0
2015-02-09,11.224,11.339,11.224,11.253,1292136,0
2015-02-10,11.289,11.289,11.172,11.231,1110309,0
2015-02-11,11.231,11.283,11.186,11.215,926856,0
2015-02-12,11.253,11.385,11.224,11.304,905670,0
2015-02-13,11.327,11.348,11.253,11.312,1291067,0
2015-02-17,11.266,11.414,11.266,11.339,1051173,0
2015-02-18,11.348,11.392,11.253,11.385,1705337,0
2015-02-19,11.371,11.439,11.304,11.401,1297425,0
2015-02-20,11.385,11.414,11.304,11.365,1145889,0
2015-02-23,11.371,11.392,11.266,11.377,1059634,0
2015-02-24,11.42,11.755,11.385,11.709,4247006,0
2015-02-25,11.673,11.791,11.664,11.761,1448687,0
2015-02-26,11.761,11.798,11.709,11.747,1094374,0
2015-02-27,11.739,11.807,11.688,11.784,1904217,0
2015-03-02,11.821,11.901,11.739,11.769,1505554,0
2015-03-03,11.747,11.888,11.709,11.807,2562656,0
2015-03-04,11.798,11.836,11.769,11.828,2028550,0
2015-03-05,11.836,11.863,11.755,11.778,1479670,0
2015-03-06,11.688,11.726,11.481,11.489,1833120,0
2015-03-09,11.548,11.653,11.489,11.503,1438062,0
2015-03-10,11.468,11.534,11.401,11.474,1191543,0
