Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,16.044,16.205,15.769,16.053,896044,0
2015-01-05,15.844,15.863,15.474,15.635,2753022,0
2015-01-06,15.59,15.749,15.315,15.474,1916046,0
2015-01-07,15.635,15.749,15.353,15.437,867481,0
2015-01-08,15.59,15.929,15.389,15.863,1239011,0
2015-01-09,15.769,15.9,15.145,15.248,1183946,0
2015-01-12,15.181,15.181,14.729,14.927,1068212,0
2015-01-13,14.984,15.116,14.387,14.746,2028741,0
2015-01-14,14.51,14.841,14.159,14.585,2972016,0
2015-01-15,14.746,14.898,14.131,14.236,2746243,0
2015-01-16,14.159,14.936,14.14,14.927,2240714,0
2015-01-20,14.831,15.039,14.679,14.917,2596837,0
2015-01-21,14.869,15.731,14.869,15.721,3715284,0
2015-01-22,15.807,16.098,15.315,15.533,3442266,0
2015-01-23,15.456,16.677,15.398,16.66,3623495,0
2015-01-26,16.63,16.763,16.374,16.612,2257796,0
2015-01-27,16.035,16.205,15.721,15.91,1668096,0
2015-01-28,15.891,15.948,15.305,15.335,1538443,0
2015-01-29,15.389,15.807,15.325,15.749,1847313,0
2015-01-30,15.561,15.882,15.379,15.644,1872599,0
2015-02-02,15.825,16.743,15.807,16.723,1981788,0
2015-02-03,16.951,17.208,16.677,17.048,2715187,0
2015-02-04,16.883,16.903,16.185,16.404,1930519,0
2015-02-05,16.515,16.65,16.344,16.451,4666984,0
2015-02-06,16.534,16.763,16.487,16.66,1655560,0
2015-02-09,16.677,17.093,16.66,16.792,2671095,0
2015-02-10,16.858,17.019,16.64,16.772,2177929,0
2015-02-11,16.622,16.971,16.515,16.792,1566162,0
2015-02-12,16.961,17.075,16.858,17.019,1353242,0
2015-02-13,17.169,17.265,16.923,17.208,1972569,0
2015-02-17,17.159,17.33,16.883,16.923,2406750,0
2015-02-18,17.009,17.093,16.723,16.839,4819865,0
2015-02-19,16.66,16.971,16.593,16.932,3798118,0
2015-02-20,16.903,17.208,16.753,17.15,1753454,0
2015-02-23,16.999,17.075,16.802,17.029,976827,0
2015-02-24,17.102,17.339,17.019,17.065,1056551,0
2015-02-25,17.112,17.218,16.961,17.188,1382361,0
2015-02-26,17.159,17.198,16.883,16.932,1238186,0
2015-02-27,16.574,17.367,14.813,15.417,6537245,0
2015-03-02,15.372,15.474,15.173,15.266,1842910,0
2015-03-03,14.869,15.199,14.737,14.755,4635748,0
2015-03-04,14.669,14.984,14.519,14.936,1556695,0
2015-03-05,14.898,15.02,14.784,14.964,1352890,0
2015-03-06,14.831,15.116,14.538,14.66,1772228,0
2015-03-09,14.651,14.755,14.481,14.729,1764408,0
2015-03-10,14.481,14.642,14.085,14.188,3958088,0
2015-03-11,14.217,14.301,14.048,14.197,1740110,0
2015-03-12,14.33,14.549,14.255,14.32,2431146,0
2015-03-13,14.236,14.293,13.828,13.968,1812379,0
2015-03-16,13.978,14.084,13.798,13.988,1167652,0
2015-03-17,13.902,14.017,13.779,13.808,1193714,0
2015-03-18,13.712,14.037,13.493,13.93,1700247,0
2015-03-19,13.818,13.818,13.419,13.589,1525063,0
2015-03-20,13.702,13.808,13.569,13.712,1931863,0
2015-03-23,13.749,13.978,13.648,13.902,2871369,0
2015-03-24,13.92,13.988,13.683,13.828,2647211,0
2015-03-25,13.902,13.902,13.521,13.683,1601569,0
2015-03-26,13.693,13.847,13.628,13.712,1194031,0
2015-03-27,13.648,13.712,13.322,13.569,1380776,0
2015-03-30,13.618,13.779,13.454,13.729,914386,0
2015-03-31,13.608,13.837,13.549,13.779,1514465,0
2015-04-01,13.759,13.866,13.608,13.712,1604090,0
2015-04-02,13.648,13.998,13.648,13.911,1754157,0
2015-04-06,13.92,14.33,13.866,14.264,2614318,0
2015-04-07,14.226,14.273,13.893,13.902,1425581,0
2015-04-08,13.958,14.217,13.911,14.091,1463376,0
2015-04-09,14.091,14.416,14.091,14.378,1457650,0
2015-04-10,14.445,14.587,14.398,14.521,1565733,0
2015-04-13,14.217,14.398,13.949,14.302,1758467,0
2015-04-14,14.35,14.53,14.35,14.492,1695728,0
2015-04-15,14.587,14.978,14.455,14.883,1759801,0
2015-04-16,14.835,14.911,14.587,14.663,2033090,0
2015-04-17,14.521,14.712,14.34,14.692,1999541,0
2015-04-20,14.74,14.863,14.559,14.845,1813805,0
2015-04-21,14.863,14.987,14.53,14.863,3420464,0
2015-04-22,14.863,15.044,14.654,15.044,1972690,0
2015-04-23,15.034,15.37,14.996,15.301,1797140,0
2015-04-24,15.234,15.341,15.015,15.083,2269161,0
2015-04-27,15.15,15.234,14.873,14.978,2106209,0
2015-04-28,14.911,15.177,14.845,15.102,2228115,0
2015-04-29,16.053,16.346,15.633,16.236,4650958,0
2015-04-30,16.309,17.262,16.29,16.624,7717371,0
2015-05-01,16.586,16.671,16.271,16.537,1916523,0
2015-05-04,16.596,17.128,16.577,16.898,3098678,0
2015-05-05,16.937,17.128,16.834,16.937,3955369,0
2015-05-06,17.062,17.291,16.898,17.232,3057370,0
2015-05-07,17.128,17.547,17.089,17.128,3297476,0
2015-05-08,17.147,17.547,16.995,17.3,2204152,0
2015-05-11,17.242,17.442,17.052,17.337,1326969,0
2015-05-12,17.282,17.347,17.089,17.232,1479898,0
2015-05-13,17.232,17.482,17.128,17.404,1989663,0
2015-05-14,17.501,17.71,17.282,17.412,1547552,0
2015-05-15,17.356,17.442,17.157,17.3,1756320,0
2015-05-18,17.195,17.556,17.138,17.519,1325352,0
2015-05-19,17.404,17.537,17.005,17.291,1390863,0
2015-05-20,17.356,17.832,17.224,17.802,2889548,0
2015-05-21,17.832,17.928,17.491,17.642,1533679,0
2015-05-22,17.528,17.612,17.252,17.412,950011,0
2015-05-26,17.252,17.462,17.157,17.272,1530592,0
2015-05-27,17.3,17.881,17.147,17.832,2745576,0
2015-05-28,17.793,17.871,17.592,17.765,2206415,0
2015-05-29,17.852,18.413,17.612,18.224,3446314,0
2015-06-01,18.224,18.47,17.946,18.298,3036046,0
2015-06-02,18.326,18.679,18.289,18.536,1705060,0
2015-06-03,18.575,18.879,18.365,18.423,2015936,0
2015-06-04,18.261,18.946,18.155,18.642,3444739,0
2015-06-05,18.594,19.392,18.565,19.089,3061370,0
2015-06-08,19.317,19.422,18.994,19.06,2659087,0
2015-06-09,19.146,19.412,19.079,19.192,2013958,0
2015-06-10,19.431,19.498,19.298,19.364,1984723,0
2015-06-11,19.308,19.469,19.001,19.03,3473117,0
2015-06-12,18.992,19.001,18.811,18.992,2321413,0
2015-06-15,18.792,18.877,18.313,18.838,2176228,0
2015-06-16,18.829,19.059,18.744,18.887,1590771,0
2015-06-17,19.001,19.145,18.772,18.973,1708950,0
2015-06-18,19.039,19.078,18.792,18.887,2315133,0
2015-06-19,18.964,19.785,18.925,19.564,3341279,0
2015-06-22,19.7,19.756,19.489,19.564,2440014,0
2015-06-23,19.584,19.765,19.536,19.68,1927260,0
2015-06-24,19.622,19.842,19.422,19.441,2188160,0
2015-06-25,19.451,19.489,19.059,19.098,1982365,0
2015-06-26,19.068,19.259,18.819,18.925,2577242,0
2015-06-29,18.686,18.954,18.39,18.409,1477616,0
2015-06-30,18.562,18.657,18.361,18.61,1679307,0
2015-07-01,18.657,18.772,18.16,18.381,1444432,0
2015-07-02,18.457,18.657,18.351,18.439,805278,0
2015-07-06,18.131,18.341,17.903,17.958,1181484,0
2015-07-07,17.932,18.027,17.32,17.978,2022457,0
2015-07-08,17.836,18.095,17.454,17.559,1679536,0
2015-07-09,17.866,17.988,17.474,17.484,1906371,0
2015-07-10,17.595,17.731,17.521,17.625,1327404,0
2015-07-13,17.713,17.894,17.645,17.866,1210899,0
2015-07-14,17.826,18.076,17.806,17.95,1104797,0
2015-07-15,17.856,17.932,17.243,17.253,1404338,0
2015-07-16,17.503,17.559,17.206,17.311,1148407,0
2015-07-17,17.292,17.292,16.995,17.09,695471,0
2015-07-20,17.082,17.157,16.937,17.099,757859,0
2015-07-21,17.119,17.377,17.09,17.253,1079007,0
2015-07-22,17.139,17.225,16.967,17.015,803602,0
2015-07-23,17.044,17.405,16.643,16.786,1967606,0
2015-07-24,16.786,16.844,16.335,16.507,2100651,0
2015-07-27,16.242,16.516,16.145,16.374,825584,0
2015-07-28,16.516,16.756,16.374,16.689,1546283,0
2015-07-29,16.698,17.062,16.663,16.957,1629187,0
2015-07-30,16.908,17.015,16.706,16.872,1213097,0
2015-07-31,16.796,17.044,16.624,16.689,1723500,0
2015-08-03,16.643,16.834,16.434,16.479,1546632,0
2015-08-04,17.75,18.762,17.263,17.569,3841109,0
2015-08-05,17.703,18.14,17.283,17.377,2533594,0
2015-08-06,17.569,18.122,17.424,17.988,3081188,0
2015-08-07,17.866,18.066,17.444,17.464,2795284,0
2015-08-10,17.586,18.15,17.397,18.122,2012723,0
2015-08-11,17.903,18.113,17.731,18.046,1673358,0
2015-08-12,17.894,18.066,17.605,17.978,1078902,0
2015-08-13,17.846,17.913,17.615,17.703,934029,0
2015-08-14,17.703,17.846,17.625,17.703,1063933,0
2015-08-17,17.605,17.875,17.33,17.721,1418682,0
2015-08-18,17.615,17.759,17.464,17.559,881063,0
2015-08-19,17.414,17.512,17.072,17.367,1145477,0
2015-08-20,17.292,17.292,16.716,16.716,938007,0
2015-08-21,16.545,16.689,16.269,16.374,2256620,0
2015-08-24,15.82,16.354,15.39,15.572,2505251,0
2015-08-25,16.012,16.078,15.171,15.18,2178950,0
2015-08-26,15.601,15.637,15.143,15.544,1682154,0
2015-08-27,15.783,16.297,15.716,16.173,2483138,0
2015-08-28,16.031,16.653,16.031,16.479,1531943,0
2015-08-31,16.306,16.908,16.233,16.663,1440561,0
2015-09-01,16.277,16.507,16.021,16.078,1240524,0
2015-09-02,16.213,16.443,16.059,16.434,1386860,0
2015-09-03,16.404,16.824,16.287,16.424,1917676,0
2015-09-04,16.155,16.242,16.059,16.106,817420,0
2015-09-08,16.364,16.545,16.173,16.525,1332639,0
2015-09-09,16.716,16.776,16.223,16.251,920946,0
2015-09-10,16.233,16.233,15.82,16.173,1272112,0
2015-09-11,16.096,16.405,16.039,16.345,1360722,0
2015-09-14,16.242,16.577,16.213,16.355,1279042,0
2015-09-15,16.425,16.655,16.345,16.655,961286,0
2015-09-16,16.749,16.951,16.655,16.789,1284877,0
2015-09-17,16.739,16.892,16.518,16.537,1140012,0
2015-09-18,16.251,16.395,15.943,16.011,1863504,0
2015-09-21,16.155,16.336,16.049,16.223,1378431,0
2015-09-22,15.953,16.213,15.933,16.125,1444692,0
2015-09-23,16.193,16.193,15.512,15.551,1835167,0
2015-09-24,15.424,15.963,15.31,15.943,1199362,0
2015-09-25,16.058,16.115,15.569,15.644,1155587,0
2015-09-28,15.434,15.434,15.011,15.262,1479246,0
2015-09-29,15.3,15.443,15.128,15.369,1346134,0
2015-09-30,15.56,16.011,15.532,15.992,1386351,0
2015-10-01,16.096,16.233,15.694,16.001,1824019,0
2015-10-02,15.761,16.691,15.684,16.691,1265915,0
2015-10-05,16.874,17.691,16.759,17.672,2615472,0
2015-10-06,17.691,18.42,17.672,18.209,2217307,0
2015-10-07,18.382,18.641,17.94,18.535,3292046,0
2015-10-08,18.449,18.669,18.219,18.641,3783475,0
2015-10-09,18.757,18.938,18.467,18.765,2506411,0
2015-10-12,18.804,18.804,18.583,18.612,1299959,0
2015-10-13,18.467,18.795,18.333,18.342,1376244,0
2015-10-14,18.333,18.333,17.931,18.122,1747132,0
2015-10-15,18.036,18.084,17.592,18.055,1654308,0
2015-10-16,18.007,18.026,17.518,17.592,1405937,0
2015-10-19,17.41,17.775,17.41,17.719,774142,0
2015-10-20,17.662,18.14,17.632,17.854,780459,0
2015-10-21,17.893,18.016,17.41,17.45,1155170,0
2015-10-22,17.566,17.729,17.42,17.518,1536685,0
2015-10-23,17.566,17.775,17.41,17.729,1229764,0
2015-10-26,17.701,17.795,17.268,17.393,1209032,0
2015-10-27,17.181,17.363,16.922,17.085,906800,0
2015-10-28,17.211,17.622,17.104,17.576,1371141,0
2015-10-29,17.49,17.729,17.403,17.509,1112143,0
2015-10-30,17.509,17.873,17.316,17.701,1436462,0
2015-11-02,18.046,18.458,17.41,18.219,1952809,0
2015-11-03,18.295,18.871,18.228,18.631,2792911,0
2015-11-04,18.717,18.814,18.545,18.631,1279004,0
2015-11-05,18.593,18.785,18.342,18.707,1624718,0
2015-11-06,18.525,18.554,18.084,18.199,2560378,0
2015-11-09,18.209,18.276,17.977,18.219,1258341,0
2015-11-10,18.209,18.545,18.131,18.42,1315298,0
2015-11-11,18.486,18.525,18.266,18.401,635197,0
2015-11-12,18.199,18.199,17.335,17.354,1681808,0
2015-11-13,16.902,17.326,16.827,16.989,2547354,0
2015-11-16,17.066,17.701,16.951,17.622,2678623,0
2015-11-17,17.622,17.622,17.124,17.211,1677226,0
2015-11-18,17.363,17.854,17.268,17.834,2010608,0
2015-11-19,17.775,18.131,17.711,18.026,1424169,0
2015-11-20,18.113,18.237,17.804,17.824,1160796,0
2015-11-23,17.719,18.15,17.719,18.036,1071719,0
2015-11-24,18.084,18.602,17.873,18.574,1886216,0
2015-11-25,18.535,18.804,18.352,18.476,1865170,0
2015-11-27,18.41,18.727,18.324,18.593,542997,0
2015-11-30,18.659,18.832,18.42,18.659,1411042,0
2015-12-01,18.669,19.033,18.583,18.88,1102765,0
2015-12-02,18.747,19.14,18.747,18.871,1208003,0
2015-12-03,18.977,19.014,18.659,18.775,1543352,0
2015-12-04,18.669,18.814,18.554,18.669,1309880,0
2015-12-07,18.065,18.189,17.509,17.584,2177612,0
2015-12-08,17.248,17.43,17.114,17.238,2550927,0
2015-12-09,17.22,17.592,16.866,16.951,1598778,0
2015-12-10,16.892,17.029,16.665,16.769,1656598,0
2015-12-11,16.654,16.847,16.423,16.526,1199244,0
2015-12-14,16.433,16.517,16.055,16.383,1424162,0
2015-12-15,16.536,16.827,16.508,16.739,1195095,0
2015-12-16,16.807,16.981,16.634,16.837,805786,0
2015-12-17,16.837,16.837,16.383,16.393,976900,0
2015-12-18,16.325,16.508,16.276,16.296,2244796,0
2015-12-21,16.383,16.413,16.161,16.286,962072,0
2015-12-22,16.325,16.596,16.22,16.526,1257983,0
2015-12-23,16.7,17.087,16.606,17.03,792513,0
2015-12-24,17.02,17.203,16.981,17.039,333413,0
2015-12-28,16.893,16.893,16.433,16.586,912941,0
2015-12-29,16.729,16.837,16.44,16.672,683320,0
2015-12-30,16.508,16.759,16.344,16.363,870455,0
2015-12-31,16.315,16.517,16.113,16.315,902364,0
2016-01-04,16.103,16.403,15.939,16.344,1466883,0
2016-01-05,16.334,16.488,15.816,15.823,830328,0
2016-01-06,15.457,15.756,15.303,15.573,1011075,0
2016-01-07,15.205,15.428,14.84,14.84,1011048,0
2016-01-08,14.918,15.007,14.493,14.513,1014296,0
2016-01-11,14.57,14.57,14.175,14.387,1576219,0
2016-01-12,14.56,14.609,14.253,14.503,1896018,0
2016-01-13,14.84,14.849,14.272,14.348,1222903,0
2016-01-14,14.455,14.55,14.185,14.281,1554451,0
2016-01-15,13.819,14.145,13.735,14.126,1229702,0
2016-01-19,14.3,14.3,13.683,13.779,1438491,0
2016-01-20,13.461,13.943,13.201,13.789,1229011,0
2016-01-21,13.789,13.923,13.394,13.49,1736407,0
2016-01-22,13.809,14.06,13.248,13.346,3133547,0
2016-01-25,13.105,13.248,12.584,12.584,2383533,0
2016-01-26,12.7,13.658,12.556,13.606,2652374,0
2016-01-27,13.394,13.655,12.878,13.105,2636670,0
2016-01-28,13.537,13.557,13.124,13.229,1411553,0
2016-01-29,13.307,13.76,13.268,13.75,1720717,0
2016-02-01,13.577,13.587,13.229,13.298,1189932,0
2016-02-02,12.989,13.191,12.902,13.036,777276,0
2016-02-03,13.181,13.211,12.284,12.593,1570478,0
2016-02-04,12.584,13.034,12.56,12.68,1351452,0
2016-02-05,12.487,12.69,12.41,12.448,1212189,0
2016-02-08,12.265,12.265,11.6,11.823,1312645,0
2016-02-09,11.62,11.956,11.571,11.852,2730449,0
2016-02-10,11.88,11.986,11.679,11.89,1942540,0
2016-02-11,11.58,11.679,11.19,11.339,1655016,0
2016-02-12,11.358,11.575,11.273,11.561,1627979,0
2016-02-16,11.783,11.784,11.388,11.716,1799216,0
2016-02-17,11.842,12.319,11.842,12.092,1249043,0
2016-02-18,12.159,12.314,11.753,11.793,2576990,0
2016-02-19,11.669,11.793,11.407,11.753,1564186,0
2016-02-22,11.9,12.188,11.832,12.025,1268653,0
2016-02-23,11.936,12.198,11.9,11.986,1211922,0
2016-02-24,11.803,12.218,11.763,12.188,1346022,0
2016-02-25,12.228,12.556,12.073,12.439,1779712,0
2016-02-26,14.041,14.474,13.374,13.655,3210878,0
2016-02-29,13.789,13.789,13.201,13.337,1993948,0
2016-03-01,13.471,13.529,13.154,13.414,1422417,0
2016-03-02,13.364,13.693,13.268,13.529,1384791,0
2016-03-03,13.597,13.904,13.49,13.829,1283947,0
2016-03-04,13.904,14.612,13.72,14.291,2084410,0
2016-03-07,14.318,14.811,14.224,14.802,1301052,0
2016-03-08,14.638,14.772,13.982,13.992,1906364,0
2016-03-09,14.135,14.253,13.848,14.135,1700335,0
2016-03-10,14.165,14.3,13.913,14.135,1380930,0
2016-03-11,14.31,14.66,14.282,14.592,1376868,0
2016-03-14,14.428,14.737,14.388,14.699,1961015,0
2016-03-15,14.428,14.466,14.04,14.145,837578,0
2016-03-16,14.126,14.669,14.116,14.602,720624,0
2016-03-17,14.65,14.903,14.543,14.729,1801465,0
2016-03-18,14.699,14.863,14.466,14.66,2326689,0
2016-03-21,14.65,14.863,14.592,14.719,1335295,0
2016-03-22,14.66,14.883,14.486,14.844,1171562,0
2016-03-23,14.729,14.729,14.49,14.505,936946,0
2016-03-24,14.398,14.582,14.263,14.552,833666,0
2016-03-28,14.737,14.825,14.457,14.612,802518,0
2016-03-29,14.457,14.883,14.447,14.883,1266230,0
2016-03-30,14.951,15.136,14.786,14.951,1096680,0
2016-03-31,14.863,15.086,14.737,15.009,910729,0
2016-04-01,14.756,14.825,14.486,14.719,1828667,0
2016-04-04,14.729,14.853,14.349,14.369,1394646,0
2016-04-05,14.234,14.301,14.05,14.126,1418993,0
2016-04-06,14.185,14.194,13.866,14.001,1198325,0
2016-04-07,13.827,13.866,13.429,13.67,1933080,0
2016-04-08,13.903,14.02,13.564,13.66,1789805,0
2016-04-11,13.768,14.001,13.69,13.856,1128226,0
2016-04-12,13.922,14.398,13.866,14.116,1892891,0
2016-04-13,14.244,14.612,14.096,14.523,1194764,0
2016-04-14,14.572,14.641,14.185,14.244,1575351,0
2016-04-15,14.175,14.282,14.001,14.06,1277098,0
2016-04-18,13.903,14.214,13.758,14.155,1331028,0
2016-04-19,14.282,14.597,14.194,14.466,1356144,0
2016-04-20,14.457,14.523,14.263,14.398,1664795,0
2016-04-21,14.438,14.689,14.349,14.515,1312710,0
2016-04-22,14.592,14.956,14.495,14.602,1700276,0
2016-04-25,14.495,14.602,14.131,14.224,1173376,0
2016-04-26,14.31,14.457,14.165,14.359,1685687,0
2016-04-27,14.408,14.669,14.319,14.612,1381867,0
2016-04-28,14.523,14.766,14.447,14.612,1944509,0
2016-04-29,15.009,15.435,14.766,15.086,2450989,0
2016-05-02,14.98,15.018,14.329,14.562,2308815,0
2016-05-03,14.339,14.388,13.932,14.135,1947979,0
2016-05-04,14.08,14.31,13.932,14.02,1070864,0
2016-05-05,14.185,14.339,14.011,14.165,1110208,0
2016-05-06,14.04,14.438,14.001,14.359,1496020,0
2016-05-09,14.214,14.277,13.797,13.884,961993,0
2016-05-10,14.001,14.175,13.922,14.087,1180934,0
2016-05-11,14.02,14.185,13.932,14.011,830996,0
2016-05-12,14.126,14.224,13.966,14.087,851862,0
2016-05-13,13.981,14.126,13.584,13.613,795907,0
2016-05-16,13.787,14.06,13.728,13.952,780148,0
2016-05-17,13.922,14.14,13.874,13.942,1011159,0
2016-05-18,13.807,13.932,13.574,13.633,995348,0
2016-05-19,13.457,13.613,13.322,13.506,814588,0
2016-05-20,13.603,13.866,13.603,13.836,614067,0
2016-05-23,13.846,13.874,13.67,13.778,566805,0
2016-05-24,13.728,13.942,13.623,13.903,995319,0
2016-05-25,14.05,14.466,13.894,14.418,1607872,0
2016-05-26,14.466,14.495,14.106,14.378,1295978,0
2016-05-27,14.339,14.378,14.03,14.145,3370605,0
2016-05-31,14.214,14.329,14.035,14.106,2394132,0
2016-06-01,14.06,14.126,13.807,14.07,2989016,0
2016-06-02,14.02,14.552,14.02,14.552,1665266,0
2016-06-03,14.572,14.582,14.388,14.495,4305007,0
2016-06-06,14.612,14.66,14.476,14.505,4266877,0
2016-06-07,14.515,14.834,14.486,14.806,2557966,0
2016-06-08,14.903,15.047,14.746,14.999,1299481,0
2016-06-09,14.796,14.903,14.669,14.806,1195898,0
2016-06-10,14.552,14.66,14.263,14.282,1437581,0
2016-06-13,14.154,14.334,13.901,13.91,1519672,0
2016-06-14,13.882,14.024,13.555,13.619,1368684,0
2016-06-15,13.667,13.844,13.415,13.433,1108217,0
2016-06-16,13.277,13.433,13.053,13.433,1311260,0
2016-06-17,13.462,13.619,13.228,13.277,1713330,0
2016-06-20,13.58,13.684,13.477,13.55,812767,0
2016-06-21,13.502,13.687,13.415,13.609,912217,0
2016-06-22,13.717,13.794,13.56,13.56,808146,0
2016-06-23,13.784,14.019,13.707,13.989,891768,0
2016-06-24,13.219,13.472,12.722,12.791,1207146,0
2016-06-27,12.478,12.576,11.776,11.884,2180118,0
2016-06-28,12.088,12.235,11.981,12.185,2269086,0
2016-06-29,12.448,12.688,12.215,12.683,2105001,0
2016-06-30,12.703,12.907,12.518,12.907,1454560,0
2016-07-01,12.868,13.142,12.791,12.947,1196275,0
2016-07-05,12.799,12.927,12.37,12.605,1329463,0
2016-07-06,12.498,12.828,12.41,12.772,1268526,0
2016-07-07,12.927,13.122,12.742,12.838,777647,0
2016-07-08,13.053,13.337,12.977,13.277,849806,0
2016-07-11,13.462,13.775,13.415,13.6,1387576,0
2016-07-12,13.824,14.259,13.775,14.204,1390504,0
