Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,80.275,80.275,79.078,79.356,90338,0
2015-01-05,78.613,79.347,77.09,78.362,60447,0
2015-01-06,78.642,80.359,78.121,79.737,69104,0
2015-01-07,80.638,81.408,78.994,80.398,66252,0
2015-01-08,81.27,82.292,80.944,81.381,48569,0
2015-01-09,81.279,83.682,81.279,83.163,65870,0
2015-01-12,82.978,83.451,81.947,82.273,64223,0
2015-01-13,82.718,84.602,82.115,83.489,70530,0
2015-01-14,83.08,84.056,82.263,82.672,90099,0
2015-01-15,83.006,83.033,79.132,79.198,82938,0
2015-01-16,79.124,81.056,79.124,80.749,28957,0
2015-01-20,81.855,81.855,80.406,80.804,59626,0
2015-01-21,80.695,81.855,79.626,80.72,66200,0
2015-01-22,80.804,84.027,80.536,81.158,108659,0
2015-01-23,80.527,80.581,79.265,79.542,69849,0
2015-01-26,79.32,79.504,78.512,79.413,72259,0
2015-01-27,78.429,80.591,78.391,80.24,54191,0
2015-01-28,80.433,80.472,78.345,78.836,56188,0
2015-01-29,78.79,78.892,77.509,77.694,67367,0
2015-01-30,77.249,77.249,74.788,75.485,125673,0
2015-02-02,75.428,76.914,74.751,76.72,34924,0
2015-02-03,76.988,78.735,76.755,77.732,74776,0
2015-02-04,77.648,77.702,75.383,76.145,106674,0
2015-02-05,75.967,77.416,75.142,76.896,135088,0
2015-02-06,77.129,77.796,76.431,76.459,100201,0
2015-02-09,76.645,76.97,75.874,76.607,76617,0
2015-02-10,76.942,77.602,76.311,77.212,81095,0
2015-02-11,77.183,77.193,75.679,76.849,138346,0
2015-02-12,77.109,78.41,77.072,78.112,65424,0
2015-02-13,78.056,78.696,77.406,78.66,40308,0
2015-02-17,78.66,78.66,77.619,78.186,60396,0
2015-02-18,78.029,78.994,77.796,78.846,75963,0
2015-02-19,78.735,79.885,78.419,79.152,30581,0
2015-02-20,78.78,81.25,78.78,81.065,101814,0
2015-02-23,81.26,81.585,80.368,81.01,108634,0
2015-02-24,81.01,82.059,79.774,81.158,106098,0
2015-02-25,80.833,80.833,78.577,79.876,145943,0
2015-02-26,79.645,82.317,79.524,81.985,118085,0
2015-02-27,81.929,82.375,80.117,80.136,131358,0
2015-03-02,79.607,79.719,76.858,76.878,119322,0
2015-03-03,76.896,76.896,74.667,75.586,135691,0
2015-03-04,75.167,75.167,73.999,74.082,73123,0
2015-03-05,74.055,75.652,73.748,75.28,90461,0
2015-03-06,74.138,74.834,73.45,74.343,134075,0
2015-03-09,74.277,74.277,72.651,73.227,92292,0
2015-03-10,73.162,73.162,72.383,72.921,63323,0
2015-03-11,72.699,74.286,72.198,73.851,107153,0
2015-03-12,74.714,76.747,74.175,76.367,83353,0
2015-03-13,76.004,76.023,74.601,75.94,55569,0
2015-03-16,75.846,76.394,75.317,75.391,121906,0
2015-03-17,74.974,75.763,74.592,75.743,91429,0
2015-03-18,75.41,76.329,73.6,76.135,133968,0
2015-03-19,75.736,76.263,73.59,73.851,108877,0
2015-03-20,74.166,76.189,74.119,75.837,313167,0
2015-03-23,75.93,77.016,75.93,76.71,93908,0
2015-03-24,76.459,76.878,76.031,76.088,45447,0
2015-03-25,76.701,76.701,74.259,74.333,71508,0
2015-03-26,74.369,74.369,72.69,73.201,105536,0
2015-03-27,73.162,74.259,72.606,73.033,56752,0
2015-03-30,73.237,74.36,72.987,73.748,62353,0
2015-03-31,73.302,74.547,72.967,74.156,68113,0
2015-04-01,74.427,75.048,73.59,74.277,98969,0
2015-04-02,74.443,75.791,73.935,75.698,99183,0
2015-04-06,76.338,78.075,76.199,76.589,102522,0
2015-04-07,76.431,78.846,76.431,78.493,58318,0
2015-04-08,78.603,78.67,76.775,77.082,64291,0
2015-04-09,76.775,77.694,76.525,77.119,98612,0
2015-04-10,77.045,77.072,75.624,76.041,73984,0
2015-04-13,75.782,76.105,74.323,74.751,60954,0
2015-04-14,75.122,75.819,74.323,74.695,58369,0
2015-04-15,74.649,75.159,74.129,74.658,95707,0
2015-04-16,74.675,76.441,74.222,76.061,91687,0
2015-04-17,75.615,75.615,72.967,73.265,90245,0
2015-04-20,73.432,73.46,72.189,72.189,75421,0
2015-04-21,72.401,73.311,71.697,72.735,147711,0
2015-04-22,72.847,72.93,71.632,72.541,97354,0
2015-04-23,72.411,73.172,72.002,73.061,76246,0
2015-04-24,72.764,73.359,72.105,72.559,68231,0
2015-04-27,72.699,73.534,72.606,73.349,59339,0
2015-04-28,73.637,74.166,73.237,73.487,65243,0
2015-04-29,73.181,76.051,73.181,75.502,174784,0
2015-04-30,74.522,75.38,74.184,75.162,251300,0
2015-05-01,75.322,76.037,75.256,75.83,103752,0
2015-05-04,76.122,76.142,75.407,75.51,84191,0
2015-05-05,75.445,77.975,75.445,76.724,107685,0
2015-05-06,77.345,78.079,75.51,77.147,106695,0
2015-05-07,76.705,77.646,75.398,75.633,80021,0
2015-05-08,76.442,77.551,76.404,77.13,72179,0
2015-05-11,77.251,77.457,76.921,77.29,110023,0
2015-05-12,77.072,77.072,75.388,75.483,93245,0
2015-05-13,75.859,78.812,75.859,78.784,182745,0
2015-05-14,79.105,80.054,78.935,79.526,82065,0
2015-05-15,79.706,80.57,79.226,80.469,101041,0
2015-05-18,80.479,81.08,80.027,80.9,105449,0
2015-05-19,81.023,81.117,79.959,81.033,103652,0
2015-05-20,80.92,81.888,80.815,81.503,94603,0
2015-05-21,81.333,81.333,79.716,79.923,43372,0
