Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,23.758,23.822,23.357,23.656,256674,0
2015-01-05,23.516,24.262,23.347,24.197,505190,0
2015-01-06,24.309,24.393,23.918,24.197,294931,0
2015-01-07,24.411,24.561,24.039,24.224,355799,0
2015-01-08,24.374,24.935,24.347,24.888,186688,0
2015-01-09,24.898,25.0,24.589,24.608,203597,0
2015-01-12,24.532,24.728,24.244,24.711,139242,0
2015-01-13,24.953,25.028,23.721,23.918,322788,0
2015-01-14,23.684,24.169,23.684,24.094,207281,0
2015-01-15,24.169,24.169,23.253,23.263,294048,0
2015-01-16,23.105,23.572,23.087,23.544,386479,0
2015-01-20,23.544,23.665,23.169,23.236,357350,0
2015-01-21,23.132,23.236,22.965,23.057,288536,0
2015-01-22,23.189,24.094,22.965,24.066,552130,0
2015-01-23,24.094,24.384,23.972,24.356,206837,0
2015-01-26,24.29,25.008,24.103,24.981,237211,0
2015-01-27,24.786,25.104,24.541,24.981,235697,0
2015-01-28,25.114,25.167,24.737,25.0,318174,0
2015-01-29,25.075,25.476,24.888,25.468,272827,0
2015-01-30,25.235,25.392,24.822,24.831,373155,0
2015-02-02,24.962,25.495,24.757,25.411,480782,0
2015-02-03,25.468,26.251,25.431,26.233,308370,0
2015-02-04,26.29,26.456,26.027,26.056,293638,0
2015-02-05,26.13,26.373,26.037,26.233,246324,0
2015-02-06,26.317,26.317,25.476,25.635,285265,0
2015-02-09,25.635,25.879,25.495,25.579,238001,0
2015-02-10,25.684,25.84,25.056,25.513,282932,0
2015-02-11,25.476,25.476,24.869,24.944,228827,0
2015-02-12,25.046,25.533,25.046,25.448,165183,0
2015-02-13,25.421,25.7,25.157,25.684,166051,0
2015-02-17,25.625,26.178,25.625,26.018,315241,0
2015-02-18,26.027,26.205,25.684,26.11,183685,0
2015-02-19,26.103,26.187,25.615,25.709,205390,0
2015-02-20,25.571,25.776,25.336,25.625,235888,0
2015-02-23,25.605,25.747,25.364,25.597,125603,0
2015-02-24,25.562,25.737,25.14,25.197,355592,0
2015-02-25,25.235,25.747,25.235,25.625,227107,0
2015-02-26,25.718,26.056,25.0,25.571,329202,0
2015-02-27,25.533,26.13,24.962,24.991,270921,0
2015-03-02,24.972,25.308,24.786,25.252,257204,0
2015-03-03,25.14,25.252,24.532,24.58,248101,0
2015-03-04,24.439,24.683,24.253,24.459,292220,0
2015-03-05,24.411,24.786,24.29,24.449,162868,0
2015-03-06,24.282,24.571,24.103,24.347,250886,0
2015-03-09,24.384,24.524,24.244,24.328,236324,0
2015-03-10,24.141,24.309,24.029,24.029,158263,0
2015-03-11,24.048,24.15,23.918,24.066,204200,0
2015-03-12,24.282,24.646,24.103,24.636,252493,0
2015-03-13,24.515,24.728,24.429,24.617,239428,0
2015-03-16,24.646,24.991,24.589,24.806,258381,0
2015-03-17,24.747,24.822,24.551,24.589,207199,0
2015-03-18,24.429,24.981,24.282,24.806,185355,0
2015-03-19,24.683,24.683,24.262,24.338,317062,0
2015-03-20,24.507,24.532,24.365,24.42,490958,0
2015-03-23,24.393,24.532,24.234,24.411,215551,0
2015-03-24,23.581,23.879,23.376,23.636,3731288,0
2015-03-25,23.806,24.094,23.665,23.758,1780410,0
2015-03-26,23.786,23.989,23.703,23.822,568312,0
2015-03-27,23.946,24.368,23.825,24.35,989360,0
2015-03-30,24.49,24.649,24.35,24.611,688265,0
2015-03-31,24.611,24.874,24.462,24.527,658431,0
2015-04-01,24.527,25.005,24.152,24.903,1097195,0
2015-04-02,24.913,25.194,24.835,25.062,626237,0
2015-04-06,25.033,25.315,24.987,25.164,498987,0
2015-04-07,25.174,25.306,24.423,24.432,895856,0
2015-04-08,24.481,24.697,24.321,24.64,492486,0
2015-04-09,24.592,24.819,24.077,24.302,2101328,0
2015-04-10,24.452,24.771,24.368,24.677,561761,0
2015-04-13,24.697,24.913,24.5,24.668,264628,0
2015-04-14,24.706,24.771,24.49,24.518,201322,0
2015-04-15,24.714,24.855,24.255,24.359,362206,0
2015-04-16,24.236,24.302,24.067,24.226,262835,0
2015-04-17,24.057,24.095,23.796,23.832,329000,0
2015-04-20,23.946,24.199,23.777,24.087,224095,0
2015-04-21,24.124,24.311,23.86,23.86,687622,0
2015-04-22,23.832,24.114,23.729,23.965,453949,0
2015-04-23,23.928,24.049,23.777,23.992,215496,0
2015-04-24,24.077,24.302,23.946,24.216,249097,0
2015-04-27,24.255,24.396,23.956,24.077,316636,0
2015-04-28,24.057,24.19,23.822,23.918,558990,0
2015-04-29,23.777,24.03,23.683,23.87,435361,0
2015-04-30,23.739,23.822,23.186,23.25,1120751,0
2015-05-01,23.27,24.04,23.27,23.946,505062,0
2015-05-04,23.956,24.152,23.702,23.806,730896,0
2015-05-05,23.71,24.199,23.27,23.438,461794,0
2015-05-06,23.448,23.504,22.783,22.961,677318,0
2015-05-07,23.016,23.12,22.351,22.933,509250,0
2015-05-08,23.25,23.768,23.147,23.625,541937,0
2015-05-11,23.533,23.683,23.233,23.317,384739,0
2015-05-12,23.224,23.336,22.989,23.044,478175,0
2015-05-13,23.215,23.345,22.914,22.997,457422,0
2015-05-14,23.137,23.553,23.093,23.553,240328,0
2015-05-15,23.625,24.199,23.598,24.199,419435,0
2015-05-18,23.965,24.471,23.965,24.423,554269,0
2015-05-19,24.413,24.742,24.264,24.602,504422,0
2015-05-20,24.555,24.884,24.442,24.801,390705,0
2015-05-21,24.732,24.997,24.359,24.377,435361,0
2015-05-22,24.321,24.442,24.17,24.311,273898,0
2015-05-26,24.311,24.311,23.956,24.03,454880,0
2015-05-27,24.057,24.462,23.965,24.377,608546,0
2015-05-28,24.368,24.396,24.152,24.274,290934,0
2015-05-29,24.216,24.255,23.777,23.992,391452,0
2015-06-01,24.17,24.462,23.965,24.255,509622,0
2015-06-02,24.18,24.406,24.077,24.292,475515,0
2015-06-03,24.368,24.368,24.03,24.255,527657,0
2015-06-04,24.104,24.331,24.057,24.274,375785,0
2015-06-05,24.134,24.311,24.077,24.17,296494,0
2015-06-08,24.17,24.34,23.936,23.965,655333,0
2015-06-09,23.928,24.067,23.748,23.965,481408,0
2015-06-10,24.011,24.246,23.983,24.057,615318,0
2015-06-11,24.057,24.143,23.956,24.001,387181,0
2015-06-12,23.936,24.104,23.655,23.748,585421,0
2015-06-15,23.748,23.87,23.456,23.758,860598,0
2015-06-16,23.992,24.396,23.758,24.377,623894,0
2015-06-17,24.462,24.584,23.664,24.03,691037,0
2015-06-18,24.077,24.368,24.011,24.18,689119,0
2015-06-19,24.255,24.331,23.786,23.86,1360014,0
2015-06-22,24.001,24.255,23.504,23.543,569220,0
2015-06-23,23.543,23.664,23.336,23.598,401094,0
2015-06-24,23.543,23.674,23.429,23.606,496108,0
2015-06-25,23.625,23.729,23.466,23.72,915380,0
2015-06-26,23.815,23.929,23.57,23.768,1653840,0
2015-06-29,23.57,23.777,23.003,23.07,641616,0
2015-06-30,23.305,23.305,23.06,23.183,533395,0
2015-07-01,23.335,23.493,23.117,23.484,574474,0
2015-07-02,23.615,23.72,23.144,23.285,608628,0
2015-07-06,23.099,23.409,22.985,23.163,476148,0
2015-07-07,23.231,23.532,23.013,23.455,338045,0
2015-07-08,23.305,23.437,23.117,23.154,506484,0
2015-07-09,23.409,23.484,23.212,23.353,319800,0
2015-07-10,23.561,23.597,23.335,23.523,230702,0
2015-07-13,23.635,23.758,23.484,23.523,263161,0
2015-07-14,23.561,23.806,23.419,23.72,343481,0
2015-07-15,23.748,23.768,23.542,23.597,296142,0
2015-07-16,23.72,23.966,23.597,23.929,223276,0
2015-07-17,23.957,24.022,23.843,23.909,359152,0
2015-07-20,24.002,24.002,23.605,23.71,259553,0
2015-07-21,23.664,23.758,23.561,23.664,332636,0
2015-07-22,23.579,24.032,23.579,24.012,311527,0
2015-07-23,23.974,24.041,23.833,23.89,611068,0
2015-07-24,23.823,24.032,23.777,23.89,411128,0
2015-07-27,23.796,23.899,23.692,23.806,355651,0
2015-07-28,23.852,23.919,23.542,23.861,318633,0
2015-07-29,23.852,23.909,23.57,23.806,211291,0
2015-07-30,23.692,23.758,23.57,23.605,207260,0
2015-07-31,23.72,23.966,23.615,23.871,260826,0
2015-08-03,23.88,23.966,23.587,23.852,200644,0
2015-08-04,23.823,24.484,23.823,24.465,666966,0
2015-08-05,24.625,24.899,24.389,24.578,395746,0
2015-08-06,24.408,24.692,23.428,23.532,669037,0
2015-08-07,23.372,23.605,23.193,23.57,671210,0
2015-08-10,23.692,24.154,23.625,23.957,398505,0
2015-08-11,23.957,24.776,23.88,24.728,601769,0
2015-08-12,24.549,24.701,23.852,24.059,467237,0
2015-08-13,24.106,24.229,23.815,23.89,304420,0
2015-08-14,23.806,24.277,23.806,24.21,267721,0
2015-08-17,24.201,24.304,24.002,24.295,169393,0
2015-08-18,24.182,24.38,24.116,24.229,235688,0
2015-08-19,24.059,24.314,24.002,24.267,376230,0
2015-08-20,24.022,24.032,23.655,23.655,344408,0
2015-08-21,23.344,23.983,23.117,23.523,623055,0
2015-08-24,22.808,23.08,21.909,21.976,952386,0
2015-08-25,22.6,22.664,21.712,21.74,747579,0
2015-08-26,22.145,22.382,20.826,21.703,719260,0
2015-08-27,21.958,22.768,21.845,22.748,570973,0
2015-08-28,22.758,22.843,22.531,22.824,412081,0
2015-08-31,22.852,22.9,22.457,22.59,437007,0
2015-09-01,22.155,22.438,21.929,22.023,420567,0
2015-09-02,22.285,22.409,22.033,22.409,372729,0
2015-09-03,22.428,22.551,22.183,22.305,254992,0
2015-09-04,21.995,22.145,21.73,21.939,262946,0
2015-09-08,22.242,22.382,22.145,22.335,400943,0
2015-09-09,22.522,22.6,22.232,22.419,585717,0
2015-09-10,22.374,22.683,22.232,22.626,306992,0
2015-09-11,22.522,23.144,22.428,23.108,287873,0
2015-09-14,23.126,23.126,22.711,22.768,252023,0
2015-09-15,22.852,23.144,22.808,23.099,293874,0
2015-09-16,23.08,23.447,22.993,23.258,304420,0
2015-09-17,23.221,23.843,23.144,23.692,428449,0
2015-09-18,23.381,23.777,23.135,23.258,435839,0
2015-09-21,23.39,23.674,23.183,23.353,395535,0
2015-09-22,23.268,23.399,23.013,23.099,479435,0
2015-09-23,23.09,23.203,22.852,22.993,485270,0
2015-09-24,22.91,22.966,22.477,22.496,457210,0
2015-09-25,22.626,22.711,21.976,22.118,778552,0
2015-09-28,21.976,22.005,21.136,21.251,348834,0
2015-09-29,21.222,21.364,20.94,20.949,638539,0
2015-09-30,21.091,21.091,20.629,20.902,852059,0
2015-10-01,20.957,21.296,20.703,21.278,493860,0
2015-10-02,21.155,21.759,20.78,21.759,458540,0
2015-10-05,21.958,22.155,21.778,22.136,389629,0
2015-10-06,22.118,22.118,21.73,21.807,283842,0
2015-10-07,21.89,22.212,21.759,22.145,320755,0
2015-10-08,22.089,22.502,21.797,22.477,270371,0
2015-10-09,22.531,22.645,21.929,22.06,682877,0
2015-10-12,22.052,22.438,21.949,22.335,271453,0
2015-10-13,22.193,22.531,21.872,21.9,149133,0
2015-10-14,21.949,22.193,21.89,22.155,528227,0
2015-10-15,22.202,22.618,22.069,22.609,264858,0
2015-10-16,22.693,23.05,22.522,23.003,504043,0
2015-10-19,22.861,23.231,22.861,23.221,356204,0
2015-10-20,23.135,23.381,22.948,22.958,288756,0
2015-10-21,23.05,23.05,22.512,22.522,252979,0
2015-10-22,22.59,23.183,22.551,23.126,272705,0
2015-10-23,23.248,23.372,23.041,23.362,383867,0
2015-10-26,23.353,23.372,23.06,23.144,246611,0
2015-10-27,23.09,23.239,22.409,22.635,525047,0
2015-10-28,22.711,23.362,22.477,23.353,406564,0
2015-10-29,23.212,23.268,22.843,23.126,467980,0
2015-10-30,23.07,23.248,22.976,23.117,283842,0
2015-11-02,23.126,23.39,23.05,23.268,321831,0
2015-11-03,23.154,23.325,22.843,23.099,322559,0
2015-11-04,23.117,23.193,22.843,23.003,395314,0
2015-11-05,23.268,24.465,23.258,24.192,743654,0
2015-11-06,24.041,24.201,23.552,24.116,335710,0
