Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,28.028,28.263,27.82,27.925,401039,0
2015-01-05,27.657,27.704,26.661,26.797,473097,0
2015-01-06,26.894,27.156,26.079,26.22,604195,0
2015-01-07,26.61,26.752,25.66,25.793,657787,0
2015-01-08,25.906,26.4,25.883,26.4,526145,0
2015-01-09,26.415,26.445,26.032,26.191,491462,0
2015-01-12,26.003,26.003,24.423,25.008,1073981,0
2015-01-13,25.008,25.277,23.972,24.423,841696,0
2015-01-14,24.175,25.224,24.116,25.081,827704,0
2015-01-15,25.471,25.719,24.991,25.425,671645,0
2015-01-16,25.66,26.565,25.478,26.482,831611,0
2015-01-20,26.175,26.647,25.561,25.719,877625,0
2015-01-21,25.846,26.58,25.846,26.565,500485,0
2015-01-22,26.782,26.806,26.22,26.669,479005,0
2015-01-23,26.639,26.806,26.243,26.361,382397,0
2015-01-26,26.445,26.482,26.183,26.303,379560,0
2015-01-27,26.167,26.31,25.63,26.258,498739,0
2015-01-28,26.167,26.332,25.8,25.837,377111,0
2015-01-29,25.846,26.31,25.532,26.205,410181,0
2015-01-30,26.056,26.482,25.635,26.063,422379,0
2015-02-02,26.115,27.112,25.958,27.015,732962,0
2015-02-03,27.262,27.726,27.121,27.487,532813,0
2015-02-04,27.351,27.732,27.179,27.539,457131,0
2015-02-05,27.764,28.243,27.732,28.137,465250,0
2015-02-06,28.169,28.356,27.554,28.025,298986,0
2015-02-09,28.131,28.169,27.403,27.554,371001,0
2015-02-10,27.561,27.568,26.79,27.195,378282,0
2015-02-11,27.082,27.179,26.918,27.102,440721,0
2015-02-12,27.307,27.509,27.202,27.487,225214,0
2015-02-13,27.666,27.851,27.529,27.628,187349,0
2015-02-17,27.38,27.696,27.202,27.345,405040,0
2015-02-18,27.283,27.345,26.968,27.149,291577,0
2015-02-19,27.121,27.455,26.879,27.252,298022,0
2015-02-20,27.239,27.606,27.239,27.599,232882,0
2015-02-23,27.487,27.645,27.252,27.336,401927,0
2015-02-24,27.546,27.546,27.052,27.186,272408,0
2015-02-25,27.224,27.599,27.202,27.403,341944,0
2015-02-26,27.403,27.418,27.074,27.252,290358,0
2015-02-27,27.27,27.554,27.27,27.427,291525,0
2015-03-02,27.345,27.487,27.074,27.09,329308,0
2015-03-03,27.121,27.239,26.918,26.918,314624,0
2015-03-04,26.806,26.976,26.647,26.887,264301,0
2015-03-05,26.865,27.209,26.842,27.029,212640,0
2015-03-06,26.744,26.887,26.521,26.715,214110,0
2015-03-09,26.588,26.806,26.039,26.079,283789,0
2015-03-10,25.846,26.251,25.763,26.167,287259,0
2015-03-11,26.154,26.161,25.343,25.373,485616,0
2015-03-12,25.471,25.599,25.277,25.463,284590,0
2015-03-13,25.396,25.404,24.789,25.207,475339,0
2015-03-16,25.277,25.277,24.789,25.081,262030,0
2015-03-17,24.917,25.141,24.911,24.962,393513,0
2015-03-18,24.901,25.419,24.616,25.141,595074,0
2015-03-19,24.984,25.523,24.962,25.343,357073,0
2015-03-20,25.471,25.778,25.404,25.538,365614,0
2015-03-23,25.667,26.355,25.599,26.146,408596,0
2015-03-24,26.22,26.325,25.786,25.837,362945,0
2015-03-25,25.92,26.22,25.778,25.964,324100,0
2015-03-26,26.273,26.431,25.981,26.084,236803,0
2015-03-27,26.101,26.38,26.032,26.154,187546,0
2015-03-30,26.332,26.715,26.197,26.423,259094,0
2015-03-31,26.251,26.707,26.234,26.596,278268,0
2015-04-01,26.753,26.929,26.631,26.821,199532,0
2015-04-02,26.631,26.769,26.393,26.486,282593,0
2015-04-06,26.486,26.66,26.381,26.509,310629,0
2015-04-07,26.593,26.615,26.393,26.48,376440,0
2015-04-08,26.41,26.531,26.363,26.462,190362,0
2015-04-09,26.462,26.531,26.356,26.356,202518,0
2015-04-10,26.517,26.921,26.433,26.707,407451,0
2015-04-13,26.578,26.814,26.133,26.172,369063,0
2015-04-14,26.142,26.761,26.142,26.433,384521,0
2015-04-15,26.502,26.998,26.471,26.89,444091,0
2015-04-16,26.83,26.998,26.79,26.845,244638,0
2015-04-17,26.753,26.799,26.471,26.686,298576,0
2015-04-20,26.7,27.028,26.608,26.668,211740,0
2015-04-21,26.66,26.715,26.569,26.7,188156,0
2015-04-22,26.656,26.943,26.656,26.776,179329,0
2015-04-23,26.859,27.112,26.853,27.045,236609,0
2015-04-24,26.99,27.41,26.982,27.348,220786,0
2015-04-27,27.274,27.454,27.188,27.326,325566,0
2015-04-28,27.295,27.426,27.133,27.227,282593,0
2015-04-29,27.073,27.288,26.982,27.203,455792,0
2015-04-30,27.203,27.295,26.982,27.157,370374,0
2015-05-01,27.167,27.416,26.929,27.326,208703,0
2015-05-04,27.279,27.403,27.028,27.028,265956,0
2015-05-05,27.102,27.211,26.838,26.929,287180,0
2015-05-06,26.89,27.028,26.578,26.668,220552,0
2015-05-07,26.691,26.707,26.303,26.381,194082,0
2015-05-08,26.448,26.677,26.385,26.425,194162,0
2015-05-11,26.172,26.242,26.022,26.121,229273,0
2015-05-12,25.952,26.273,25.83,26.172,397329,0
2015-05-13,26.233,26.601,26.233,26.462,286786,0
2015-05-14,26.639,26.745,26.531,26.615,184203,0
2015-05-15,26.525,26.799,26.433,26.539,161200,0
2015-05-18,26.44,26.753,26.326,26.707,238378,0
2015-05-19,26.7,26.73,26.372,26.425,232676,0
2015-05-20,26.509,26.509,26.342,26.356,221150,0
2015-05-21,26.502,26.66,26.372,26.486,201627,0
2015-05-22,26.517,26.623,26.393,26.563,208833,0
2015-05-26,26.393,26.48,26.182,26.425,232464,0
2015-05-27,26.471,26.608,26.097,26.286,216301,0
2015-05-28,26.195,26.273,25.814,25.936,202901,0
2015-05-29,26.035,26.281,25.959,26.133,308794,0
2015-06-01,26.105,26.25,26.058,26.089,182267,0
2015-06-02,26.097,26.31,25.952,26.142,253432,0
2015-06-03,26.105,26.205,25.634,25.654,270148,0
2015-06-04,25.707,25.73,25.075,25.402,502694,0
