Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,69.81,71.85,69.81,71.32,1936989,0
2015-01-05,69.88,70.24,68.08,69.19,5462778,0
2015-01-06,68.59,69.57,65.68,67.32,4801455,0
2015-01-07,68.18,68.84,66.12,66.61,3796513,0
2015-01-08,66.44,69.49,66.0,68.25,1949427,0
2015-01-09,68.28,69.6,67.53,69.27,2495320,0
2015-01-12,68.6,69.68,67.58,68.48,2666617,0
2015-01-13,68.75,70.45,68.29,69.7,3597827,0
2015-01-14,68.33,74.17,68.2,73.06,4323152,0
2015-01-15,74.25,74.48,71.9,73.06,3464583,0
2015-01-16,73.06,74.25,72.31,73.23,3858555,0
2015-01-20,73.22,75.47,72.5,74.33,4779962,0
2015-01-21,74.76,75.67,73.16,73.92,1618551,0
2015-01-22,74.0,75.56,72.96,73.49,2385254,0
2015-01-23,73.83,74.39,72.73,72.83,1532148,0
2015-01-26,72.66,73.74,72.1,73.4,3186374,0
2015-01-27,72.24,73.99,72.13,73.27,2535203,0
2015-01-28,73.34,73.38,71.07,71.41,2595976,0
2015-01-29,71.5,71.84,70.1,71.25,4199148,0
2015-01-30,70.97,72.98,70.01,71.38,2100327,0
2015-02-02,71.93,72.49,70.69,71.72,3070720,0
2015-02-03,72.58,73.83,71.38,72.07,3244918,0
2015-02-04,71.4,72.59,70.36,71.32,2442157,0
2015-02-05,71.98,73.51,71.34,72.0,2325396,0
2015-02-06,72.5,73.25,71.73,72.08,2079134,0
2015-02-09,72.52,72.91,71.42,71.5,3812620,0
2015-02-10,72.31,73.08,71.0,72.96,2169987,0
2015-02-11,72.6,75.0,72.33,74.85,3055036,0
2015-02-12,75.58,75.82,73.58,73.58,2054004,0
2015-02-13,74.29,75.18,73.45,74.48,1929165,0
2015-02-17,74.65,77.23,74.34,76.09,2856169,0
2015-02-18,75.69,76.9,75.39,75.55,1926416,0
2015-02-19,74.48,75.66,73.99,74.95,1612286,0
2015-02-20,74.37,75.45,72.92,74.0,3704779,0
2015-02-23,72.89,74.61,72.89,73.73,2143855,0
2015-02-24,74.49,77.73,73.83,76.21,4588782,0
2015-02-25,76.5,81.8,76.05,80.28,6150675,0
2015-02-26,80.1,80.55,77.78,78.52,2865163,0
2015-02-27,78.69,81.25,78.41,80.63,1979967,0
2015-03-02,80.89,81.76,79.31,80.11,2736200,0
2015-03-03,80.04,82.32,79.94,81.4,3094300,0
2015-03-04,79.53,79.9,77.75,78.43,5402700,0
2015-03-05,78.5,79.4,77.88,78.41,2180800,0
2015-03-06,78.7,79.05,76.52,76.91,1949900,0
2015-03-09,76.47,77.21,75.5,76.15,2589000,0
2015-03-10,75.21,76.88,75.02,75.89,1501300,0
2015-03-11,76.13,76.45,75.02,75.45,1520800,0
2015-03-12,75.01,76.27,75.01,75.74,1756400,0
2015-03-13,75.05,75.85,73.84,75.48,2190200,0
2015-03-16,74.92,76.46,73.71,76.22,2287100,0
2015-03-17,75.59,77.94,74.8,77.38,1344500,0
2015-03-18,76.71,79.94,76.24,79.31,2480400,0
2015-03-19,79.68,79.8,78.44,78.88,1640200,0
2015-03-20,79.6,80.0,78.34,79.71,1569400,0
2015-03-23,79.65,80.0,78.08,78.16,1902200,0
2015-03-24,78.78,78.82,76.82,77.01,1816000,0
2015-03-25,76.66,78.0,75.85,76.62,1970100,0
2015-03-26,77.1,80.14,76.92,78.7,4497800,0
2015-03-27,78.91,79.54,77.78,78.03,1355700,0
2015-03-30,77.66,79.47,77.66,78.9,2040600,0
2015-03-31,77.62,78.62,77.05,77.4,2039056,0
2015-04-01,77.35,81.12,76.64,77.66,1972000,0
2015-04-02,77.65,80.0,77.56,79.78,2110700,0
2015-04-06,80.29,80.91,78.98,79.25,2233700,0
2015-04-07,79.95,80.09,78.23,78.49,1557744,0
2015-04-08,79.45,80.47,78.55,78.97,2430100,0
2015-04-09,78.97,79.59,77.87,79.03,1633390,0
2015-04-10,80.0,80.0,78.05,78.86,862200,0
2015-04-13,78.92,79.42,77.73,77.78,1484300,0
2015-04-14,77.96,78.7,77.1,77.96,1201400,0
2015-04-15,78.1,78.52,77.37,78.12,1771366,0
2015-04-16,78.42,79.02,77.25,78.0,1768435,0
2015-04-17,77.71,77.83,76.3,76.8,2021500,0
2015-04-20,76.51,78.64,76.34,77.39,2384023,0
2015-04-21,77.1,77.61,76.66,77.0,2398550,0
2015-04-22,76.96,78.74,76.72,78.61,1447875,0
2015-04-23,79.58,79.98,78.51,78.64,1773600,0
2015-04-24,78.43,78.9,76.95,77.29,2006446,0
2015-04-27,77.48,77.89,75.59,76.12,3087200,0
2015-04-28,76.12,76.6,75.14,75.36,1274533,0
2015-04-29,75.31,75.91,74.06,75.47,1630700,0
2015-04-30,76.26,76.8,75.11,76.49,3513400,0
2015-05-01,75.53,78.01,75.1,77.84,2687200,0
2015-05-04,77.19,77.5,76.48,76.92,1355400,0
2015-05-05,76.75,77.5,75.3,75.52,1918600,0
2015-05-06,75.36,76.26,74.52,75.26,1543129,0
2015-05-07,74.02,76.88,74.02,76.68,1412424,0
2015-05-08,76.98,78.25,75.99,78.0,1414600,0
2015-05-11,78.0,78.0,76.24,77.51,1695300,0
2015-05-12,77.25,77.25,75.66,76.02,1368494,0
2015-05-13,75.93,76.63,74.51,75.03,2748112,0
2015-05-14,75.57,75.79,74.5,75.01,1580400,0
2015-05-15,75.15,75.98,74.81,75.86,1758457,0
2015-05-18,75.0,77.11,74.59,77.11,2879804,0
2015-05-19,76.5,77.47,75.93,75.93,2172391,0
2015-05-20,75.64,76.42,74.98,76.33,1566891,0
2015-05-21,76.51,77.1,76.31,77.0,1361400,0
2015-05-22,75.9,76.43,74.99,75.18,2626600,0
2015-05-26,74.75,75.64,74.34,75.24,3153744,0
2015-05-27,75.25,76.31,74.4,75.86,1800600,0
2015-05-28,75.51,76.1,74.81,75.85,2776835,0
2015-05-29,75.19,76.98,75.0,75.83,1715700,0
2015-06-01,75.75,76.13,74.8,75.06,1751718,0
2015-06-02,74.7,75.1,73.56,73.91,1965199,0
2015-06-03,74.25,74.25,71.17,72.05,4453600,0
2015-06-04,70.73,71.52,68.97,70.0,8033500,0
2015-06-05,69.8,72.7,69.8,71.61,3974400,0
2015-06-08,71.4,72.24,70.67,70.94,2208500,0
2015-06-09,71.09,71.77,69.82,70.03,1850609,0
2015-06-10,71.48,71.48,69.91,70.35,1772932,0
2015-06-11,71.2,72.7,70.45,72.31,3769034,0
2015-06-12,72.08,72.75,71.24,71.4,1547500,0
2015-06-15,70.5,71.7,70.22,70.51,2035300,0
2015-06-16,70.67,71.51,70.67,71.05,1072400,0
2015-06-17,71.39,71.82,70.34,70.65,1379600,0
2015-06-18,70.96,70.99,70.0,70.23,2093900,0
2015-06-19,70.06,70.8,69.65,70.11,3323000,0
2015-06-22,70.64,71.95,70.01,70.5,2591100,0
2015-06-23,70.37,74.48,70.21,73.17,5896761,0
2015-06-24,73.19,73.41,71.76,71.9,2688500,0
2015-06-25,71.31,72.8,70.36,70.53,1670700,0
2015-06-26,70.28,71.06,69.25,70.24,6670500,0
2015-06-29,69.78,70.23,67.82,68.49,4139900,0
2015-06-30,68.45,69.9,67.38,69.26,2785767,0
2015-07-01,68.73,69.68,67.64,68.73,3169200,0
2015-07-02,68.17,69.49,68.17,68.77,1439500,0
2015-07-06,67.89,68.74,66.66,66.99,3521300,0
2015-07-07,67.65,67.73,64.61,67.33,4721300,0
2015-07-08,66.76,67.0,64.53,65.17,2760400,0
2015-07-09,66.14,66.78,64.51,64.53,2181000,0
2015-07-10,64.68,66.2,63.21,65.64,4650300,0
2015-07-13,65.75,68.06,65.33,67.33,4170400,0
2015-07-14,67.54,69.0,67.32,68.51,2424409,0
2015-07-15,68.46,68.77,66.74,67.11,2055921,0
2015-07-16,68.11,68.12,66.5,67.07,1574600,0
2015-07-17,66.66,67.07,65.13,66.01,1939200,0
2015-07-20,65.75,66.4,64.53,66.18,2777100,0
2015-07-21,66.25,68.24,66.0,68.01,2790600,0
2015-07-22,68.05,68.4,66.99,67.17,3478100,0
2015-07-23,67.45,67.98,65.15,65.4,4953500,0
2015-07-24,65.2,65.52,62.6,64.05,3916600,0
2015-07-27,62.53,63.94,61.31,63.9,3232000,0
2015-07-28,63.58,66.4,63.44,66.0,3430200,0
2015-07-29,66.25,68.47,65.53,68.09,5240900,0
2015-07-30,68.0,70.39,66.96,70.16,5277400,0
2015-07-31,68.8,70.16,68.02,68.97,5443400,0
2015-08-03,69.5,69.52,65.39,65.98,4320717,0
2015-08-04,65.9,67.3,65.5,66.34,3117900,0
2015-08-05,67.14,67.83,64.74,64.98,4185000,0
2015-08-06,65.5,66.06,62.86,64.81,3943257,0
2015-08-07,68.0,70.98,66.94,68.45,10000700,0
2015-08-10,69.31,71.11,68.5,70.65,3681000,0
2015-08-11,69.0,70.25,68.7,69.0,3382299,0
2015-08-12,68.67,69.44,67.57,67.74,3242200,0
2015-08-13,67.99,68.66,66.76,68.3,2149400,0
2015-08-14,67.86,68.87,67.41,68.44,1956500,0
2015-08-17,68.03,68.94,67.6,68.17,2471900,0
2015-08-18,67.97,68.43,66.55,66.69,1881700,0
2015-08-19,66.75,66.88,64.3,64.37,2040800,0
2015-08-20,64.36,64.52,60.54,61.14,5871600,0
2015-08-21,60.06,62.72,60.0,61.93,5352500,0
2015-08-24,57.11,62.39,54.5,60.0,6354343,0
2015-08-25,62.11,62.69,57.6,58.34,3608200,0
2015-08-26,59.5,59.5,56.27,58.8,5994900,0
2015-08-27,60.34,63.31,59.8,62.47,3592000,0
2015-08-28,62.18,64.45,62.18,63.48,1902300,0
2015-08-31,63.14,63.8,61.64,62.15,2986900,0
2015-09-01,60.79,61.69,59.21,59.6,2600600,0
