Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,12.528,12.528,12.198,12.352,274584,0
2015-01-05,12.667,12.667,12.435,12.491,464028,0
2015-01-06,12.426,12.528,12.203,12.277,324104,0
2015-01-07,12.147,12.277,12.087,12.277,268502,0
2015-01-08,12.491,12.612,12.426,12.453,213591,0
2015-01-09,12.426,12.5,12.352,12.435,351178,0
2015-01-12,12.435,12.435,12.231,12.249,440404,0
2015-01-13,12.639,12.639,12.352,12.389,398595,0
2015-01-14,12.463,12.5,12.211,12.305,413251,0
2015-01-15,12.936,12.983,12.537,12.917,1258212,0
2015-01-16,12.612,12.769,12.491,12.741,389048,0
2015-01-20,13.001,13.048,12.908,12.987,297097,0
2015-01-21,13.141,13.214,12.834,13.085,581548,0
2015-01-22,14.098,14.146,13.818,14.125,1431828,0
2015-01-23,14.014,14.098,13.809,13.874,674930,0
2015-01-26,13.838,14.023,13.735,13.94,440202,0
2015-01-27,13.856,13.912,13.633,13.763,535369,0
2015-01-28,13.8,13.818,13.447,13.447,433281,0
2015-01-29,13.568,13.744,13.568,13.689,466292,0
2015-01-30,13.614,13.702,13.504,13.568,334329,0
2015-02-02,13.373,13.578,13.298,13.558,248688,0
2015-02-03,13.428,13.475,13.177,13.4,531398,0
2015-02-04,13.392,13.697,13.392,13.623,446332,0
2015-02-05,13.475,13.623,13.41,13.568,301027,0
2015-02-06,13.456,13.697,13.456,13.633,352038,0
2015-02-09,13.558,13.809,13.558,13.8,889012,0
2015-02-10,13.8,13.995,13.781,13.92,447084,0
2015-02-11,13.697,13.902,13.68,13.846,387124,0
2015-02-12,13.586,13.93,13.578,13.818,663509,0
2015-02-13,13.838,13.856,13.763,13.8,226799,0
2015-02-17,13.66,13.79,13.614,13.735,423446,0
2015-02-18,13.772,13.809,13.652,13.744,237953,0
2015-02-19,13.697,13.763,13.614,13.716,242521,0
2015-02-20,13.549,13.8,13.549,13.781,159535,0
2015-02-23,13.697,13.772,13.642,13.652,135031,0
2015-02-24,13.623,13.763,13.623,13.744,124274,0
2015-02-25,13.66,13.772,13.623,13.744,169941,0
2015-02-26,13.781,13.995,13.781,13.949,225096,0
2015-02-27,13.79,13.874,13.716,13.726,230061,0
2015-03-02,13.596,13.744,13.596,13.623,237008,0
2015-03-03,13.586,13.642,13.466,13.568,250360,0
2015-03-04,13.447,13.447,13.289,13.345,244329,0
2015-03-05,13.132,13.28,13.094,13.251,281263,0
2015-03-06,12.769,12.825,12.528,12.629,716188,0
2015-03-09,12.649,12.731,12.593,12.676,212886,0
2015-03-10,12.471,12.519,12.36,12.453,249821,0
2015-03-11,12.545,12.545,11.878,11.923,720496,0
2015-03-12,11.589,11.645,11.487,11.618,860698,0
2015-03-13,11.795,11.859,11.618,11.821,358471,0
2015-03-16,11.795,11.821,11.618,11.627,225592,0
2015-03-17,11.701,11.747,11.561,11.609,164215,0
2015-03-18,11.571,11.849,11.525,11.831,245729,0
2015-03-19,11.609,11.757,11.609,11.673,244760,0
2015-03-20,11.878,12.035,11.849,11.971,345980,0
2015-03-23,12.091,12.305,12.091,12.193,408220,0
2015-03-24,12.853,12.853,12.537,12.612,634997,0
2015-03-25,12.741,12.815,12.443,12.481,356856,0
2015-03-26,12.352,12.352,12.221,12.277,182520,0
2015-03-27,12.286,12.453,12.286,12.407,177889,0
2015-03-30,12.389,12.426,12.314,12.426,309476,0
2015-03-31,12.203,12.323,12.166,12.211,231819,0
2015-04-01,12.157,12.249,12.109,12.193,275880,0
2015-04-02,12.267,12.453,12.249,12.453,264682,0
2015-04-06,12.379,12.639,12.379,12.528,191350,0
2015-04-07,12.537,12.667,12.528,12.528,379445,0
2015-04-08,12.751,12.834,12.602,12.741,342643,0
2015-04-09,12.676,12.889,12.667,12.881,323328,0
2015-04-10,12.815,13.001,12.778,12.955,338766,0
2015-04-13,12.927,13.048,12.927,13.011,284063,0
2015-04-14,13.122,13.234,13.113,13.159,259835,0
2015-04-15,13.168,13.318,13.094,13.261,229125,0
2015-04-16,13.206,13.373,13.168,13.354,227686,0
2015-04-17,13.141,13.187,13.02,13.168,220855,0
2015-04-20,13.215,13.354,13.215,13.28,321366,0
2015-04-21,13.308,13.512,13.28,13.475,291671,0
2015-04-22,13.251,13.382,13.187,13.373,949266,0
2015-04-23,13.66,14.385,13.66,14.376,1045479,0
2015-04-24,14.227,14.283,13.912,13.94,761257,0
2015-04-27,13.744,13.912,13.735,13.809,306354,0
2015-04-28,13.475,13.689,13.41,13.652,520958,0
2015-04-29,13.912,14.032,13.79,13.892,449893,0
2015-04-30,13.976,14.014,13.838,13.846,350718,0
2015-05-01,13.818,14.106,13.818,14.004,335966,0
2015-05-04,14.032,14.236,14.032,14.2,286110,0
2015-05-05,14.125,14.218,13.995,14.042,281911,0
2015-05-06,14.098,14.366,14.032,14.218,780350,0
2015-05-07,14.088,14.227,14.06,14.162,506616,0
2015-05-08,14.162,14.358,14.152,14.209,250252,0
2015-05-11,13.92,14.088,13.902,14.05,628321,0
2015-05-12,14.05,14.106,13.986,14.032,270724,0
2015-05-13,14.098,14.283,14.098,14.209,132325,0
2015-05-14,14.376,14.571,14.376,14.514,189411,0
2015-05-15,13.958,14.227,13.958,14.19,436454,0
2015-05-18,14.246,14.395,14.18,14.329,257311,0
2015-05-19,14.302,14.366,14.274,14.311,448571,0
2015-05-20,14.274,14.395,14.25,14.358,394126,0
2015-05-21,14.395,14.44,14.32,14.404,181873,0
2015-05-22,14.116,14.209,14.106,14.106,140094,0
2015-05-26,14.125,14.172,14.023,14.098,185087,0
2015-05-27,14.44,14.617,14.422,14.46,848313,0
2015-05-28,14.915,14.924,14.7,14.803,495183,0
2015-05-29,14.998,15.119,14.831,14.886,550253,0
2015-06-01,14.942,14.98,14.803,14.841,189479,0
2015-06-02,14.989,15.212,14.915,15.091,297581,0
2015-06-03,14.998,15.082,14.905,14.989,185642,0
2015-06-04,14.97,14.97,14.738,14.858,259727,0
2015-06-05,14.478,14.506,14.254,14.395,492966,0
2015-06-08,14.348,14.385,14.274,14.366,230977,0
2015-06-09,14.385,14.395,14.302,14.329,206738,0
