Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,32.0,35.247,32.0,33.44,19613,0
2015-01-05,33.64,33.64,31.4,31.68,38710,0
2015-01-06,32.28,32.28,31.0,31.24,14271,0
2015-01-07,32.0,33.8,29.52,33.72,39400,0
2015-01-08,33.6,33.6,30.48,32.36,19660,0
2015-01-09,32.04,32.04,30.0,31.44,17882,0
2015-01-12,32.44,32.52,31.16,31.44,19128,0
2015-01-13,31.36,31.751,30.0,30.52,18407,0
2015-01-14,30.28,30.96,29.112,29.28,18498,0
2015-01-15,29.6,31.12,27.88,30.6,35037,0
2015-01-16,30.76,32.4,30.4,30.4,20700,0
2015-01-20,30.08,30.4,28.488,28.88,20740,0
2015-01-21,28.68,28.92,27.84,28.16,18820,0
2015-01-22,28.28,28.32,26.44,28.32,35126,0
2015-01-23,27.0,27.6,25.4,26.76,19890,0
2015-01-26,26.08,29.24,25.64,28.52,33823,0
2015-01-27,28.76,30.64,27.48,30.56,16876,0
2015-01-28,31.0,31.0,28.96,29.76,19114,0
2015-01-29,29.72,30.4,29.04,30.4,14246,0
2015-01-30,30.16,30.16,29.2,29.56,12410,0
2015-02-02,29.56,29.56,28.0,28.88,9723,0
2015-02-03,29.28,29.28,28.0,28.52,14688,0
2015-02-04,28.64,29.0,27.413,27.8,29963,0
2015-02-05,27.8,28.56,27.2,27.2,20970,0
2015-02-06,27.32,29.2,27.2,28.64,34288,0
2015-02-09,28.48,28.8,27.64,27.8,10840,0
2015-02-10,28.2,28.36,26.6,27.28,28493,0
2015-02-11,26.92,27.72,25.68,25.8,31773,0
2015-02-12,25.96,27.08,25.96,26.84,11787,0
2015-02-13,26.88,27.08,26.12,26.68,22976,0
2015-02-17,27.16,28.36,27.0,27.56,24857,0
2015-02-18,27.92,28.16,27.2,27.4,16960,0
2015-02-19,27.4,27.68,26.48,27.4,5798,0
2015-02-20,27.6,28.36,27.0,28.16,12937,0
2015-02-23,28.2,28.44,27.56,28.32,23380,0
2015-02-24,28.4,28.452,27.72,28.04,12538,0
2015-02-25,27.84,28.84,27.68,28.84,16948,0
2015-02-26,29.2,30.2,28.24,30.2,53047,0
2015-02-27,30.6,31.08,29.36,29.36,32864,0
2015-03-02,29.76,30.56,29.28,29.88,40575,0
2015-03-03,30.08,31.2,29.08,30.36,23200,0
2015-03-04,30.76,30.76,29.32,30.04,20000,0
2015-03-05,30.0,30.12,28.48,29.96,22675,0
2015-03-06,29.92,29.92,29.0,29.48,9050,0
2015-03-09,29.6,29.6,27.24,27.76,29150,0
2015-03-10,27.88,28.0,26.24,26.48,16225,0
2015-03-11,26.92,27.68,26.0,26.96,20600,0
2015-03-12,27.12,28.48,26.76,27.96,31425,0
2015-03-13,27.28,27.6,26.8,27.0,27900,0
2015-03-16,26.96,27.24,26.8,26.92,9625,0
2015-03-17,26.96,27.8,26.8,26.84,9075,0
2015-03-18,27.0,27.2,26.28,26.44,19950,0
2015-03-19,26.24,26.72,26.2,26.44,20800,0
2015-03-20,26.6,26.8,26.2,26.4,21250,0
2015-03-23,26.8,28.04,26.6,27.76,37875,0
2015-03-24,27.88,27.92,26.4,27.04,18475,0
2015-03-25,27.2,27.44,24.76,25.16,91700,0
2015-03-26,25.48,26.0,24.44,24.8,22525,0
2015-03-27,25.28,26.0,23.32,24.12,39075,0
2015-03-30,24.36,24.48,21.52,22.36,97100,0
2015-03-31,22.08,24.32,21.36,23.24,60075,0
2015-04-01,24.04,24.04,22.44,22.6,20050,0
2015-04-02,22.76,23.24,22.4,22.6,16175,0
2015-04-06,21.76,22.56,20.4,21.76,47800,0
2015-04-07,22.4,22.56,20.656,21.42,29300,0
2015-04-08,21.2,21.8,20.92,21.12,24500,0
2015-04-09,21.16,21.44,20.76,20.8,11317,0
2015-04-10,20.8,23.92,20.44,23.32,72800,0
2015-04-13,24.08,24.08,22.48,23.32,18150,0
2015-04-14,23.6,23.8,23.04,23.8,9950,0
2015-04-15,23.64,24.96,22.92,24.04,30282,0
2015-04-16,23.96,24.044,22.96,23.52,19718,0
2015-04-17,22.84,23.88,22.84,23.32,7600,0
2015-04-20,23.76,24.04,22.76,23.84,30699,0
2015-04-21,23.88,23.88,22.16,22.8,14399,0
2015-04-22,22.64,23.16,22.16,23.12,4261,0
2015-04-23,23.2,23.6,22.48,23.08,16950,0
2015-04-24,23.2,24.72,22.68,24.24,25075,0
2015-04-27,24.24,24.32,22.52,23.12,10775,0
2015-04-28,22.68,23.64,22.68,23.24,8075,0
2015-04-29,22.64,24.12,22.6,22.92,9500,0
2015-04-30,24.0,24.0,22.0,23.04,15050,0
2015-05-01,23.08,23.4,22.44,22.88,15575,0
2015-05-04,22.96,23.76,22.44,23.6,16150,0
2015-05-05,23.2,23.8,22.44,22.8,17675,0
2015-05-06,22.08,23.6,22.08,23.28,21427,0
2015-05-07,23.2,23.28,22.64,22.92,9867,0
2015-05-08,23.28,23.52,22.84,23.16,11475,0
2015-05-11,23.0,23.32,22.28,22.76,9875,0
2015-05-12,22.64,23.08,21.2,21.56,26070,0
2015-05-13,21.36,21.64,20.12,20.8,16400,0
2015-05-14,20.8,22.12,20.8,21.76,9950,0
2015-05-15,21.6,23.28,20.509,22.44,24892,0
2015-05-18,22.68,23.36,22.04,22.08,23557,0
2015-05-19,21.72,22.48,21.48,22.12,12125,0
2015-05-20,22.0,22.08,20.28,21.48,10125,0
2015-05-21,21.44,21.52,20.44,20.68,10500,0
2015-05-22,20.44,21.0,19.76,20.2,11975,0
2015-05-26,19.6,20.004,18.64,19.36,37031,0
2015-05-27,19.36,19.88,19.0,19.6,16600,0
2015-05-28,19.8,20.6,19.6,20.32,8831,0
2015-05-29,20.32,20.64,19.92,20.08,18300,0
2015-06-01,20.0,20.0,18.6,18.64,17000,0
2015-06-02,18.56,18.56,17.08,18.0,65880,0
2015-06-03,18.68,19.28,18.24,18.68,41325,0
2015-06-04,18.88,19.4,18.28,18.28,9225,0
2015-06-05,17.84,19.68,17.84,19.36,34850,0
2015-06-08,19.08,19.36,18.48,18.48,9150,0
2015-06-09,18.52,20.64,18.0,19.8,131605,0
2015-06-10,19.84,21.76,19.84,21.4,67596,0
2015-06-11,21.48,21.48,13.2,13.44,763102,0
2015-06-12,14.04,14.16,11.8,12.72,272025,0
2015-06-15,11.8,13.68,11.52,13.08,104950,0
2015-06-16,13.08,13.36,12.04,12.64,43150,0
2015-06-17,12.64,12.8,12.2,12.8,35075,0
2015-06-18,12.68,12.72,12.32,12.48,31825,0
2015-06-19,12.56,12.88,11.88,12.36,39400,0
2015-06-22,12.68,12.96,12.04,12.6,30425,0
2015-06-23,12.6,12.6,11.8,12.24,43795,0
2015-06-24,12.2,12.2,11.6,11.72,39150,0
2015-06-25,11.68,11.76,11.32,11.4,16425,0
2015-06-26,11.52,11.76,11.44,11.68,9175,0
2015-06-29,11.32,11.72,11.04,11.44,12025,0
2015-06-30,11.28,11.92,11.2,11.6,19192,0
2015-07-01,11.76,11.92,11.08,11.36,17600,0
2015-07-02,11.44,12.36,11.24,11.84,34600,0
2015-07-06,12.0,12.16,11.2,11.56,4300,0
2015-07-07,11.64,11.72,11.08,11.48,19175,0
2015-07-08,11.44,11.96,11.2,11.84,27975,0
2015-07-09,11.88,11.96,11.64,11.8,19150,0
2015-07-10,11.96,11.96,11.44,11.76,19150,0
2015-07-13,11.68,12.08,11.52,11.96,35300,0
2015-07-14,11.96,12.16,11.68,12.04,22504,0
2015-07-15,11.92,13.36,11.92,13.28,44115,0
2015-07-16,13.56,13.6,12.8,13.08,17425,0
2015-07-17,13.2,13.2,12.48,12.72,14100,0
2015-07-20,12.8,12.8,12.04,12.16,17225,0
2015-07-21,12.24,12.28,11.88,12.08,14575,0
2015-07-22,11.96,12.2,11.88,12.08,11725,0
2015-07-23,12.0,12.04,11.96,12.0,28125,0
2015-07-24,12.04,12.28,11.56,11.56,39250,0
2015-07-27,11.4,11.8,11.24,11.64,10125,0
2015-07-28,11.44,11.76,11.4,11.6,4425,0
2015-07-29,11.56,13.2,11.56,12.12,34800,0
2015-07-30,12.12,12.32,11.84,12.04,18350,0
2015-07-31,12.12,12.36,11.84,12.04,12100,0
2015-08-03,12.16,12.16,11.72,11.8,9851,0
2015-08-04,11.92,12.16,11.92,12.0,7275,0
2015-08-05,12.08,12.08,11.72,11.76,10725,0
2015-08-06,11.8,11.8,9.24,10.4,112595,0
2015-08-07,9.56,10.48,9.56,10.28,27950,0
2015-08-10,10.4,11.48,10.4,11.48,27275,0
2015-08-11,11.36,11.6,11.0,11.04,3064,0
2015-08-12,10.72,11.2,10.52,11.2,4975,0
2015-08-13,11.72,11.72,10.8,11.72,28875,0
2015-08-14,11.6,11.8,11.44,11.68,29425,0
2015-08-17,11.6,11.76,8.52,10.12,28700,0
2015-08-18,9.76,10.64,9.28,9.32,14975,0
2015-08-19,9.4,9.92,8.56,8.88,41250,0
2015-08-20,8.76,9.08,8.48,8.56,13025,0
2015-08-21,8.52,8.8,8.24,8.6,35500,0
2015-08-24,8.24,8.6,6.92,7.68,41409,0
2015-08-25,7.64,8.24,6.04,8.24,18725,0
2015-08-26,8.36,8.36,7.76,8.2,8050,0
2015-08-27,8.24,9.04,8.2,8.64,6350,0
2015-08-28,8.84,9.44,8.84,9.16,15600,0
2015-08-31,9.08,9.4,9.0,9.12,8375,0
2015-09-01,9.0,9.12,7.8,8.4,8700,0
2015-09-02,8.4,8.64,8.08,8.32,5550,0
2015-09-03,8.48,8.48,7.96,8.24,5125,0
2015-09-04,8.28,8.6,8.08,8.6,30350,0
2015-09-08,8.64,8.88,8.24,8.4,7275,0
2015-09-09,8.6,9.16,8.24,8.36,5500,0
2015-09-10,8.44,8.72,8.16,8.28,8076,0
2015-09-11,8.32,8.88,7.84,8.68,13950,0
2015-09-14,8.8,8.84,8.2,8.64,1900,0
2015-09-15,8.88,8.96,8.08,8.24,6895,0
2015-09-16,8.2,9.16,8.08,8.12,2150,0
2015-09-17,8.36,8.48,7.84,8.36,51150,0
2015-09-18,8.12,8.8,8.12,8.6,67975,0
2015-09-21,8.68,9.0,8.6,8.92,2350,0
2015-09-22,8.72,11.2,8.68,9.0,32125,0
2015-09-23,8.84,9.28,8.04,8.76,16500,0
2015-09-24,8.6,9.0,8.24,8.76,5191,0
2015-09-25,8.8,8.8,8.48,8.6,2075,0
2015-09-28,8.48,9.12,7.68,8.24,27046,0
2015-09-29,8.16,8.44,6.24,7.48,13875,0
2015-09-30,8.08,8.08,7.12,7.4,4100,0
2015-10-01,7.28,8.8,7.0,7.2,7200,0
2015-10-02,6.92,8.36,6.92,7.36,7125,0
2015-10-05,7.4,7.8,6.92,7.6,5960,0
2015-10-06,7.72,7.96,7.4,7.48,5775,0
2015-10-07,7.64,8.16,7.64,7.72,15450,0
2015-10-08,7.76,8.32,7.72,8.0,14200,0
2015-10-09,8.0,8.0,7.92,7.92,2775,0
2015-10-12,7.96,8.12,7.8,7.92,5258,0
2015-10-13,7.96,7.96,7.2,7.68,10375,0
2015-10-14,7.76,7.76,7.36,7.44,4975,0
2015-10-15,7.64,7.92,7.4,7.4,10575,0
2015-10-16,7.56,8.2,7.4,7.68,3875,0
2015-10-19,7.68,7.92,7.4,7.6,12200,0
2015-10-20,7.52,7.6,6.5596,7.3,54482,0
2015-10-21,7.2,7.48,6.88,7.16,15225,0
2015-10-22,7.32,7.56,7.2,7.24,5050,0
2015-10-23,7.28,7.28,7.04,7.12,3075,0
2015-10-26,7.04,7.4,6.88,6.88,6800,0
2015-10-27,6.92,7.32,6.52,6.64,31575,0
2015-10-28,6.8,7.08,6.8,7.08,1250,0
2015-10-29,6.88,7.24,6.68,7.0,8475,0
2015-10-30,7.04,7.12,6.72,6.84,6150,0
2015-11-02,6.6,7.12,6.5604,6.8,3844,0
2015-11-03,6.6,7.0,6.44,6.72,5875,0
2015-11-04,6.56,6.8,6.56,6.8,3766,0
2015-11-05,6.64,6.96,6.6,6.84,8650,0
2015-11-06,6.72,6.96,6.6,6.8,11300,0
2015-11-09,6.8,6.88,6.6,6.8,15245,0
2015-11-10,6.8,6.8,6.12,6.12,26500,0
2015-11-11,6.4,6.4,5.88,5.92,10450,0
2015-11-12,5.92,6.12,5.56,5.88,13575,0
2015-11-13,5.8,5.8,5.36,5.36,9100,0
2015-11-16,5.28,5.64,5.28,5.6,19325,0
2015-11-17,6.0,7.2,5.6,6.52,166875,0
2015-11-18,6.28,7.04,6.16,6.8,58975,0
2015-11-19,6.88,7.2,6.68,6.96,20875,0
2015-11-20,6.6,6.72,5.72,5.92,8575,0
2015-11-23,5.88,6.56,5.6,6.4,11375,0
2015-11-24,6.48,7.12,6.48,7.08,27875,0
2015-11-25,7.0,7.64,6.92,7.48,16950,0
2015-11-27,7.64,7.64,7.0,7.0,18925,0
2015-11-30,7.0,7.16,6.72,6.96,6925,0
2015-12-01,7.0,7.32,6.92,7.32,4369,0
2015-12-02,7.2432,7.76,7.2432,7.44,12926,0
2015-12-03,7.28,7.68,7.04,7.36,1515,0
2015-12-04,7.56,7.76,7.16,7.52,5175,0
2015-12-07,7.68,7.88,7.04,7.12,21175,0
2015-12-08,7.8,7.8,6.528,6.6,7802,0
2015-12-09,6.72,6.76,6.12,6.44,3000,0
2015-12-10,6.76,7.08,6.28,7.08,4350,0
2015-12-11,7.36,7.36,6.44,6.52,7975,0
2015-12-14,6.64,6.82,6.16,6.44,25931,0
2015-12-15,6.48,6.52,5.76,6.0,7775,0
2015-12-16,6.36,6.36,5.8,5.84,5175,0
2015-12-17,5.96,6.72,5.88,6.6,13625,0
2015-12-18,6.6,7.76,6.16,6.56,18025,0
2015-12-21,6.6,6.64,6.08,6.48,26925,0
2015-12-22,6.32,6.64,6.0,6.4,3764,0
2015-12-23,6.72,6.72,6.48,6.48,7750,0
2015-12-24,6.4848,6.64,6.44,6.5896,1332,0
2015-12-28,6.6,6.6,5.56,5.72,19456,0
2015-12-29,5.72,6.36,5.72,6.16,4405,0
2015-12-30,6.2,6.6,6.2,6.48,18188,0
2015-12-31,6.32,6.56,6.32,6.4,4658,0
2016-01-04,6.5596,6.56,6.36,6.36,7544,0
2016-01-05,6.4,6.4,6.24,6.24,1501,0
2016-01-06,6.12,8.24,6.12,6.7204,38235,0
2016-01-07,6.84,6.84,6.44,6.68,3480,0
2016-01-08,6.68,6.68,6.48,6.52,1825,0
2016-01-11,6.64,6.64,6.124,6.24,1407,0
2016-01-12,6.1604,6.36,6.12,6.16,2238,0
2016-01-13,6.2,6.32,5.16,6.16,27675,0
2016-01-14,6.72,6.92,5.44,6.2,35659,0
2016-01-15,6.04,6.28,5.72,6.08,3103,0
2016-01-19,6.2,6.76,5.6,6.4,31100,0
2016-01-20,6.48,6.52,5.6,5.96,41243,0
2016-01-21,6.0,6.4,5.96,6.2,7528,0
2016-01-22,6.36,7.12,6.36,6.96,7219,0
2016-01-25,6.84,6.96,6.48,6.48,1754,0
