Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,26.5,26.76,25.68,25.88,283056,0
2015-01-05,25.73,26.49,25.71,26.29,299021,0
2015-01-06,26.32,26.65,26.02,26.35,527363,0
2015-01-07,26.72,27.35,26.58,27.04,546179,0
2015-01-08,27.2,27.455,26.95,27.39,336938,0
2015-01-09,27.5,27.7,27.11,27.52,442618,0
2015-01-12,27.44,27.53,26.73,26.8,232852,0
2015-01-13,26.87,27.43,26.37,26.63,260570,0
2015-01-14,26.62,26.66,26.12,26.495,170039,0
2015-01-15,26.59,26.806,25.76,25.98,220948,0
2015-01-16,25.67,26.77,25.55,26.72,226388,0
2015-01-20,26.8,27.04,26.19,26.64,228509,0
2015-01-21,26.504,26.71,26.27,26.53,215627,0
2015-01-22,26.55,26.84,26.145,26.63,631655,0
2015-01-23,26.56,26.79,26.31,26.42,168865,0
2015-01-26,26.43,27.02,26.01,26.97,285586,0
2015-01-27,26.73,27.12,26.297,26.98,182964,0
2015-01-28,27.688,27.688,26.18,26.34,236974,0
2015-01-29,26.46,26.744,25.85,26.32,221849,0
2015-01-30,26.18,26.34,25.41,25.52,327581,0
2015-02-02,25.63,25.78,25.12,25.755,211844,0
2015-02-03,25.96,26.97,25.74,26.85,426626,0
2015-02-04,26.81,26.81,26.15,26.2,220451,0
2015-02-05,26.37,27.02,26.21,26.93,186906,0
2015-02-06,26.96,27.41,26.83,27.03,181851,0
2015-02-09,27.0,27.11,26.64,26.67,236015,0
2015-02-10,26.89,27.27,26.78,27.09,221303,0
2015-02-11,26.74,27.33,26.74,27.1,234143,0
2015-02-12,27.27,27.71,27.1,27.59,341335,0
2015-02-13,27.63,27.87,27.19,27.38,577214,0
2015-02-17,26.99,27.51,26.81,27.37,375287,0
2015-02-18,27.99,30.135,27.82,29.57,1101425,0
2015-02-19,29.37,29.84,29.08,29.4,573516,0
2015-02-20,29.43,30.03,28.7,29.9,425542,0
2015-02-23,29.82,30.52,29.39,30.5,512269,0
2015-02-24,30.34,31.38,30.28,30.87,421536,0
2015-02-25,30.21,30.794,29.71,30.05,498004,0
2015-02-26,29.85,30.21,29.311,29.9,432354,0
2015-02-27,28.74,29.73,28.61,29.47,590669,0
2015-03-02,29.76,30.78,29.5,30.66,472300,0
2015-03-03,30.61,30.65,30.08,30.17,245300,0
2015-03-04,29.8,30.76,29.77,30.44,206700,0
2015-03-05,30.52,31.3,30.35,31.12,357500,0
2015-03-06,30.76,31.32,30.14,30.22,378900,0
2015-03-09,30.32,30.67,30.07,30.61,237800,0
2015-03-10,30.22,30.76,29.92,30.51,288700,0
2015-03-11,30.53,30.8,30.24,30.65,352300,0
2015-03-12,30.32,31.09,30.32,30.92,220000,0
2015-03-13,31.0,31.03,30.47,30.87,226400,0
2015-03-16,31.14,31.74,31.07,31.66,386900,0
2015-03-17,31.6,32.33,31.26,32.16,496800,0
2015-03-18,32.0,32.15,31.21,31.64,303200,0
2015-03-19,31.41,31.77,31.03,31.56,257200,0
2015-03-20,31.81,31.83,30.98,31.01,421200,0
2015-03-23,30.94,31.48,30.74,31.31,179700,0
2015-03-24,31.24,31.5,30.07,31.08,322200,0
2015-03-25,31.28,31.43,30.68,30.8,288300,0
2015-03-26,30.63,31.48,30.5,31.42,264800,0
2015-03-27,31.45,31.91,31.28,31.84,167900,0
2015-03-30,31.94,33.16,31.92,32.76,548600,0
2015-03-31,32.67,33.08,32.33,32.98,373102,0
2015-04-01,32.81,33.11,32.33,33.07,515500,0
2015-04-02,33.01,33.55,33.0,33.45,401500,0
2015-04-06,33.34,34.13,33.12,33.88,667200,0
2015-04-07,33.96,34.06,33.6,33.84,357816,0
2015-04-08,33.84,35.02,33.81,34.59,652700,0
2015-04-09,34.67,35.0,34.52,34.92,554812,0
2015-04-10,34.93,35.09,34.77,34.97,276500,0
2015-04-13,35.0,35.11,34.77,34.86,231100,0
2015-04-14,35.08,35.13,34.54,34.73,350800,0
2015-04-15,34.78,34.974,34.66,34.77,320523,0
2015-04-16,34.77,34.79,34.33,34.46,300809,0
2015-04-17,34.08,34.54,34.02,34.14,271700,0
2015-04-20,34.33,34.97,34.26,34.71,191779,0
2015-04-21,34.75,34.82,34.29,34.53,284077,0
2015-04-22,34.86,35.15,34.3,34.96,230438,0
2015-04-23,35.0,35.15,34.72,34.9,148900,0
2015-04-24,34.81,35.09,34.7,34.83,159809,0
2015-04-27,34.94,35.39,34.41,34.53,243000,0
2015-04-28,34.85,34.98,33.98,34.86,189708,0
2015-04-29,34.57,34.94,34.03,34.25,630700,0
2015-04-30,34.15,34.37,33.4,33.76,486700,0
2015-05-01,33.77,34.43,33.53,34.17,339100,0
2015-05-04,34.25,34.71,34.22,34.6,458800,0
2015-05-05,34.48,34.92,34.31,34.58,453900,0
2015-05-06,34.51,34.71,33.74,33.97,1044685,0
2015-05-07,35.85,35.85,34.26,34.94,985283,0
2015-05-08,35.29,35.4,34.35,34.71,487400,0
2015-05-11,34.36,35.0,34.36,34.57,388800,0
2015-05-12,34.3,34.73,33.925,34.49,270090,0
2015-05-13,34.54,34.73,34.15,34.51,255700,0
2015-05-14,34.42,34.71,34.13,34.63,428600,0
2015-05-15,34.68,34.92,34.55,34.63,227438,0
2015-05-18,34.63,35.2,34.48,35.155,290405,0
2015-05-19,35.5,36.24,35.03,36.13,391003,0
2015-05-20,35.82,36.03,35.31,35.73,297500,0
2015-05-21,35.67,35.84,35.39,35.52,177700,0
2015-05-22,35.58,36.15,35.38,35.59,156900,0
2015-05-26,35.5,35.67,35.24,35.45,267343,0
2015-05-27,35.56,36.07,35.23,35.86,164600,0
2015-05-28,35.68,36.06,35.435,35.48,236948,0
2015-05-29,35.52,35.78,34.97,35.1,292200,0
2015-06-01,35.19,35.93,34.9,35.53,246618,0
2015-06-02,35.37,35.98,35.18,35.83,157524,0
2015-06-03,35.9,36.65,35.86,36.62,251300,0
2015-06-04,36.39,36.58,35.84,36.03,227800,0
2015-06-05,35.75,36.46,35.38,36.34,178000,0
2015-06-08,36.15,36.79,36.15,36.2,166000,0
2015-06-09,36.28,36.38,35.77,36.1,113536,0
2015-06-10,36.37,36.9,36.07,36.5,186671,0
2015-06-11,36.41,36.8,36.22,36.71,206653,0
2015-06-12,38.0,39.35,37.71,38.84,1213800,0
2015-06-15,37.8,38.93,37.31,38.76,376300,0
2015-06-16,38.87,39.12,38.06,38.8,369400,0
2015-06-17,38.8,39.22,38.67,38.92,293000,0
2015-06-18,38.79,39.49,38.79,39.05,428800,0
2015-06-19,39.22,39.22,38.74,38.89,435200,0
2015-06-22,39.18,39.75,39.02,39.67,310700,0
2015-06-23,39.69,39.761,39.47,39.66,186970,0
2015-06-24,39.52,39.73,39.11,39.21,184000,0
2015-06-25,39.43,39.91,39.34,39.73,222300,0
2015-06-26,39.9,39.9,39.37,39.46,653300,0
2015-06-29,39.15,39.75,38.45,38.55,490700,0
2015-06-30,38.71,39.13,38.21,38.74,270551,0
2015-07-01,38.98,39.25,38.4,38.77,420500,0
2015-07-02,38.87,39.02,38.16,38.61,191300,0
2015-07-06,38.7,38.83,38.22,38.48,252300,0
2015-07-07,38.61,38.64,37.72,38.57,255400,0
2015-07-08,38.25,38.52,37.84,38.08,367300,0
2015-07-09,38.54,38.96,38.13,38.19,221500,0
2015-07-10,38.51,38.85,38.12,38.5,284100,0
2015-07-13,38.64,39.1,38.64,38.99,194000,0
2015-07-14,39.02,39.33,38.88,38.99,200812,0
2015-07-15,39.16,39.21,38.6,38.67,123496,0
2015-07-16,38.21,38.65,38.17,38.37,448300,0
2015-07-17,38.16,39.3,38.16,39.23,251000,0
2015-07-20,39.24,39.59,38.6,38.68,173900,0
2015-07-21,40.0,41.41,39.89,41.33,1474600,0
2015-07-22,41.36,42.48,40.78,42.45,648900,0
2015-07-23,42.44,42.44,41.69,42.0,326800,0
2015-07-24,41.83,42.07,41.47,41.98,322600,0
2015-07-27,41.93,42.11,40.98,41.09,259100,0
2015-07-28,41.22,41.23,40.3,40.67,370700,0
2015-07-29,40.74,41.11,40.4,40.91,354800,0
2015-07-30,40.75,41.85,40.46,41.69,314300,0
2015-07-31,41.69,42.11,41.61,41.68,203400,0
2015-08-03,41.16,41.72,40.55,41.05,269943,0
