Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,32.685,32.929,31.783,32.082,242947,0
2015-01-05,31.963,31.963,31.135,31.369,173766,0
2015-01-06,31.557,31.801,30.618,30.833,225775,0
2015-01-07,31.135,31.351,30.46,30.796,172478,0
2015-01-08,31.125,31.783,30.73,31.386,450822,0
2015-01-09,31.538,33.588,31.538,32.497,581616,0
2015-01-12,32.573,33.184,32.534,32.807,259424,0
2015-01-13,33.108,33.456,32.384,32.619,249981,0
2015-01-14,32.064,32.892,32.064,32.854,181037,0
2015-01-15,33.005,33.022,32.234,32.46,207553,0
2015-01-16,32.263,32.723,31.963,32.655,229951,0
2015-01-20,32.854,32.854,32.327,32.629,226542,0
2015-01-21,32.665,33.456,32.356,32.77,376497,0
2015-01-22,32.969,34.303,32.873,34.178,232096,0
2015-01-23,34.076,34.375,33.757,34.134,181434,0
2015-01-26,34.0,34.5,33.821,34.49,173168,0
2015-01-27,33.982,34.471,33.859,34.115,167661,0
2015-01-28,34.34,34.771,33.607,34.066,263150,0
2015-01-29,34.076,34.076,33.164,33.775,340921,0
2015-01-30,33.456,33.889,32.583,32.655,283391,0
2015-02-02,32.675,33.447,32.254,33.438,259597,0
2015-02-03,33.644,34.423,33.371,34.161,253350,0
2015-02-04,34.178,35.1,34.151,34.913,282280,0
2015-02-05,34.932,35.663,34.932,35.634,235319,0
2015-02-06,35.551,36.085,35.157,35.421,348132,0
2015-02-09,35.334,35.711,34.367,34.951,344033,0
2015-02-10,35.234,35.28,34.252,34.798,255428,0
2015-02-11,34.686,35.564,34.545,35.469,169619,0
2015-02-12,35.564,35.837,35.224,35.507,256488,0
2015-02-13,35.29,36.027,35.148,36.017,229437,0
2015-02-17,36.017,36.091,35.564,35.903,206241,0
2015-02-18,35.686,36.319,35.524,36.309,366694,0
2015-02-19,36.159,36.415,35.845,35.987,251106,0
2015-02-20,35.987,35.987,35.242,35.808,183400,0
2015-02-23,35.808,35.865,35.336,35.478,208214,0
2015-02-24,35.516,35.971,35.507,35.827,274936,0
2015-02-25,37.216,39.282,36.622,38.161,719720,0
2015-02-26,38.235,38.65,37.699,38.282,280661,0
2015-02-27,38.282,38.378,37.244,37.263,452218,0
2015-03-02,37.273,37.878,37.065,37.395,291501,0
2015-03-03,36.82,37.611,36.724,37.216,304422,0
2015-03-04,37.169,38.123,37.103,37.479,235572,0
2015-03-05,37.415,37.916,37.139,37.376,160579,0
2015-03-06,37.055,37.838,37.046,37.094,185787,0
2015-03-09,37.366,37.528,36.999,37.357,151468,0
2015-03-10,37.074,37.312,36.743,36.895,168840,0
2015-03-11,36.8,37.594,36.771,37.537,166615,0
2015-03-12,37.858,39.369,37.744,39.273,325397,0
2015-03-13,39.124,39.18,38.349,38.849,281650,0
2015-03-16,39.027,39.056,38.282,38.451,331856,0
2015-03-17,38.075,38.773,37.953,38.63,233138,0
2015-03-18,38.611,39.114,37.878,39.104,278047,0
2015-03-19,39.152,39.443,38.708,39.273,209832,0
2015-03-20,39.46,39.925,38.999,39.331,853526,0
2015-03-23,39.339,39.764,38.935,39.577,224452,0
2015-03-24,39.426,40.17,39.292,40.058,314803,0
2015-03-25,40.122,40.142,39.311,39.339,337787,0
2015-03-26,39.359,39.595,39.027,39.217,229959,0
2015-03-27,39.217,39.529,38.764,39.331,244152,0
2015-03-30,39.418,40.132,39.418,39.953,164288,0
2015-03-31,39.934,39.963,39.349,39.803,178984,0
2015-04-01,39.624,39.887,39.18,39.605,165768,0
2015-04-02,39.49,39.586,38.945,39.264,206974,0
2015-04-06,39.018,39.434,38.926,39.095,271692,0
2015-04-07,39.065,39.633,38.991,39.036,173757,0
2015-04-08,39.095,39.906,39.095,39.605,241928,0
2015-04-09,39.48,39.823,38.764,39.245,171088,0
2015-04-10,39.46,39.915,39.46,39.662,104439,0
2015-04-13,39.774,40.01,39.389,39.47,122977,0
2015-04-14,39.662,39.662,38.585,39.134,167147,0
2015-04-15,39.19,39.538,38.916,39.134,164743,0
2015-04-16,39.143,39.379,38.51,38.849,145321,0
2015-04-17,38.528,38.717,37.989,38.143,163545,0
2015-04-20,38.265,39.254,37.925,39.124,183066,0
2015-04-21,39.114,39.46,38.783,38.935,129224,0
2015-04-22,38.916,39.991,38.792,39.662,365418,0
2015-04-23,39.46,39.915,39.237,39.823,192460,0
2015-04-24,39.745,40.049,39.301,40.001,156886,0
2015-04-27,40.34,40.585,39.47,39.707,233138,0
2015-04-28,39.605,40.492,39.451,40.454,221271,0
2015-04-29,40.331,40.397,39.389,39.519,195641,0
2015-04-30,39.245,39.389,38.026,38.235,234726,0
2015-05-01,38.301,39.369,38.282,38.877,217036,0
2015-05-04,39.227,39.389,38.764,39.085,190873,0
2015-05-05,39.559,40.791,39.152,40.243,314039,0
2015-05-06,40.45,40.81,40.298,40.631,246323,0
2015-05-07,40.706,41.189,40.621,40.81,177913,0
2015-05-08,41.067,41.56,40.696,40.781,149056,0
2015-05-11,40.725,40.999,40.591,40.752,130912,0
2015-05-12,40.488,40.84,40.062,40.403,142806,0
2015-05-13,40.355,40.573,39.71,40.544,169308,0
2015-05-14,40.687,41.293,40.233,40.859,123633,0
2015-05-15,40.859,40.906,40.498,40.687,115881,0
2015-05-18,40.82,41.312,40.307,41.039,169088,0
2015-05-19,40.82,41.049,40.403,40.573,156206,0
2015-05-20,40.933,40.99,39.787,39.881,191355,0
2015-05-21,39.71,40.46,39.71,39.995,164244,0
2015-05-22,40.014,40.335,39.152,39.502,140933,0
2015-05-26,39.273,39.419,38.457,38.628,191121,0
2015-05-27,38.698,39.39,38.422,39.209,113611,0
2015-05-28,39.237,39.482,38.763,38.944,167376,0
2015-05-29,39.228,39.228,37.722,38.183,265407,0
2015-06-01,38.346,39.18,37.984,39.114,175750,0
2015-06-02,39.065,40.044,38.867,39.645,214764,0
2015-06-03,39.967,41.103,39.777,41.039,259816,0
2015-06-04,40.925,40.96,39.787,40.204,218149,0
2015-06-05,40.252,41.049,39.826,40.933,221631,0
2015-06-08,40.97,40.98,39.502,39.71,206227,0
2015-06-09,39.673,39.816,39.027,39.16,232604,0
2015-06-10,39.18,39.626,38.953,39.152,440323,0
2015-06-11,39.17,39.36,38.867,39.35,184936,0
2015-06-12,39.124,39.38,38.876,39.332,108968,0
2015-06-15,39.134,39.199,38.477,38.876,151479,0
2015-06-16,38.838,39.738,38.838,39.427,153379,0
2015-06-17,39.53,39.606,38.754,39.152,104431,0
2015-06-18,39.38,40.146,39.237,39.995,255491,0
2015-06-19,40.107,40.582,39.796,40.355,268677,0
2015-06-22,40.706,40.925,40.355,40.47,120150,0
2015-06-23,40.423,40.761,40.137,40.743,221129,0
2015-06-24,40.743,40.925,39.719,40.146,169413,0
2015-06-25,40.261,40.261,39.293,39.645,123736,0
2015-06-26,39.816,40.137,39.273,39.41,604656,0
2015-06-29,39.046,39.53,38.848,38.953,212557,0
2015-06-30,39.283,40.155,39.17,39.854,227205,0
2015-07-01,40.062,40.81,40.062,40.564,321739,0
2015-07-02,40.743,40.752,39.938,40.127,205490,0
2015-07-06,39.835,40.534,39.606,39.854,200215,0
2015-07-07,39.835,40.072,38.819,39.854,207810,0
2015-07-08,39.39,39.826,38.895,39.38,202958,0
2015-07-09,39.863,40.034,39.569,39.665,212346,0
2015-07-10,40.117,40.706,39.806,40.524,134392,0
2015-07-13,40.791,41.228,40.479,41.103,142725,0
2015-07-14,41.142,41.199,40.679,40.801,144630,0
2015-07-15,40.761,40.761,39.665,39.758,206549,0
2015-07-16,40.082,40.403,39.787,39.967,138610,0
2015-07-17,40.014,40.117,39.588,39.767,85761,0
2015-07-20,39.89,40.092,39.606,39.7,242410,0
2015-07-21,39.645,40.052,39.492,39.767,139982,0
2015-07-22,39.71,39.919,39.35,39.54,149056,0
2015-07-23,39.521,39.719,38.619,38.706,139138,0
2015-07-24,38.526,38.526,37.921,38.109,208129,0
2015-07-27,37.693,37.843,36.859,37.464,164244,0
2015-07-28,37.623,37.853,37.056,37.502,199055,0
2015-07-29,37.54,38.211,37.54,37.984,285768,0
2015-07-30,37.873,38.526,37.732,38.031,402751,0
2015-07-31,38.149,39.512,37.757,39.265,195468,0
2015-08-03,39.322,39.444,38.174,38.487,211835,0
