Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,66.15,66.95,65.5,66.08,345913,0
2015-01-05,65.84,66.53,65.48,65.7,556816,0
2015-01-06,65.7,66.2,64.42,64.86,609135,0
2015-01-07,65.19,65.95,64.81,65.7,475070,0
2015-01-08,66.06,66.41,65.82,66.02,1016694,0
2015-01-09,66.25,66.25,65.64,65.71,441237,0
2015-01-12,65.69,66.07,65.03,65.35,346601,0
2015-01-13,66.0,66.24,65.01,65.53,360564,0
2015-01-14,65.01,65.67,64.5,65.31,454257,0
2015-01-15,65.24,65.53,64.6,64.67,467387,0
2015-01-16,64.51,65.38,64.22,65.26,482193,0
2015-01-20,65.64,65.98,64.33,64.91,433850,0
2015-01-21,64.66,65.4,64.12,65.2,304104,0
2015-01-22,65.47,65.76,64.66,65.64,868377,0
2015-01-23,65.59,65.81,65.35,65.53,342169,0
2015-01-26,65.47,65.47,64.57,65.19,638781,0
2015-01-27,64.74,65.24,64.54,65.11,424937,0
2015-01-28,65.29,65.49,64.33,64.53,484806,0
2015-01-29,65.25,69.2,64.8,68.84,1643316,0
2015-01-30,68.82,69.2,67.58,67.89,724278,0
2015-02-02,68.28,68.8,67.38,67.98,1235433,0
2015-02-03,67.93,68.68,67.65,68.48,589919,0
2015-02-04,68.12,68.9,68.12,68.54,502699,0
2015-02-05,68.78,69.62,68.53,69.08,502873,0
2015-02-06,69.8,71.37,69.67,70.48,862303,0
2015-02-09,70.19,70.46,69.43,69.66,548440,0
2015-02-10,70.02,70.7,69.67,70.6,540950,0
2015-02-11,70.56,71.49,70.53,71.24,355525,0
2015-02-12,71.59,71.86,70.99,71.38,252511,0
2015-02-13,71.19,71.75,70.85,71.32,319903,0
2015-02-17,71.06,71.15,70.42,70.91,665777,0
2015-02-18,70.74,71.54,70.65,71.25,488757,0
2015-02-19,71.04,71.25,70.59,70.92,506129,0
2015-02-20,70.69,71.55,70.23,71.47,456426,0
2015-02-23,71.43,72.37,71.4,71.97,635989,0
2015-02-24,71.83,72.39,71.26,71.39,497992,0
2015-02-25,71.49,72.03,71.0,71.78,441546,0
2015-02-26,71.77,72.29,71.25,71.62,536263,0
2015-02-27,71.74,71.86,71.46,71.47,387985,0
2015-03-02,71.32,71.8,71.03,71.23,639500,0
2015-03-03,70.97,71.4,70.2,70.57,478500,0
2015-03-04,70.23,71.32,69.73,71.11,720900,0
2015-03-05,71.31,71.63,70.97,71.5,400000,0
2015-03-06,71.32,72.09,70.99,71.14,418700,0
2015-03-09,71.07,71.42,70.57,71.24,393900,0
2015-03-10,70.68,71.17,69.93,70.85,556900,0
2015-03-11,71.03,71.77,70.45,71.62,576500,0
2015-03-12,72.48,74.13,72.48,73.66,744000,0
2015-03-13,73.7,74.29,73.19,73.72,564000,0
2015-03-16,74.1,74.57,73.18,73.3,727400,0
2015-03-17,72.95,73.1,71.97,72.64,620100,0
2015-03-18,72.37,72.47,71.34,72.06,886900,0
2015-03-19,72.06,72.75,71.79,72.14,836800,0
2015-03-20,72.28,73.14,71.8,72.46,1678400,0
2015-03-23,72.7,74.18,72.7,73.12,874300,0
2015-03-24,72.97,73.36,72.59,72.75,640000,0
2015-03-25,72.67,73.42,72.09,72.09,579800,0
2015-03-26,71.67,72.37,71.32,71.98,429000,0
2015-03-27,71.93,72.5,71.65,72.11,268100,0
2015-03-30,72.45,73.06,72.25,72.61,358700,0
2015-03-31,72.53,73.38,72.21,72.51,576377,0
2015-04-01,72.97,73.33,71.21,71.48,562900,0
2015-04-02,71.36,72.26,71.36,71.88,360300,0
2015-04-06,71.5,72.73,71.5,72.6,554300,0
2015-04-07,72.76,73.44,72.05,72.11,329279,0
2015-04-08,72.13,73.07,72.13,73.03,348600,0
2015-04-09,73.18,73.58,72.87,73.16,236164,0
2015-04-10,73.31,73.59,72.81,73.36,405200,0
2015-04-13,73.33,74.49,73.23,73.3,229700,0
2015-04-14,73.47,73.69,72.89,73.14,211500,0
2015-04-15,73.55,73.84,73.08,73.26,361506,0
2015-04-16,73.28,74.03,73.0,73.34,369907,0
2015-04-17,73.07,73.42,72.33,72.67,362000,0
2015-04-20,73.02,73.36,72.48,73.1,197496,0
2015-04-21,73.46,73.72,72.68,72.88,374308,0
2015-04-22,72.84,73.38,72.16,73.0,482199,0
2015-04-23,72.92,73.31,72.9,73.06,471600,0
2015-04-24,73.37,73.7,73.13,73.41,468065,0
2015-04-27,73.17,73.93,72.45,72.83,497600,0
