Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,6.0111,6.0786,5.9812,6.071,2782568,0
2015-01-05,6.0036,6.0936,5.9585,6.071,3839355,0
2015-01-06,6.086,6.1235,6.0333,6.0561,4750015,0
2015-01-07,6.071,6.0936,6.0036,6.0262,3634725,0
2015-01-08,6.0412,6.0561,5.9887,6.0262,2996887,0
2015-01-09,6.0111,6.0333,5.9661,5.9737,5445961,0
2015-01-12,5.9585,5.9961,5.9211,5.9737,5407264,0
2015-01-13,5.9887,5.9961,5.8912,5.9138,2458758,0
2015-01-14,5.8762,5.8912,5.8311,5.8762,2943852,0
2015-01-15,5.8762,5.9062,5.8463,5.8611,2741532,0
2015-01-16,5.8463,5.8912,5.8386,5.8836,1824528,0
2015-01-20,5.8762,5.8912,5.7787,5.8011,3108516,0
2015-01-21,5.7862,5.8311,5.7712,5.7787,2617716,0
2015-01-22,5.8088,5.8987,5.8011,5.8987,2222604,0
2015-01-23,5.9062,5.9062,5.8237,5.8537,2610657,0
2015-01-26,5.8463,5.9211,5.8162,5.9211,2044878,0
2015-01-27,5.9138,5.9737,5.8987,5.9436,4517347,0
2015-01-28,5.9661,5.9812,5.9286,5.9511,5365813,0
2015-01-29,5.9812,5.9812,5.8611,5.9286,2027398,0
2015-01-30,5.9211,5.9362,5.8537,5.8762,2429945,0
2015-02-02,5.8537,5.8687,5.7562,5.8311,2771189,0
2015-02-03,5.8463,5.9138,5.8162,5.9062,3228676,0
2015-02-04,5.8912,5.8987,5.8311,5.8537,2084965,0
2015-02-05,5.8537,5.9211,5.8311,5.9211,2060765,0
2015-02-06,5.9062,5.9211,5.7938,5.8162,2155105,0
2015-02-09,5.8237,5.8687,5.7938,5.8237,1808459,0
2015-02-10,5.8162,5.8311,5.7787,5.8011,2058519,0
2015-02-11,5.7862,5.8537,5.7862,5.8162,3041917,0
2015-02-12,5.9062,5.9211,5.8311,5.9138,2257764,0
2015-02-13,5.8912,5.9286,5.8687,5.9138,2000248,0
2015-02-17,5.8912,5.9812,5.8912,5.9436,3686838,0
2015-02-18,5.9511,5.9812,5.8836,5.9511,3521617,0
2015-02-19,5.9211,6.0111,5.9211,6.0111,5485425,0
2015-02-20,5.9961,6.0262,5.9661,5.9887,1867443,0
2015-02-23,6.0036,6.0187,5.9362,5.9436,2109129,0
2015-02-24,5.9286,5.9511,5.8987,5.9211,1905847,0
2015-02-25,5.9062,5.9961,5.9062,5.9661,2156861,0
2015-02-26,5.9511,5.9737,5.9138,5.9436,1580110,0
2015-02-27,5.9436,5.9737,5.9286,5.9661,2089890,0
2015-03-02,5.9362,5.9887,5.9138,5.9585,3119505,0
2015-03-03,5.9511,5.9812,5.9286,5.9661,2735786,0
2015-03-04,5.9661,6.0262,5.9511,6.0187,4532161,0
2015-03-05,6.0412,6.0484,5.9436,5.9511,2835451,0
2015-03-06,5.9211,5.9286,5.8088,5.8237,3112967,0
2015-03-09,5.8463,5.9362,5.8386,5.9362,9887526,0
2015-03-10,5.9211,5.9436,5.8687,5.9062,3919493,0
2015-03-11,5.9138,5.9138,5.8537,5.8537,3355393,0
2015-03-12,5.8762,5.9286,5.8687,5.9211,2081226,0
2015-03-13,5.9362,5.9362,5.8386,5.8687,4317089,0
2015-03-16,5.8687,5.9211,5.8687,5.9062,2316047,0
2015-03-17,5.9138,5.9436,5.8987,5.9286,2047338,0
2015-03-18,5.9436,6.0636,5.9138,6.0412,2766607,0
2015-03-19,6.0187,6.0561,5.9961,6.0262,1509654,0
2015-03-20,6.0262,6.1159,6.0262,6.1159,4376327,0
2015-03-23,6.1159,6.161,6.0936,6.1383,7088898,0
2015-03-24,6.1383,6.1461,6.086,6.1235,4261851,0
2015-03-25,6.1157,6.1543,6.0312,6.0312,5937772,0
2015-03-26,6.0236,6.0928,6.016,6.016,11836631,0
2015-03-27,6.016,6.0543,6.0006,6.0082,3244359,0
2015-03-30,6.016,6.0697,6.0006,6.0467,2060083,0
2015-03-31,6.0467,6.0849,6.016,6.0389,3224552,0
2015-04-01,6.062,6.062,6.0082,6.0543,2996023,0
2015-04-02,6.062,6.0849,6.016,6.0467,2117742,0
2015-04-06,6.0467,6.1157,6.0389,6.0849,2422172,0
2015-04-07,6.1081,6.1081,6.0467,6.062,2089231,0
2015-04-08,6.062,6.0849,6.0389,6.0773,1274863,0
2015-04-09,6.062,6.0849,6.0312,6.0467,1587164,0
2015-04-10,6.0697,6.1235,6.0543,6.0697,1376643,0
2015-04-13,6.0849,6.1005,6.0543,6.062,1561721,0
2015-04-14,6.0697,6.1081,6.0697,6.0849,1542589,0
2015-04-15,6.1005,6.1081,6.0773,6.0773,1262326,0
2015-04-16,6.0849,6.1312,6.0773,6.1312,1574194,0
2015-04-17,6.1157,6.1773,6.1081,6.1388,7502099,0
2015-04-20,6.1388,6.1695,6.1235,6.1312,1545653,0
2015-04-21,6.1388,6.1543,6.1005,6.1081,1476978,0
2015-04-22,6.1081,6.1312,6.0849,6.1005,1727808,0
2015-04-23,6.1081,6.1312,6.0928,6.1157,2326639,0
2015-04-24,6.1235,6.1388,6.1081,6.1157,1324558,0
2015-04-27,6.1312,6.1465,6.0928,6.1005,1962598,0
2015-04-28,6.1005,6.1235,6.0389,6.062,2761875,0
2015-04-29,6.0236,6.0543,5.9929,5.9929,2494150,0
