Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,17.291,17.328,17.03,17.147,850036,0
2015-01-05,17.038,17.054,16.511,16.701,1718407,0
2015-01-06,16.601,16.676,16.157,16.22,1646686,0
2015-01-07,16.348,16.549,16.195,16.339,1367693,0
2015-01-08,16.52,16.684,16.511,16.629,1341015,0
2015-01-09,16.584,16.611,16.157,16.275,1290489,0
2015-01-12,16.22,16.321,15.913,16.157,1465571,0
2015-01-13,16.248,16.357,15.876,16.068,1911411,0
2015-01-14,15.84,15.894,15.223,15.513,2244567,0
2015-01-15,15.649,15.676,15.069,15.079,2523477,0
2015-01-16,15.06,15.36,14.951,15.323,1835881,0
2015-01-20,15.413,15.413,14.897,14.941,3256690,0
2015-01-21,15.023,15.088,14.734,14.905,2564179,0
2015-01-22,14.897,15.36,14.897,15.03,3545079,0
2015-01-23,15.105,15.403,15.088,15.268,2590878,0
2015-01-26,15.295,15.376,15.196,15.251,1483421,0
2015-01-27,15.141,15.178,14.842,14.951,2220708,0
2015-01-28,15.069,15.149,14.707,14.716,1907750,0
2015-01-29,14.806,14.878,14.507,14.815,2219892,0
2015-01-30,14.507,14.914,14.416,14.588,2611598,0
2015-02-02,14.878,14.897,14.634,14.815,2658964,0
2015-02-03,14.961,15.485,14.905,15.451,3530259,0
2015-02-04,15.46,15.594,15.314,15.46,2705719,0
2015-02-05,15.551,15.757,15.441,15.613,2283505,0
2015-02-06,15.695,15.876,15.623,15.748,1768022,0
2015-02-09,15.732,16.004,15.667,15.84,3513181,0
2015-02-10,15.922,15.94,15.568,15.676,2636642,0
2015-02-11,15.641,15.741,15.513,15.686,2058280,0
2015-02-12,15.37,15.623,14.932,15.46,4394233,0
2015-02-13,15.522,15.824,15.441,15.704,2324141,0
2015-02-17,15.776,16.203,15.695,16.095,2810035,0
2015-02-18,16.012,16.22,15.857,16.12,4108968,0
2015-02-19,15.94,16.111,15.886,16.068,1876895,0
2015-02-20,16.029,16.077,15.824,16.049,2373607,0
2015-02-23,15.98,15.989,15.716,15.797,2016099,0
2015-02-24,15.825,16.201,15.759,16.126,3008776,0
