Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,21.069,21.257,20.188,20.791,11755789,0
2015-01-05,20.594,20.713,20.109,20.218,9282877,0
2015-01-06,20.099,20.169,19.288,19.447,17017200,0
2015-01-07,20.08,20.277,19.871,20.208,12522918,0
2015-01-08,20.634,20.782,20.436,20.494,12947643,0
2015-01-09,20.574,20.644,20.129,20.287,6732177,0
2015-01-12,20.198,20.287,19.881,20.001,7772505,0
2015-01-13,20.198,20.554,19.951,20.129,9533360,0
2015-01-14,19.684,20.099,19.594,20.011,12224662,0
2015-01-15,20.218,20.446,19.881,20.021,11240185,0
2015-01-16,19.812,19.981,19.654,19.793,9452056,0
2015-01-20,19.724,19.784,18.664,18.923,19554207,0
2015-01-21,18.774,19.417,18.617,19.031,12459510,0
2015-01-22,19.239,19.724,19.1,19.674,11428099,0
2015-01-23,19.664,19.881,19.417,19.784,8398188,0
2015-01-26,19.911,20.674,19.871,20.664,10446771,0
2015-01-27,20.624,20.791,20.287,20.634,9120702,0
2015-01-28,20.713,20.742,19.961,20.099,8717815,0
2015-01-29,20.178,20.228,19.594,19.961,7897847,0
2015-01-30,19.871,19.871,19.219,19.268,10583306,0
2015-02-02,19.229,19.536,18.913,19.526,7652862,0
2015-02-03,19.594,20.257,19.457,20.238,8368069,0
2015-02-04,19.941,20.07,19.536,19.654,9308974,0
2015-02-05,19.704,20.228,19.624,20.109,8552373,0
2015-02-06,20.357,20.446,19.704,19.744,9469246,0
2015-02-09,19.604,19.704,19.337,19.377,16092520,0
2015-02-10,19.664,20.544,19.594,20.514,15665024,0
2015-02-11,20.504,20.614,20.198,20.524,8299105,0
2015-02-12,20.564,21.168,20.484,21.009,12603182,0
2015-02-13,21.128,21.484,21.009,21.227,16326019,0
2015-02-17,21.049,22.156,20.851,21.633,24966412,0
2015-02-18,21.721,22.236,21.573,22.058,17044705,0
2015-02-19,22.088,22.424,21.959,22.196,10095624,0
2015-02-20,22.176,22.434,22.088,22.384,10893045,0
2015-02-23,22.196,22.384,22.068,22.306,11420739,0
2015-02-24,21.86,21.879,21.434,21.642,17253935,0
2015-02-25,21.306,21.841,21.148,21.731,15435818,0
2015-02-26,21.672,21.889,21.573,21.712,9163220,0
2015-02-27,21.771,21.989,21.356,21.494,9843707,0
2015-03-02,21.464,21.909,21.424,21.633,6626135,0
2015-03-03,21.841,22.009,21.731,21.781,9002028,0
2015-03-04,21.573,21.889,21.484,21.841,8947132,0
2015-03-05,21.554,21.761,21.504,21.692,6726929,0
2015-03-06,21.642,21.86,21.267,21.386,16129910,0
2015-03-09,21.406,21.524,20.446,20.684,19960495,0
2015-03-10,20.04,20.426,19.764,19.812,19953216,0
2015-03-11,19.871,19.931,19.18,19.377,21659945,0
2015-03-12,19.556,19.674,19.288,19.288,9122838,0
2015-03-13,19.387,19.477,19.091,19.2,10534970,0
2015-03-16,19.2,19.487,18.893,19.447,13443343,0
2015-03-17,20.674,21.613,20.574,21.504,63204460,0
2015-03-18,21.316,22.316,21.168,22.276,34178549,0
2015-03-19,22.344,22.671,22.166,22.602,19995778,0
2015-03-20,22.929,22.998,22.137,22.374,20397035,0
2015-03-23,22.256,22.691,22.166,22.166,8640806,0
2015-03-24,22.137,22.286,21.811,21.841,9433208,0
2015-03-25,21.87,21.87,21.424,21.454,13144701,0
2015-03-26,21.267,21.464,20.931,21.158,13946405,0
2015-03-27,21.276,21.444,20.931,21.069,10346120,0
2015-03-30,21.187,21.434,20.96,21.039,12712207,0
2015-03-31,20.931,21.326,20.722,20.801,12449417,0
2015-04-01,20.752,20.931,20.357,20.654,9556953,0
2015-04-02,20.634,21.148,20.504,21.108,9681403,0
2015-04-06,20.911,21.346,20.851,21.108,8091948,0
2015-04-07,21.148,21.306,20.504,20.881,10154050,0
2015-04-08,21.207,21.801,21.118,21.356,15247227,0
2015-04-09,21.889,22.404,21.564,22.364,17703699,0
2015-04-10,22.394,22.394,22.019,22.306,8248043,0
2015-04-13,22.058,22.117,21.652,21.761,8119447,0
2015-04-14,21.217,21.702,20.989,21.524,10130478,0
2015-04-15,21.514,22.088,21.414,21.899,6079734,0
2015-04-16,21.919,22.156,21.603,21.712,8499195,0
2015-04-17,21.464,21.712,21.049,21.197,6754529,0
2015-04-20,21.771,21.919,21.454,21.593,10078351,0
2015-04-21,21.741,21.761,21.197,21.474,5759375,0
2015-04-22,21.464,21.979,21.396,21.791,7348195,0
2015-04-23,21.474,21.989,21.217,21.841,9468694,0
2015-04-24,22.107,22.166,21.741,21.761,7005564,0
2015-04-27,21.899,22.048,21.554,21.682,5522250,0
2015-04-28,21.672,22.186,21.454,22.117,11124331,0
2015-04-29,21.247,21.494,20.654,20.881,20046327,0
2015-04-30,20.979,21.276,20.782,20.921,10688841,0
2015-05-01,21.069,21.316,20.931,21.168,10045455,0
2015-05-04,20.693,21.386,20.544,21.039,23411358,0
2015-05-05,20.979,21.168,19.664,19.921,20915159,0
2015-05-06,20.178,20.257,19.15,19.367,26575742,0
2015-05-07,19.357,19.684,19.288,19.536,13227925,0
2015-05-08,19.744,20.04,19.584,19.714,10679944,0
2015-05-11,19.724,19.774,19.11,19.14,9808281,0
2015-05-12,19.19,19.239,18.824,18.913,17040561,0
2015-05-13,19.011,19.298,18.991,19.15,11414993,0
2015-05-14,19.249,19.258,19.021,19.11,7375873,0
2015-05-15,19.17,19.347,19.11,19.258,5909347,0
2015-05-18,19.2,19.516,19.11,19.467,6915550,0
2015-05-19,19.487,19.564,19.397,19.497,7998763,0
2015-05-20,19.427,19.951,19.387,19.852,9841959,0
2015-05-21,19.931,20.04,19.852,19.981,8117525,0
2015-05-22,19.951,20.367,19.951,20.287,11611457,0
2015-05-26,20.09,20.139,19.564,19.654,11456608,0
2015-05-27,19.674,19.744,19.526,19.694,5000183,0
2015-05-28,19.614,19.991,19.584,19.971,7413583,0
2015-05-29,19.961,20.06,19.784,19.832,8452057,0
2015-06-01,19.744,19.774,19.288,19.367,6447300,0
2015-06-02,19.308,19.684,19.308,19.556,3774616,0
2015-06-03,19.664,19.842,19.327,19.497,7712225,0
2015-06-04,19.931,20.357,19.754,20.06,15369453,0
2015-06-05,20.05,20.257,19.871,20.06,7705553,0
2015-06-08,19.427,19.614,18.942,18.961,12422360,0
2015-06-09,18.991,19.298,18.981,19.14,6845894,0
2015-06-10,19.278,19.427,19.19,19.318,5437351,0
2015-06-11,19.387,19.614,19.15,19.604,6774769,0
2015-06-12,19.467,19.564,19.17,19.219,6209310,0
2015-06-15,19.041,19.219,18.961,19.021,6741486,0
2015-06-16,18.942,19.427,18.824,18.883,12895799,0
2015-06-17,18.991,19.268,18.923,19.21,10011588,0
2015-06-18,19.308,19.437,19.17,19.288,6853200,0
2015-06-19,19.278,19.417,19.2,19.288,9737512,0
2015-06-22,19.397,19.467,18.883,18.883,7440678,0
2015-06-23,18.893,19.258,18.764,19.17,9983440,0
2015-06-24,19.15,19.219,18.388,18.427,9768246,0
2015-06-25,18.547,18.597,18.25,18.437,7055799,0
2015-06-26,18.338,18.437,17.963,18.18,11113754,0
2015-06-29,17.864,17.953,17.31,17.39,13293921,0
2015-06-30,17.874,18.28,17.774,18.051,12104471,0
2015-07-01,18.507,18.754,18.26,18.348,9096756,0
2015-07-02,18.597,18.597,18.24,18.348,6609757,0
2015-07-06,18.101,18.358,17.973,18.071,7210378,0
2015-07-07,18.26,19.031,17.687,18.844,19109254,0
2015-07-08,18.329,18.557,17.3,17.38,23564117,0
2015-07-09,17.697,18.061,17.577,17.647,11264288,0
2015-07-10,17.953,18.042,17.824,17.953,7469693,0
2015-07-13,18.537,18.844,18.31,18.644,9977821,0
2015-07-14,18.644,19.031,18.537,18.714,9053724,0
2015-07-15,18.654,18.774,18.131,18.338,9267489,0
2015-07-16,18.487,18.744,18.329,18.487,8009554,0
2015-07-17,18.467,18.497,18.141,18.25,6047452,0
2015-07-20,18.3,18.368,18.042,18.26,10876578,0
2015-07-21,18.29,18.617,18.23,18.28,6887775,0
2015-07-22,18.081,18.527,18.013,18.32,7584236,0
2015-07-23,18.774,18.864,18.27,18.477,8051205,0
2015-07-24,18.597,18.597,17.894,17.914,7477881,0
2015-07-27,17.627,17.774,17.34,17.497,9988943,0
2015-07-28,17.677,17.914,17.38,17.814,8175455,0
2015-07-29,17.963,18.25,17.924,18.022,7119204,0
2015-07-30,18.23,19.574,16.657,19.437,16387303,0
2015-07-31,19.407,19.507,19.031,19.407,9442005,0
2015-08-03,19.377,19.822,19.288,19.634,18832401,0
2015-08-04,19.921,21.741,19.871,21.514,33921560,0
2015-08-05,21.761,22.503,21.751,22.117,16156397,0
2015-08-06,22.216,22.226,21.652,21.751,11983573,0
2015-08-07,21.721,22.147,21.712,21.959,9102518,0
2015-08-10,22.246,22.523,22.088,22.354,10942292,0
2015-08-11,21.879,22.335,21.534,21.939,10751629,0
2015-08-12,21.494,21.929,21.069,21.831,9982472,0
2015-08-13,21.879,22.166,21.682,22.009,8657083,0
2015-08-14,22.088,22.444,21.939,22.236,10046871,0
2015-08-17,22.226,22.503,21.929,22.394,4809007,0
2015-08-18,22.236,22.384,22.048,22.236,4739554,0
2015-08-19,22.009,22.216,21.504,21.831,5807749,0
2015-08-20,21.424,21.623,20.999,21.049,7801999,0
2015-08-21,20.604,20.722,20.198,20.367,10324990,0
2015-08-24,17.924,19.961,16.894,19.327,13133652,0
2015-08-25,20.119,20.178,18.991,19.001,7787645,0
2015-08-26,19.477,19.704,18.587,19.397,7700296,0
2015-08-27,19.784,20.416,19.704,20.317,7771367,0
2015-08-28,20.228,20.614,20.169,20.614,5323796,0
2015-08-31,20.347,20.762,19.991,20.208,7162659,0
2015-09-01,19.694,20.119,19.497,19.654,7292873,0
2015-09-02,19.881,20.05,19.574,20.04,4917485,0
2015-09-03,20.129,20.684,20.129,20.267,4523407,0
2015-09-04,19.931,20.436,19.832,20.257,4646544,0
