Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,26.21,27.28,25.82,27.18,145000,0
2015-01-05,27.12,27.645,26.4,26.74,211818,0
2015-01-06,26.78,27.26,25.0,25.51,139989,0
2015-01-07,26.04,26.31,25.476,25.68,85630,0
2015-01-08,27.1,27.1,25.87,26.9,111390,0
2015-01-09,26.76,26.97,26.48,26.77,105476,0
2015-01-12,26.77,26.95,26.5,26.71,130788,0
2015-01-13,27.29,28.19,25.68,25.99,566347,0
2015-01-14,25.55,26.77,25.55,26.71,110051,0
2015-01-15,26.77,26.77,25.25,25.56,115933,0
2015-01-16,25.58,26.81,25.58,26.73,91461,0
2015-01-20,26.77,27.41,26.38,26.45,287880,0
2015-01-21,26.66,26.66,25.82,26.05,77390,0
2015-01-22,26.24,27.15,25.69,27.06,105994,0
2015-01-23,27.03,27.13,26.285,27.0,104210,0
2015-01-26,26.83,27.92,26.61,27.4,229551,0
2015-01-27,26.94,27.47,26.66,27.42,141656,0
2015-01-28,27.63,27.66,26.24,26.88,253802,0
2015-01-29,25.96,26.08,23.35,24.305,780864,0
2015-01-30,23.96,25.88,23.81,24.85,605300,0
2015-02-02,24.94,25.4,24.22,24.87,310610,0
2015-02-03,24.8,26.055,24.578,25.61,264338,0
2015-02-04,25.46,25.46,24.71,24.79,152450,0
2015-02-05,24.87,25.05,24.23,24.5,163194,0
2015-02-06,24.4,24.83,24.35,24.75,90172,0
2015-02-09,24.71,25.22,24.5,24.65,441949,0
2015-02-10,25.0,25.0,24.2,24.36,97745,0
2015-02-11,24.35,24.69,24.02,24.14,195534,0
2015-02-12,24.41,24.85,24.01,24.46,268409,0
2015-02-13,24.52,24.9,24.33,24.55,113887,0
2015-02-17,24.53,24.79,23.76,24.72,123480,0
2015-02-18,24.56,25.46,24.39,25.19,146587,0
2015-02-19,25.25,25.7,25.04,25.17,224767,0
2015-02-20,25.07,25.14,24.85,25.02,252928,0
2015-02-23,25.02,25.03,24.0,24.42,155749,0
2015-02-24,24.52,24.92,23.95,24.2,329197,0
2015-02-25,24.05,24.89,23.77,24.43,520613,0
2015-02-26,24.41,24.93,23.9,24.07,99028,0
2015-02-27,24.37,24.37,23.43,23.53,246553,0
2015-03-02,23.44,24.08,23.15,23.32,331100,0
2015-03-03,23.06,23.13,22.31,22.38,221700,0
2015-03-04,22.26,22.68,22.21,22.35,235100,0
2015-03-05,22.33,22.4,21.95,22.17,114600,0
2015-03-06,22.03,22.03,21.27,21.53,204200,0
2015-03-09,21.68,22.43,21.41,22.19,241600,0
2015-03-10,21.92,22.41,21.8,21.99,136700,0
2015-03-11,22.11,22.12,21.42,21.43,61500,0
2015-03-12,21.57,21.71,20.72,20.79,271300,0
2015-03-13,20.64,20.88,20.56,20.71,78900,0
2015-03-16,20.71,21.37,20.68,21.27,91800,0
2015-03-17,21.21,22.06,21.05,21.73,211900,0
2015-03-18,21.73,22.6,21.68,22.53,241700,0
2015-03-19,22.39,23.36,22.36,23.17,246800,0
2015-03-20,23.25,23.34,22.77,23.02,323900,0
2015-03-23,22.95,23.24,22.83,22.97,243500,0
2015-03-24,22.95,23.78,22.95,23.53,130000,0
2015-03-25,23.57,23.59,22.84,23.04,292700,0
2015-03-26,23.02,23.39,22.43,22.45,164100,0
2015-03-27,22.48,22.77,22.32,22.35,161300,0
2015-03-30,22.61,22.69,22.13,22.54,67900,0
2015-03-31,22.35,22.48,21.91,21.96,191472,0
2015-04-01,21.98,22.75,21.85,22.19,141200,0
2015-04-02,22.17,22.65,21.54,22.04,230800,0
2015-04-06,21.98,22.29,21.98,22.1,139200,0
2015-04-07,22.14,22.18,21.8,21.97,116719,0
2015-04-08,22.0,22.99,21.77,22.96,618700,0
2015-04-09,23.0,23.15,22.12,22.49,477099,0
2015-04-10,22.46,23.5,22.43,23.36,132500,0
2015-04-13,23.4,23.51,22.78,23.0,242400,0
2015-04-14,23.09,23.43,22.14,22.94,246500,0
2015-04-15,23.12,23.12,22.79,22.8,118410,0
2015-04-16,22.72,22.77,22.2,22.5,475308,0
2015-04-17,22.27,22.49,21.44,22.41,233800,0
2015-04-20,22.69,22.69,22.03,22.21,184722,0
2015-04-21,22.28,23.62,22.185,23.54,183966,0
2015-04-22,23.56,23.96,23.26,23.87,143409,0
2015-04-23,23.87,23.98,23.27,23.63,213500,0
2015-04-24,23.55,23.59,22.95,23.45,158727,0
2015-04-27,23.58,23.58,22.8,22.88,176500,0
2015-04-28,22.97,23.1,22.39,22.63,171400,0
2015-04-29,22.45,22.69,21.71,21.97,176400,0
2015-04-30,21.88,22.06,21.13,21.18,256400,0
2015-05-01,21.32,21.61,20.92,21.3,413200,0
2015-05-04,21.28,21.55,20.83,21.42,249900,0
2015-05-05,21.31,21.94,21.31,21.85,184400,0
2015-05-06,21.85,21.97,21.41,21.74,289571,0
2015-05-07,21.56,22.34,21.56,21.93,304070,0
2015-05-08,22.0,22.34,21.66,22.08,103200,0
2015-05-11,22.2,22.21,21.91,22.03,302500,0
2015-05-12,21.88,22.77,21.71,22.69,328196,0
2015-05-13,22.85,23.29,22.65,23.24,529800,0
2015-05-14,24.04,24.04,20.06,20.07,1653400,0
2015-05-15,19.99,20.38,17.81,17.93,1520167,0
2015-05-18,17.94,18.56,17.93,18.51,866827,0
2015-05-19,18.78,18.88,18.42,18.67,846400,0
2015-05-20,18.76,18.77,18.34,18.49,586400,0
2015-05-21,18.52,19.37,18.4,19.18,452100,0
2015-05-22,19.07,20.35,19.0,19.85,1138600,0
2015-05-26,19.72,19.825,19.36,19.74,598837,0
2015-05-27,19.9,20.08,19.72,19.89,609500,0
2015-05-28,19.76,19.795,19.3,19.63,239540,0
2015-05-29,19.63,19.69,19.13,19.4,441700,0
2015-06-01,19.59,19.64,19.43,19.53,361376,0
2015-06-02,19.36,19.59,19.36,19.4,305345,0
2015-06-03,19.35,19.59,19.02,19.49,142000,0
2015-06-04,19.42,19.46,18.93,19.26,288900,0
2015-06-05,19.13,19.31,18.96,19.27,108000,0
2015-06-08,19.27,19.41,19.03,19.23,162500,0
2015-06-09,19.26,19.27,18.91,19.1,177840,0
2015-06-10,19.15,19.2,18.92,18.97,138976,0
2015-06-11,19.01,19.32,18.93,19.29,278712,0
2015-06-12,19.26,19.39,19.02,19.03,54700,0
2015-06-15,18.81,19.18,18.81,19.14,138500,0
2015-06-16,19.56,19.64,19.03,19.36,244100,0
2015-06-17,19.35,19.49,18.97,19.17,215000,0
2015-06-18,19.02,19.53,18.99,19.14,275000,0
2015-06-19,19.07,19.42,18.98,19.37,704700,0
2015-06-22,19.57,20.49,19.46,20.23,280400,0
2015-06-23,20.29,20.84,19.85,20.73,277324,0
2015-06-24,20.74,20.91,20.29,20.47,281600,0
2015-06-25,20.47,20.54,20.31,20.42,292400,0
2015-06-26,20.38,20.44,19.86,19.87,139300,0
2015-06-29,19.71,20.06,19.51,19.82,390600,0
2015-06-30,20.03,20.14,19.65,19.68,134718,0
2015-07-01,19.78,19.78,18.81,19.1,356400,0
2015-07-02,19.18,19.45,18.89,19.01,168200,0
2015-07-06,18.9,19.4,18.9,19.01,370800,0
2015-07-07,19.06,19.08,18.34,18.73,228900,0
2015-07-08,18.43,19.2,18.09,18.64,202600,0
2015-07-09,18.96,19.11,18.59,18.62,169600,0
2015-07-10,18.73,18.73,18.37,18.43,119900,0
2015-07-13,18.52,18.68,18.5,18.52,283100,0
2015-07-14,18.58,19.845,18.5,19.65,947192,0
2015-07-15,19.65,20.81,19.65,20.25,401996,0
2015-07-16,20.35,20.63,20.17,20.38,266200,0
2015-07-17,20.44,20.58,20.31,20.4,177500,0
