Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,14.37,14.37,14.37,14.37,153,0
2015-01-06,14.402,14.402,14.402,14.402,214,0
2015-01-09,14.615,14.633,14.615,14.633,1174,0
2015-01-12,14.633,14.633,14.083,14.083,3052,0
2015-01-14,14.22,14.224,14.22,14.22,619,0
2015-01-20,14.652,14.953,13.991,14.76,15918,0
2015-01-21,14.679,14.679,14.679,14.679,111,0
2015-01-26,14.451,14.679,14.339,14.339,1230,0
2015-01-28,14.451,14.451,14.22,14.22,1202,0
2015-01-29,14.22,14.23,14.22,14.23,815,0
2015-01-30,14.22,14.23,14.192,14.22,3560,0
2015-02-02,14.451,14.497,14.451,14.497,1006,0
2015-02-03,14.497,14.623,14.497,14.623,455,0
2015-02-04,14.587,14.587,14.451,14.451,7722,0
2015-02-09,14.762,14.762,14.497,14.62,867,0
2015-02-10,14.753,14.753,14.753,14.753,293,0
2015-02-11,15.003,15.003,14.753,14.753,768,0
2015-02-12,14.588,14.588,14.329,14.451,2599,0
2015-02-13,14.358,14.616,14.358,14.368,1737,0
2015-02-17,14.616,14.762,14.368,14.368,6497,0
2015-02-18,14.517,14.517,14.517,14.517,624,0
2015-02-19,14.506,14.515,14.376,14.376,820,0
2015-02-23,14.718,14.762,14.541,14.672,4467,0
2015-02-24,14.645,14.645,14.402,14.402,460,0
2015-03-02,14.681,14.681,14.681,14.681,110,0
2015-03-03,14.634,14.634,14.634,14.634,110,0
2015-03-04,14.634,14.634,14.579,14.579,1625,0
2015-03-05,14.616,14.616,14.616,14.616,650,0
2015-03-09,14.672,14.672,14.672,14.672,216,0
2015-03-10,14.497,14.497,14.497,14.497,216,0
2015-03-11,14.644,14.644,14.358,14.358,216,0
2015-03-12,14.497,14.515,14.497,14.515,757,0
2015-03-13,14.487,14.624,14.402,14.624,5524,0
2015-03-18,14.313,14.376,14.313,14.376,434,0
2015-03-20,14.634,14.634,14.522,14.569,2164,0
2015-03-25,14.319,14.319,14.319,14.319,110,0
2015-03-27,14.624,14.681,14.402,14.672,2708,0
2015-03-30,14.551,14.551,14.432,14.432,1083,0
2015-04-08,14.402,14.402,14.368,14.402,324,0
2015-04-10,14.681,14.681,14.338,14.338,1300,0
2015-04-15,14.487,14.487,14.487,14.487,160,0
2015-04-16,14.632,14.632,14.632,14.632,130,0
2015-04-17,14.412,14.412,14.294,14.294,2059,0
2015-04-23,14.432,14.432,14.432,14.432,650,0
2015-04-28,14.515,14.541,14.429,14.522,875,0
2015-04-29,14.541,14.541,14.541,14.541,110,0
