Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,7.5727,7.5895,7.5561,7.5561,95816,0
2015-01-05,7.5643,7.6061,7.531,7.5478,211718,0
2015-01-06,7.5478,7.5727,7.506,7.5561,271260,0
2015-01-07,7.5727,7.6229,7.5561,7.6143,188359,0
2015-01-08,7.631,7.7145,7.631,7.6811,106576,0
2015-01-09,7.6727,7.6727,7.6143,7.6477,122807,0
2015-01-12,7.6229,7.6562,7.5895,7.6229,218726,0
2015-01-13,7.6562,7.6562,7.6061,7.6143,97425,0
2015-01-14,7.5812,7.6143,7.5561,7.5812,50903,0
2015-01-15,7.6143,7.6143,7.5561,7.5812,112516,0
2015-01-16,7.5812,7.6229,7.5727,7.6061,62101,0
2015-01-20,7.6394,7.6394,7.5561,7.5812,92274,0
2015-01-21,7.5976,7.631,7.5812,7.6061,83508,0
2015-01-22,7.631,7.631,7.5976,7.631,170879,0
2015-01-23,7.6394,7.6895,7.6143,7.631,119509,0
2015-01-26,7.6143,7.6394,7.6143,7.6229,127342,0
2015-01-27,7.6143,7.6477,7.6143,7.6394,109774,0
2015-01-28,7.631,7.6394,7.5976,7.631,83338,0
2015-01-29,7.5895,7.6562,7.5895,7.6562,75194,0
2015-01-30,7.6143,7.6394,7.6061,7.6061,91330,0
2015-02-02,7.631,7.6562,7.6061,7.6562,124004,0
2015-02-03,7.6562,7.7145,7.6562,7.6978,136636,0
2015-02-04,7.6727,7.7145,7.5561,7.6895,85074,0
2015-02-05,7.7063,7.7311,7.6978,7.7063,104901,0
2015-02-06,7.7063,7.7063,7.6477,7.6727,117064,0
2015-02-09,7.6562,7.6811,7.6562,7.6562,64654,0
2015-02-10,7.6562,7.6811,7.6562,7.6644,69267,0
2015-02-11,7.6644,7.6644,7.6229,7.631,82702,0
2015-02-12,7.631,7.6895,7.631,7.6644,150826,0
2015-02-13,7.6811,7.6895,7.6644,7.6811,206094,0
2015-02-17,7.6895,7.7063,7.631,7.6978,178630,0
2015-02-18,7.6811,7.7227,7.6644,7.7145,63805,0
