Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,1.05,1.05,1.02,1.04,36826,0
2015-01-05,1.02,1.05,1.01,1.05,31825,0
2015-01-06,1.02,1.06,1.01,1.06,43557,0
2015-01-07,1.04,1.06,1.03,1.05,15994,0
2015-01-08,1.04,1.06,1.01,1.01,23843,0
2015-01-09,1.07,1.07,1.03,1.06,28549,0
2015-01-12,1.01,1.12,1.01,1.03,91160,0
2015-01-13,1.06,1.06,1.02,1.05,17954,0
2015-01-14,1.06,1.09,1.02,1.08,67751,0
2015-01-15,1.06,1.07,1.06,1.07,8537,0
2015-01-16,1.07,1.07,1.06,1.07,8548,0
2015-01-20,1.02,1.07,1.02,1.06,40461,0
2015-01-21,1.07,1.07,1.02,1.07,4300,0
2015-01-22,1.03,1.07,1.03,1.04,20127,0
2015-01-23,1.04,1.05,1.04,1.05,1100,0
2015-01-26,1.05,1.06,1.03,1.03,38211,0
2015-01-27,1.04,1.06,1.04,1.06,16709,0
2015-01-28,1.05,1.08,1.05,1.06,19922,0
2015-01-29,1.04,1.07,1.04,1.05,8658,0
2015-01-30,1.05,1.05,1.04,1.05,14397,0
2015-02-02,1.03,1.06,1.03,1.04,12430,0
2015-02-03,1.04,1.06,1.03,1.04,27151,0
2015-02-04,1.04,1.05,1.04,1.05,13380,0
2015-02-05,1.04,1.06,1.04,1.06,14690,0
2015-02-06,1.06,1.06,1.05,1.05,10782,0
2015-02-09,1.06,1.07,1.05,1.06,2608,0
2015-02-10,1.08,1.08,1.04,1.05,10620,0
2015-02-11,1.04,1.06,1.04,1.05,4896,0
2015-02-12,1.05,1.05,1.04,1.05,15444,0
2015-02-13,1.05,1.07,1.04,1.07,12802,0
2015-02-17,1.07,1.07,1.05,1.06,49814,0
2015-02-18,1.38,1.46,1.32,1.35,511332,0
2015-02-19,1.36,1.36,1.28,1.3,165125,0
2015-02-20,1.32,1.37,1.3,1.34,96494,0
2015-02-23,1.37,1.38,1.34,1.35,45538,0
2015-02-24,1.37,1.39,1.34,1.34,45644,0
2015-02-25,1.34,1.36,1.34,1.34,21383,0
2015-02-26,1.34,1.36,1.34,1.34,3506,0
2015-02-27,1.34,1.36,1.34,1.34,30332,0
2015-03-02,1.36,1.36,1.34,1.34,27700,0
2015-03-03,1.35,1.36,1.34,1.36,20800,0
2015-03-04,1.36,1.36,1.34,1.36,68900,0
2015-03-05,1.36,1.36,1.35,1.35,26500,0
2015-03-06,1.36,1.36,1.33,1.35,98800,0
2015-03-09,1.36,1.36,1.33,1.35,105300,0
2015-03-10,1.32,1.35,1.32,1.33,27100,0
2015-03-11,1.33,1.34,1.3,1.3,40500,0
2015-03-12,1.31,1.31,1.3,1.3,57000,0
2015-03-13,1.32,1.35,1.3,1.31,14500,0
2015-03-16,1.33,1.34,1.31,1.31,22900,0
2015-03-17,1.31,1.33,1.31,1.32,15600,0
2015-03-18,1.3,1.31,1.3,1.3,27200,0
2015-03-19,1.3,1.31,1.3,1.3,22000,0
2015-03-20,1.3,1.33,1.3,1.3,25900,0
2015-03-23,1.31,1.34,1.31,1.31,88000,0
2015-03-24,1.3,1.33,1.3,1.33,14700,0
2015-03-25,1.32,1.34,1.3,1.3,14800,0
2015-03-26,1.3,1.33,1.3,1.31,34000,0
2015-03-27,1.3,1.33,1.3,1.32,16300,0
2015-03-30,1.34,1.34,1.31,1.31,50600,0
2015-03-31,1.33,1.36,1.31,1.32,64488,0
2015-04-01,1.32,1.38,1.31,1.35,75100,0
2015-04-02,1.37,1.45,1.36,1.45,117800,0
2015-04-06,1.41,1.45,1.39,1.45,95900,0
2015-04-07,1.46,1.46,1.37,1.43,81562,0
2015-04-08,1.41,1.41,1.38,1.38,36400,0
2015-04-09,1.36,1.4,1.36,1.37,6100,0
2015-04-10,1.35,1.37,1.35,1.37,24300,0
2015-04-13,1.37,1.38,1.35,1.36,30300,0
2015-04-14,1.35,1.37,1.34,1.37,23200,0
2015-04-15,1.37,1.37,1.33,1.36,15950,0
2015-04-16,1.36,1.39,1.33,1.38,24522,0
2015-04-17,1.38,1.38,1.35,1.36,29700,0
2015-04-20,1.35,1.36,1.34,1.34,19514,0
2015-04-21,1.36,1.38,1.36,1.37,8061,0
2015-04-22,1.35,1.37,1.34,1.37,1347,0
2015-04-23,1.37,1.41,1.37,1.37,48300,0
2015-04-24,1.4,1.41,1.37,1.37,29172,0
2015-04-27,1.39,1.4,1.35,1.35,10200,0
2015-04-28,1.36,1.4,1.36,1.39,13783,0
2015-04-29,1.39,1.39,1.38,1.39,3500,0
2015-04-30,1.38,1.4,1.38,1.39,10300,0
2015-05-01,1.38,1.39,1.38,1.39,20600,0
2015-05-04,1.37,1.39,1.36,1.37,17500,0
2015-05-05,1.39,1.39,1.36,1.36,28800,0
2015-05-06,1.36,1.38,1.36,1.38,5699,0
2015-05-07,1.36,1.38,1.36,1.36,4760,0
2015-05-08,1.38,1.39,1.37,1.39,3900,0
2015-05-11,1.36,1.38,1.36,1.38,26800,0
2015-05-12,1.36,1.38,1.36,1.37,11384,0
2015-05-13,1.36,1.38,1.36,1.38,12269,0
2015-05-14,1.37,1.38,1.34,1.35,29200,0
2015-05-15,1.37,1.37,1.35,1.36,1539,0
2015-05-18,1.35,1.37,1.35,1.36,11396,0
2015-05-19,1.37,1.38,1.36,1.36,10997,0
2015-05-20,1.38,1.38,1.35,1.35,17418,0
2015-05-21,1.38,1.38,1.35,1.36,10600,0
2015-05-22,1.36,1.38,1.36,1.38,13800,0
2015-05-26,1.38,1.38,1.37,1.38,4753,0
2015-05-27,1.38,1.38,1.36,1.36,3000,0
2015-05-28,1.38,1.38,1.36,1.38,12025,0
2015-05-29,1.37,1.37,1.36,1.37,9000,0
2015-06-01,1.37,1.37,1.32,1.35,40206,0
2015-06-02,1.35,1.37,1.34,1.37,9597,0
2015-06-03,1.37,1.38,1.35,1.38,32800,0
2015-06-04,1.37,1.37,1.36,1.37,11300,0
2015-06-05,1.37,1.38,1.37,1.38,12800,0
2015-06-08,1.38,1.38,1.34,1.37,16800,0
2015-06-09,1.38,1.38,1.34,1.35,38548,0
2015-06-10,1.35,1.37,1.35,1.36,3800,0
2015-06-11,1.36,1.37,1.35,1.35,9897,0
2015-06-12,1.37,1.37,1.34,1.37,24000,0
2015-06-15,1.37,1.37,1.35,1.37,16500,0
2015-06-16,1.36,1.36,1.33,1.35,86400,0
2015-06-17,1.35,1.37,1.35,1.36,7400,0
2015-06-18,1.36,1.36,1.32,1.34,35700,0
2015-06-19,1.35,1.35,1.34,1.35,3700,0
2015-06-22,1.33,1.35,1.33,1.34,9300,0
2015-06-23,1.35,1.35,1.33,1.33,9764,0
2015-06-24,1.34,1.34,1.31,1.31,37800,0
2015-06-25,1.31,1.33,1.31,1.31,2600,0
2015-06-26,1.31,1.31,1.12,1.12,99800,0
2015-06-29,1.17,1.25,1.17,1.21,101600,0
2015-06-30,1.21,1.21,1.16,1.16,50499,0
2015-07-01,1.17,1.17,1.12,1.14,58100,0
2015-07-02,1.16,1.18,1.14,1.14,22000,0
2015-07-06,1.15,1.16,1.12,1.12,84200,0
2015-07-07,1.12,1.13,1.09,1.09,80500,0
2015-07-08,1.12,1.12,1.08,1.09,37100,0
2015-07-09,1.07,1.08,1.07,1.07,25400,0
2015-07-10,1.08,1.11,1.08,1.1,38000,0
2015-07-13,1.09,1.12,1.07,1.12,22100,0
2015-07-14,1.1,1.11,1.07,1.09,104090,0
2015-07-15,1.06,1.18,1.05,1.14,150651,0
2015-07-16,1.2,1.21,1.11,1.11,69600,0
2015-07-17,1.1,1.17,1.1,1.16,42300,0
2015-07-20,1.19,1.19,1.14,1.14,27500,0
2015-07-21,1.15,1.17,1.15,1.16,5800,0
2015-07-22,1.17,1.17,1.14,1.15,46300,0
2015-07-23,1.17,1.17,1.12,1.15,66300,0
2015-07-24,1.14,1.16,1.12,1.15,4300,0
2015-07-27,1.15,1.17,1.12,1.15,17900,0
2015-07-28,1.15,1.2,1.15,1.17,74900,0
2015-07-29,1.2,1.24,1.2,1.21,42100,0
2015-07-30,1.21,1.28,1.21,1.27,25300,0
2015-07-31,1.27,1.29,1.25,1.27,8500,0
2015-08-03,1.27,1.28,1.22,1.22,16369,0
2015-08-04,1.24,1.24,1.24,1.24,1000,0
2015-08-05,1.27,1.27,1.24,1.24,13000,0
2015-08-06,1.22,1.27,1.22,1.26,9000,0
2015-08-07,1.22,1.27,1.22,1.26,9200,0
2015-08-10,1.28,1.31,1.23,1.3,36100,0
2015-08-11,1.27,1.31,1.27,1.3,2792,0
2015-08-12,1.29,1.29,1.27,1.28,6100,0
2015-08-13,1.27,1.3,1.27,1.27,33300,0
2015-08-14,1.27,1.28,1.24,1.24,19300,0
2015-08-17,1.23,1.3,1.23,1.26,46000,0
2015-08-18,1.3,1.3,1.22,1.23,95500,0
2015-08-19,1.25,1.29,1.25,1.26,21000,0
2015-08-20,1.26,1.26,1.23,1.24,14400,0
2015-08-21,1.27,1.29,1.14,1.19,38800,0
2015-08-24,1.18,1.2,1.17,1.17,65575,0
2015-08-25,1.2,1.25,1.2,1.25,40700,0
2015-08-26,1.25,1.25,1.2,1.2,12700,0
2015-08-27,1.25,1.25,1.21,1.25,24100,0
2015-08-28,1.25,1.27,1.23,1.26,20800,0
2015-08-31,1.28,1.28,1.23,1.26,1700,0
2015-09-01,1.25,1.29,1.24,1.29,12400,0
2015-09-02,1.29,1.3,1.28,1.28,18000,0
2015-09-03,1.28,1.3,1.25,1.3,61700,0
2015-09-04,1.29,1.3,1.29,1.29,9900,0
2015-09-08,1.29,1.3,1.26,1.26,11600,0
2015-09-09,1.26,1.28,1.26,1.27,4500,0
2015-09-10,1.27,1.29,1.26,1.26,9904,0
2015-09-11,1.26,1.29,1.26,1.27,2400,0
2015-09-14,1.27,1.27,1.26,1.27,8400,0
2015-09-15,1.26,1.28,1.26,1.27,11700,0
2015-09-16,1.26,1.28,1.25,1.25,17800,0
2015-09-17,1.25,1.28,1.25,1.28,3043,0
2015-09-18,1.28,1.3,1.25,1.3,13600,0
2015-09-21,1.23,1.27,1.2,1.24,30800,0
2015-09-22,1.25,1.27,1.23,1.24,13000,0
2015-09-23,1.23,1.27,1.23,1.24,5315,0
2015-09-24,1.23,1.27,1.21,1.23,18498,0
2015-09-25,1.23,1.24,1.21,1.22,5500,0
2015-09-28,1.21,1.27,1.21,1.22,5766,0
2015-09-29,1.21,1.24,1.2,1.21,14100,0
2015-09-30,1.23,1.24,1.22,1.22,13600,0
2015-10-01,1.21,1.24,1.21,1.24,9900,0
2015-10-02,1.24,1.27,1.24,1.27,4500,0
2015-10-05,1.26,1.27,1.24,1.27,3495,0
2015-10-06,1.27,1.28,1.24,1.24,3300,0
2015-10-07,1.24,1.28,1.24,1.24,30110,0
2015-10-08,1.24,1.28,1.21,1.28,30900,0
2015-10-09,1.25,1.28,1.22,1.28,7600,0
2015-10-12,1.26,1.26,1.26,1.26,200,0
2015-10-13,1.25,1.25,1.24,1.25,800,0
2015-10-14,1.21,1.25,1.21,1.22,6900,0
2015-10-15,1.25,1.25,1.24,1.25,2100,0
2015-10-16,1.25,1.25,1.23,1.23,11700,0
2015-10-19,1.22,1.23,1.22,1.23,4150,0
2015-10-20,1.23,1.26,1.23,1.26,18800,0
2015-10-21,1.22,1.27,1.22,1.2699,1420,0
2015-10-22,1.22,1.24,1.22,1.22,1800,0
2015-10-23,1.22,1.26,1.22,1.26,5800,0
2015-10-26,1.26,1.26,1.22,1.23,7800,0
2015-10-27,1.22,1.25,1.22,1.22,17300,0
2015-10-28,1.22,1.25,1.22,1.25,3300,0
2015-10-29,1.22,1.25,1.22,1.25,4600,0
2015-10-30,1.26,1.26,1.25,1.25,4700,0
2015-11-02,1.26,1.27,1.22,1.24,39943,0
2015-11-03,1.26,1.26,1.24,1.25,1787,0
2015-11-04,1.26,1.26,1.22,1.26,8015,0
2015-11-05,1.23,1.24,1.22,1.24,12300,0
2015-11-06,1.25,1.25,1.24,1.24,2800,0
2015-11-09,1.23,1.23,1.19,1.19,14669,0
2015-11-10,1.2,1.23,1.18,1.23,19600,0
2015-11-11,1.18,1.19,1.13,1.18,8600,0
2015-11-12,1.18,1.22,1.15,1.16,19200,0
2015-11-13,1.17,1.22,1.17,1.22,1900,0
2015-11-16,1.21,1.21,1.15,1.2,3700,0
2015-11-17,1.2,1.2,1.14,1.15,16500,0
2015-11-18,1.1,1.14,1.05,1.08,74100,0
2015-11-19,1.12,1.15,1.01,1.03,125700,0
2015-11-20,1.07,1.07,1.01,1.04,33100,0
2015-11-23,1.03,1.04,1.02,1.04,16100,0
2015-11-24,1.04,1.07,1.02,1.05,8400,0
2015-11-25,1.02,1.06,1.02,1.03,14800,0
2015-11-27,1.03,1.03,1.02,1.03,49700,0
2015-11-30,1.07,1.07,1.02,1.07,24000,0
2015-12-01,1.03,1.11,1.0,1.01,95521,0
2015-12-02,1.01,1.08,1.01,1.02,29482,0
2015-12-03,1.02,1.05,1.01,1.02,7639,0
2015-12-04,1.01,1.02,1.01,1.02,24800,0
2015-12-07,0.99,1.01,0.99,1.0,40800,0
2015-12-08,0.95,1.01,0.95,1.01,34379,0
2015-12-09,1.01,1.01,0.98,0.98,6900,0
2015-12-10,1.01,1.01,0.96,0.98,14600,0
2015-12-11,0.99,1.0,0.98,0.98,7800,0
2015-12-14,0.98,1.02,0.95,0.97,28383,0
2015-12-15,0.97,0.99,0.96,0.97,12600,0
2015-12-16,0.97,1.02,0.97,0.99,21600,0
2015-12-17,0.97,1.0,0.95,1.0,6200,0
2015-12-18,0.99,1.02,0.96,1.0,49100,0
2015-12-21,0.99,1.03,0.97,0.99,2500,0
2015-12-22,0.99,1.02,0.98,1.0,25490,0
2015-12-23,0.9,0.95,0.82,0.91,204500,0
2015-12-24,0.91,0.9499,0.8938,0.9121,52468,0
2015-12-28,0.95,0.9599,0.9,0.93,42881,0
2015-12-29,0.9,0.93,0.9,0.9107,37463,0
2015-12-30,0.9001,1.0,0.9,0.96,19294,0
2015-12-31,0.96,0.9899,0.96,0.9899,7911,0
2016-01-04,0.99,1.03,0.94,1.0,42140,0
2016-01-05,1.04,1.05,0.9988,1.03,10225,0
2016-01-06,1.03,1.1,1.03,1.05,71652,0
2016-01-07,1.05,1.08,1.03,1.03,62729,0
2016-01-08,1.0306,1.042,0.992,1.03,26783,0
2016-01-11,1.05,1.09,1.014,1.05,77277,0
2016-01-12,1.08,1.08,1.02,1.05,7133,0
2016-01-13,1.0,1.06,1.0,1.0516,68652,0
2016-01-14,1.017,1.06,1.01,1.03,33600,0
2016-01-15,1.01,1.0597,1.01,1.02,24002,0
2016-01-19,1.04,1.05,0.99,1.01,17700,0
2016-01-20,1.0399,1.04,0.9903,1.01,27032,0
2016-01-21,1.0,1.06,0.9989,1.02,105763,0
2016-01-22,1.0,1.04,0.9501,0.96,39489,0
2016-01-25,0.96,1.04,0.947,0.97,6806,0
2016-01-26,0.9999,1.03,0.96,0.96,3138,0
2016-01-27,0.96,1.023,0.9316,1.02,70052,0
2016-01-28,1.03,1.03,0.9601,1.0,1692,0
2016-01-29,1.0001,1.03,0.95,0.98,51781,0
2016-02-01,0.98,1.03,0.94,1.01,4831,0
2016-02-02,1.01,1.01,0.9601,0.99,1716,0
2016-02-03,1.0,1.01,0.9105,1.0,8193,0
2016-02-04,1.02,1.02,0.97,0.9899,1594,0
2016-02-05,0.99,1.0,0.95,0.95,6607,0
2016-02-08,0.93,0.9768,0.93,0.9401,13925,0
2016-02-09,0.91,0.94,0.91,0.93,12981,0
2016-02-11,0.93,0.93,0.9105,0.92,7878,0
2016-02-12,0.915,0.9201,0.9105,0.92,5026,0
2016-02-16,0.9233,0.93,0.9233,0.93,2275,0
2016-02-17,0.98,0.98,0.93,0.95,21574,0
2016-02-18,0.953,0.9719,0.93,0.9331,6400,0
2016-02-19,0.93,0.972,0.92,0.95,9862,0
2016-02-22,0.94,0.94,0.92,0.92,2967,0
2016-02-23,0.92,0.9473,0.92,0.9264,4186,0
2016-02-24,0.92,0.9539,0.92,0.9539,4139,0
2016-02-25,0.925,0.9264,0.9201,0.9201,12032,0
2016-02-26,0.9309,0.9309,0.9106,0.9106,532,0
2016-02-29,0.92,0.93,0.92,0.92,5654,0
2016-03-01,0.93,0.93,0.85,0.8899,134915,0
2016-03-02,0.8801,0.91,0.8801,0.9003,2957,0
2016-03-03,0.9,0.9,0.88,0.88,14641,0
2016-03-04,0.9,0.9,0.88,0.88,20877,0
2016-03-07,0.92,0.92,0.861,0.87,14546,0
2016-03-08,0.87,0.88,0.86,0.87,4145,0
2016-03-09,0.899,0.9,0.8897,0.8928,3960,0
2016-03-10,0.9,0.9,0.8734,0.8734,6378,0
2016-03-11,0.9,0.9,0.9,0.9,440,0
2016-03-14,0.85,0.89,0.85,0.8855,8500,0
2016-03-15,0.8999,0.9,0.87,0.8999,10655,0
2016-03-16,0.9,0.9,0.86,0.9,37449,0
2016-03-17,0.89,0.89,0.88,0.88,1590,0
2016-03-18,0.87,0.9,0.87,0.87,8830,0
2016-03-21,0.89,0.9,0.87,0.87,8887,0
2016-03-22,0.88,0.88,0.86,0.86,14458,0
2016-03-23,0.8699,0.8899,0.86,0.86,25900,0
2016-03-24,0.85,0.9,0.85,0.899,7493,0
2016-03-28,0.9,0.9,0.87,0.89,10459,0
2016-03-29,0.8999,0.9,0.8603,0.88,7029,0
2016-03-30,0.88,0.88,0.851,0.87,248822,0
2016-03-31,0.88,0.88,0.83,0.84,70391,0
2016-04-01,0.84,0.87,0.84,0.85,3946,0
2016-04-04,0.87,0.87,0.855,0.86,38122,0
2016-04-05,0.86,0.86,0.85,0.853,17151,0
2016-04-06,0.85,0.86,0.85,0.85,65216,0
2016-04-07,0.854,0.86,0.8485,0.86,29393,0
2016-04-08,0.85,0.86,0.85,0.86,2123,0
2016-04-11,0.86,0.86,0.8401,0.85,6643,0
2016-04-12,0.845,0.8506,0.84,0.8506,57147,0
2016-04-13,0.86,0.86,0.8205,0.84,27351,0
2016-04-14,0.84,0.86,0.82,0.848,49459,0
2016-04-15,0.82,0.83,0.8,0.805,50059,0
2016-04-18,0.845,0.845,0.805,0.805,48234,0
2016-04-19,0.8447,0.8447,0.81,0.82,34899,0
2016-04-20,0.8031,0.84,0.8021,0.8272,56414,0
2016-04-21,0.82,0.82,0.7985,0.8046,100271,0
2016-04-22,0.81,0.8399,0.79,0.79,35699,0
2016-04-25,0.82,0.838,0.8,0.81,48173,0
2016-04-26,0.81,0.838,0.79,0.8,80803,0
2016-04-27,0.8,0.83,0.79,0.8,29174,0
2016-04-28,0.7901,0.8,0.79,0.79,35467,0
2016-04-29,0.7999,0.8,0.79,0.8,7064,0
2016-05-02,0.8,0.8,0.79,0.79,17437,0
2016-05-03,0.7801,0.8,0.7801,0.79,14533,0
2016-05-04,0.7999,0.8,0.78,0.78,24444,0
2016-05-05,0.7801,0.8,0.78,0.78,50289,0
2016-05-06,0.7997,0.8,0.77,0.799,29700,0
2016-05-09,0.799,0.799,0.78,0.799,20958,0
2016-05-10,0.799,0.799,0.76,0.798,19748,0
2016-05-11,0.798,0.798,0.76,0.76,51205,0
2016-05-12,0.7866,0.799,0.76,0.7663,9907,0
2016-05-13,0.78,0.79,0.74,0.779,65265,0
2016-05-16,0.787,0.787,0.736,0.77,13008,0
2016-05-17,0.77,0.77,0.73,0.73,36273,0
2016-05-18,0.75,0.769,0.74,0.74,20563,0
2016-05-19,0.75,0.75,0.73,0.747,17346,0
2016-05-20,0.74,0.747,0.73,0.735,6428,0
2016-05-23,0.75,0.75,0.7,0.735,76251,0
2016-05-24,0.72,0.7317,0.7039,0.7317,8982,0
2016-05-25,0.7299,0.7299,0.71,0.7101,72610,0
2016-05-26,0.7,0.7298,0.69,0.7,90646,0
2016-05-27,0.69,0.7,0.69,0.6903,17009,0
2016-05-31,0.69,0.6995,0.6701,0.671,63132,0
