Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,11.206,11.273,11.196,11.266,209590,0
2015-01-05,11.283,11.328,11.273,11.318,186524,0
2015-01-06,11.337,11.388,11.337,11.346,281936,0
2015-01-07,11.361,11.429,11.354,11.419,263831,0
2015-01-08,11.429,11.671,11.419,11.429,542254,0
2015-01-09,11.449,11.52,11.429,11.5,183601,0
2015-01-12,11.52,11.52,11.482,11.51,183951,0
2015-01-13,11.537,11.562,11.521,11.529,146789,0
2015-01-14,11.544,11.57,11.511,11.537,165980,0
2015-01-15,11.562,11.58,11.537,11.57,221871,0
2015-01-16,11.58,11.605,11.521,11.544,151329,0
2015-01-20,11.544,11.59,11.529,11.553,179231,0
2015-01-21,11.544,11.598,11.511,11.511,212094,0
2015-01-22,11.521,11.544,11.483,11.483,134579,0
2015-01-23,11.493,11.544,11.475,11.501,140117,0
2015-01-26,11.537,11.57,11.493,11.511,131750,0
2015-01-27,11.529,11.57,11.529,11.57,91676,0
2015-01-28,11.613,11.702,11.598,11.692,197898,0
2015-01-29,11.721,11.797,11.692,11.755,171579,0
2015-01-30,11.797,11.849,11.765,11.773,117726,0
2015-02-02,11.815,11.875,11.781,11.857,182456,0
2015-02-03,11.833,11.857,11.755,11.755,161501,0
2015-02-04,11.765,11.765,11.658,11.666,118194,0
2015-02-05,11.672,11.728,11.64,11.64,134120,0
2015-02-06,11.621,11.631,11.529,11.529,231238,0
2015-02-09,11.553,11.562,11.511,11.553,163465,0
2015-02-10,11.553,11.553,11.483,11.511,182792,0
2015-02-11,11.562,11.562,11.476,11.476,99374,0
2015-02-12,11.476,11.484,11.395,11.404,217251,0
2015-02-13,11.431,11.441,11.388,11.395,183652,0
2015-02-17,11.412,11.412,11.184,11.214,461156,0
2015-02-18,11.222,11.369,11.184,11.361,266659,0
2015-02-19,11.379,11.449,11.379,11.431,149604,0
2015-02-20,11.431,11.494,11.431,11.441,91776,0
2015-02-23,11.458,11.512,11.412,11.467,135113,0
2015-02-24,11.449,11.545,11.431,11.538,108715,0
2015-02-25,11.545,11.562,11.502,11.538,140040,0
2015-02-26,11.538,11.538,11.458,11.484,115081,0
2015-02-27,11.512,11.522,11.458,11.494,170208,0
2015-03-02,11.522,11.538,11.476,11.476,169520,0
2015-03-03,11.476,11.512,11.467,11.467,127398,0
2015-03-04,11.502,11.53,11.494,11.522,112898,0
2015-03-05,11.502,11.545,11.484,11.502,119181,0
2015-03-06,11.467,11.467,11.354,11.354,225002,0
2015-03-09,11.346,11.421,11.346,11.395,135274,0
2015-03-10,11.404,11.449,11.404,11.441,97261,0
2015-03-11,11.442,11.459,11.396,11.405,112940,0
2015-03-12,11.422,11.45,11.37,11.396,142593,0
2015-03-13,11.37,11.396,11.354,11.354,84535,0
2015-03-16,11.362,11.388,11.346,11.354,93512,0
2015-03-17,11.354,11.354,11.318,11.328,103963,0
2015-03-18,11.354,11.503,11.328,11.503,182251,0
2015-03-19,11.459,11.459,11.362,11.396,92491,0
2015-03-20,11.422,11.513,11.396,11.477,103511,0
2015-03-23,11.503,11.556,11.468,11.485,35448,0
2015-03-24,11.523,11.531,11.503,11.523,48858,0
2015-03-25,11.531,11.531,11.459,11.477,88170,0
2015-03-26,11.45,11.477,11.442,11.45,79535,0
2015-03-27,11.477,11.513,11.442,11.495,75898,0
2015-03-30,11.485,11.523,11.45,11.468,97261,0
2015-03-31,11.45,11.503,11.422,11.503,100208,0
2015-04-01,11.531,11.573,11.485,11.513,128963,0
2015-04-02,11.523,11.54,11.485,11.513,114305,0
2015-04-06,11.513,11.54,11.485,11.495,136913,0
2015-04-07,11.513,11.547,11.485,11.547,84939,0
2015-04-08,11.547,11.564,11.54,11.556,71469,0
2015-04-09,11.556,11.573,11.477,11.495,177024,0
2015-04-10,11.54,11.556,11.503,11.503,88626,0
2015-04-13,11.54,11.548,11.469,11.486,148940,0
2015-04-14,11.532,11.645,11.524,11.645,125421,0
2015-04-15,11.627,11.645,11.593,11.637,169664,0
2015-04-16,11.618,11.637,11.593,11.637,86729,0
2015-04-17,11.601,11.637,11.601,11.627,90022,0
2015-04-20,11.601,11.654,11.593,11.611,80899,0
2015-04-21,11.601,11.645,11.601,11.627,63475,0
2015-04-22,11.627,11.645,11.565,11.574,78577,0
2015-04-23,11.584,11.618,11.565,11.584,80067,0
2015-04-24,11.574,11.618,11.565,11.584,91064,0
2015-04-27,11.584,11.593,11.565,11.574,58585,0
2015-04-28,11.584,11.618,11.574,11.593,121323,0
2015-04-29,11.565,11.584,11.548,11.565,86179,0
2015-04-30,11.548,11.593,11.532,11.565,213970,0
2015-05-01,11.584,11.584,11.469,11.514,228332,0
2015-05-04,11.54,11.557,11.433,11.524,337580,0
2015-05-05,11.478,11.504,11.45,11.469,137180,0
2015-05-06,11.46,11.469,11.37,11.388,292517,0
2015-05-07,11.38,11.414,11.37,11.405,139345,0
2015-05-08,11.433,11.486,11.433,11.46,104725,0
2015-05-11,11.46,11.486,11.37,11.388,118293,0
2015-05-12,11.362,11.396,11.346,11.388,188723,0
2015-05-13,11.397,11.414,11.381,11.381,129560,0
2015-05-14,11.381,11.405,11.355,11.355,130567,0
2015-05-15,11.397,11.444,11.381,11.405,95452,0
2015-05-18,11.405,11.434,11.362,11.397,130731,0
2015-05-19,11.371,11.397,11.355,11.381,93352,0
2015-05-20,11.397,11.414,11.362,11.397,89200,0
2015-05-21,11.397,11.424,11.381,11.397,102652,0
2015-05-22,11.381,11.397,11.371,11.371,62020,0
2015-05-26,11.347,11.397,11.347,11.381,83029,0
2015-05-27,11.371,11.414,11.362,11.405,177727,0
2015-05-28,11.405,11.451,11.397,11.424,113375,0
2015-05-29,11.414,11.444,11.389,11.414,121450,0
2015-06-01,11.451,11.497,11.424,11.497,125389,0
2015-06-02,11.461,11.47,11.362,11.371,197301,0
2015-06-03,11.389,11.389,11.319,11.338,184596,0
2015-06-04,11.329,11.362,11.249,11.256,152965,0
2015-06-05,11.213,11.231,11.149,11.156,290960,0
2015-06-08,11.193,11.193,11.071,11.126,271489,0
2015-06-09,11.126,11.134,11.062,11.107,418772,0
2015-06-10,11.097,11.156,11.062,11.149,147290,0
2015-06-11,11.173,11.212,11.164,11.192,113721,0
2015-06-12,11.164,11.265,11.164,11.248,111808,0
2015-06-15,11.272,11.318,11.255,11.301,163790,0
2015-06-16,11.31,11.318,11.255,11.272,90634,0
2015-06-17,11.272,11.397,11.272,11.381,161998,0
2015-06-18,11.337,11.405,11.337,11.381,118304,0
2015-06-19,11.397,11.47,11.397,11.461,65876,0
2015-06-22,11.414,11.424,11.355,11.362,128835,0
2015-06-23,11.355,11.424,11.337,11.355,125042,0
2015-06-24,11.347,11.381,11.265,11.272,288033,0
2015-06-25,11.31,11.31,11.192,11.212,243221,0
2015-06-26,11.192,11.212,11.155,11.173,243558,0
2015-06-29,11.173,11.202,11.069,11.115,282209,0
2015-06-30,11.132,11.202,11.077,11.202,204513,0
2015-07-01,11.222,11.239,11.139,11.239,177011,0
2015-07-02,11.265,11.282,11.239,11.282,93435,0
2015-07-06,11.272,11.347,11.23,11.318,125026,0
2015-07-07,11.318,11.381,11.318,11.347,88506,0
2015-07-08,11.301,11.381,11.301,11.355,85032,0
2015-07-09,11.362,11.389,11.318,11.362,57360,0
2015-07-10,11.318,11.371,11.301,11.347,123234,0
2015-07-13,11.345,11.37,11.308,11.308,86983,0
2015-07-14,11.28,11.308,11.27,11.29,158572,0
2015-07-15,11.263,11.317,11.254,11.29,74152,0
2015-07-16,11.317,11.345,11.27,11.27,146979,0
2015-07-17,11.299,11.326,11.27,11.27,56983,0
2015-07-20,11.27,11.28,11.18,11.19,135379,0
2015-07-21,11.162,11.299,11.162,11.28,161475,0
2015-07-22,11.27,11.317,11.27,11.308,110068,0
2015-07-23,11.299,11.354,11.299,11.354,36131,0
2015-07-24,11.335,11.396,11.308,11.388,67133,0
2015-07-27,11.388,11.423,11.335,11.37,66239,0
2015-07-28,11.345,11.354,11.28,11.28,79287,0
2015-07-29,11.299,11.345,11.27,11.326,95793,0
2015-07-30,11.29,11.335,11.29,11.308,81185,0
2015-07-31,11.335,11.414,11.317,11.414,50629,0
2015-08-03,11.45,11.487,11.38,11.388,183859,0
2015-08-04,11.443,11.45,11.354,11.362,132593,0
2015-08-05,11.388,11.388,11.317,11.335,99475,0
2015-08-06,11.335,11.335,11.28,11.326,71248,0
2015-08-07,11.326,11.38,11.317,11.354,65349,0
2015-08-10,11.362,11.37,11.317,11.335,85979,0
2015-08-11,11.345,11.443,11.335,11.414,103261,0
2015-08-12,11.459,11.486,11.403,11.412,69377,0
