Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,263.92,265.0,262.92,265.0,4015,0
2015-01-05,263.12,263.12,262.1,262.42,2580,0
2015-01-06,258.37,258.54,256.46,256.46,3252,0
2015-01-07,258.54,261.87,254.12,259.92,5039,0
2015-01-08,258.68,258.68,253.95,254.79,3907,0
2015-01-09,253.96,254.79,249.98,249.98,2377,0
2015-01-12,252.96,252.96,247.35,247.35,2717,0
2015-01-13,246.31,247.68,242.5,246.68,12332,0
2015-01-14,241.32,241.32,239.84,239.9,1445,0
2015-01-15,241.61,241.61,237.42,237.42,2583,0
2015-01-16,236.58,242.09,236.58,240.73,3769,0
2015-01-21,243.42,243.42,237.08,237.08,3334,0
2015-01-22,239.02,241.93,238.02,241.93,10324,0
2015-01-23,238.02,244.99,238.02,238.02,4117,0
2015-01-26,238.02,244.06,238.02,244.06,2389,0
2015-01-27,242.02,242.02,238.06,238.06,2678,0
2015-01-28,238.28,243.0,238.07,238.08,13335,0
2015-01-29,238.98,240.01,238.51,240.01,2229,0
2015-01-30,241.0,243.5,234.35,237.42,3550,0
2015-02-02,233.99,238.02,233.99,237.71,2286,0
2015-02-03,238.01,239.02,235.29,236.82,3566,0
2015-02-04,238.81,239.75,237.53,239.34,4315,0
2015-02-05,242.7,244.99,242.7,244.99,2129,0
2015-02-06,248.98,251.26,248.98,251.26,4023,0
2015-02-09,252.45,252.45,247.72,247.72,1496,0
2015-02-10,246.42,246.49,241.0,242.5,3735,0
2015-02-11,246.98,247.05,242.31,242.31,2071,0
2015-02-12,240.01,244.16,240.0,243.7,2654,0
2015-02-13,244.3,250.81,244.0,244.15,23436,0
2015-02-17,247.19,251.9,247.19,251.9,2336,0
2015-02-18,252.45,256.02,252.45,255.8,3187,0
2015-02-19,252.31,254.15,250.22,250.47,2401,0
2015-02-20,252.21,252.21,249.17,251.88,6717,0
2015-02-23,253.74,253.95,246.99,246.99,1199,0
2015-02-24,248.99,248.99,248.98,248.98,1817,0
2015-02-25,248.98,253.3,248.98,250.46,1426,0
2015-02-26,249.97,253.52,249.95,253.52,2289,0
2015-02-27,251.16,254.85,247.12,250.35,3816,0
2015-03-02,251.87,253.75,250.45,252.31,20283,0
2015-03-03,250.61,255.13,249.72,250.97,18476,0
2015-03-04,252.76,252.76,248.1,251.47,11045,0
2015-03-05,250.67,254.6,249.11,252.15,21789,0
2015-03-06,253.52,253.96,251.48,251.49,9037,0
2015-03-09,252.32,255.67,249.79,255.67,5321,0
2015-03-10,253.94,254.26,250.55,250.6,5623,0
2015-03-11,254.03,254.78,251.37,251.77,4317,0
2015-03-12,253.91,254.95,249.23,254.85,3314,0
2015-03-13,249.72,254.91,249.72,253.44,5824,0
2015-03-16,255.07,256.15,254.08,254.95,3112,0
2015-03-17,254.31,254.31,249.04,252.36,11547,0
2015-03-18,249.2,249.2,245.98,247.97,18073,0
2015-03-19,248.48,248.48,245.38,246.0,2812,0
2015-03-20,248.48,248.48,244.5,245.09,11146,0
2015-03-23,244.0,256.95,244.0,255.45,38759,0
2015-03-24,254.38,261.42,254.38,258.79,18276,0
2015-03-25,256.72,260.0,255.95,256.0,7532,0
2015-03-26,255.55,258.15,254.04,255.62,3815,0
2015-03-27,256.39,261.32,249.12,257.93,16969,0
2015-03-30,257.95,260.72,254.05,257.25,13456,0
2015-03-31,253.27,266.57,253.17,253.25,6735,0
2015-04-01,255.07,256.95,251.3,255.92,4017,0
2015-04-02,255.65,257.83,255.05,255.05,4418,0
2015-04-06,255.05,256.94,254.17,255.05,5121,0
2015-04-07,255.0,256.65,251.16,251.16,10690,0
2015-04-08,252.62,252.62,251.1,252.53,2409,0
2015-04-09,250.7,250.7,246.47,246.59,8526,0
2015-04-10,245.69,249.39,245.4,248.48,5724,0
2015-04-13,248.66,248.97,246.81,248.23,4820,0
2015-04-14,248.55,248.98,246.0,246.0,3012,0
2015-04-15,246.32,247.98,245.44,246.82,5450,0
2015-04-16,245.82,247.48,245.44,246.48,1173,0
2015-04-17,246.67,247.18,244.17,244.7,5020,0
2015-04-20,247.98,247.98,245.99,247.78,2422,0
2015-04-22,247.23,247.23,245.24,245.79,5243,0
2015-04-23,246.46,246.46,246.46,246.46,503,0
2015-04-24,244.15,245.39,244.15,245.18,4831,0
2015-04-27,246.67,246.67,240.61,240.61,5121,0
2015-04-28,240.61,244.0,239.92,243.0,4751,0
2015-04-29,244.98,244.98,241.9,241.9,2712,0
2015-04-30,235.19,241.4,235.19,238.63,4217,0
2015-05-01,237.25,238.63,236.15,237.03,3414,0
2015-05-04,238.87,238.87,229.06,229.71,7632,0
2015-05-05,229.66,229.66,220.64,223.97,12451,0
2015-05-06,224.07,229.06,221.52,227.13,12198,0
2015-05-07,227.72,229.06,224.37,225.07,5264,0
2015-05-08,227.07,233.04,227.07,233.02,7329,0
2015-05-11,231.04,233.04,230.05,230.88,5523,0
2015-05-12,229.06,229.06,226.0,228.32,2890,0
2015-05-13,228.37,229.3,227.35,227.71,3212,0
2015-05-14,231.32,235.47,227.07,234.41,10544,0
2015-05-15,235.09,239.99,230.0,230.64,10261,0
2015-05-18,231.16,235.02,227.27,233.84,29258,0
2015-05-19,235.63,236.93,234.03,235.03,20476,0
2015-05-20,235.44,237.46,234.51,237.46,21388,0
2015-05-21,236.06,242.0,235.03,239.35,26910,0
2015-05-22,238.34,240.01,236.21,238.47,16869,0
2015-05-26,239.13,239.13,232.04,237.28,10243,0
2015-05-27,235.83,241.15,235.83,239.12,23697,0
2015-05-28,240.29,244.99,238.32,243.99,27933,0
2015-05-29,243.27,246.49,242.75,243.98,11246,0
2015-06-01,244.98,247.78,241.7,243.72,9215,0
2015-06-02,238.96,244.99,238.96,242.0,30628,0
2015-06-03,237.51,246.98,237.51,246.87,6024,0
2015-06-04,247.57,247.57,242.67,242.67,3212,0
2015-06-05,242.97,245.96,241.0,244.99,3615,0
2015-06-08,241.61,243.27,240.03,240.03,2209,0
2015-06-09,238.81,238.81,232.68,236.47,8092,0
2015-06-10,237.03,245.29,237.03,244.5,6139,0
2015-06-11,245.98,245.98,237.72,242.16,1930,0
2015-06-12,241.08,246.93,240.05,243.03,3615,0
2015-06-15,240.26,242.72,235.08,240.53,3615,0
