Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,0.88,0.88,0.81,0.86,13775,0
2015-01-05,0.96,0.97,0.9,0.93,18130,0
2015-01-06,0.93,0.99,0.9,0.92,23730,0
2015-01-07,0.85,0.91,0.85,0.86,6500,0
2015-01-08,0.86,0.87,0.81,0.87,30127,0
2015-01-09,0.92,0.92,0.81,0.84,21300,0
2015-01-12,0.83,0.84,0.71,0.8,38457,0
2015-01-13,0.82,0.82,0.78,0.78,10916,0
2015-01-14,0.84,0.84,0.74,0.83,28805,0
2015-01-15,0.83,0.83,0.75,0.81,58093,0
2015-01-16,0.76,0.78,0.72,0.78,37188,0
2015-01-20,0.76,0.81,0.76,0.77,22386,0
2015-01-21,0.84,0.87,0.78,0.79,16800,0
2015-01-22,0.84,0.84,0.8,0.83,8775,0
2015-01-23,0.81,0.81,0.76,0.78,18900,0
2015-01-26,0.76,0.8,0.76,0.78,6602,0
2015-01-27,0.78,0.83,0.76,0.82,5705,0
2015-01-28,0.81,0.82,0.76,0.8,7028,0
2015-01-29,0.8,0.81,0.77,0.77,4700,0
2015-01-30,0.78,0.83,0.77,0.79,12053,0
2015-02-02,0.79,0.8,0.77,0.77,10750,0
2015-02-03,0.8,0.8,0.77,0.79,3540,0
2015-02-04,0.79,0.79,0.76,0.76,7645,0
2015-02-05,0.77,0.8,0.7,0.73,37991,0
2015-02-06,0.73,0.76,0.73,0.76,29691,0
2015-02-09,0.72,0.75,0.71,0.71,12478,0
2015-02-10,0.77,0.79,0.7,0.74,16240,0
2015-02-11,0.73,0.79,0.71,0.73,32760,0
2015-02-12,0.73,0.75,0.73,0.75,14100,0
2015-02-13,0.75,0.94,0.7,0.91,63988,0
2015-02-17,1.05,1.41,1.0,1.26,167066,0
2015-02-18,1.35,1.42,1.2,1.35,75419,0
2015-02-19,1.3,1.35,1.07,1.19,48963,0
2015-02-20,1.16,1.18,1.08,1.08,14092,0
2015-02-23,1.07,1.08,1.0,1.05,45297,0
2015-02-24,1.05,1.05,1.0,1.02,12729,0
2015-02-25,1.04,1.18,1.01,1.16,115971,0
2015-02-26,1.1,1.17,1.06,1.15,60733,0
2015-02-27,1.15,1.15,1.11,1.15,21541,0
2015-03-02,1.15,1.17,0.93,1.05,100200,0
2015-03-03,1.03,1.03,0.93,0.98,35600,0
2015-03-04,0.92,1.19,0.92,1.11,38000,0
2015-03-05,1.09,1.19,0.95,1.09,57300,0
2015-03-06,1.17,1.18,1.07,1.14,41000,0
2015-03-09,1.14,1.23,1.11,1.16,23600,0
2015-03-10,1.23,1.23,1.1,1.1,18400,0
2015-03-11,1.17,1.17,1.11,1.11,12900,0
2015-03-12,1.1,1.14,1.1,1.14,10600,0
2015-03-13,1.16,1.2,1.15,1.2,37900,0
2015-03-16,1.22,1.78,1.16,1.32,1059800,0
2015-03-17,1.28,1.4,1.26,1.35,116400,0
2015-03-18,1.34,1.38,1.2,1.23,62100,0
2015-03-19,1.32,1.34,1.16,1.26,36600,0
2015-03-20,1.19,1.2,1.14,1.15,23900,0
2015-03-23,1.1,1.16,1.05,1.05,58200,0
2015-03-24,1.06,1.13,1.06,1.13,11300,0
2015-03-25,1.13,1.13,1.03,1.03,31600,0
2015-03-26,1.05,1.1,0.96,1.1,70800,0
2015-03-27,1.1,1.12,1.0,1.05,20200,0
2015-03-30,1.09,1.1,1.05,1.05,26300,0
2015-03-31,1.05,1.05,1.02,1.02,19900,0
2015-04-01,1.01,1.06,0.81,0.88,23600,0
2015-04-02,0.75,0.95,0.75,0.85,93600,0
2015-04-06,0.81,0.84,0.79,0.81,45200,0
2015-04-07,0.82,0.89,0.82,0.84,29179,0
2015-04-08,0.8,0.9,0.8,0.9,25400,0
2015-04-09,0.84,0.87,0.83,0.84,26072,0
2015-04-10,0.84,0.85,0.83,0.85,9400,0
2015-04-13,0.83,0.93,0.83,0.91,46600,0
2015-04-14,0.9,0.97,0.9,0.94,38000,0
2015-04-15,0.92,0.94,0.9,0.93,12963,0
2015-04-16,0.93,0.93,0.93,0.93,710,0
2015-04-17,0.9,0.9,0.87,0.88,13700,0
2015-04-20,0.92,0.92,0.84,0.87,7905,0
2015-04-21,0.9,0.9,0.88,0.88,9248,0
2015-04-22,0.9,0.97,0.9,0.97,4159,0
2015-04-23,0.91,0.94,0.89,0.92,4200,0
2015-04-24,0.89,0.94,0.88,0.92,8600,0
2015-04-27,0.92,0.93,0.88,0.9,29700,0
2015-04-28,0.89,0.9,0.8,0.89,47800,0
2015-04-29,0.81,0.9,0.81,0.9,5200,0
2015-04-30,0.86,0.88,0.83,0.86,3000,0
2015-05-01,0.88,0.95,0.86,0.87,11800,0
2015-05-04,0.87,0.87,0.87,0.87,100,0
2015-05-05,0.86,0.86,0.81,0.85,10000,0
2015-05-06,0.85,0.86,0.77,0.8,56585,0
2015-05-07,0.75,0.83,0.74,0.76,96761,0
2015-05-08,0.76,0.8,0.76,0.79,11600,0
2015-05-11,0.76,0.79,0.75,0.76,2700,0
2015-05-12,0.75,0.78,0.74,0.74,65349,0
2015-05-13,0.77,0.8,0.75,0.75,27500,0
2015-05-14,0.78,0.88,0.78,0.83,111100,0
2015-05-15,0.83,0.83,0.76,0.8,48823,0
2015-05-18,0.8,0.8,0.75,0.75,22643,0
2015-05-19,0.8,0.83,0.78,0.78,2400,0
2015-05-20,0.78,0.8,0.75,0.75,33400,0
2015-05-21,0.79,0.81,0.79,0.79,11100,0
2015-05-22,0.84,0.84,0.75,0.76,29300,0
2015-05-26,0.75,0.76,0.72,0.72,30901,0
2015-05-27,0.72,0.77,0.72,0.75,3500,0
2015-05-28,0.78,0.78,0.7,0.75,23918,0
2015-05-29,0.72,0.78,0.71,0.76,27700,0
2015-06-01,0.76,0.76,0.71,0.73,9200,0
2015-06-02,0.68,0.76,0.66,0.74,44602,0
2015-06-03,0.72,0.8,0.7,0.8,14200,0
2015-06-04,0.77,0.86,0.73,0.77,42500,0
2015-06-05,0.75,0.77,0.74,0.77,5900,0
2015-06-08,0.79,1.24,0.78,1.09,261200,0
2015-06-09,1.0,1.2,0.94,1.0,140965,0
2015-06-10,1.45,1.54,1.26,1.4,966943,0
2015-06-11,1.38,1.5,1.25,1.45,272634,0
2015-06-12,1.45,2.34,1.41,2.07,1432900,0
2015-06-15,2.05,2.64,1.92,2.2,1646700,0
2015-06-16,2.13,2.22,1.8,1.84,495600,0
2015-06-17,1.81,1.84,1.58,1.64,308100,0
2015-06-18,1.7,1.7,1.45,1.49,209100,0
2015-06-19,1.56,1.56,1.4,1.45,103500,0
2015-06-22,1.48,1.62,1.48,1.49,96300,0
2015-06-23,1.41,1.63,1.41,1.53,54352,0
2015-06-24,1.52,1.57,1.46,1.53,50100,0
2015-06-25,1.51,1.53,1.32,1.33,95200,0
2015-06-26,1.34,1.42,1.29,1.29,69300,0
2015-06-29,1.29,1.4,1.26,1.3,104200,0
2015-06-30,1.32,1.45,1.32,1.37,92517,0
2015-07-01,1.38,1.49,1.32,1.34,70200,0
2015-07-02,1.35,1.95,1.35,1.87,872000,0
2015-07-06,1.87,1.97,1.66,1.68,509600,0
2015-07-07,1.77,1.84,1.5,1.56,223300,0
2015-07-08,1.55,1.74,1.52,1.6,142100,0
2015-07-09,1.58,1.74,1.5,1.58,107100,0
2015-07-10,1.68,1.7,1.6,1.62,18200,0
2015-07-13,1.74,1.75,1.55,1.55,125700,0
2015-07-14,1.55,1.72,1.55,1.68,161051,0
2015-07-15,1.71,1.92,1.69,1.75,226404,0
2015-07-16,1.85,1.93,1.73,1.74,127900,0
2015-07-17,1.73,1.77,1.69,1.7,70600,0
2015-07-20,1.7,1.76,1.7,1.7,49100,0
2015-07-21,1.74,1.74,1.69,1.74,36700,0
2015-07-22,1.65,1.79,1.6,1.7,84600,0
2015-07-23,1.66,1.9,1.6,1.89,230900,0
2015-07-24,1.89,1.92,1.77,1.86,112300,0
2015-07-27,1.9,1.92,1.75,1.84,30800,0
2015-07-28,1.85,1.89,1.7,1.74,84400,0
2015-07-29,2.29,2.59,2.03,2.03,3065300,0
2015-07-30,2.03,2.29,2.03,2.22,344700,0
2015-07-31,2.22,2.9,2.17,2.62,2779400,0
2015-08-03,2.69,3.2,2.44,3.2,851712,0
2015-08-04,3.0,3.38,2.86,3.24,1347800,0
2015-08-05,3.1,3.27,3.06,3.21,328100,0
2015-08-06,3.39,3.87,3.02,3.12,1064542,0
2015-08-07,2.9,3.34,2.71,3.34,762000,0
2015-08-10,3.25,3.25,2.93,2.97,531500,0
