Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,34.98,35.61,33.87,34.41,229652,0
2015-01-05,34.2,34.92,33.56,33.82,250836,0
2015-01-06,33.87,34.14,33.25,33.7,846533,0
2015-01-07,33.99,34.78,33.66,34.65,195027,0
2015-01-08,35.0,35.46,34.91,35.34,247432,0
2015-01-09,35.24,35.39,34.84,35.05,173609,0
2015-01-12,35.19,35.31,34.85,35.1,177082,0
2015-01-13,35.35,35.88,34.69,35.38,271074,0
2015-01-14,35.15,35.43,34.83,35.28,124430,0
2015-01-15,35.31,35.31,34.62,35.0,277291,0
2015-01-16,34.93,35.97,34.85,35.92,173273,0
2015-01-20,35.84,35.84,34.79,35.43,160199,0
2015-01-21,35.24,36.0,35.15,35.87,256237,0
2015-01-22,36.07,36.58,35.4,36.44,205567,0
2015-01-23,36.7,36.7,35.9,36.26,150860,0
2015-01-26,36.26,37.49,36.25,37.02,191852,0
2015-01-27,36.54,36.63,35.67,35.8,371458,0
2015-01-28,35.9,36.0,34.57,34.92,326547,0
2015-01-29,34.84,34.91,34.17,34.58,363542,0
2015-01-30,34.2,34.68,33.73,34.26,312554,0
2015-02-02,34.43,34.91,33.57,34.89,192223,0
2015-02-03,34.95,35.37,34.65,35.28,247162,0
2015-02-04,34.93,35.32,34.45,35.17,543904,0
2015-02-05,37.8,40.85,36.75,39.45,961364,0
2015-02-06,38.55,40.05,38.55,39.55,476333,0
2015-02-09,39.34,39.88,38.81,39.42,298943,0
2015-02-10,39.76,39.93,37.85,38.83,849131,0
2015-02-11,38.87,39.81,38.48,39.18,284184,0
2015-02-12,39.22,39.58,38.74,38.8,184589,0
2015-02-13,38.77,39.09,38.09,39.07,220993,0
2015-02-17,39.11,39.42,38.32,38.74,242172,0
2015-02-18,38.85,39.29,38.36,38.63,446439,0
2015-02-19,38.64,39.41,38.53,38.7,231896,0
2015-02-20,38.58,39.03,38.11,38.67,207842,0
2015-02-23,38.67,39.69,38.32,38.94,358023,0
2015-02-24,38.91,39.31,38.56,38.69,172518,0
2015-02-25,38.78,39.18,38.61,39.09,179927,0
2015-02-26,38.98,39.26,38.45,38.82,201461,0
2015-02-27,38.68,39.51,38.53,38.54,192180,0
2015-03-02,38.44,39.84,38.18,39.32,296900,0
2015-03-03,39.22,39.37,38.25,38.4,451400,0
2015-03-04,38.32,38.8,37.92,38.37,230800,0
2015-03-05,38.57,39.0,38.08,38.23,248300,0
2015-03-06,37.84,38.77,37.72,37.94,731600,0
2015-03-09,38.13,38.86,38.13,38.73,235600,0
2015-03-10,38.38,38.57,37.85,38.13,137300,0
2015-03-11,38.31,39.26,37.95,39.15,199900,0
2015-03-12,39.76,40.68,39.76,40.45,420000,0
2015-03-13,40.59,41.41,40.59,41.08,304600,0
2015-03-16,41.18,42.27,41.14,41.3,414200,0
2015-03-17,41.29,41.47,40.89,41.11,299100,0
2015-03-18,41.01,41.2,40.47,40.86,374200,0
2015-03-19,40.89,41.85,40.82,41.84,421500,0
2015-03-20,42.14,42.88,41.81,42.46,558700,0
2015-03-23,42.49,42.84,41.75,41.78,311300,0
2015-03-24,41.78,42.05,41.57,41.73,225600,0
