Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,48.899,49.181,48.514,48.772,2608227,0
2015-01-05,49.326,49.784,49.044,49.594,6998449,0
2015-01-06,49.675,50.836,49.427,49.519,6517900,0
2015-01-07,49.604,50.076,49.326,49.913,2838467,0
2015-01-08,50.059,50.744,50.023,50.543,2841966,0
2015-01-09,51.093,51.303,50.37,51.047,5817871,0
2015-01-12,51.128,51.247,50.343,50.681,2919923,0
2015-01-13,51.146,52.37,51.146,51.668,4990994,0
2015-01-14,51.733,52.775,51.213,52.711,4707111,0
2015-01-15,52.73,52.94,52.116,52.674,4633896,0
2015-01-16,52.693,53.196,52.37,53.178,3321408,0
2015-01-20,53.533,53.607,52.874,53.305,2639929,0
2015-01-21,53.188,53.599,52.765,53.46,3159005,0
2015-01-22,53.626,53.789,52.985,53.214,2754343,0
2015-01-23,53.479,54.038,53.341,53.827,2999400,0
2015-01-26,53.761,54.339,53.507,54.311,2563929,0
2015-01-27,54.192,54.648,54.082,54.32,3734869,0
2015-01-28,54.293,54.943,54.038,54.21,2969611,0
2015-01-29,54.21,55.052,53.945,54.995,3186195,0
2015-01-30,54.987,54.995,53.727,53.77,3470199,0
2015-02-02,53.808,53.972,53.04,53.607,2789631,0
2015-02-03,53.635,53.881,53.214,53.808,3469310,0
2015-02-04,53.78,53.78,52.856,52.95,4134752,0
2015-02-05,53.359,53.516,52.892,53.087,5378609,0
2015-02-06,52.812,52.865,50.947,51.256,3951575,0
2015-02-09,51.221,51.52,50.78,50.991,3295753,0
2015-02-10,50.928,52.025,50.116,51.943,4613962,0
2015-02-11,51.678,51.943,50.324,50.471,5853289,0
2015-02-12,50.7,50.78,50.168,50.471,4247533,0
2015-02-13,50.305,50.361,48.806,49.427,5002959,0
2015-02-17,49.503,50.014,49.026,49.731,4997861,0
2015-02-18,49.74,50.836,49.621,50.79,4352428,0
2015-02-19,50.947,50.947,50.069,50.333,2265187,0
2015-02-20,50.26,50.443,49.584,50.27,1959548,0
2015-02-23,50.315,50.58,50.186,50.524,1992289,0
2015-02-24,50.59,50.882,50.38,50.424,2464350,0
2015-02-25,50.443,50.562,49.355,49.475,2602140,0
2015-02-26,49.629,49.655,49.126,49.301,2264025,0
2015-02-27,49.374,49.485,48.953,49.126,3410966,0
2015-03-02,48.944,49.374,48.368,48.824,3978023,0
2015-03-03,48.752,49.191,48.487,49.108,4782991,0
2015-03-04,49.126,49.173,48.834,49.035,3601790,0
2015-03-05,49.09,49.629,48.998,49.217,2886942,0
2015-03-06,49.309,49.309,47.562,47.728,2703531,0
2015-03-09,47.645,47.91,47.334,47.609,2281032,0
2015-03-10,47.545,48.003,47.315,47.334,2410744,0
2015-03-11,47.315,47.491,46.859,46.978,1957841,0
2015-03-12,47.205,48.104,47.205,47.92,1946795,0
2015-03-13,47.774,49.063,46.73,49.063,3629897,0
2015-03-16,47.601,50.04,47.601,48.961,6022487,0
2015-03-17,48.477,48.907,48.358,48.506,4271576,0
2015-03-18,48.477,49.665,48.112,49.604,4297277,0
2015-03-19,49.374,50.059,49.008,49.017,2316358,0
2015-03-20,49.274,49.684,48.624,49.336,5323828,0
2015-03-23,49.494,50.096,49.393,49.821,2691496,0
2015-03-24,49.804,50.096,48.762,48.881,2963065,0
2015-03-25,48.971,49.226,48.203,48.24,2788293,0
2015-03-26,48.203,48.497,47.554,47.883,1969896,0
2015-03-27,48.026,48.301,47.768,47.971,1831246,0
2015-03-30,48.052,49.031,48.026,48.837,3480182,0
