Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,10.963,10.996,10.888,10.989,150395,0
2015-01-05,10.996,11.032,10.888,11.032,174705,0
2015-01-06,11.032,11.071,10.996,11.061,131015,0
2015-01-07,11.142,11.168,10.963,11.015,326472,0
2015-01-08,11.078,11.116,11.056,11.1,103397,0
2015-01-09,11.071,11.116,11.048,11.116,115819,0
2015-01-12,11.084,11.108,11.048,11.048,82845,0
2015-01-13,11.071,11.116,10.963,11.032,214679,0
2015-01-14,10.963,11.1,10.951,11.091,234324,0
2015-01-15,11.116,11.123,11.048,11.123,362114,0
2015-01-16,11.142,11.221,11.123,11.198,222777,0
2015-01-20,11.235,11.357,11.192,11.357,401906,0
2015-01-21,11.357,11.438,11.333,11.403,203560,0
2015-01-22,11.501,11.519,11.412,11.492,167422,0
2015-01-23,11.453,11.484,11.382,11.438,187390,0
2015-01-26,11.466,11.474,11.34,11.34,151352,0
2015-01-27,11.365,11.459,11.286,11.373,277386,0
2015-01-28,11.438,11.445,11.349,11.373,146358,0
2015-01-29,11.403,11.412,11.365,11.382,157280,0
2015-01-30,11.397,11.484,11.389,11.459,186842,0
2015-02-02,11.474,11.509,11.428,11.453,257852,0
2015-02-03,11.484,11.509,11.445,11.466,171418,0
2015-02-04,11.474,11.535,11.459,11.519,203024,0
2015-02-05,11.542,11.542,11.438,11.438,165922,0
2015-02-06,11.474,11.492,11.365,11.382,152411,0
2015-02-09,11.428,11.428,11.365,11.397,170757,0
2015-02-10,11.445,11.445,11.333,11.389,212954,0
2015-02-11,11.34,11.403,11.326,11.326,163310,0
2015-02-12,11.389,11.428,11.34,11.382,132849,0
2015-02-13,11.438,11.453,11.326,11.397,148175,0
2015-02-17,11.349,11.365,11.242,11.251,203032,0
2015-02-18,11.235,11.251,11.089,11.235,148299,0
2015-02-19,11.259,11.259,11.212,11.251,76086,0
2015-02-20,11.307,11.307,11.251,11.268,89402,0
2015-02-23,11.235,11.302,11.235,11.293,112957,0
2015-02-24,11.293,11.326,11.285,11.317,110903,0
