Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,121.59,121.87,119.91,121.51,841311,0
2015-01-05,117.57,118.73,115.89,116.28,1734275,0
2015-01-06,116.25,117.17,114.01,114.59,1872008,0
2015-01-07,115.72,116.63,114.95,115.5,1391590,0
2015-01-08,117.27,119.15,116.63,119.14,1244845,0
2015-01-09,119.53,119.53,117.52,118.39,2199795,0
2015-01-12,118.4,119.29,117.48,118.33,2963892,0
2015-01-13,119.38,120.68,115.22,116.82,1682108,0
2015-01-14,114.92,115.71,113.89,115.13,1544292,0
2015-01-15,115.9,116.02,112.77,112.83,1464912,0
2015-01-16,112.66,113.03,110.89,112.89,2356257,0
2015-01-20,113.09,114.43,112.14,113.95,1297453,0
2015-01-21,113.53,115.16,113.04,114.88,1200549,0
2015-01-22,115.44,116.01,114.05,115.71,1964145,0
2015-01-23,115.47,116.11,114.63,114.74,1367730,0
2015-01-26,114.99,115.61,113.78,115.5,2350838,0
2015-01-27,115.24,116.25,112.11,114.16,3374010,0
2015-01-28,114.1,114.1,109.54,110.15,3063723,0
2015-01-29,110.28,111.64,109.17,111.56,1250125,0
2015-01-30,110.54,111.69,109.36,109.56,1399725,0
2015-02-02,110.49,112.57,109.41,112.55,1722896,0
2015-02-03,113.39,114.2,113.04,114.07,1163380,0
2015-02-04,113.59,113.87,112.08,112.63,1163850,0
2015-02-05,112.89,114.01,112.18,113.2,895052,0
2015-02-06,113.55,114.6,113.36,114.03,1668609,0
2015-02-09,113.62,114.91,113.22,114.28,1341504,0
2015-02-10,114.94,115.02,113.43,114.72,1376025,0
2015-02-11,114.62,114.79,112.54,113.83,1480003,0
2015-02-12,114.62,115.56,114.18,115.23,1132087,0
2015-02-13,115.5,117.97,115.35,117.32,1403270,0
2015-02-17,117.24,117.56,115.7,116.5,822005,0
2015-02-18,116.41,116.99,115.54,116.16,914650,0
2015-02-19,115.44,116.68,115.2,116.55,959801,0
2015-02-20,116.19,117.07,115.3,116.98,977834,0
2015-02-23,116.69,116.97,115.59,116.45,721645,0
2015-02-24,116.06,117.16,115.97,116.83,1375977,0
2015-02-25,116.46,117.24,115.83,116.74,788023,0
2015-02-26,116.59,117.19,115.88,116.51,1073879,0
2015-02-27,116.23,116.76,114.49,116.02,1390492,0
2015-03-02,115.9,117.48,115.01,117.06,1299246,0
2015-03-03,118.3,119.1,116.14,116.67,895843,0
2015-03-04,115.91,116.02,114.09,114.89,1396529,0
2015-03-05,115.09,115.6,114.11,115.59,1167494,0
2015-03-06,114.2,114.63,111.51,111.85,2185573,0
2015-03-09,111.73,112.13,111.12,111.99,1931792,0
2015-03-10,110.61,111.23,109.89,110.5,1095166,0
2015-03-11,110.92,111.45,109.57,111.25,1762499,0
2015-03-12,111.85,112.2,110.53,111.99,1434809,0
2015-03-13,111.59,111.59,110.52,111.33,1327796,0
2015-03-16,111.82,113.61,111.58,113.52,1131117,0
2015-03-17,112.54,113.03,111.54,112.94,1204822,0
2015-03-18,112.39,115.25,111.09,115.04,1764086,0
2015-03-19,114.21,114.37,112.4,113.07,956221,0
2015-03-20,113.23,114.42,112.71,113.65,2686047,0
2015-03-23,114.29,114.3,112.3,112.58,1353071,0
2015-03-24,112.65,113.53,111.84,113.04,1080362,0
2015-03-25,113.43,113.9,110.56,110.64,1658873,0
2015-03-26,110.05,111.39,109.63,110.98,1381831,0
2015-03-27,111.6,111.81,110.6,111.73,769693,0
2015-03-30,112.63,113.22,112.07,112.83,1064606,0
2015-03-31,112.26,112.68,111.11,112.34,1204194,0
2015-04-01,112.01,113.02,110.56,111.99,1127732,0
2015-04-02,112.19,113.4,111.47,111.58,1115361,0
2015-04-06,111.15,115.89,111.06,114.87,1526695,0
2015-04-07,114.64,114.9,113.29,113.42,945192,0
2015-04-08,113.05,113.48,111.71,113.21,1372631,0
2015-04-09,113.04,113.63,111.7,113.26,1011551,0
2015-04-10,113.39,114.27,112.38,113.98,838425,0
2015-04-13,113.96,114.54,113.26,113.96,662154,0
2015-04-14,113.9,114.95,113.25,114.6,946494,0
2015-04-15,114.94,117.13,114.94,116.8,1174471,0
2015-04-16,116.26,116.98,115.65,116.62,1532309,0
2015-04-17,115.6,115.6,114.74,114.88,1953788,0
2015-04-20,115.77,116.73,115.43,116.14,1375462,0
2015-04-21,116.12,116.41,114.87,115.52,1036656,0
2015-04-22,115.52,116.87,114.6,116.77,1541198,0
2015-04-23,116.86,117.43,115.77,116.73,1233898,0
2015-04-24,116.39,116.55,115.33,115.83,884347,0
2015-04-27,116.06,118.19,115.9,118.1,1842652,0
2015-04-28,112.54,114.23,110.68,113.74,4429525,0
2015-04-29,110.79,114.3,110.68,113.18,2377494,0
2015-04-30,112.52,113.18,112.02,112.88,1831022,0
2015-05-01,113.57,114.8,112.96,114.15,1383945,0
2015-05-04,114.4,115.37,114.11,115.03,1320713,0
2015-05-05,115.36,117.36,115.01,115.59,2976308,0
2015-05-06,115.64,115.9,114.41,115.09,1606434,0
2015-05-07,115.05,115.46,114.4,114.99,1081175,0
2015-05-08,116.35,116.91,115.25,115.5,1355773,0
2015-05-11,115.84,116.93,115.75,116.23,1073110,0
2015-05-12,115.74,116.02,114.9,115.61,910559,0
2015-05-13,115.85,117.68,115.64,117.09,1167169,0
2015-05-14,118.21,118.57,117.58,118.44,919313,0
2015-05-15,118.32,118.59,115.62,116.27,1195891,0
2015-05-18,116.04,116.86,114.93,116.65,1087381,0
2015-05-19,116.56,116.81,115.12,116.07,871801,0
2015-05-20,116.1,116.98,115.61,116.65,960316,0
2015-05-21,116.72,119.14,116.69,118.96,2227957,0
2015-05-22,119.07,119.09,118.16,118.58,987059,0
2015-05-26,118.27,118.35,116.29,116.57,1080410,0
2015-05-27,116.54,117.4,115.74,117.25,1018618,0
2015-05-28,117.18,117.32,115.29,116.21,1213484,0
2015-05-29,116.05,116.05,113.96,114.47,2316638,0
2015-06-01,114.75,114.95,113.59,114.5,1316526,0
2015-06-02,114.22,115.77,113.6,114.69,1256772,0
2015-06-03,115.16,116.1,114.56,115.28,1083314,0
2015-06-04,114.74,115.2,113.43,113.62,1418892,0
2015-06-05,113.42,113.97,112.71,113.85,903532,0
2015-06-08,113.52,113.56,112.76,113.04,1109086,0
2015-06-09,113.04,114.19,112.86,113.27,974151,0
2015-06-10,114.0,114.4,113.06,114.27,1350667,0
2015-06-11,114.63,114.99,113.97,114.27,913428,0
2015-06-12,113.82,114.24,112.88,113.28,1043550,0
2015-06-15,112.09,112.97,111.59,112.37,1389541,0
2015-06-16,112.4,112.68,111.56,112.24,1091940,0
2015-06-17,112.56,112.86,111.79,112.52,1162421,0
2015-06-18,112.98,113.56,112.38,112.97,1090889,0
2015-06-19,112.86,113.09,112.37,112.67,1667049,0
2015-06-22,113.09,113.54,112.8,113.24,673783,0
