Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,39.342,39.514,39.114,39.45,2169985,0
2015-01-05,39.35,39.758,39.114,39.424,3340086,0
2015-01-06,39.604,39.912,39.484,39.559,4008801,0
2015-01-07,39.722,40.341,39.551,40.16,2834006,0
2015-01-08,40.341,40.384,39.977,40.167,2657561,0
2015-01-09,40.242,40.414,39.768,40.104,2473432,0
2015-01-12,40.213,40.586,40.131,40.513,2563708,0
2015-01-13,40.459,40.567,39.46,39.704,3358969,0
2015-01-14,39.415,39.731,39.132,39.714,3584340,0
2015-01-15,39.921,40.05,39.533,39.758,2667856,0
2015-01-16,39.758,40.167,39.377,40.104,3555742,0
2015-01-20,40.304,40.394,39.569,39.822,2392548,0
2015-01-21,39.658,40.185,39.541,39.995,3171685,0
2015-01-22,40.285,41.014,40.113,40.984,4694320,0
2015-01-23,41.041,41.358,40.894,41.157,5197062,0
2015-01-26,41.331,41.655,41.066,41.648,4415371,0
2015-01-27,41.838,43.201,41.803,42.811,8557705,0
2015-01-28,42.993,43.119,42.158,42.167,5362541,0
2015-01-29,42.158,42.311,41.614,42.002,3524745,0
2015-01-30,41.737,41.838,40.931,41.004,5433718,0
2015-02-02,41.221,41.249,40.16,41.014,4875115,0
2015-02-03,40.974,41.376,40.331,41.074,2978339,0
2015-02-04,40.966,41.267,40.64,41.032,3276460,0
2015-02-05,41.041,41.614,40.912,41.595,4265244,0
2015-02-06,41.468,41.477,40.341,40.549,4628202,0
2015-02-09,40.54,40.841,40.312,40.586,4371682,0
2015-02-10,40.64,40.858,40.194,40.765,3771463,0
2015-02-11,40.742,40.931,39.931,40.341,2325172,0
2015-02-12,40.484,40.675,40.077,40.665,1865898,0
2015-02-13,40.622,40.665,39.613,39.795,3897007,0
2015-02-17,39.831,40.059,39.476,39.704,3083591,0
2015-02-18,39.722,39.977,39.484,39.931,2672357,0
2015-02-19,39.768,39.768,38.769,38.924,3561772,0
2015-02-20,38.815,39.232,38.741,39.078,3410554,0
2015-02-23,39.206,39.578,39.096,39.476,3152244,0
2015-02-24,39.359,39.405,38.623,38.777,4382328,0
2015-02-25,38.777,39.415,38.777,38.968,3177318,0
2015-02-26,39.033,39.042,38.533,38.542,4545837,0
2015-02-27,38.651,38.895,38.441,38.796,3012220,0
2015-03-02,38.796,39.342,38.76,38.787,3863243,0
2015-03-03,38.641,38.841,38.469,38.741,2621659,0
2015-03-04,38.705,38.805,38.315,38.497,2781510,0
2015-03-05,38.713,39.014,38.641,38.75,4274976,0
2015-03-06,37.813,38.078,37.526,37.607,4306462,0
2015-03-09,37.724,37.851,37.417,37.66,3499400,0
2015-03-10,37.56,37.831,37.378,37.378,2619898,0
2015-03-11,37.517,38.071,37.398,37.898,3672458,0
2015-03-12,38.197,38.722,38.051,38.66,3589892,0
2015-03-13,38.679,39.286,38.396,38.56,4779295,0
2015-03-16,38.879,39.55,38.879,39.21,3486532,0
2015-03-17,39.064,39.32,38.937,39.192,4526674,0
2015-03-18,39.128,39.972,39.027,39.853,4077062,0
2015-03-19,39.658,40.145,39.55,40.015,4240578,0
2015-03-20,40.044,40.722,40.025,40.665,8744438,0
2015-03-23,40.665,41.127,40.575,40.977,4123235,0
2015-03-24,40.867,41.188,40.657,40.657,3489590,0
2015-03-25,40.732,40.832,39.953,39.962,2753117,0
2015-03-26,39.723,39.905,39.32,39.458,3900557,0
2015-03-27,39.449,39.622,39.301,39.429,3172055,0
2015-03-30,39.483,40.3,39.311,40.272,3018911,0
2015-03-31,40.238,40.391,39.807,39.905,2899090,0
2015-04-01,39.905,40.136,39.513,39.751,2094256,0
2015-04-02,39.853,40.015,39.697,39.934,2606085,0
2015-04-06,40.054,40.751,39.953,40.649,3468195,0
2015-04-07,40.52,40.665,39.705,39.714,3634084,0
2015-04-08,39.741,40.025,39.741,39.853,3322800,0
2015-04-09,39.807,39.815,38.743,38.817,3621014,0
2015-04-10,38.982,39.356,38.817,38.927,2216945,0
2015-04-13,38.954,39.192,38.843,38.87,2234520,0
2015-04-14,39.054,39.475,39.008,39.247,2612418,0
2015-04-15,39.339,39.467,39.109,39.164,1835032,0
2015-04-16,39.018,39.658,38.908,39.365,2966959,0
2015-04-17,39.128,39.429,38.908,39.284,3770118,0
2015-04-20,39.284,39.862,39.092,39.439,8875352,0
2015-04-21,39.759,39.807,38.946,39.174,5474609,0
2015-04-22,39.255,39.293,38.67,38.807,3224090,0
2015-04-23,38.807,39.293,38.789,38.988,4497202,0
2015-04-24,39.109,39.293,38.946,38.988,4966383,0
2015-04-27,39.128,39.32,38.827,38.889,2740019,0
2015-04-28,38.762,38.843,38.578,38.689,2707611,0
2015-04-29,38.323,38.468,37.617,37.635,3983079,0
