Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,38.559,38.678,37.915,38.229,238148,0
2015-01-05,38.051,38.051,37.592,37.677,300570,0
2015-01-06,37.78,38.068,37.522,37.726,309488,0
2015-01-07,37.931,38.586,37.761,38.442,301737,0
2015-01-08,38.577,39.085,38.551,38.856,382320,0
2015-01-09,39.009,39.009,38.474,38.491,151354,0
2015-01-12,38.491,38.612,38.1,38.203,187339,0
2015-01-13,38.432,38.941,38.116,38.407,216106,0
2015-01-14,37.896,38.304,37.686,37.78,257536,0
2015-01-15,37.761,37.847,37.305,37.618,290477,0
2015-01-16,37.718,38.187,37.618,38.187,202600,0
2015-01-20,38.229,38.424,37.362,37.814,341038,0
2015-01-21,37.644,38.134,37.484,38.051,212163,0
2015-01-22,38.229,38.848,37.991,38.815,162500,0
2015-01-23,38.753,38.864,38.178,38.187,218295,0
2015-01-26,38.187,38.669,37.896,38.551,196141,0
2015-01-27,38.212,38.533,38.212,38.397,123195,0
2015-01-28,38.559,38.612,37.931,37.982,341694,0
2015-01-29,38.077,38.254,37.77,38.229,247821,0
2015-01-30,37.999,38.245,37.565,37.653,332875,0
2015-02-02,37.627,38.187,37.466,38.051,312582,0
2015-02-03,38.238,38.881,38.009,38.848,207735,0
2015-02-04,38.848,39.068,38.559,38.686,240961,0
2015-02-05,38.78,39.145,38.442,39.128,140964,0
2015-02-06,39.213,39.57,39.002,39.051,226515,0
2015-02-09,39.051,39.094,38.806,38.831,180863,0
2015-02-10,39.077,39.077,38.543,38.686,217264,0
2015-02-11,38.713,39.033,38.586,38.976,349068,0
2015-02-12,39.188,39.248,38.831,39.12,207611,0
2015-02-13,39.085,39.154,38.652,38.678,368004,0
2015-02-17,38.678,38.95,38.551,38.831,230685,0
2015-02-18,38.669,39.196,38.517,39.188,200049,0
2015-02-19,39.025,39.367,38.864,39.289,157001,0
2015-02-20,39.111,39.424,38.797,39.314,177197,0
2015-02-23,39.085,39.297,38.898,39.254,184613,0
2015-02-24,39.102,39.424,39.018,39.323,192804,0
2015-02-25,39.832,40.195,39.222,39.289,274737,0
2015-02-26,39.297,39.297,38.238,38.278,468409,0
2015-02-27,38.365,38.508,38.152,38.178,177190,0
2015-03-02,38.203,38.339,38.059,38.304,238753,0
2015-03-03,38.339,38.508,38.024,38.491,180654,0
2015-03-04,38.381,38.381,38.016,38.187,236631,0
2015-03-05,38.212,38.517,38.009,38.407,176295,0
2015-03-06,38.365,38.442,37.982,38.084,167575,0
2015-03-09,38.169,38.365,38.016,38.287,189493,0
2015-03-10,38.043,38.254,37.761,38.1,193853,0
2015-03-11,38.1,38.459,37.847,38.389,264087,0
2015-03-12,38.407,38.762,38.262,38.304,372271,0
2015-03-13,38.397,38.508,38.1,38.304,289543,0
2015-03-16,38.397,38.874,38.347,38.797,249007,0
2015-03-17,38.652,39.128,38.491,39.128,239459,0
2015-03-18,39.051,39.358,38.772,39.297,199511,0
2015-03-19,39.213,39.254,38.898,39.002,205522,0
2015-03-20,39.033,39.58,38.856,39.511,558464,0
2015-03-23,39.511,39.865,39.248,39.323,448987,0
2015-03-24,39.314,39.639,39.182,39.442,265389,0
2015-03-25,39.4,39.467,39.161,39.229,252840,0
2015-03-26,39.161,39.367,39.075,39.118,188460,0
2015-03-27,39.126,39.306,38.759,38.819,230014,0
2015-03-30,38.939,39.35,38.939,39.17,295331,0
2015-03-31,39.016,39.297,38.878,39.221,390837,0
2015-04-01,39.221,39.376,39.092,39.213,308208,0
2015-04-02,39.17,39.331,39.058,39.28,189045,0
2015-04-06,39.058,39.682,39.058,39.494,200049,0
2015-04-07,39.546,39.639,39.213,39.253,176486,0
2015-04-08,39.385,39.494,39.289,39.376,221940,0
2015-04-09,39.458,39.458,39.016,39.306,171943,0
2015-04-10,39.314,39.4,39.144,39.314,123378,0
2015-04-13,39.229,39.45,39.213,39.367,98562,0
2015-04-14,39.35,39.589,39.049,39.467,197004,0
2015-04-15,39.467,39.707,39.229,39.253,220623,0
2015-04-16,39.205,39.358,38.982,39.092,209644,0
2015-04-17,38.878,38.878,38.271,38.528,365565,0
2015-04-20,38.631,38.965,38.631,38.844,182357,0
2015-04-21,38.912,39.007,38.34,38.358,182586,0
2015-04-22,38.238,38.469,38.11,38.333,160256,0
2015-04-23,38.316,38.615,38.271,38.502,307622,0
2015-04-24,38.537,38.784,38.392,38.784,110782,0
2015-04-27,38.844,38.947,38.316,38.453,206486,0
2015-04-28,38.392,38.921,38.392,38.896,206370,0
2015-04-29,38.812,38.87,38.546,38.571,187990,0
2015-04-30,38.528,38.631,38.221,38.4,223342,0
2015-05-01,38.521,38.7,38.135,38.562,510129,0
2015-05-04,38.58,38.768,38.528,38.623,130284,0
2015-05-05,38.615,38.784,38.546,38.759,264780,0
2015-05-06,38.734,39.04,38.58,39.032,155296,0
2015-05-07,38.965,39.253,38.862,38.956,377326,0
2015-05-08,37.845,38.469,36.827,37.667,842453,0
2015-05-11,37.3,37.452,37.23,37.359,284798,0
2015-05-12,37.179,37.503,37.086,37.367,365080,0
2015-05-13,37.479,37.579,37.291,37.375,253076,0
2015-05-14,37.443,37.733,37.443,37.667,348358,0
2015-05-15,37.667,37.854,37.536,37.598,161623,0
2015-05-18,37.512,38.033,37.401,37.949,209796,0
2015-05-19,37.828,38.23,37.828,38.221,319796,0
2015-05-20,38.306,38.485,38.162,38.453,332323,0
2015-05-21,38.306,38.606,38.256,38.289,431117,0
2015-05-22,38.084,38.435,38.068,38.1,329981,0
2015-05-26,38.068,38.068,37.708,37.887,458926,0
2015-05-27,37.999,38.126,37.921,38.016,281521,0
2015-05-28,38.17,38.606,38.051,38.546,572419,0
2015-05-29,38.58,38.673,38.204,38.598,304346,0
2015-06-01,38.656,38.759,38.392,38.392,293590,0
2015-06-02,38.358,38.734,38.23,38.427,283124,0
2015-06-03,38.691,38.921,38.435,38.887,196770,0
2015-06-04,38.759,38.921,38.453,38.606,157907,0
2015-06-05,38.691,38.829,38.349,38.435,207892,0
2015-06-08,38.444,38.493,38.298,38.374,222290,0
2015-06-09,38.333,38.475,38.213,38.238,157641,0
2015-06-10,38.46,38.956,38.46,38.803,255854,0
2015-06-11,38.844,39.109,38.777,39.101,192267,0
2015-06-12,39.024,39.135,38.812,39.032,161187,0
2015-06-15,38.844,39.109,38.648,38.912,149598,0
2015-06-16,38.87,39.494,38.606,39.28,258345,0
2015-06-17,39.408,39.769,39.341,39.726,279997,0
2015-06-18,39.809,40.152,39.809,39.997,190799,0
2015-06-19,40.152,40.263,39.853,40.04,501703,0
2015-06-22,40.159,40.238,39.939,40.093,261738,0
2015-06-23,40.229,40.41,40.075,40.349,277694,0
2015-06-24,40.307,40.496,40.194,40.212,235588,0
2015-06-25,40.212,40.384,39.989,40.111,246403,0
2015-06-26,40.111,40.488,40.102,40.248,456410,0
2015-06-29,40.031,40.185,39.696,39.775,338963,0
2015-06-30,39.938,40.145,39.731,39.74,229272,0
2015-07-01,40.084,40.564,40.084,40.564,372105,0
2015-07-02,40.539,40.96,40.436,40.514,283731,0
2015-07-06,40.203,40.686,39.799,40.686,185702,0
2015-07-07,40.702,40.943,40.436,40.892,232099,0
2015-07-08,40.754,40.978,40.454,40.539,521996,0
2015-07-09,40.581,40.591,40.315,40.504,510366,0
2015-07-10,40.78,40.84,40.556,40.581,490946,0
2015-07-13,40.926,40.926,40.454,40.591,357220,0
2015-07-14,40.581,41.064,40.581,41.003,247505,0
2015-07-15,41.003,41.158,40.771,41.012,143288,0
2015-07-16,41.228,41.254,40.969,41.202,142795,0
2015-07-17,41.278,41.348,41.056,41.131,130470,0
2015-07-20,41.202,41.615,40.943,41.116,294542,0
2015-07-21,41.312,41.366,41.012,41.219,211401,0
2015-07-22,41.184,41.588,41.184,41.469,171167,0
2015-07-23,41.552,41.552,40.806,40.84,270357,0
2015-07-24,40.943,41.236,40.66,41.175,185353,0
2015-07-27,41.029,41.167,40.78,40.884,205357,0
2015-07-28,41.056,41.107,40.745,41.064,171167,0
2015-07-29,41.131,41.442,40.96,41.366,115005,0
2015-07-30,41.296,41.588,41.296,41.512,140119,0
2015-07-31,41.623,41.814,41.469,41.528,243262,0
2015-08-03,41.503,42.078,41.503,42.07,221752,0
2015-08-04,42.001,42.001,41.632,41.724,256984,0
2015-08-05,41.822,42.028,41.486,41.769,288963,0
2015-08-06,41.838,42.001,41.451,41.596,158709,0
2015-08-07,41.914,42.137,41.579,41.796,354312,0
2015-08-10,41.968,42.137,41.778,41.796,187333,0
2015-08-11,41.544,41.924,41.407,41.829,321986,0
2015-08-12,41.683,42.036,41.321,42.036,220589,0
2015-08-13,42.104,42.482,41.924,42.291,156633,0
2015-08-14,42.291,42.646,42.283,42.646,231287,0
2015-08-17,42.535,42.964,42.438,42.887,131051,0
2015-08-18,42.904,43.163,42.775,43.137,165819,0
2015-08-19,43.058,43.463,42.836,43.205,367455,0
2015-08-20,43.205,43.385,42.836,42.947,221403,0
2015-08-21,42.733,42.982,42.509,42.646,304544,0
2015-08-24,41.003,42.242,40.177,41.814,670974,0
2015-08-25,42.355,42.372,41.623,41.623,577808,0
2015-08-26,42.129,42.137,41.193,41.698,310940,0
