Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,38.574,38.574,37.558,37.658,6496,0
2015-01-05,37.678,37.678,37.179,37.179,11038,0
2015-01-06,37.229,37.289,36.202,36.571,62613,0
2015-01-07,37.937,37.937,36.67,37.119,16765,0
2015-01-08,37.269,38.186,37.269,38.127,77400,0
2015-01-09,38.167,38.177,37.728,37.917,16997,0
2015-01-12,37.598,37.738,37.458,37.538,9111,0
2015-01-13,38.186,38.365,37.119,37.339,12297,0
2015-01-14,37.119,37.379,37.059,37.299,7187,0
2015-01-15,37.299,37.299,36.611,36.611,9664,0
2015-01-16,36.69,37.249,36.591,37.249,6800,0
2015-01-20,37.389,37.658,37.02,37.488,24408,0
2015-01-21,37.668,37.798,37.458,37.548,2989,0
2015-01-22,37.418,38.047,37.279,38.007,9182,0
2015-01-23,37.299,38.644,37.299,38.435,15256,0
2015-01-26,38.295,38.455,38.206,38.425,77397,0
2015-01-27,37.917,38.275,37.718,37.987,47003,0
2015-01-28,38.594,38.674,37.957,37.957,16348,0
2015-01-29,37.728,38.236,37.668,38.226,6411,0
2015-01-30,38.127,38.415,37.658,37.748,10782,0
2015-02-02,36.79,37.857,36.79,37.857,7659,0
2015-02-03,38.226,38.365,37.977,38.365,7182,0
2015-02-04,38.405,38.774,38.117,38.644,10152,0
2015-02-05,38.824,39.043,38.594,39.043,12066,0
2015-02-06,38.914,39.083,38.794,38.804,3864,0
2015-02-09,38.505,38.694,38.335,38.485,9587,0
2015-02-10,38.395,39.103,38.395,39.103,7100,0
2015-02-11,39.213,39.402,39.183,39.303,12258,0
2015-02-12,39.492,39.712,39.452,39.652,31507,0
2015-02-13,39.881,39.991,39.751,39.951,32619,0
2015-02-17,39.991,40.071,39.921,39.921,1816,0
2015-02-18,39.961,40.091,39.891,40.061,5244,0
2015-02-19,40.071,40.34,39.991,40.24,18863,0
2015-02-20,40.3,40.748,40.14,40.728,7298,0
2015-02-23,40.599,40.838,40.33,40.559,7349,0
2015-02-24,40.48,40.828,40.48,40.758,9048,0
2015-02-25,40.659,40.738,40.48,40.48,5830,0
2015-02-26,40.987,40.997,40.669,40.728,31818,0
2015-02-27,40.728,40.808,40.519,40.529,2572,0
2015-03-02,40.669,41.336,40.669,41.277,119154,0
2015-03-03,40.947,41.037,40.709,40.888,171912,0
2015-03-04,40.679,41.057,40.539,40.818,120158,0
2015-03-05,40.728,40.917,40.679,40.878,5717,0
2015-03-06,40.858,40.898,40.25,40.36,8024,0
2015-03-09,40.22,40.46,40.19,40.46,3410,0
2015-03-10,40.19,40.27,39.791,39.811,4313,0
2015-03-11,40.071,40.071,39.732,39.951,9328,0
