Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,12.06,12.24,11.1,11.48,46750,0
2015-01-05,11.97,12.24,11.49,11.97,97937,0
2015-01-06,11.97,12.19,10.88,11.18,150972,0
2015-01-07,11.18,11.38,11.01,11.29,33423,0
2015-01-08,11.24,11.5,10.9,11.39,79783,0
2015-01-09,11.46,11.47,11.2,11.24,30566,0
2015-01-12,11.17,11.31,10.68,11.18,63582,0
2015-01-13,11.36,11.365,10.5,10.77,56869,0
2015-01-14,10.69,11.165,10.23,10.89,28271,0
2015-01-15,11.175,11.175,10.73,11.03,24690,0
2015-01-16,10.98,11.2,10.95,11.2,21251,0
2015-01-20,11.225,11.312,10.75,10.78,25210,0
2015-01-21,10.75,10.98,10.55,10.78,21228,0
2015-01-22,10.85,10.98,10.68,10.85,35469,0
2015-01-23,10.718,10.89,10.718,10.8,13238,0
2015-01-26,10.75,11.0,10.65,10.94,39098,0
2015-01-27,10.67,10.96,10.6,10.67,15368,0
2015-01-28,10.5,10.71,9.9,10.55,38485,0
2015-01-29,10.51,11.0,10.51,10.82,38505,0
2015-01-30,10.8,10.98,10.531,10.98,74167,0
2015-02-02,10.96,11.39,10.79,11.12,128983,0
2015-02-03,11.48,12.5,11.13,11.68,378441,0
2015-02-04,11.6,11.82,10.55,10.73,255877,0
2015-02-05,10.94,11.109,10.748,10.78,68774,0
2015-02-06,10.81,10.82,10.02,10.29,127309,0
2015-02-09,10.04,10.25,9.58,9.725,104259,0
2015-02-10,9.81,10.661,9.5,9.775,38944,0
2015-02-11,9.74,9.99,9.54,9.85,41907,0
2015-02-12,10.03,10.2,9.75,10.01,47378,0
2015-02-13,9.93,10.05,9.6,9.85,25321,0
2015-02-17,9.9,10.48,9.8,10.36,84618,0
2015-02-18,10.39,10.75,10.11,10.52,75992,0
2015-02-19,10.65,10.79,9.91,10.39,30197,0
2015-02-20,10.33,10.41,10.06,10.21,17669,0
2015-02-23,10.22,10.44,9.97,10.01,30525,0
2015-02-24,9.97,10.27,9.93,9.95,21856,0
2015-02-25,9.7,9.99,9.7,9.98,20451,0
2015-02-26,10.0,10.07,9.94,9.99,21519,0
2015-02-27,9.95,10.2,9.92,10.0,38217,0
2015-03-02,9.97,9.97,9.7,9.82,47100,0
2015-03-03,9.8,9.84,9.62,9.66,8600,0
2015-03-04,9.52,9.94,9.52,9.76,27400,0
2015-03-05,9.79,10.25,9.75,10.05,116500,0
2015-03-06,10.2,10.2,9.9,10.01,15200,0
2015-03-09,10.03,10.3,9.98,10.04,43900,0
2015-03-10,9.98,10.17,9.96,10.11,41900,0
2015-03-11,10.18,10.18,9.89,9.98,26200,0
2015-03-12,10.0,10.18,9.91,9.93,9200,0
2015-03-13,9.96,10.0,9.65,9.73,19200,0
2015-03-16,9.8,9.81,9.55,9.62,9200,0
2015-03-17,9.59,9.75,9.59,9.65,16900,0
2015-03-18,9.67,9.74,9.65,9.67,7500,0
2015-03-19,9.75,9.89,9.69,9.85,18600,0
2015-03-20,9.85,10.59,9.85,10.17,62000,0
2015-03-23,10.0,10.3,9.94,10.11,87800,0
2015-03-24,10.08,10.49,10.03,10.03,8800,0
2015-03-25,10.11,10.11,9.8,9.82,16900,0
2015-03-26,9.75,9.95,9.62,9.77,10900,0
2015-03-27,9.8,9.94,9.66,9.93,16100,0
2015-03-30,10.0,10.09,9.95,10.09,13200,0
2015-03-31,10.19,10.25,10.1,10.17,13642,0
2015-04-01,10.2,10.28,9.81,9.95,14600,0
2015-04-02,10.01,10.27,9.75,9.85,21800,0
2015-04-06,9.86,9.96,9.8,9.9,21700,0
2015-04-07,10.0,10.04,9.81,9.97,10242,0
2015-04-08,10.0,10.2,9.97,10.0,18100,0
2015-04-09,10.04,10.09,9.94,9.98,14662,0
2015-04-10,9.87,10.19,9.85,10.17,15200,0
2015-04-13,10.1,10.24,10.0,10.15,46400,0
2015-04-14,10.18,10.24,10.05,10.19,8500,0
2015-04-15,10.3,10.3,10.06,10.18,13649,0
2015-04-16,10.19,10.24,10.09,10.15,4768,0
2015-04-17,10.16,10.19,9.92,10.0,13700,0
2015-04-20,10.07,10.59,9.98,10.25,51642,0
2015-04-21,10.16,10.3,10.09,10.19,17376,0
2015-04-22,10.22,10.27,9.63,9.74,39673,0
2015-04-23,9.71,9.88,9.71,9.78,13400,0
2015-04-24,9.8,9.99,9.75,9.79,17910,0
2015-04-27,9.8,9.84,9.62,9.64,56700,0
2015-04-28,9.45,9.79,8.47,9.59,281574,0
2015-04-29,9.51,9.86,9.45,9.59,16100,0
2015-04-30,9.51,9.86,9.3,9.85,22700,0
2015-05-01,9.86,9.92,9.82,9.9,6500,0
2015-05-04,9.92,10.25,9.86,9.98,28000,0
2015-05-05,9.92,9.99,9.49,9.85,14400,0
2015-05-06,10.25,10.79,9.56,10.0,137279,0
2015-05-07,10.32,10.32,9.76,10.09,32965,0
2015-05-08,10.37,10.44,10.1,10.13,9600,0
2015-05-11,10.03,10.14,9.71,10.1,28800,0
2015-05-12,10.0,10.08,9.93,10.08,17211,0
2015-05-13,10.07,10.48,10.04,10.47,50400,0
2015-05-14,10.48,10.53,10.01,10.43,20900,0
2015-05-15,10.41,10.48,10.34,10.48,11167,0
2015-05-18,10.36,10.48,10.36,10.39,11914,0
2015-05-19,10.46,10.5,10.38,10.5,46649,0
2015-05-20,10.5,10.85,10.4,10.84,85600,0
2015-05-21,10.58,10.79,10.58,10.68,16000,0
2015-05-22,10.78,10.8,10.5,10.69,19100,0
2015-05-26,10.508,10.75,10.508,10.75,11036,0
2015-05-27,10.75,10.85,10.69,10.77,10000,0
2015-05-28,10.79,10.8,10.75,10.78,6507,0
2015-05-29,10.77,10.8,10.57,10.75,17400,0
2015-06-01,10.74,10.8,10.66,10.75,23977,0
2015-06-02,10.72,10.8,10.63,10.72,8972,0
2015-06-03,10.72,10.75,10.62,10.75,14400,0
2015-06-04,10.75,10.91,10.72,10.82,33700,0
2015-06-05,10.81,10.93,10.74,10.88,9700,0
2015-06-08,10.93,10.96,10.81,10.87,9400,0
2015-06-09,10.82,10.82,10.71,10.75,5796,0
2015-06-10,10.75,10.79,10.6,10.75,7536,0
2015-06-11,10.7,10.75,10.561,10.74,12460,0
2015-06-12,10.75,10.77,10.68,10.76,4500,0
2015-06-15,10.65,10.71,10.6,10.64,3700,0
2015-06-16,10.67,10.85,10.61,10.84,21600,0
2015-06-17,10.85,11.0,10.7,10.86,15000,0
2015-06-18,10.87,10.95,10.77,10.93,8400,0
2015-06-19,10.93,10.93,10.65,10.83,9000,0
2015-06-22,11.0,11.0,10.67,10.78,5000,0
2015-06-23,10.78,10.86,10.74,10.81,1886,0
2015-06-24,10.75,10.84,10.5,10.84,20200,0
2015-06-25,10.75,10.9,10.7,10.89,23300,0
2015-06-26,10.8,10.96,10.65,10.84,19900,0
2015-06-29,10.69,10.75,10.44,10.59,14700,0
2015-06-30,10.64,10.784,10.5,10.53,7119,0
2015-07-01,10.63,10.69,10.44,10.46,11300,0
2015-07-02,10.5,10.63,10.46,10.47,11500,0
2015-07-06,10.7,10.7,10.07,10.15,23200,0
2015-07-07,10.39,10.39,9.3,9.76,40300,0
2015-07-08,9.49,10.3,9.49,9.77,9400,0
2015-07-09,9.9,9.9,9.35,9.72,9600,0
2015-07-10,9.85,10.08,9.7,9.88,20800,0
2015-07-13,9.84,9.85,9.59,9.85,15600,0
2015-07-14,10.22,10.225,9.78,9.8,4211,0
2015-07-15,9.8,9.99,9.74,9.847,3784,0
2015-07-16,9.83,10.27,9.77,10.09,25200,0
