Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,81.45,82.07,79.26,79.47,108907,0
2015-01-05,79.28,79.45,76.92,77.26,95849,0
2015-01-06,77.25,78.59,73.95,75.97,86433,0
2015-01-07,76.67,76.67,75.37,76.0,97979,0
2015-01-08,76.81,78.96,76.72,78.8,110185,0
2015-01-09,78.57,79.08,77.1,77.4,142877,0
2015-01-12,77.64,77.72,76.28,77.02,93254,0
2015-01-13,77.73,78.97,74.74,76.46,114435,0
2015-01-14,75.8,77.12,75.2,76.98,97807,0
2015-01-15,77.47,77.51,75.46,76.11,101151,0
2015-01-16,75.68,76.76,75.68,76.25,89226,0
2015-01-20,76.44,76.64,75.29,75.35,68046,0
2015-01-21,75.31,75.66,73.65,73.97,98654,0
2015-01-22,74.47,74.95,73.19,74.9,148747,0
2015-01-23,75.09,76.85,73.9,76.1,86118,0
2015-01-26,76.22,77.94,75.65,77.58,56370,0
2015-01-27,77.06,77.95,76.05,77.38,79225,0
2015-01-28,78.11,79.23,75.44,75.99,120156,0
2015-01-29,76.39,76.58,75.23,75.96,135313,0
2015-01-30,75.56,75.71,73.8,73.86,82503,0
2015-02-02,74.1,75.77,73.24,75.54,68939,0
2015-02-03,75.86,77.51,74.37,76.88,88892,0
2015-02-04,76.6,77.2,75.2,75.74,80351,0
2015-02-05,75.7,77.82,75.45,77.48,83941,0
2015-02-06,77.5,78.1,76.26,76.63,78905,0
2015-02-09,76.24,78.5,75.91,77.35,133599,0
2015-02-10,77.85,78.56,76.47,78.35,77499,0
2015-02-11,78.5,79.13,77.2,78.57,63107,0
2015-02-12,79.12,79.5,78.56,79.26,81367,0
2015-02-13,79.5,81.87,78.83,81.63,130334,0
2015-02-17,81.72,82.59,80.35,80.72,208347,0
2015-02-18,80.59,81.35,74.28,80.35,446338,0
2015-02-19,80.35,80.87,78.68,79.18,185568,0
2015-02-20,79.2,79.28,78.14,78.78,104491,0
2015-02-23,78.78,79.07,77.19,78.19,93394,0
2015-02-24,78.25,78.83,77.42,78.29,98407,0
2015-02-25,78.47,78.72,77.65,78.32,60858,0
2015-02-26,78.33,80.2,78.33,79.78,112472,0
2015-02-27,79.9,80.2,77.85,78.28,149297,0
2015-03-02,78.07,79.54,77.57,79.2,96500,0
2015-03-03,78.58,79.15,78.02,78.47,78000,0
2015-03-04,78.02,78.92,77.69,77.96,93500,0
2015-03-05,78.02,79.64,77.56,79.24,66200,0
2015-03-06,78.49,79.56,77.78,78.0,65000,0
2015-03-09,78.29,79.21,77.49,77.57,58200,0
2015-03-10,76.62,77.49,75.98,77.42,79900,0
2015-03-11,77.5,78.79,76.89,78.73,80100,0
2015-03-12,79.64,80.74,79.38,80.38,76900,0
2015-03-13,80.48,81.21,79.81,81.05,198200,0
2015-03-16,81.67,81.76,81.07,81.71,151200,0
2015-03-17,81.51,82.61,81.1,82.44,150200,0
2015-03-18,82.17,83.9,81.95,83.74,173800,0
2015-03-19,83.23,84.35,82.04,82.99,208700,0
2015-03-20,83.5,83.5,81.12,83.28,232300,0
2015-03-23,83.58,84.92,82.61,83.81,117000,0
2015-03-24,84.04,84.34,82.73,83.14,117400,0
2015-03-25,83.41,84.89,81.26,81.66,108600,0
2015-03-26,81.58,81.72,80.21,80.81,93900,0
2015-03-27,80.48,81.03,79.51,80.37,111100,0
2015-03-30,80.61,82.26,80.61,81.93,125800,0
2015-03-31,81.31,82.4,81.26,82.21,108119,0
2015-04-01,81.94,82.87,81.32,82.82,93100,0
2015-04-02,82.66,83.43,81.55,82.43,68900,0
2015-04-06,81.19,83.7,81.18,83.19,78800,0
2015-04-07,83.22,83.85,80.79,80.91,95268,0
2015-04-08,80.88,81.67,80.74,81.37,98400,0
2015-04-09,81.37,82.43,80.07,80.93,42030,0
2015-04-10,81.39,81.98,81.04,81.1,66400,0
2015-04-13,81.22,81.99,81.14,81.71,126900,0
2015-04-14,82.03,82.03,80.65,81.36,53300,0
2015-04-15,81.5,82.04,80.85,81.03,95804,0
2015-04-16,80.72,81.0,79.94,79.97,77142,0
2015-04-17,79.24,79.24,77.2,77.32,85000,0
2015-04-20,77.58,78.77,77.57,77.8,288633,0
2015-04-21,78.29,78.89,77.56,77.62,290116,0
2015-04-22,77.59,80.69,77.0,80.18,151284,0
2015-04-23,80.31,82.0,80.15,80.43,121400,0
2015-04-24,80.02,80.37,79.49,79.96,56674,0
2015-04-27,79.79,81.2,77.88,78.49,121300,0
2015-04-28,78.67,79.13,77.45,78.34,153600,0
2015-04-29,78.33,78.33,75.0,75.45,186500,0
2015-04-30,82.14,82.14,70.7,72.71,609200,0
2015-05-01,72.68,74.46,71.71,73.97,224900,0
2015-05-04,74.26,74.56,73.53,74.07,101300,0
2015-05-05,73.78,73.85,71.2,71.55,184600,0
2015-05-06,71.61,72.14,70.73,70.92,129853,0
2015-05-07,70.8,71.36,70.42,70.94,84232,0
2015-05-08,71.55,72.15,70.97,71.58,99100,0
2015-05-11,71.25,71.95,69.69,71.09,503600,0
2015-05-12,70.67,71.27,70.2,70.83,73428,0
2015-05-13,71.19,71.41,70.65,70.73,127900,0
2015-05-14,71.33,71.54,70.8,71.34,121300,0
2015-05-15,71.34,71.75,70.83,71.36,81999,0
2015-05-18,71.04,72.73,71.04,72.55,69227,0
2015-05-19,72.57,72.57,71.08,71.81,72500,0
2015-05-20,71.74,71.95,69.74,70.9,121700,0
2015-05-21,70.89,71.93,70.68,71.55,72900,0
2015-05-22,71.49,72.99,71.02,72.43,111400,0
2015-05-26,72.05,72.5,71.0,71.11,129945,0
2015-05-27,71.12,72.05,70.75,71.95,105700,0
2015-05-28,71.96,72.65,71.35,72.27,106311,0
2015-05-29,72.07,72.57,71.14,72.25,111100,0
2015-06-01,72.5,73.75,71.85,72.96,99389,0
2015-06-02,72.77,73.54,72.28,72.75,82847,0
2015-06-03,73.14,73.72,72.66,73.14,70000,0
2015-06-04,72.69,72.69,71.82,72.28,103700,0
2015-06-05,72.07,72.21,71.06,71.62,109200,0
2015-06-08,71.5,72.05,70.85,71.1,72200,0
2015-06-09,70.95,71.15,68.84,69.75,105601,0
2015-06-10,70.25,70.99,68.9,70.89,73096,0
