Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,32.25,32.59,31.08,31.61,99119,0
2015-01-05,31.2,31.45,30.52,31.04,89377,0
2015-01-06,31.21,31.46,28.89,29.64,325458,0
2015-01-07,29.96,30.37,29.0,29.53,159947,0
2015-01-08,29.67,29.9,29.02,29.19,289727,0
2015-01-09,29.25,29.57,28.25,28.5,398284,0
2015-01-12,29.11,29.56,28.09,28.59,290399,0
2015-01-13,28.79,29.21,28.545,28.86,183657,0
2015-01-14,28.59,28.88,27.95,28.71,269675,0
2015-01-15,28.78,29.02,28.23,28.61,371372,0
2015-01-16,28.53,28.67,27.89,28.34,276354,0
2015-01-20,28.62,28.67,27.38,27.82,162617,0
2015-01-21,27.63,28.42,27.63,28.26,171409,0
2015-01-22,28.32,28.7,27.74,28.43,212648,0
2015-01-23,28.24,28.47,28.1,28.2,84007,0
2015-01-26,28.15,28.52,27.9,28.1,120584,0
2015-01-27,27.79,28.82,27.27,28.69,293281,0
2015-01-28,28.78,28.78,27.785,27.98,136676,0
2015-01-29,27.925,28.62,27.825,28.62,157830,0
2015-01-30,28.63,28.63,27.8,28.0,143889,0
2015-02-02,27.99,28.77,27.57,28.63,117635,0
2015-02-03,28.65,30.71,28.65,30.54,250340,0
2015-02-04,30.24,31.16,29.805,29.92,163381,0
2015-02-05,30.18,30.38,29.86,29.9,80604,0
2015-02-06,29.96,30.7,29.855,30.14,85810,0
2015-02-09,29.91,30.46,29.56,29.6,77741,0
2015-02-10,29.7,30.22,29.26,29.9,147343,0
2015-02-11,30.25,30.84,28.51,29.76,504476,0
2015-02-12,29.83,30.01,29.35,29.35,237578,0
2015-02-13,29.43,29.78,28.82,29.14,244668,0
2015-02-17,29.37,29.39,28.75,28.9,180277,0
2015-02-18,28.91,29.24,28.47,28.62,121696,0
2015-02-19,28.55,29.5,28.27,29.0,379070,0
2015-02-20,29.09,29.34,28.64,28.96,150506,0
2015-02-23,28.79,29.115,28.342,28.71,112854,0
2015-02-24,28.69,29.45,28.31,28.92,152600,0
2015-02-25,29.21,29.44,28.02,28.1,144759,0
2015-02-26,28.03,28.44,27.83,27.97,122506,0
2015-02-27,28.232,28.25,27.645,27.93,125497,0
2015-03-02,27.94,28.78,27.65,28.09,351700,0
2015-03-03,27.86,27.91,27.31,27.65,166000,0
2015-03-04,27.5,27.62,26.82,27.07,143100,0
2015-03-05,27.0,27.46,26.71,27.26,114300,0
2015-03-06,26.97,27.59,26.79,27.12,148200,0
2015-03-09,27.25,27.51,27.21,27.38,160600,0
2015-03-10,26.8,27.72,26.05,26.38,352900,0
2015-03-11,26.66,26.92,25.94,26.84,247800,0
2015-03-12,27.15,27.7,27.08,27.53,158100,0
2015-03-13,27.58,27.83,26.65,27.1,90900,0
2015-03-16,27.18,28.39,27.15,27.52,98500,0
2015-03-17,27.31,27.88,27.08,27.81,84000,0
2015-03-18,27.62,28.34,27.62,28.29,130100,0
2015-03-19,28.27,28.66,28.12,28.29,124000,0
2015-03-20,28.35,28.58,27.39,27.79,498700,0
2015-03-23,28.53,28.53,27.83,28.11,95700,0
2015-03-24,28.08,28.28,27.8,27.9,79600,0
2015-03-25,28.17,28.17,27.45,27.62,89700,0
2015-03-26,27.6,28.09,27.18,27.63,108700,0
2015-03-27,27.52,27.62,26.8,27.24,361600,0
2015-03-30,27.2,27.83,27.2,27.65,100100,0
2015-03-31,27.46,27.47,27.01,27.36,119092,0
2015-04-01,27.84,27.9,27.11,27.86,104900,0
2015-04-02,27.93,28.15,27.68,27.9,330600,0
2015-04-06,27.83,28.73,27.83,28.34,327300,0
2015-04-07,28.36,28.65,27.73,27.74,181240,0
2015-04-08,27.85,28.07,27.27,27.4,157500,0
2015-04-09,27.51,27.81,27.03,27.42,376656,0
2015-04-10,27.64,27.69,27.18,27.36,156000,0
2015-04-13,27.72,27.72,27.25,27.38,127000,0
2015-04-14,27.66,27.66,27.0,27.45,111700,0
2015-04-15,27.52,27.83,27.25,27.65,135653,0
2015-04-16,27.54,27.65,27.17,27.34,74292,0
2015-04-17,27.62,27.66,26.66,26.77,261300,0
2015-04-20,27.0,27.39,26.85,27.23,114365,0
2015-04-21,27.41,27.55,27.18,27.51,175997,0
2015-04-22,27.55,27.71,26.16,27.16,327836,0
2015-04-23,27.02,27.08,26.19,26.75,700800,0
2015-04-24,26.76,26.93,26.54,26.59,191348,0
2015-04-27,26.52,27.03,26.44,26.77,371600,0
2015-04-28,26.93,27.08,26.59,27.06,131507,0
2015-04-29,26.82,26.88,26.48,26.75,227200,0
2015-04-30,26.59,26.8,26.01,26.14,182600,0
2015-05-01,26.26,26.72,25.55,26.41,276500,0
2015-05-04,26.49,27.44,26.49,27.36,191900,0
2015-05-05,27.36,27.74,27.22,27.48,283200,0
2015-05-06,27.67,27.71,27.4,27.66,209677,0
2015-05-07,27.56,27.86,27.35,27.67,246505,0
2015-05-08,28.03,28.3,27.69,27.91,312000,0
2015-05-11,27.91,28.41,27.68,27.87,177100,0
2015-05-12,27.73,27.82,27.02,27.15,486285,0
2015-05-13,26.96,27.3,26.58,27.0,257900,0
2015-05-14,27.0,27.01,26.58,26.75,235000,0
2015-05-15,26.69,26.78,26.54,26.72,112619,0
2015-05-18,26.61,26.94,26.49,26.77,236762,0
2015-05-19,26.76,26.76,26.17,26.45,159413,0
2015-05-20,26.61,26.61,26.26,26.43,162300,0
2015-05-21,26.4,26.73,26.27,26.59,128600,0
2015-05-22,26.46,26.66,26.24,26.36,136600,0
2015-05-26,26.28,26.4,25.79,26.32,232564,0
2015-05-27,26.28,27.04,26.14,26.97,157100,0
2015-05-28,26.92,27.02,26.44,26.97,123204,0
2015-05-29,26.86,26.86,26.34,26.57,393800,0
2015-06-01,26.96,28.27,26.96,27.82,357933,0
2015-06-02,27.88,28.2,27.64,28.03,186506,0
2015-06-03,28.47,28.66,28.07,28.27,122400,0
2015-06-04,28.11,28.32,27.44,27.53,115100,0
2015-06-05,27.51,27.69,27.11,27.67,92100,0
2015-06-08,27.69,27.82,27.38,27.62,93500,0
2015-06-09,27.66,27.8,27.41,27.45,103990,0
2015-06-10,27.68,28.129,27.65,27.87,121543,0
2015-06-11,27.73,28.09,26.65,26.7,243131,0
2015-06-12,27.03,27.03,26.45,26.48,163700,0
2015-06-15,26.74,27.23,26.31,27.21,208100,0
2015-06-16,26.96,28.04,26.6,26.73,200600,0
2015-06-17,26.86,26.89,25.94,26.01,233100,0
2015-06-18,26.11,26.35,25.93,26.25,186800,0
2015-06-19,26.33,26.36,25.98,26.1,245000,0
2015-06-22,26.18,26.57,26.0,26.22,137300,0
2015-06-23,26.17,26.75,26.12,26.61,105131,0
2015-06-24,26.61,26.74,26.48,26.59,115800,0
2015-06-25,26.62,26.77,26.15,26.41,130000,0
2015-06-26,26.51,26.69,26.13,26.56,952900,0
2015-06-29,26.41,26.49,25.95,25.99,212400,0
2015-06-30,26.25,26.414,25.96,26.21,167012,0
2015-07-01,26.39,26.65,26.01,26.2,131900,0
2015-07-02,26.27,26.44,26.05,26.16,104900,0
2015-07-06,25.99,26.41,25.9,26.19,180700,0
2015-07-07,26.15,26.15,25.24,25.35,254600,0
2015-07-08,25.14,25.41,24.28,24.58,262300,0
2015-07-09,24.83,25.17,24.75,24.86,189600,0
2015-07-10,25.03,25.43,24.8,25.3,128400,0
2015-07-13,25.26,25.52,25.08,25.24,130700,0
2015-07-14,25.05,25.52,25.0,25.4,122768,0
2015-07-15,25.42,27.0,25.32,25.66,323120,0
2015-07-16,25.74,25.84,25.01,25.03,115200,0
2015-07-17,25.13,25.13,24.32,24.53,185600,0
2015-07-20,24.58,24.74,24.22,24.36,211600,0
2015-07-21,24.35,24.57,23.68,23.87,361300,0
2015-07-22,24.28,26.04,23.56,25.34,539400,0
2015-07-23,25.05,25.07,23.9,24.04,472600,0
2015-07-24,23.97,24.09,23.68,23.86,482100,0
2015-07-27,23.64,24.03,23.56,23.98,184500,0
2015-07-28,24.14,24.26,23.64,24.21,269300,0
2015-07-29,24.18,24.82,24.1,24.56,207900,0
2015-07-30,24.44,24.97,24.4,24.9,177100,0
2015-07-31,25.0,25.75,24.9,25.49,293800,0
2015-08-03,25.4,25.4,24.85,25.11,138653,0
2015-08-04,25.21,25.27,24.82,25.04,104900,0
2015-08-05,25.22,26.07,25.21,25.73,231700,0
2015-08-06,25.79,25.98,25.35,25.59,153671,0
2015-08-07,25.47,25.82,25.0,25.33,111600,0
2015-08-10,25.45,26.14,25.25,26.05,201600,0
2015-08-11,25.83,25.97,25.39,25.94,94863,0
2015-08-12,25.89,26.04,25.18,25.51,137500,0
2015-08-13,25.51,25.76,25.11,25.21,92300,0
2015-08-14,25.09,25.82,25.08,25.79,160900,0
2015-08-17,25.79,26.13,25.4,25.95,148600,0
2015-08-18,25.81,26.21,25.69,25.94,118100,0
2015-08-19,25.92,25.92,25.31,25.55,137000,0
2015-08-20,25.43,25.45,24.82,25.22,158600,0
2015-08-21,24.72,25.24,24.45,24.52,218800,0
2015-08-24,23.16,24.78,22.58,23.95,380597,0
2015-08-25,24.38,24.82,23.8,23.85,254200,0
2015-08-26,24.35,24.35,23.77,24.09,202400,0
2015-08-27,24.2,24.82,23.96,24.6,225300,0
2015-08-28,24.42,25.17,24.42,24.79,109200,0
2015-08-31,24.62,25.58,24.5,25.52,178800,0
2015-09-01,25.2,25.48,24.75,24.85,295700,0
2015-09-02,25.23,25.42,24.65,24.98,84100,0
