Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,4.3628,4.3628,4.016,4.2567,118346,0
2015-01-05,4.3818,4.3818,4.1893,4.2376,25280,0
2015-01-06,4.2086,4.3338,4.1999,4.3242,4900,0
2015-01-07,4.3338,4.3338,4.2376,4.2376,11770,0
2015-01-08,4.2664,4.2664,4.1893,4.2376,10551,0
2015-01-09,4.2376,4.2664,4.2183,4.2664,5267,0
2015-01-12,4.2183,4.2586,4.1893,4.1893,26826,0
2015-01-13,4.2279,4.2376,4.1316,4.2376,10508,0
2015-01-14,4.1893,4.3145,4.1574,4.1603,25698,0
2015-01-15,4.1221,4.3242,4.1027,4.305,27650,0
2015-01-16,4.1893,4.2761,4.1508,4.2183,5627,0
2015-01-20,4.3771,4.3771,4.1027,4.2086,45060,0
2015-01-21,4.1027,4.2471,4.1027,4.2279,16252,0
2015-01-22,4.1113,4.3242,4.0834,4.305,9552,0
2015-01-23,4.2761,4.3528,4.1903,4.3528,5296,0
2015-01-26,4.2567,4.3145,4.1603,4.1893,16548,0
2015-01-27,4.2567,4.305,4.2327,4.2327,858,0
2015-01-28,4.1703,4.3145,4.1703,4.2616,7770,0
2015-01-29,4.2952,4.3145,4.2952,4.305,1769,0
2015-01-30,4.1903,4.3818,4.1712,4.2376,13706,0
2015-02-02,4.2664,4.3818,4.2152,4.3169,14736,0
2015-02-03,4.2952,4.2952,4.2952,4.2952,121,0
2015-02-04,4.3818,4.3818,4.2376,4.2712,10275,0
2015-02-05,4.2761,4.3241,4.1795,4.2086,5735,0
2015-02-06,4.3811,4.3811,4.2855,4.2855,750,0
2015-02-09,4.1795,4.3144,4.1603,4.2376,9451,0
2015-02-10,4.2471,4.2952,4.1121,4.1603,20821,0
2015-02-11,4.1702,4.305,4.1121,4.1943,19040,0
2015-02-12,4.1989,4.2761,4.1607,4.1989,19110,0
2015-02-13,4.2761,4.3725,4.2183,4.3145,8686,0
2015-02-17,4.3242,4.3818,4.1316,4.3145,9341,0
2015-02-18,4.3145,4.3818,4.1413,4.3435,36562,0
2015-02-19,4.3242,4.3338,4.2279,4.2664,22969,0
2015-02-20,4.2664,4.3242,4.1603,4.2471,22653,0
2015-02-23,4.3232,4.3232,4.1702,4.2376,9936,0
2015-02-24,4.2183,4.305,4.2183,4.305,5826,0
2015-02-25,4.305,4.305,4.1893,4.2223,27106,0
2015-02-26,4.1989,4.3242,4.1989,4.3242,13217,0
2015-02-27,4.2086,4.3338,4.2086,4.3338,2018,0
2015-03-02,4.3529,4.5843,4.2183,4.3435,22844,0
2015-03-03,4.3338,4.3338,4.3145,4.3145,829,0
2015-03-04,4.3628,4.3818,4.3338,4.3725,12254,0
2015-03-05,4.3725,4.5745,4.3725,4.565,8308,0
2015-03-06,4.4878,4.5168,4.3628,4.4784,10903,0
2015-03-09,4.5263,4.5263,4.4878,4.5071,6025,0
2015-03-10,4.3915,4.5263,4.3818,4.5263,1974,0
2015-03-11,4.5263,4.5263,4.3145,4.4014,20662,0
2015-03-12,4.4203,4.565,4.3725,4.4686,10382,0
2015-03-13,4.5168,4.5263,4.4686,4.4975,7891,0
2015-03-16,4.5168,4.5263,4.4301,4.4878,20767,0
2015-03-17,4.4975,4.5071,4.4784,4.4975,9551,0
2015-03-18,4.5168,4.5263,4.4784,4.4784,5919,0
2015-03-19,4.4301,4.5168,4.3529,4.5168,3842,0
2015-03-20,4.4398,4.5071,4.3529,4.3529,3427,0
2015-03-23,4.3338,4.4014,4.3338,4.3338,12772,0
2015-03-24,4.3338,4.3628,4.2855,4.3242,13499,0
2015-03-25,4.2952,4.3628,4.2952,4.2952,17963,0
2015-03-26,4.305,4.411,4.2567,4.2664,23883,0
2015-03-27,4.4686,4.4686,4.3338,4.3818,7578,0
2015-03-30,4.3818,4.3818,4.3145,4.3242,11007,0
2015-03-31,4.3338,4.3818,4.2952,4.3338,9904,0
2015-04-01,4.2675,4.3448,4.248,4.2578,8181,0
2015-04-02,4.2192,4.3929,4.2192,4.3254,33248,0
2015-04-06,4.3254,4.3542,4.2866,4.3542,23098,0
2015-04-07,4.3156,4.3832,4.3063,4.364,19062,0
2015-04-08,4.3062,4.3448,4.2675,4.335,20715,0
2015-04-09,4.3066,4.3266,4.3066,4.3266,3371,0
2015-04-10,4.2201,4.3459,4.2201,4.3459,5373,0
2015-04-13,4.2588,4.3266,4.2007,4.2684,7956,0
2015-04-14,4.2783,4.2877,4.249,4.2783,6509,0
2015-04-15,4.2588,4.2783,4.2104,4.2783,4433,0
2015-04-16,4.2783,4.2877,4.2201,4.2877,4028,0
2015-04-17,4.2299,4.3363,4.2007,4.3363,3926,0
2015-04-20,4.3168,4.3168,4.2104,4.3005,7442,0
2015-04-21,4.2975,4.3149,4.2104,4.3149,24195,0
2015-04-22,4.3266,4.3363,4.2578,4.2578,2918,0
2015-04-23,4.2395,4.2975,3.9199,4.1619,41533,0
2015-04-24,4.1523,4.2588,4.1135,4.2588,36192,0
2015-04-27,4.1233,4.2877,4.1233,4.1718,6095,0
2015-04-28,4.1812,4.1991,4.1329,4.1523,7635,0
2015-04-29,4.0652,4.2588,4.0652,4.1812,12605,0
2015-04-30,4.2007,4.375,4.2007,4.2975,5683,0
2015-05-01,4.2007,4.2684,4.1619,4.2299,42153,0
2015-05-04,4.2201,4.3363,4.1911,4.3363,1548,0
2015-05-05,4.2588,4.3363,4.1911,4.2684,3306,0
2015-05-06,4.2395,4.3555,4.2104,4.3555,8604,0
2015-05-07,4.2783,4.3555,4.2395,4.3555,14806,0
2015-05-08,4.3363,4.3555,4.2588,4.3266,1445,0
2015-05-11,4.2588,4.3459,4.2395,4.3266,5269,0
2015-05-12,4.2588,4.3555,4.2395,4.3555,9182,0
2015-05-13,4.2588,4.3459,4.2395,4.2783,9297,0
2015-05-14,4.2684,4.3073,4.2395,4.249,5993,0
2015-05-15,4.2588,4.2588,4.1039,4.1233,27887,0
2015-05-18,4.0555,4.1718,3.9685,4.0168,15801,0
2015-05-19,3.9877,4.0748,3.9782,3.9974,8953,0
2015-05-20,4.0264,4.1039,3.9877,4.0264,7646,0
2015-05-21,3.9877,4.1233,3.9877,4.0652,5062,0
2015-05-22,3.9782,4.1039,3.9685,4.0748,18804,0
2015-05-26,4.0362,4.2783,4.0168,4.0168,29377,0
2015-05-27,4.0362,4.1039,3.9297,3.949,42980,0
2015-05-28,3.891,4.0546,3.8716,3.9782,23393,0
