Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,6.92,6.92,6.704,6.86,18923,0
2015-01-05,6.72,6.855,6.46,6.66,47270,0
2015-01-06,6.53,7.03,6.5,6.58,47531,0
2015-01-07,6.6,6.73,6.51,6.56,19084,0
2015-01-08,6.59,6.73,6.5,6.58,30062,0
2015-01-09,6.6,6.72,6.5,6.5,16754,0
2015-01-12,6.5128,6.69,6.5128,6.59,13394,0
2015-01-13,6.51,6.69,6.41,6.5,34172,0
2015-01-14,6.55,6.69,6.42,6.58,22500,0
2015-01-15,6.68,7.0,6.6,7.0,9360,0
2015-01-16,7.02,7.24,7.0,7.13,14088,0
2015-01-20,7.23,7.5,6.76,6.96,38177,0
2015-01-21,6.7701,7.0,6.54,6.68,39868,0
2015-01-22,6.77,6.99,6.52,6.81,15245,0
2015-01-23,7.0739,7.12,6.75,6.85,67159,0
2015-01-26,6.86,7.0,6.85,6.9,36411,0
2015-01-27,6.95,6.99,6.75,6.9,11790,0
2015-01-28,6.85,6.9,6.65,6.83,27486,0
2015-01-29,6.7,6.82,6.61,6.67,12781,0
2015-01-30,6.9,6.9,6.59,6.8,27793,0
2015-02-02,6.81,6.89,6.63,6.65,11085,0
2015-02-03,6.6,6.75,6.59,6.71,20829,0
2015-02-04,6.67,6.76,6.63,6.71,15285,0
2015-02-05,6.97,6.97,6.6,6.64,31381,0
2015-02-06,6.68,6.89,6.63,6.69,15970,0
2015-02-09,6.69,7.0,6.69,6.98,13887,0
2015-02-10,7.0,7.0,6.88,6.88,4843,0
2015-02-11,6.89,7.09,6.85,7.09,18544,0
2015-02-12,7.14,7.14,6.8,6.85,21122,0
2015-02-13,6.85,7.08,6.6,6.91,17782,0
2015-02-17,7.01,7.11,6.81,6.9,25483,0
2015-02-18,7.01,7.21,6.95,7.02,25643,0
2015-02-19,6.95,7.15,6.87,6.91,22385,0
2015-02-20,6.905,7.29,6.905,7.17,7008,0
2015-02-23,7.24,7.33,7.05,7.29,60404,0
2015-02-24,7.39,7.98,7.32,7.8,97526,0
2015-02-25,7.99,8.71,7.91,8.51,44451,0
2015-02-26,8.76,9.2299,8.55,8.63,22856,0
2015-02-27,8.6,8.61,8.32,8.54,16854,0
2015-03-02,9.1,9.1,8.04,8.05,39400,0
2015-03-03,8.04,8.04,7.5,7.5,21300,0
2015-03-04,7.51,7.99,7.29,7.78,37800,0
2015-03-05,7.77,8.0,7.6,7.85,12300,0
2015-03-06,7.69,7.69,7.3,7.58,30300,0
2015-03-09,7.59,7.65,7.31,7.5,8900,0
2015-03-10,7.39,7.51,7.3,7.5,21000,0
2015-03-11,7.49,7.63,7.29,7.58,18600,0
2015-03-12,7.45,7.48,7.14,7.33,12600,0
2015-03-13,7.36,7.5,7.16,7.39,5900,0
2015-03-16,7.4,7.68,7.3,7.5,12600,0
2015-03-17,7.56,7.95,7.31,7.92,37300,0
2015-03-18,9.68,9.79,8.6,8.84,775500,0
2015-03-19,8.95,9.2,8.62,8.7,136900,0
2015-03-20,8.72,9.05,8.57,9.03,212000,0
2015-03-23,9.1,9.23,8.92,8.99,95500,0
2015-03-24,9.08,9.49,8.66,9.4,281400,0
2015-03-25,9.75,10.73,9.13,9.33,394200,0
2015-03-26,9.46,9.93,9.05,9.48,157200,0
2015-03-27,10.0,10.0,9.28,9.46,236500,0
2015-03-30,9.75,9.93,9.44,9.7,131300,0
2015-03-31,9.85,10.0,9.5,9.95,140700,0
2015-04-01,9.99,10.86,9.9,10.37,313700,0
2015-04-02,10.42,10.5,10.02,10.2,199900,0
2015-04-06,10.1,10.72,10.05,10.59,151400,0
2015-04-07,10.59,10.92,10.27,10.36,190365,0
2015-04-08,10.35,11.07,9.9,10.35,314700,0
