Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,14.04,14.04,13.445,13.599,11676,0
2015-01-05,13.68,13.698,13.365,13.436,36265,0
2015-01-06,13.293,13.741,13.147,13.382,28890,0
2015-01-07,13.5,13.5,13.077,13.426,14483,0
2015-01-08,13.689,13.689,13.121,13.418,17482,0
2015-01-09,13.391,13.733,12.969,13.66,17665,0
2015-01-12,13.472,13.813,13.086,13.336,22026,0
2015-01-13,13.49,13.49,12.687,13.014,22846,0
2015-01-14,12.815,13.147,12.762,13.147,22998,0
2015-01-15,13.589,13.869,12.861,12.932,16923,0
2015-01-16,12.886,13.5,12.886,13.121,10836,0
2015-01-20,12.815,13.302,12.815,12.861,13734,0
2015-01-21,13.765,13.765,12.778,12.82,16844,0
2015-01-22,13.048,13.509,12.778,12.932,10438,0
2015-01-23,12.871,12.995,12.538,12.542,27419,0
2015-01-26,12.598,12.754,12.41,12.509,33179,0
2015-01-27,12.509,12.687,12.331,12.372,57923,0
2015-01-28,12.331,13.167,12.331,13.157,107917,0
2015-01-29,12.726,12.726,12.158,12.697,40659,0
2015-01-30,12.528,13.176,12.528,12.687,115766,0
2015-02-02,12.871,13.068,11.7,12.598,32586,0
2015-02-03,12.598,13.373,12.509,13.293,33221,0
2015-02-04,13.137,13.346,12.716,12.716,27065,0
2015-02-05,12.618,13.031,12.618,12.886,9125,0
2015-02-06,12.959,13.275,12.67,12.796,37235,0
2015-02-09,12.663,13.077,12.663,12.824,9068,0
2015-02-10,12.986,13.162,12.678,12.886,7092,0
2015-02-11,12.905,12.905,12.598,12.598,7487,0
2015-02-12,12.627,12.843,12.598,12.778,14261,0
2015-02-13,12.726,13.288,12.509,13.167,35091,0
2015-02-17,12.854,13.137,12.815,13.022,2878,0
2015-02-18,12.735,12.861,12.608,12.735,8472,0
2015-02-19,12.697,12.787,12.608,12.636,4501,0
2015-02-20,12.716,12.932,12.598,12.618,10179,0
2015-02-23,12.618,12.716,12.598,12.655,64670,0
2015-02-24,12.716,12.941,12.655,12.687,5926,0
2015-02-25,12.754,12.923,12.556,12.663,11411,0
2015-02-26,12.895,12.895,12.646,12.646,12186,0
2015-02-27,12.646,12.762,12.556,12.571,16495,0
2015-03-02,12.663,12.762,12.509,12.678,26334,0
2015-03-03,12.58,12.716,12.538,12.571,8447,0
2015-03-04,12.463,12.771,11.806,12.556,10334,0
2015-03-05,12.663,13.411,12.448,12.463,6557,0
2015-03-06,12.339,12.448,12.078,12.105,19335,0
2015-03-09,12.167,12.509,11.881,12.275,13445,0
2015-03-10,12.194,12.331,12.04,12.213,23780,0
2015-03-11,12.412,12.474,12.085,12.104,14318,0
2015-03-12,12.458,12.465,12.313,12.45,12225,0
2015-03-13,12.483,12.711,12.257,12.465,175444,0
2015-03-16,12.465,13.075,12.285,12.848,35352,0
2015-03-17,12.574,12.876,12.574,12.811,22688,0
2015-03-18,12.801,12.893,12.801,12.867,5506,0
2015-03-19,12.801,12.893,12.659,12.683,22909,0
2015-03-20,12.73,13.185,12.702,13.056,50222,0
2015-03-23,12.938,13.066,12.883,13.003,9031,0
2015-03-24,13.075,13.438,12.993,13.266,11454,0
2015-03-25,13.256,13.303,13.012,13.094,19272,0
2015-03-26,12.792,13.029,12.702,12.757,48350,0
2015-03-27,12.811,13.029,12.711,12.893,20705,0
2015-03-30,13.012,13.175,12.683,12.947,13767,0
2015-03-31,12.801,13.156,12.73,12.938,26543,0
2015-04-01,13.166,13.166,12.876,13.094,17733,0
2015-04-02,13.021,13.275,12.867,13.121,25000,0
2015-04-06,13.247,13.483,13.136,13.483,36344,0
2015-04-07,13.474,13.62,13.365,13.584,22691,0
2015-04-08,13.62,13.62,13.483,13.528,22357,0
2015-04-09,13.512,13.612,13.256,13.512,16074,0
2015-04-10,13.503,13.602,13.403,13.464,15198,0
2015-04-13,13.52,13.612,13.438,13.483,9913,0
2015-04-14,13.564,13.574,13.185,13.419,17623,0
2015-04-15,13.555,13.62,13.303,13.574,112731,0
2015-04-16,13.684,14.201,13.674,14.148,27339,0
2015-04-17,14.038,14.129,13.784,13.919,23019,0
2015-04-20,14.281,14.528,14.048,14.409,9286,0
2015-04-21,14.409,14.654,14.409,14.491,6374,0
2015-04-22,14.437,14.491,13.948,14.038,11185,0
2015-04-23,13.938,14.148,13.702,14.056,17292,0
2015-04-24,14.038,14.082,13.802,14.082,6939,0
2015-04-27,13.983,14.073,13.838,13.919,16191,0
