Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,3.98,3.99,3.7,3.79,236215,0
2015-01-05,3.8,3.998,3.69,3.72,74214,0
2015-01-06,3.8,3.86,3.72,3.75,228456,0
2015-01-07,3.958,3.958,3.72,3.85,138463,0
2015-01-08,3.92,4.2,3.9,4.11,314379,0
2015-01-09,4.11,4.189,3.81,4.01,138605,0
2015-01-12,4.24,4.48,4.09,4.28,154628,0
2015-01-13,4.36,4.597,4.28,4.53,210557,0
2015-01-14,4.51,4.59,4.45,4.56,115727,0
2015-01-15,4.56,4.66,4.44,4.48,67670,0
2015-01-16,4.5,4.59,4.376,4.54,155946,0
2015-01-20,4.63,4.98,4.59,4.87,270216,0
2015-01-21,4.8001,4.979,4.76,4.79,136687,0
2015-01-22,4.8,4.98,4.71,4.9,95099,0
2015-01-23,4.9,4.98,4.82,4.91,46176,0
2015-01-26,4.97,5.2,4.97,5.12,204363,0
2015-01-27,5.15,5.18,5.01,5.05,69889,0
2015-01-28,5.17,5.17,5.05,5.06,115615,0
2015-01-29,5.09,5.09,5.0,5.07,43418,0
2015-01-30,5.07,5.14,5.05,5.14,64726,0
2015-02-02,5.21,5.219,5.01,5.03,58273,0
2015-02-03,5.04,5.109,5.0,5.05,69596,0
2015-02-04,5.05,5.11,5.01,5.06,59915,0
2015-02-05,5.1,5.25,4.99,4.99,77789,0
2015-02-06,5.0,5.03,4.78,4.88,87368,0
2015-02-09,4.92,4.93,4.75,4.87,39171,0
2015-02-10,4.87,4.93,4.74,4.75,45644,0
2015-02-11,4.75,4.77,4.74,4.75,24650,0
2015-02-12,4.75,4.78,4.59,4.61,89809,0
2015-02-13,4.76,4.92,4.65,4.8,87961,0
2015-02-17,4.75,5.0,4.69,5.0,349490,0
2015-02-18,5.02,5.14,4.81,4.96,41530,0
2015-02-19,4.96,4.99,4.83,4.91,53485,0
2015-02-20,4.97,4.97,4.82,4.91,127797,0
2015-02-23,4.9,4.9,4.69,4.74,74440,0
2015-02-24,4.74,4.75,4.25,4.47,250028,0
2015-02-25,4.44,4.59,4.42,4.53,96801,0
2015-02-26,4.5,4.52,4.33,4.44,82155,0
2015-02-27,4.31,4.41,4.21,4.27,104661,0
2015-03-02,4.29,4.47,4.26,4.47,61200,0
2015-03-03,4.53,4.7,4.41,4.67,122700,0
2015-03-04,4.67,4.67,4.49,4.56,99300,0
2015-03-05,4.59,4.65,4.41,4.61,121700,0
2015-03-06,4.64,4.64,4.51,4.62,77500,0
2015-03-09,4.61,4.61,4.34,4.41,50700,0
2015-03-10,4.37,4.37,4.1,4.23,117400,0
2015-03-11,4.25,4.27,4.09,4.13,109100,0
2015-03-12,4.13,4.28,4.1,4.26,70100,0
2015-03-13,4.3,4.3,4.09,4.11,70500,0
2015-03-16,4.1,4.25,3.87,4.14,241800,0
2015-03-17,4.18,4.24,4.12,4.12,162800,0
2015-03-18,4.18,4.2,4.08,4.19,59000,0
2015-03-19,4.26,4.46,4.2,4.35,73800,0
2015-03-20,4.36,4.46,4.27,4.27,96600,0
2015-03-23,4.32,4.52,4.29,4.42,80200,0
2015-03-24,4.46,4.49,4.4,4.4,47500,0
2015-03-25,4.44,4.5,4.22,4.26,67000,0
2015-03-26,4.25,4.33,4.25,4.3,20700,0
2015-03-27,4.32,4.45,4.32,4.35,21200,0
2015-03-30,4.38,4.55,4.38,4.53,34700,0
2015-03-31,4.53,4.72,4.49,4.62,44497,0
2015-04-01,4.69,4.73,4.46,4.5,54900,0
2015-04-02,4.49,4.66,4.4,4.61,79900,0
2015-04-06,4.55,4.67,4.45,4.45,65300,0
2015-04-07,4.44,4.6893,4.43,4.61,35667,0
2015-04-08,4.61,4.7,4.47,4.52,76100,0
2015-04-09,4.49,4.59,4.49,4.545,23100,0
2015-04-10,4.53,4.8,4.53,4.71,140800,0
2015-04-13,4.77,4.82,4.63,4.75,79400,0
2015-04-14,4.78,4.79,4.69,4.78,46200,0
2015-04-15,4.82,4.82,4.714,4.79,21271,0
2015-04-16,4.78,4.94,4.75,4.83,61578,0
2015-04-17,4.84,4.84,4.6,4.65,77400,0
2015-04-20,4.65,4.73,4.61,4.64,27498,0
2015-04-21,4.62,4.71,4.6,4.65,35015,0
2015-04-22,4.65,4.68,4.35,4.45,87851,0
2015-04-23,4.42,4.56,4.42,4.5,11300,0
2015-04-24,4.3601,4.6099,4.3601,4.51,8136,0
2015-04-27,4.49,4.56,4.37,4.45,36300,0
2015-04-28,4.42,4.5,4.39,4.47,29443,0
2015-04-29,4.48,4.55,4.45,4.5,39100,0
2015-04-30,4.48,4.54,4.48,4.53,44700,0
