Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,10.679,11.004,10.526,11.004,5135,0
2015-01-05,10.881,10.917,10.81,10.887,4146,0
2015-01-06,10.679,10.824,10.679,10.759,8448,0
2015-01-07,10.81,10.875,10.702,10.702,10489,0
2015-01-08,10.846,10.846,10.788,10.81,7219,0
2015-01-09,10.602,10.767,10.595,10.767,14159,0
2015-01-12,10.78,10.81,10.586,10.644,6872,0
2015-01-13,10.521,10.666,10.521,10.607,1759,0
2015-01-14,10.595,10.631,10.558,10.631,6246,0
2015-01-15,10.99,10.99,10.544,10.78,32629,0
2015-01-16,10.795,11.012,10.716,10.99,28935,0
2015-01-20,10.99,11.163,10.925,11.163,13047,0
2015-01-21,10.904,11.163,10.853,11.163,20993,0
2015-01-22,11.098,11.205,11.061,11.205,14290,0
2015-01-23,11.077,11.22,11.068,11.163,2897,0
2015-01-26,11.272,11.272,11.033,11.091,22004,0
2015-01-27,11.315,11.315,10.94,11.156,11354,0
2015-01-28,11.169,11.351,11.156,11.205,40553,0
2015-01-29,11.375,11.514,11.299,11.383,21329,0
2015-01-30,11.229,11.316,11.156,11.156,10994,0
2015-02-02,11.156,11.471,11.156,11.462,10847,0
2015-02-03,11.462,11.514,11.205,11.485,6739,0
2015-02-04,11.339,11.433,11.339,11.366,1831,0
2015-02-05,11.366,11.498,11.339,11.49,16093,0
2015-02-06,11.439,11.49,11.439,11.477,2734,0
2015-02-09,11.439,11.455,11.439,11.445,1961,0
2015-02-10,11.455,11.572,11.439,11.572,5629,0
2015-02-11,11.586,11.586,11.389,11.572,15468,0
2015-02-12,11.507,11.514,11.352,11.366,14160,0
2015-02-13,11.236,11.535,11.236,11.535,10012,0
2015-02-17,11.383,11.55,11.148,11.471,10792,0
2015-02-18,11.396,11.557,11.396,11.557,7338,0
2015-02-19,11.477,11.577,11.477,11.577,5936,0
2015-02-20,11.375,11.566,11.339,11.557,16762,0
2015-02-23,11.535,11.572,11.49,11.541,10892,0
2015-02-24,11.566,11.566,11.366,11.462,14809,0
2015-02-25,11.507,11.527,11.389,11.455,8976,0
2015-02-26,11.557,11.566,11.445,11.55,19858,0
2015-02-27,11.577,11.586,11.521,11.521,13190,0
2015-03-02,11.586,11.586,11.507,11.541,8754,0
2015-03-03,11.55,11.586,11.55,11.577,9301,0
2015-03-04,11.577,11.577,11.541,11.566,2188,0
2015-03-05,11.541,11.622,11.541,11.622,8754,0
2015-03-06,11.557,11.681,11.557,11.661,7114,0
