Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,4194.74,4206.7,4018.99,4092.14,284,0
2015-01-05,4053.68,4123.84,3972.56,4072.91,214,0
2015-01-06,4023.98,4118.84,3845.16,3845.16,538,0
2015-01-07,3908.75,3944.11,3851.72,3903.15,253,0
2015-01-08,3939.94,4126.53,3909.15,4068.93,627,0
2015-01-09,4054.33,4068.92,3969.07,4025.25,61,0
2015-01-12,4028.97,4043.95,3969.07,4029.97,105,0
2015-01-13,4023.98,4165.27,3994.03,4153.98,381,0
2015-01-14,4113.85,4113.85,3899.18,3956.51,399,0
2015-01-15,4004.01,4004.01,3794.32,3794.33,362,0
2015-01-16,3809.3,3909.15,3799.32,3894.18,324,0
2015-01-20,3969.07,3969.07,3894.18,3944.11,90,0
2015-01-21,3894.17,3914.15,3794.32,3871.21,111,0
2015-01-22,3871.23,3979.03,3871.23,3974.06,273,0
2015-01-23,3994.03,3994.03,3856.3,3904.15,134,0
2015-01-26,3844.25,3994.03,3844.25,3971.08,319,0
2015-01-27,3869.21,3969.07,3869.21,3882.49,337,0
2015-01-28,3969.07,3969.07,3819.28,3819.28,437,0
2015-01-29,3848.73,3919.15,3604.35,3884.2,664,0
2015-01-30,3847.32,3869.21,3754.38,3819.27,271,0
2015-02-02,3770.46,3894.18,3746.4,3894.18,194,0
2015-02-03,3906.15,3953.08,3794.33,3953.08,265,0
2015-02-04,3953.08,3964.07,3879.19,3937.11,191,0
2015-02-05,3944.11,3984.04,3694.47,3699.47,1155,0
2015-02-06,3719.44,3830.02,3679.49,3830.02,518,0
2015-02-09,3759.38,3856.23,3759.38,3851.98,256,0
2015-02-10,3859.23,3894.18,3819.38,3894.18,445,0
2015-02-11,3914.15,3918.82,3869.71,3899.16,386,0
2015-02-12,3936.11,3956.08,3909.35,3949.67,271,0
2015-02-13,3967.07,3971.07,3870.21,3870.21,151,0
2015-02-17,3864.22,3968.82,3819.28,3964.08,230,0
2015-02-18,3944.11,3944.11,3854.23,3901.46,444,0
2015-02-19,3914.15,3944.11,3831.06,3831.06,307,0
2015-02-20,3879.19,3879.19,3799.32,3879.19,274,0
2015-02-23,3918.9,3918.9,3719.24,3904.15,249,0
2015-02-24,3906.15,3975.06,3894.18,3975.06,208,0
