Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,16.184,16.207,15.587,15.961,58060,0
2015-01-05,15.883,15.961,15.398,15.666,118952,0
2015-01-06,15.986,15.986,14.931,15.417,72221,0
2015-01-07,15.313,15.731,15.313,15.731,48576,0
2015-01-08,15.75,15.75,15.249,15.706,47288,0
2015-01-09,15.686,15.686,15.15,15.209,41934,0
2015-01-12,15.028,15.503,14.707,14.712,94933,0
2015-01-13,14.761,15.052,14.707,14.993,84780,0
2015-01-14,14.87,14.984,14.698,14.958,33462,0
2015-01-15,14.885,15.022,14.747,14.845,20050,0
2015-01-16,14.875,15.268,14.861,15.002,45535,0
2015-01-20,15.058,15.058,14.752,14.841,22496,0
2015-01-21,14.983,15.048,14.844,14.885,52414,0
2015-01-22,15.002,15.46,14.855,15.46,121440,0
2015-01-23,15.443,15.716,15.407,15.618,97954,0
2015-01-26,15.716,15.716,15.496,15.53,16487,0
2015-01-27,15.443,15.466,15.254,15.373,18555,0
2015-01-28,15.309,15.309,14.909,14.998,82225,0
2015-01-29,14.88,14.998,14.732,14.9,47222,0
2015-01-30,14.855,15.022,14.855,14.954,21784,0
2015-02-02,15.072,15.111,14.958,14.998,59915,0
2015-02-03,15.116,15.377,15.102,15.343,34088,0
2015-02-04,15.135,15.656,15.135,15.333,21288,0
2015-02-05,15.423,15.651,15.343,15.377,39090,0
2015-02-06,15.736,15.736,15.49,15.524,22379,0
2015-02-09,15.433,15.731,15.343,15.437,57499,0
2015-02-10,15.456,15.636,15.283,15.456,20256,0
2015-02-11,15.309,15.496,15.249,15.373,40340,0
2015-02-12,15.496,15.731,15.397,15.731,33782,0
2015-02-13,15.736,15.79,15.681,15.775,130956,0
2015-02-17,15.741,15.741,15.417,15.486,47814,0
2015-02-18,15.263,15.496,15.263,15.343,21668,0
2015-02-19,15.48,15.48,15.367,15.443,15261,0
2015-02-20,15.245,15.48,15.239,15.279,24983,0
2015-02-23,15.263,15.452,15.263,15.273,42748,0
2015-02-24,15.49,15.78,15.273,15.466,36483,0
2015-02-25,15.437,15.57,15.437,15.515,17717,0
2015-02-26,15.55,15.781,15.293,15.726,42896,0
2015-02-27,15.716,15.83,15.706,15.81,106320,0
2015-03-02,15.854,15.937,15.701,15.888,101238,0
2015-03-03,15.888,15.967,15.794,15.82,14635,0
2015-03-04,15.814,15.888,15.711,15.746,46553,0
2015-03-05,15.746,15.834,15.534,15.691,42287,0
2015-03-06,15.666,15.897,15.328,15.641,63832,0
2015-03-09,15.407,15.741,15.407,15.741,19717,0
2015-03-10,15.628,15.701,15.5,15.564,60173,0
2015-03-11,15.726,15.736,15.564,15.696,29884,0
2015-03-12,15.726,15.824,15.666,15.741,18907,0
2015-03-13,15.618,15.741,15.57,15.671,20128,0
2015-03-16,15.564,15.736,15.564,15.578,39643,0
2015-03-17,15.57,15.731,15.564,15.681,20128,0
2015-03-18,15.711,15.741,15.641,15.741,33947,0
2015-03-19,15.593,15.864,15.544,15.864,82537,0
2015-03-20,15.84,15.864,15.646,15.814,35374,0
2015-03-23,15.814,15.981,15.721,15.824,22971,0
2015-03-24,15.986,15.986,15.696,15.85,69117,0
2015-03-25,15.897,15.986,15.741,15.785,43911,0
2015-03-26,15.86,15.864,15.681,15.736,48791,0
2015-03-27,15.671,15.888,15.666,15.81,43911,0
2015-03-30,15.741,16.081,15.716,16.065,101440,0
2015-03-31,16.061,16.228,15.912,16.228,119332,0
2015-04-01,16.185,16.185,16.017,16.115,54686,0
2015-04-02,16.155,16.341,16.105,16.195,42084,0
2015-04-06,16.228,16.642,15.966,16.519,81170,0
2015-04-07,17.002,17.002,16.195,16.385,153394,0
2015-04-08,16.14,16.849,16.14,16.691,118910,0
2015-04-09,16.469,16.864,16.218,16.825,73618,0
2015-04-10,16.755,17.002,16.509,16.879,102475,0
2015-04-13,16.854,17.002,16.665,16.997,51136,0
2015-04-14,16.785,17.002,16.681,16.903,97198,0
2015-04-15,16.958,16.992,16.627,16.695,67403,0
2015-04-16,16.923,17.002,16.415,16.987,23217,0
2015-04-17,16.844,16.987,16.538,16.789,51744,0
2015-04-20,16.74,16.972,16.622,16.933,59005,0
2015-04-21,17.002,17.184,16.791,17.135,63038,0
2015-04-22,16.779,17.248,16.779,17.243,118619,0
2015-04-23,17.149,17.248,16.869,17.213,167815,0
2015-04-24,17.238,17.431,17.179,17.327,121752,0
2015-04-27,17.446,17.469,17.238,17.363,53369,0
2015-04-28,17.397,17.421,17.327,17.411,51342,0
2015-04-29,17.373,17.494,17.317,17.353,45051,0
2015-04-30,17.363,17.382,16.972,17.179,95981,0
2015-05-01,17.179,17.617,17.174,17.577,127841,0
2015-05-04,17.617,18.165,17.533,18.003,106739,0
2015-05-05,17.983,18.013,17.577,17.667,72647,0
2015-05-06,17.75,17.764,17.361,17.494,76069,0
2015-05-07,17.431,17.431,17.085,17.363,112696,0
2015-05-08,17.597,17.607,17.179,17.283,56818,0
2015-05-11,17.307,17.436,17.204,17.357,79340,0
2015-05-12,17.392,17.392,17.061,17.307,57214,0
2015-05-13,17.401,17.436,17.129,17.407,64528,0
2015-05-14,17.006,17.593,17.006,17.382,95375,0
2015-05-15,17.397,17.514,17.179,17.303,30573,0
2015-05-18,17.297,17.479,17.253,17.417,65308,0
2015-05-19,17.421,17.504,17.317,17.417,77719,0
2015-05-20,17.44,17.741,17.387,17.683,113839,0
2015-05-21,17.543,17.693,17.184,17.548,117693,0
2015-05-22,17.303,17.617,17.303,17.489,55396,0
2015-05-26,17.427,17.469,17.149,17.273,134212,0
2015-05-27,17.263,17.563,17.213,17.533,161727,0
2015-05-28,17.464,17.617,17.213,17.573,101180,0
2015-05-29,17.519,17.519,17.154,17.273,345779,0
2015-06-01,17.397,17.857,17.223,17.484,217328,0
2015-06-02,17.603,17.721,17.397,17.563,200635,0
2015-06-03,17.637,17.79,17.543,17.785,320616,0
2015-06-04,17.716,17.79,17.637,17.663,136564,0
2015-06-05,17.697,17.741,17.499,17.731,159904,0
2015-06-08,17.731,17.973,17.528,17.703,234984,0
2015-06-09,17.741,17.838,17.693,17.795,165100,0
2015-06-10,17.833,18.228,17.829,18.218,247103,0
2015-06-11,18.145,18.324,18.072,18.234,106753,0
2015-06-12,18.234,18.268,18.189,18.234,106739,0
2015-06-15,18.278,18.308,18.082,18.304,247157,0
2015-06-16,18.304,18.721,18.205,18.682,308846,0
2015-06-17,18.623,18.725,18.494,18.587,190140,0
2015-06-18,18.657,18.657,18.534,18.553,416395,0
2015-06-19,18.528,18.577,18.274,18.358,250000,0
2015-06-22,18.451,18.469,18.324,18.358,230517,0
2015-06-23,18.358,18.407,18.308,18.318,235106,0
2015-06-24,18.338,18.508,18.294,18.324,219363,0
2015-06-25,18.308,18.338,18.165,18.185,390626,0
2015-06-26,18.121,18.258,17.997,18.13,5521289,0
2015-06-29,18.023,18.557,17.75,18.324,345169,0
2015-06-30,18.451,18.682,18.441,18.514,197764,0
2015-07-01,18.474,18.983,18.474,18.955,233764,0
2015-07-02,18.983,19.027,18.795,18.879,185877,0
2015-07-06,18.765,19.245,18.637,19.235,310590,0
2015-07-07,19.162,19.245,18.445,18.761,207061,0
2015-07-08,18.647,18.825,18.248,18.775,132706,0
2015-07-09,18.845,18.845,18.687,18.771,102114,0
2015-07-10,18.905,19.116,18.835,19.106,87117,0
2015-07-13,19.162,19.328,19.072,19.216,155601,0
2015-07-14,19.249,19.421,19.106,19.338,246852,0
2015-07-15,19.371,19.421,19.255,19.293,77869,0
2015-07-16,19.461,19.704,19.426,19.58,131085,0
2015-07-17,19.649,19.665,19.293,19.476,116904,0
2015-07-20,19.416,19.595,19.401,19.421,92795,0
2015-07-21,19.303,19.739,19.012,19.122,153572,0
2015-07-22,19.008,19.575,19.008,19.431,102114,0
2015-07-23,19.515,19.561,19.002,19.176,87931,0
2015-07-24,19.172,19.343,18.79,19.002,155398,0
2015-07-27,18.959,19.112,18.781,18.935,106975,0
2015-07-28,18.969,18.998,18.582,18.949,128451,0
2015-07-29,18.979,19.067,18.785,18.845,72737,0
2015-07-30,18.755,19.176,18.725,19.176,93198,0
2015-07-31,19.152,19.231,18.974,19.172,76381,0
2015-08-03,19.122,19.136,18.805,18.969,80861,0
2015-08-04,19.032,19.052,18.815,18.945,71924,0
2015-08-05,18.992,19.216,18.925,18.979,126426,0
2015-08-06,18.945,19.037,18.691,18.731,108216,0
2015-08-07,18.612,18.929,18.547,18.865,75369,0
2015-08-10,18.929,19.575,18.642,19.531,273919,0
2015-08-11,19.333,19.58,19.142,19.555,122349,0
2015-08-12,19.357,19.357,18.875,19.106,133512,0
2015-08-13,19.126,19.264,18.845,19.097,92587,0
2015-08-14,19.027,19.476,18.949,19.323,74155,0
2015-08-17,19.156,19.595,19.116,19.441,73546,0
2015-08-18,19.328,19.328,17.906,19.052,92587,0
2015-08-19,18.885,19.212,18.85,19.052,78408,0
2015-08-20,18.945,19.002,18.552,18.557,123993,0
2015-08-21,18.272,18.855,18.272,18.652,120754,0
2015-08-24,15.281,18.065,12.225,17.365,741607,0
2015-08-25,18.081,18.139,17.438,17.556,322141,0
2015-08-26,17.921,18.377,17.685,18.258,279192,0
2015-08-27,18.445,18.474,17.886,18.262,179101,0
2015-08-28,18.144,18.342,18.016,18.308,109810,0
2015-08-31,18.061,18.637,18.061,18.503,150938,0
2015-09-01,18.222,18.387,18.051,18.262,206454,0
2015-09-02,18.465,18.602,18.401,18.547,166945,0
2015-09-03,18.622,18.875,18.537,18.627,232183,0
2015-09-04,18.43,18.691,18.43,18.528,137163,0
2015-09-08,18.85,19.491,18.755,19.333,323559,0
2015-09-09,19.491,19.739,19.24,19.357,282026,0
2015-09-10,19.401,19.743,19.202,19.709,267644,0
2015-09-11,19.565,19.966,19.565,19.952,250419,0
2015-09-14,20.018,20.503,19.837,20.128,570935,0
2015-09-15,20.242,20.848,20.008,20.632,208683,0
2015-09-16,20.753,20.922,20.489,20.803,191663,0
2015-09-17,20.892,21.299,20.459,20.562,336117,0
2015-09-18,20.227,20.918,20.202,20.202,1724154,0
2015-09-21,20.489,20.562,20.098,20.444,247380,0
2015-09-22,20.321,20.513,20.098,20.473,182950,0
2015-09-23,20.578,20.818,20.463,20.686,112648,0
2015-09-24,20.459,20.863,20.369,20.833,229329,0
2015-09-25,21.046,21.091,20.301,20.321,283849,0
2015-09-28,20.321,20.493,19.989,20.152,223029,0
2015-09-29,20.158,20.384,19.896,20.068,157221,0
2015-09-30,20.306,20.523,19.896,20.499,446537,0
2015-10-01,20.088,20.212,19.268,19.525,321327,0
2015-10-02,19.283,19.431,18.875,19.381,141823,0
2015-10-05,19.132,19.807,19.132,19.506,272900,0
2015-10-06,19.531,19.625,19.106,19.348,108835,0
2015-10-07,19.486,20.004,19.338,19.858,123197,0
2015-10-08,19.754,19.812,19.476,19.689,170535,0
2015-10-09,19.639,19.744,19.23,19.426,123197,0
2015-10-12,19.496,19.848,19.471,19.749,89635,0
2015-10-13,19.401,19.788,19.288,19.511,146665,0
2015-10-14,19.551,19.679,18.755,19.036,321449,0
2015-10-15,19.181,19.788,19.146,19.778,177617,0
2015-10-16,19.808,20.223,19.056,19.838,114904,0
2015-10-19,19.792,20.078,19.625,19.808,100340,0
2015-10-20,20.108,21.118,19.288,20.674,303988,0
2015-10-21,20.698,20.99,20.148,20.168,121582,0
2015-10-22,20.307,20.731,19.675,20.634,315985,0
2015-10-23,20.775,21.384,20.654,21.104,386385,0
2015-10-26,21.128,21.33,19.545,21.267,247206,0
2015-10-27,21.163,21.512,21.058,21.222,220503,0
2015-10-28,21.271,22.132,21.251,21.974,275122,0
2015-10-29,21.944,22.102,21.725,21.994,207352,0
2015-10-30,21.9,21.978,20.83,20.95,113689,0
2015-11-02,20.97,21.79,20.89,21.267,106455,0
2015-11-03,21.277,21.576,20.999,21.43,127244,0
2015-11-04,21.444,22.053,21.444,21.725,187557,0
2015-11-05,21.74,22.412,21.74,22.181,167903,0
2015-11-06,22.287,23.143,22.22,22.824,316593,0
2015-11-09,22.906,23.224,22.755,22.883,247119,0
2015-11-10,22.77,23.431,22.372,23.392,331765,0
2015-11-11,23.431,23.486,23.07,23.095,213827,0
2015-11-12,22.942,23.163,22.824,22.956,326911,0
2015-11-13,22.77,23.153,22.532,22.74,367574,0
2015-11-16,22.755,23.168,22.586,23.128,152734,0
2015-11-17,23.133,23.648,21.502,23.268,288274,0
2015-11-18,23.382,23.606,23.114,23.431,312954,0
2015-11-19,23.466,23.629,23.238,23.431,173167,0
2015-11-20,23.556,23.806,23.392,23.742,176605,0
2015-11-23,23.766,24.069,23.742,23.861,120367,0
2015-11-24,23.756,24.123,23.688,23.935,141202,0
2015-11-25,23.96,24.198,23.861,24.074,110251,0
2015-11-27,24.045,24.084,23.654,23.921,85370,0
2015-11-30,24.074,24.493,23.945,24.332,516460,0
2015-12-01,24.385,24.48,24.005,24.322,158969,0
2015-12-02,24.346,24.657,23.985,24.227,140482,0
2015-12-03,24.381,24.627,23.861,23.98,207495,0
2015-12-04,23.99,24.647,23.756,24.172,219291,0
2015-12-07,24.113,24.326,23.386,24.074,336013,0
2015-12-08,23.955,24.084,23.501,23.625,152375,0
2015-12-09,23.546,23.875,22.926,23.075,239314,0
2015-12-10,23.035,23.644,22.972,23.406,247206,0
2015-12-11,22.962,23.232,22.522,22.65,266423,0
2015-12-14,22.6,22.878,22.392,22.75,202467,0
2015-12-15,22.75,23.095,22.75,22.976,181260,0
2015-12-16,23.138,23.416,22.745,23.322,121377,0
2015-12-17,23.382,24.222,22.991,23.124,118952,0
2015-12-18,23.124,23.138,22.517,22.829,383351,0
2015-12-21,22.946,23.372,22.883,23.228,170941,0
2015-12-22,23.292,23.678,23.025,23.668,198982,0
2015-12-23,23.826,23.901,23.516,23.781,166288,0
2015-12-24,23.811,24.202,23.712,23.851,153522,0
2015-12-28,23.718,24.365,23.421,24.227,218882,0
2015-12-29,24.332,24.572,24.039,24.365,127486,0
2015-12-30,24.401,24.657,24.128,24.336,228432,0
2015-12-31,24.237,24.237,23.491,23.506,137875,0
2016-01-04,23.09,23.119,22.312,22.561,202469,0
2016-01-05,22.497,22.942,22.248,22.417,158636,0
2016-01-06,22.068,22.68,22.068,22.253,274390,0
2016-01-07,21.809,21.968,21.383,21.471,240393,0
2016-01-08,21.596,21.626,20.497,20.523,262520,0
2016-01-11,20.566,21.126,20.556,21.092,211188,0
2016-01-12,21.305,21.305,20.19,20.393,263329,0
2016-01-13,20.487,20.487,19.918,20.17,288726,0
2016-01-14,20.339,20.636,20.012,20.27,188321,0
2016-01-15,19.755,20.259,19.288,19.824,206554,0
2016-01-19,20.036,20.036,19.255,19.557,248292,0
2016-01-20,19.235,19.452,18.809,19.24,307599,0
2016-01-21,19.264,19.409,18.739,18.804,257754,0
2016-01-22,19.057,19.591,18.814,19.517,160117,0
2016-01-25,19.452,19.452,18.934,18.963,177202,0
2016-01-26,19.057,20.333,18.929,19.377,281925,0
2016-01-27,19.373,19.393,18.884,18.904,155693,0
2016-01-28,19.576,19.636,19.162,19.387,168747,0
2016-01-29,19.442,19.834,19.324,19.834,160885,0
2016-02-01,19.755,19.866,19.235,19.537,150813,0
2016-02-02,19.357,19.357,18.924,19.132,101333,0
2016-02-03,19.245,19.245,18.591,18.799,225682,0
2016-02-04,18.759,18.954,18.067,18.408,203805,0
