Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,33.12,33.29,32.12,32.74,560302,0
2015-01-05,32.62,32.71,31.17,32.01,698934,0
2015-01-06,32.19,32.68,30.7,31.13,755843,0
2015-01-07,31.72,32.38,31.09,32.0,628515,0
2015-01-08,32.24,35.5,32.02,35.33,1249683,0
2015-01-09,34.67,35.01,33.5,34.3,792719,0
2015-01-12,34.33,35.94,33.79,35.33,833045,0
2015-01-13,35.74,36.82,34.5,34.77,660076,0
2015-01-14,34.32,35.02,33.42,34.77,571030,0
2015-01-15,34.1,35.31,33.65,33.98,659848,0
2015-01-16,33.65,34.58,33.6,34.18,711783,0
2015-01-20,34.51,34.65,32.87,33.61,1059044,0
2015-01-21,33.65,33.77,33.0,33.71,844656,0
2015-01-22,33.2,33.63,31.81,33.515,1469776,0
2015-01-23,33.39,34.37,33.34,34.15,816660,0
2015-01-26,34.47,35.45,33.98,35.17,669072,0
2015-01-27,34.62,35.15,34.13,34.2,381996,0
2015-01-28,33.54,34.1,32.53,32.66,802060,0
2015-01-29,33.01,33.24,31.91,32.17,466595,0
2015-01-30,32.04,32.78,31.61,31.84,799234,0
2015-02-02,32.56,32.75,31.35,31.97,533397,0
2015-02-03,32.06,32.85,31.57,32.85,513877,0
2015-02-04,32.8,33.85,32.64,33.74,667244,0
2015-02-05,33.73,34.18,33.19,33.36,388005,0
2015-02-06,33.52,33.67,32.8,32.98,263899,0
2015-02-09,32.96,33.87,32.51,32.94,527611,0
2015-02-10,33.83,33.83,33.0,33.75,448639,0
2015-02-11,33.78,34.56,33.5,33.75,432092,0
2015-02-12,33.66,33.89,33.2,33.38,317627,0
2015-02-13,33.3,36.19,33.3,35.7,1142491,0
2015-02-17,35.75,37.74,35.17,37.45,1045219,0
2015-02-18,37.42,38.26,37.13,37.55,526051,0
2015-02-19,37.23,38.0,36.0,36.24,406765,0
2015-02-20,36.15,36.99,36.11,36.66,424955,0
2015-02-23,36.5,37.87,36.5,37.75,728239,0
2015-02-24,37.98,38.5,37.25,38.41,629333,0
2015-02-25,37.76,38.3,37.44,37.9,813927,0
2015-02-26,36.9,37.55,34.76,36.05,1567428,0
2015-02-27,37.13,38.35,36.75,37.6,1152853,0
2015-03-02,37.5,38.27,37.03,37.4,574100,0
2015-03-03,37.0,38.44,36.99,38.12,469100,0
2015-03-04,38.25,39.06,38.0,38.86,425900,0
2015-03-05,39.29,39.58,38.67,39.24,462000,0
2015-03-06,39.25,39.39,37.85,39.01,510800,0
2015-03-09,39.15,39.15,37.15,37.21,539400,0
2015-03-10,36.84,37.23,36.39,36.77,404200,0
2015-03-11,36.79,37.33,36.62,37.24,249300,0
2015-03-12,37.23,37.85,37.12,37.78,354300,0
2015-03-13,37.79,38.45,37.21,38.45,333800,0
2015-03-16,38.05,38.61,37.25,38.47,465400,0
2015-03-17,38.61,39.88,38.46,39.79,592700,0
2015-03-18,39.38,40.16,38.11,40.1,1071200,0
2015-03-19,40.91,41.39,39.51,41.37,930400,0
2015-03-20,41.41,42.65,41.14,41.63,932000,0
2015-03-23,41.38,42.81,41.07,41.92,681100,0
2015-03-24,42.15,42.66,41.31,41.66,608700,0
2015-03-25,41.37,42.49,41.21,41.5,671300,0
2015-03-26,41.42,42.12,40.72,41.77,642400,0
2015-03-27,41.82,42.59,41.35,42.4,545300,0
2015-03-30,42.71,42.84,41.3,42.47,767300,0
2015-03-31,42.47,42.47,41.0,41.38,737934,0
2015-04-01,45.24,46.23,40.86,41.33,2732500,0
2015-04-02,41.33,41.85,40.59,41.28,814600,0
2015-04-06,40.96,42.18,40.8,41.59,1533300,0
2015-04-07,41.54,42.66,41.31,41.89,639945,0
2015-04-08,42.0,43.02,41.47,42.98,547300,0
2015-04-09,42.73,43.57,42.55,43.42,502361,0
2015-04-10,43.38,43.86,42.85,42.93,428300,0
2015-04-13,43.66,44.0,43.19,43.24,728000,0
2015-04-14,43.05,43.53,42.5,43.5,526500,0
2015-04-15,43.66,44.3,43.2,43.95,475334,0
2015-04-16,43.96,44.44,43.32,43.63,422006,0
2015-04-17,43.52,43.52,42.32,42.6,540400,0
2015-04-20,42.74,43.053,42.4,42.7,366819,0
2015-04-21,42.72,42.853,41.7,41.77,370243,0
2015-04-22,42.09,42.44,41.43,42.16,433757,0
2015-04-23,42.0,42.13,41.42,41.65,241400,0
2015-04-24,41.52,42.43,40.75,41.13,417738,0
2015-04-27,41.06,41.06,39.4,39.47,507500,0
2015-04-28,39.34,39.95,38.97,39.42,553061,0
2015-04-29,39.41,39.54,38.78,39.09,499400,0
2015-04-30,38.97,40.32,38.82,39.94,674800,0
2015-05-01,39.79,40.89,39.79,40.52,441600,0
2015-05-04,40.47,41.98,40.47,41.66,724800,0
2015-05-05,41.65,42.14,40.88,41.35,630600,0
2015-05-06,41.4,41.7,40.85,41.33,548701,0
2015-05-07,41.1,42.24,41.02,41.8,480887,0
2015-05-08,41.94,42.62,41.65,42.13,417800,0
2015-05-11,42.16,42.55,41.77,42.2,350800,0
2015-05-12,42.88,42.88,41.98,42.245,399384,0
2015-05-13,42.17,42.5,41.65,42.205,371421,0
2015-05-14,42.16,42.74,41.33,42.11,494100,0
2015-05-15,42.23,42.63,41.39,41.93,528828,0
2015-05-18,41.82,42.54,41.44,42.44,365846,0
2015-05-19,42.44,42.47,41.13,41.24,558363,0
2015-05-20,41.09,41.89,40.99,41.01,407229,0
2015-05-21,41.24,42.13,40.59,41.47,396000,0
2015-05-22,41.34,41.74,40.65,40.77,245600,0
2015-05-26,40.61,43.67,40.55,43.44,798880,0
2015-05-27,43.59,44.72,43.53,43.73,622200,0
2015-05-28,43.35,44.38,43.084,44.31,413744,0
2015-05-29,44.07,44.58,42.52,42.95,711300,0
2015-06-01,43.13,43.2,41.4,42.09,600826,0
2015-06-02,41.53,44.31,41.53,42.53,542675,0
2015-06-03,43.28,43.87,42.51,43.65,385400,0
2015-06-04,43.25,44.39,43.14,43.52,507700,0
2015-06-05,43.33,43.86,40.53,40.74,1510300,0
2015-06-08,42.2,42.25,38.64,39.01,2101500,0
2015-06-09,38.75,38.96,36.01,36.61,2804149,0
2015-06-10,35.28,36.03,28.86,29.52,7533684,0
2015-06-11,30.0,30.45,28.25,28.55,4321671,0
2015-06-12,29.0,29.1,27.71,28.07,2415700,0
2015-06-15,28.1,28.1,27.03,27.09,2204900,0
2015-06-16,27.07,27.67,26.53,27.21,1849400,0
2015-06-17,27.09,28.06,26.88,27.1,1126700,0
2015-06-18,27.21,28.55,27.05,28.15,1341200,0
2015-06-19,28.75,29.77,27.75,29.23,1656400,0
2015-06-22,29.56,29.95,28.36,28.37,833500,0
2015-06-23,28.19,29.38,28.13,28.81,969663,0
2015-06-24,28.81,29.8,28.39,28.8,935900,0
2015-06-25,29.09,29.14,28.15,28.28,642900,0
2015-06-26,28.4,28.77,27.75,28.12,1549500,0
2015-06-29,28.07,28.11,26.9,27.02,1005200,0
2015-06-30,27.07,27.53,26.62,26.7,1338342,0
2015-07-01,26.96,26.96,25.88,26.53,1199600,0
2015-07-02,26.42,26.48,25.33,25.53,1102900,0
2015-07-06,25.29,25.77,24.68,24.84,1878200,0
2015-07-07,25.1,25.62,24.64,25.34,1758600,0
2015-07-08,25.18,25.35,23.49,24.13,1321800,0
2015-07-09,24.25,24.95,23.06,23.23,1142700,0
2015-07-10,23.37,23.82,23.04,23.75,922200,0
2015-07-13,23.99,24.41,23.64,23.68,681300,0
2015-07-14,23.63,23.97,23.4,23.84,588206,0
2015-07-15,23.91,23.96,22.66,22.94,2326026,0
2015-07-16,23.08,23.09,21.83,22.36,1433500,0
2015-07-17,22.2,22.41,21.81,22.15,834600,0
2015-07-20,22.13,22.32,21.65,22.0,825600,0
2015-07-21,22.0,22.19,21.73,22.02,950500,0
2015-07-22,22.02,22.49,21.6,21.96,1313000,0
2015-07-23,22.18,22.37,21.81,22.08,675600,0
2015-07-24,22.02,22.96,22.02,22.19,677500,0
2015-07-27,22.36,22.39,21.18,21.44,1114700,0
2015-07-28,21.89,22.04,20.98,21.81,869500,0
2015-07-29,21.67,21.915,21.429,21.86,485689,0
2015-07-30,21.9,22.0,21.29,21.29,734700,0
2015-07-31,21.29,21.56,20.86,21.55,1000300,0
2015-08-03,22.51,22.74,19.09,19.39,3151960,0
2015-08-04,19.41,21.09,19.08,20.81,1465700,0
2015-08-05,20.82,21.43,20.7,21.34,980300,0
2015-08-06,21.66,23.48,21.36,23.34,1640001,0
2015-08-07,23.5,24.56,23.48,24.39,1552500,0
2015-08-10,24.39,24.98,24.21,24.47,1116400,0
2015-08-11,24.5,25.44,24.21,25.18,1387711,0
2015-08-12,25.0,25.43,24.3,25.37,1149500,0
2015-08-13,25.19,25.55,24.87,25.0,610200,0
2015-08-14,25.15,25.43,24.65,25.18,719000,0
2015-08-17,25.25,25.68,25.06,25.37,395800,0
2015-08-18,25.47,25.55,23.8,24.08,765300,0
2015-08-19,24.03,24.1,23.14,23.34,656200,0
2015-08-20,23.47,24.1,21.76,22.97,1209600,0
2015-08-21,22.44,23.22,22.22,22.64,999700,0
2015-08-24,21.7,22.8,21.0,21.98,795018,0
2015-08-25,23.03,23.99,22.77,23.25,1983300,0
2015-08-26,23.6,24.09,22.99,24.0,1038700,0
2015-08-27,24.05,28.31,24.05,26.93,2369300,0
2015-08-28,26.37,27.55,26.13,27.3,686400,0
2015-08-31,27.43,27.89,26.48,26.68,855500,0
2015-09-01,25.99,26.61,25.9,26.15,878600,0
2015-09-02,26.37,26.88,26.12,26.69,564900,0
2015-09-03,26.71,27.4,26.48,27.14,562800,0
2015-09-04,26.74,27.46,26.3,27.2,507800,0
2015-09-08,27.4,27.47,26.59,26.81,1080000,0
2015-09-09,26.89,27.0,25.68,25.75,949200,0
2015-09-10,25.69,26.18,25.42,25.74,555139,0
