Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,34.384,34.554,33.882,34.06,727788,0
2015-01-05,34.128,34.581,33.891,33.996,1505738,0
2015-01-06,33.776,34.175,33.702,34.015,730934,0
2015-01-07,34.032,34.631,33.909,34.346,957114,0
2015-01-08,34.06,34.601,34.042,34.402,999406,0
2015-01-09,34.194,34.706,33.844,34.488,534303,0
2015-01-12,34.231,34.261,33.541,34.119,666026,0
2015-01-13,33.455,33.616,32.886,33.227,1079933,0
2015-01-14,33.209,33.407,32.963,33.246,1150036,0
2015-01-15,33.37,33.712,33.256,33.417,477153,0
2015-01-16,33.663,34.128,33.56,34.09,595536,0
2015-01-20,34.288,34.384,33.986,34.128,455547,0
2015-01-21,33.947,34.251,33.806,34.204,355420,0
2015-01-22,34.165,34.231,33.891,34.204,476893,0
2015-01-23,34.032,34.222,33.663,33.692,292866,0
2015-01-26,33.938,34.194,33.862,34.005,369593,0
2015-01-27,33.862,34.109,33.663,33.947,376998,0
2015-01-28,34.222,34.497,33.806,33.806,460690,0
2015-01-29,34.307,34.497,34.109,34.43,394083,0
2015-01-30,34.316,34.365,33.815,33.919,400615,0
2015-02-02,33.825,33.928,33.446,33.928,274792,0
2015-02-03,33.796,33.919,33.616,33.796,611058,0
2015-02-04,33.844,33.9,33.256,33.321,516505,0
2015-02-05,34.676,34.818,34.393,34.782,755676,0
2015-02-06,34.478,34.696,34.231,34.43,456483,0
2015-02-09,34.251,34.554,34.204,34.402,617841,0
2015-02-10,34.222,34.374,34.06,34.231,412260,0
2015-02-11,33.947,34.032,33.501,33.702,683795,0
2015-02-12,34.032,34.231,33.996,34.204,291535,0
2015-02-13,33.957,34.194,33.75,33.938,771915,0
2015-02-17,33.986,34.402,33.882,34.307,199140,0
2015-02-18,34.545,34.792,34.336,34.676,250781,0
2015-02-19,34.716,34.782,34.526,34.601,148236,0
2015-02-20,34.222,34.64,34.119,34.526,220326,0
2015-02-23,34.421,34.601,34.336,34.572,247564,0
2015-02-24,34.459,34.763,34.384,34.668,157879,0
2015-02-25,34.346,34.686,34.316,34.563,164999,0
2015-02-26,34.393,34.545,34.365,34.43,131434,0
2015-02-27,34.772,35.482,34.621,34.914,730574,0
2015-03-02,34.763,35.018,34.696,34.914,225021,0
2015-03-03,33.106,33.577,31.986,32.308,3159169,0
2015-03-04,32.905,33.047,32.679,32.782,915917,0
2015-03-05,33.18,33.256,32.934,32.963,1129753,0
2015-03-06,32.857,32.915,32.318,32.423,435901,0
2015-03-09,32.318,32.384,31.968,31.995,1361212,0
2015-03-10,31.806,32.129,31.749,31.778,406771,0
2015-03-11,31.598,31.759,31.447,31.683,374051,0
2015-03-12,32.232,32.271,32.072,32.1,451311,0
2015-03-13,31.673,31.798,31.457,31.74,610472,0
2015-03-16,31.901,32.251,31.892,32.242,505771,0
2015-03-17,31.673,31.901,31.513,31.834,457537,0
2015-03-18,31.588,32.602,31.568,32.327,621025,0
2015-03-19,32.346,32.403,32.072,32.08,225654,0
2015-03-20,32.176,32.573,31.892,32.47,1111915,0
2015-03-23,32.773,32.973,32.546,32.753,834120,0
2015-03-24,33.076,33.115,32.763,32.895,1113499,0
2015-03-25,33.134,33.16,32.384,32.478,1421688,0
2015-03-26,32.176,32.527,31.995,32.488,992226,0
2015-03-27,32.356,32.527,32.119,32.478,736068,0
2015-03-30,32.062,32.451,32.062,32.384,685514,0
2015-03-31,31.938,32.488,31.929,32.376,1208840,0
2015-04-01,32.281,32.281,31.873,32.166,538384,0
